"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1989","lower secondary degree","Westdeutschland, alte Bundeslaender","6.81","7","3062","4","5","8","10","6.74","6.88","7","7"
"1989","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1989","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.71","7","550","4","5","8","10","6.53","6.89","7","7"
"1989","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1989","Other degree","Westdeutschland, alte Bundeslaender","6.73","7","623","4","5","8","10","6.56","6.9","7","7"
"1989","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1989","secondary school degree","Westdeutschland, alte Bundeslaender","6.77","7","1092","4","5","8","10","6.65","6.89","7","7"
"1990","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1990","college entrance qualification","Westdeutschland, alte Bundeslaender","6.34","7","672","3","5","8","9","6.17","6.51","6","7"
"1990","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1990","lower secondary degree","Westdeutschland, alte Bundeslaender","6.76","7","3225","4","5","8","10","6.69","6.83","7","7"
"1990","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1990","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.72","7","547","4","5","8","10","6.54","6.9","7","7"
"1990","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1990","Other degree","Westdeutschland, alte Bundeslaender","6.77","7","656","4","5","8","10","6.6","6.94","7","7"
"1990","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1990","secondary school degree","Westdeutschland, alte Bundeslaender","6.71","7","1165","4","5","8","9","6.59","6.83","7","7"
"1991","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1991","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1991","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1991","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1991","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1991","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1991","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1991","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1991","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1991","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1992","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1992","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1992","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1992","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1992","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1992","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1992","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1992","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1992","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1992","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1993","college entrance qualification","Ostdeutschland, neue Bundeslaender","5.89","6","203","3","5","8","9","5.58","6.2","5","6"
"1993","college entrance qualification","Westdeutschland, alte Bundeslaender","6.3","7","734","3","5","8","9","6.14","6.46","6","7"
"1993","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.28","6","973","3","5","8","9","6.14","6.42","6","7"
"1993","lower secondary degree","Westdeutschland, alte Bundeslaender","6.6","7","3033","4","5","8","10","6.53","6.67","7","7"
"1993","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1993","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.44","6","526","4","5","8","10","6.26","6.62","6","7"
"1993","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1993","Other degree","Westdeutschland, alte Bundeslaender","6.5","7","640","4","5","8","10","6.33","6.67","6","7"
"1993","secondary school degree","Ostdeutschland, neue Bundeslaender","6.39","6","1026","4","5","8","9","6.26","6.52","6","7"
"1993","secondary school degree","Westdeutschland, alte Bundeslaender","6.5","7","1252","4","5","8","9","6.38","6.62","7","7"
"1994","college entrance qualification","Ostdeutschland, neue Bundeslaender","5.77","6","223","2","4","8","8","5.48","6.06","6","7"
"1994","college entrance qualification","Westdeutschland, alte Bundeslaender","6.31","6","812","4","5","8","9","6.17","6.45","6","7"
"1994","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.23","6","968","4","5","8","9","6.1","6.36","6","7"
"1994","lower secondary degree","Westdeutschland, alte Bundeslaender","6.56","7","2947","4","5","8","9","6.48","6.64","7","7"
