"year","age_gr","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","16-34 y.","Female","6.79","7","1881","3","5","8","10","6.68","6.9","7","8"
"1984","16-34 y.","Male","6.11","6","804","3","5","8","10","5.92","6.3","6","7"
"1984","35-65 y.","Female","7.34","8","3016","5","6","9","10","7.26","7.42","8","8"
"1984","35-65 y.","Male","6.45","7","1172","3","5","9","10","6.3","6.6","6","7"
"1984","66 and older","Female","7.35","8","716","4","6","9","10","7.17","7.53","8","8"
"1984","66 and older","Male","6.71","7","248","3","5","9","10","6.39","7.03","6","8"
"1985","16-34 y.","Female","6.74","7","1591","4","5","8","10","6.63","6.85","7","7"
"1985","16-34 y.","Male","6.27","6","566","3","5","8","10","6.07","6.47","6","7"
"1985","35-65 y.","Female","7.3","8","2718","5","6","9","10","7.22","7.38","7","8"
"1985","35-65 y.","Male","6.36","6","774","3","5","8","10","6.18","6.54","6","7"
"1985","66 and older","Female","7.25","8","605","4","5","9","10","7.07","7.43","7","8"
"1985","66 and older","Male","6.72","7","179","4","5","8","10","6.4","7.04","6","7"
"1986","16-34 y.","Female","6.65","7","1565","4","5","8","10","6.54","6.76","7","7"
"1986","16-34 y.","Male","6.11","6","655","3","5","8","9","5.93","6.29","6","7"
"1986","35-65 y.","Female","7.09","7","2584","5","5","9","10","7.01","7.17","7","8"
"1986","35-65 y.","Male","6.39","7","836","4","5","8","10","6.23","6.55","6","7"
"1986","66 and older","Female","7.47","8","562","5","6","9","10","7.29","7.65","8","8"
"1986","66 and older","Male","7.12","8","185","4","5","9","10","6.82","7.42","7","8"
"1987","16-34 y.","Female","6.84","7","1530","4","5","8","10","6.74","6.94","7","7"
"1987","16-34 y.","Male","6.26","6","659","4","5","8","9","6.1","6.42","6","7"
"1987","35-65 y.","Female","7.14","7","2554","5","6","9","10","7.06","7.22","7","7"
"1987","35-65 y.","Male","6.48","7","832","4","5","8","10","6.32","6.64","6","7"
"1987","66 and older","Female","7.49","8","586","5","6","9","10","7.32","7.66","8","8"
"1987","66 and older","Male","6.98","7","200","4","5","9","10","6.67","7.29","7","8"
"1988","16-34 y.","Female","6.68","7","1492","4","5","8","9","6.58","6.78","7","7"
"1988","16-34 y.","Male","6.36","7","625","3","5","8","9","6.19","6.53","6","7"
"1988","35-65 y.","Female","7","7","2412","5","6","8","10","6.92","7.08","7","7"
"1988","35-65 y.","Male","6.34","6","812","3","5","8","9","6.19","6.49","6","7"
"1988","66 and older","Female","7.19","8","572","4","5","9","10","7.01","7.37","7","8"
"1988","66 and older","Male","6.56","7","200","4","5","8","10","6.23","6.89","6","7"
"1989","16-34 y.","Female","6.54","7","1469","4","5","8","9","6.43","6.65","7","7"
"1989","16-34 y.","Male","6.15","6","633","3","5","8","9","5.97","6.33","6","7"
"1989","35-65 y.","Female","6.87","7","2328","4","5","8","10","6.79","6.95","7","7"
"1989","35-65 y.","Male","6.42","7","870","3","5","8","10","6.27","6.57","6","7"
"1989","66 and older","Female","7.16","7","569","5","6","9","10","6.99","7.33","7","8"
"1989","66 and older","Male","6.72","7","195","4","5","8","10","6.4","7.04","6","7"
"1990","16-34 y.","Female","6.61","7","1475","4","5","8","9","6.5","6.72","7","7"
"1990","16-34 y.","Male","6.38","6","786","4","5","8","9","6.22","6.54","6","7"
"1990","35-65 y.","Female","6.85","7","2260","4","5","8","9","6.77","6.93","7","7"
"1990","35-65 y.","Male","6.3","6","1035","3","5","8","9","6.16","6.44","6","7"
"1990","66 and older","Female","7.06","7","596","4","6","9","10","6.88","7.24","7","8"
"1990","66 and older","Male","6.75","7","239","4","5","8","10","6.47","7.03","7","7"
"1991","16-34 y.","Female","","","","","","","","","","",""
"1991","16-34 y.","Male","","","","","","","","","","",""
"1991","35-65 y.","Female","","","","","","","","","","",""
"1991","35-65 y.","Male","","","","","","","","","","",""
"1991","66 and older","Female","","","","","","","","","","",""
"1991","66 and older","Male","","","","","","","","","","",""
"1992","16-34 y.","Female","","","","","","","","","","",""
"1992","16-34 y.","Male","","","","","","","","","","",""
"1992","35-65 y.","Female","","","","","","","","","","",""
"1992","35-65 y.","Male","","","","","","","","","","",""
"1992","66 and older","Female","","","","","","","","","","",""
"1992","66 and older","Male","","","","","","","","","","",""
"1993","16-34 y.","Female","6.55","7","1894","4","5","8","9","6.46","6.64","7","7"
"1993","16-34 y.","Male","6.42","7","1105","4","5","8","9","6.29","6.55","6","7"
"1993","35-65 y.","Female","6.56","7","3003","4","5","8","9","6.49","6.63","7","7"
"1993","35-65 y.","Male","6.32","6","1503","4","5","8","9","6.21","6.43","6","7"
"1993","66 and older","Female","6.61","7","837","3","5","8","10","6.45","6.77","7","7"
"1993","66 and older","Male","6.1","6","280","3","5","8","10","5.82","6.38","6","7"
"1994","16-34 y.","Female","6.51","7","1925","4","5","8","9","6.42","6.6","7","7"
"1994","16-34 y.","Male","6.41","7","1085","3","5","8","9","6.27","6.55","6","7"
"1994","35-65 y.","Female","6.58","7","2985","4","5","8","9","6.51","6.65","7","7"
"1994","35-65 y.","Male","6.21","6","1488","3","5","8","9","6.1","6.32","6","7"
"1994","66 and older","Female","6.61","7","861","3","5","8","10","6.46","6.76","7","7"
"1994","66 and older","Male","6.24","6","290","3","5","8","9","5.98","6.5","6","7"
"1995","16-34 y.","Female","6.56","7","1998","4","5","8","9","6.47","6.65","7","7"
"1995","16-34 y.","Male","6.35","6","1206","4","5","8","9","6.22","6.48","6","7"
"1995","35-65 y.","Female","6.57","7","3095","4","5","8","9","6.5","6.64","7","7"
"1995","35-65 y.","Male","6.3","6","1648","3","5","8","9","6.2","6.4","6","7"
"1995","66 and older","Female","6.58","7","868","3","5","8","10","6.43","6.73","7","7"
"1995","66 and older","Male","6.29","6","316","3","5","8","10","6.04","6.54","6","7"
"1996","16-34 y.","Female","6.59","7","1938","4","5","8","9","6.5","6.68","7","7"
"1996","16-34 y.","Male","6.48","7","1197","4","5","8","9","6.36","6.6","7","7"
"1996","35-65 y.","Female","6.55","7","3068","4","5","8","9","6.48","6.62","7","7"
"1996","35-65 y.","Male","6.26","6","1601","4","5","8","9","6.16","6.36","6","7"
"1996","66 and older","Female","6.54","7","865","3","5","8","10","6.39","6.69","7","7"
"1996","66 and older","Male","6.38","6","337","4","5","8","9","6.14","6.62","6","7"
"1997","16-34 y.","Female","6.58","7","1873","4","5","8","9","6.49","6.67","7","7"
"1997","16-34 y.","Male","6.56","7","1193","4","5","8","9","6.43","6.69","7","7"
"1997","35-65 y.","Female","6.49","7","3007","4","5","8","9","6.42","6.56","7","7"
"1997","35-65 y.","Male","6.24","6","1661","4","5","8","9","6.14","6.34","6","7"
"1997","66 and older","Female","6.54","7","856","3","5","8","10","6.39","6.69","7","7"
"1997","66 and older","Male","6.3","6","348","3","5","8","9","6.06","6.54","6","7"
"1998","16-34 y.","Female","6.52","7","1989","4","5","8","9","6.43","6.61","7","7"
"1998","16-34 y.","Male","6.45","7","1239","4","5","8","9","6.33","6.57","7","7"
"1998","35-65 y.","Female","6.65","7","3435","4","5","8","9","6.58","6.72","7","7"
"1998","35-65 y.","Male","6.46","7","1890","4","5","8","9","6.36","6.56","7","7"
"1998","66 and older","Female","6.54","7","993","3","5","8","10","6.4","6.68","7","7"
"1998","66 and older","Male","6.39","7","401","3","5","8","9","6.18","6.6","6","7"
"1999","16-34 y.","Female","6.51","7","1892","4","5","8","9","6.42","6.6","7","7"
"1999","16-34 y.","Male","6.41","7","1217","3","5","8","9","6.29","6.53","6","7"
"1999","35-65 y.","Female","6.58","7","3325","4","5","8","9","6.51","6.65","7","7"
