"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","college entrance qualification","6.27","6","691","3","5","8","10","6.08","6.46","6","7"
"1984","lower secondary degree","7.13","8","4097","4","5","9","10","7.06","7.2","7","8"
"1984","no degree/no degree yet","6.6","7","864","3","5","8","10","6.44","6.76","7","7"
"1984","Other degree","6.97","7","921","3","5","9","10","6.81","7.13","7","8"
"1984","secondary school degree","6.92","7","1207","3","5","9","10","6.78","7.06","7","8"
"1985","college entrance qualification","6.32","6","578","3","5","8","10","6.13","6.51","6","7"
"1985","lower secondary degree","7.12","7","3323","4","5","9","10","7.05","7.19","7","7"
"1985","no degree/no degree yet","6.82","7","634","4","5","8","10","6.65","6.99","7","8"
"1985","Other degree","6.5","7","719","3","5","8","10","6.32","6.68","7","7"
"1985","secondary school degree","6.92","7","1098","4","5","9","10","6.79","7.05","7","7"
"1986","college entrance qualification","6.38","7","637","3","5","8","9","6.2","6.56","6","7"
"1986","lower secondary degree","7.06","7","3255","4","5","9","10","6.99","7.13","7","7"
"1986","no degree/no degree yet","6.5","7","641","4","5","8","10","6.33","6.67","7","7"
"1986","Other degree","6.8","7","662","4","5","8","10","6.63","6.97","7","8"
"1986","secondary school degree","6.75","7","1108","4","5","8","10","6.62","6.88","7","7"
"1987","college entrance qualification","6.5","7","632","4","5","8","10","6.33","6.67","6","7"
"1987","lower secondary degree","7.09","7","3254","4","5","9","10","7.02","7.16","7","8"
"1987","no degree/no degree yet","6.77","7","628","4","5","8","10","6.6","6.94","7","7"
"1987","Other degree","6.76","7","651","4","5","8","10","6.59","6.93","7","7"
"1987","secondary school degree","6.97","7","1107","5","5","8","10","6.85","7.09","7","7"
"1988","college entrance qualification","6.36","7","598","3","5","8","10","6.18","6.54","6","7"
"1988","lower secondary degree","6.93","7","3091","4","5","8","10","6.86","7","7","7"
"1988","no degree/no degree yet","6.55","7","566","4","5","8","10","6.37","6.73","7","7"
"1988","Other degree","6.65","7","649","4","5","8","10","6.48","6.82","7","7"
"1988","secondary school degree","6.72","7","1097","4","5","8","10","6.59","6.85","7","7"
"1989","college entrance qualification","6.27","7","627","3","5","8","9","6.1","6.44","6","7"
"1989","lower secondary degree","6.81","7","3062","4","5","8","10","6.74","6.88","7","7"
"1989","no degree/no degree yet","6.71","7","550","4","5","8","10","6.53","6.89","7","7"
"1989","Other degree","6.73","7","623","4","5","8","10","6.56","6.9","7","7"
"1989","secondary school degree","6.77","7","1092","4","5","8","10","6.65","6.89","7","7"
"1990","college entrance qualification","6.34","7","672","3","5","8","9","6.17","6.51","6","7"
"1990","lower secondary degree","6.76","7","3225","4","5","8","10","6.69","6.83","7","7"
"1990","no degree/no degree yet","6.72","7","547","4","5","8","10","6.54","6.9","7","7"
"1990","Other degree","6.77","7","656","4","5","8","10","6.6","6.94","7","7"
"1990","secondary school degree","6.71","7","1165","4","5","8","9","6.59","6.83","7","7"
"1991","college entrance qualification","","","","","","","","","","",""
"1991","lower secondary degree","","","","","","","","","","",""
"1991","no degree/no degree yet","","","","","","","","","","",""
"1991","Other degree","","","","","","","","","","",""
"1991","secondary school degree","","","","","","","","","","",""
"1992","college entrance qualification","","","","","","","","","","",""
"1992","lower secondary degree","","","","","","","","","","",""
"1992","no degree/no degree yet","","","","","","","","","","",""
"1992","Other degree","","","","","","","","","","",""
"1992","secondary school degree","","","","","","","","","","",""
"1993","college entrance qualification","6.25","7","937","3","5","8","9","6.11","6.39","6","7"
"1993","lower secondary degree","6.55","7","4006","4","5","8","9","6.48","6.62","7","7"
"1993","no degree/no degree yet","6.51","6.64","555","4","5","8","10","6.34","6.68","6","7"
"1993","Other degree","6.47","7","665","4","5","8","10","6.31","6.63","6","7"
"1993","secondary school degree","6.47","7","2278","4","5","8","9","6.38","6.56","7","7"
"1994","college entrance qualification","6.25","6","1035","3","5","8","9","6.12","6.38","6","7"
"1994","lower secondary degree","6.51","7","3915","4","5","8","9","6.44","6.58","7","7"
"1994","no degree/no degree yet","6.67","7","534","4","5","8","10","6.49","6.85","6","7"
"1994","Other degree","6.31","6","604","3","5","8","10","6.13","6.49","6","7"
"1994","secondary school degree","6.52","7","2328","4","5","8","9","6.44","6.6","7","7"
"1995","college entrance qualification","6.32","6","1122","3","5","8","9","6.2","6.44","6","7"
"1995","lower secondary degree","6.57","7","3933","4","5","8","9","6.5","6.64","7","7"
"1995","no degree/no degree yet","6.35","6","526","4","5","8","10","6.17","6.53","6","7"
"1995","Other degree","6.71","7","835","3","5","9","10","6.55","6.87","7","7"
"1995","secondary school degree","6.37","7","2461","4","5","8","9","6.29","6.45","6","7"
"1996","college entrance qualification","6.28","7","1126","3","5","8","9","6.16","6.4","6","7"
"1996","lower secondary degree","6.55","7","3864","4","5","8","9","6.49","6.61","7","7"
"1996","no degree/no degree yet","6.35","7","519","3","5","8","9","6.17","6.53","7","7"
"1996","Other degree","6.71","7","756","4","5","8","10","6.55","6.87","7","7"
"1996","secondary school degree","6.44","7","2476","4","5","8","9","6.36","6.52","7","7"
"1997","college entrance qualification","6.32","7","1146","3","5","8","9","6.2","6.44","6","7"
"1997","lower secondary degree","6.51","7","3747","4","5","8","9","6.44","6.58","7","7"
"1997","no degree/no degree yet","6.47","7","521","3","5","8","9","6.29","6.65","6","7"
"1997","Other degree","6.59","7","735","4","5","8","10","6.43","6.75","7","7"
"1997","secondary school degree","6.44","7","2513","4","5","8","9","6.36","6.52","7","7"
"1998","college entrance qualification","6.47","7","1328","4","5","8","9","6.36","6.58","6","7"
"1998","lower secondary degree","6.52","7","4125","4","5","8","9","6.46","6.58","7","7"
"1998","no degree/no degree yet","6.34","6","476","4","5","8","9","6.15","6.53","6","7"
"1998","Other degree","6.81","7","702","4","5","8","10","6.65","6.97","7","7"
"1998","secondary school degree","6.57","7","2806","4","5","8","9","6.5","6.64","7","7"
"1999","college entrance qualification","6.31","6.08","1402","3","5","8","9","6.2","6.42","6","7"
"1999","lower secondary degree","6.54","7","4086","4","5","8","9","6.48","6.6","7","7"
"1999","no degree/no degree yet","6.2","6","472","3","5","8","9","6.01","6.39","6","7"
"1999","Other degree","6.48","7","671","3","5","8","10","6.31","6.65","7","7"
"1999","secondary school degree","6.61","7","2820","4","5","8","9","6.54","6.68","7","7"
"2000","college entrance qualification","6.42","7","3082","4","5","8","9","6.35","6.49","7","7"
"2000","lower secondary degree","6.67","7","7453","4","5","8","10","6.62","6.72","7","7"
"2000","no degree/no degree yet","6.37","6","546","4","5","8","10","6.18","6.56","6","7"
"2000","Other degree","6.82","7","1117","4","5","8","10","6.69","6.95","7","7"
"2000","secondary school degree","6.59","7","5148","4","5","8","9","6.53","6.65","7","7"
"2001","college entrance qualification","6.44","7","2936","4","5","8","9","6.37","6.51","7","7"
"2001","lower secondary degree","6.69","7","6642","4","5","8","9","6.64","6.74","7","7"
"2001","no degree/no degree yet","6.26","6","523","3","5","8","9","6.06","6.46","6","7"
"2001","Other degree","6.58","7","1042","4","5","8","9","6.45","6.71","7","7"
"2001","secondary school degree","6.72","7","4856","4","5","8","9","6.66","6.78","7","7"
"2002","college entrance qualification","6.48","7","3601","4","5","8","9","6.41","6.55","7","7"
"2002","lower secondary degree","6.56","7","6375","4","5","8","9","6.51","6.61","7","7"
"2002","no degree/no degree yet","6.27","6","492","4","5","8","9","6.07","6.47","6","7"
"2002","Other degree","6.59","7","991","4","5","8","9","6.46","6.72","7","7"
"2002","secondary school degree","6.54","7","5052","4","5","8","9","6.49","6.59","7","7"
"2003","college entrance qualification","6.5","7","3631","4","5","8","9","6.44","6.56","7","7"
"2003","lower secondary degree","6.61","7","6180","4","5","8","9","6.56","6.66","7","7"
"2003","no degree/no degree yet","6.26","6","533","3","5","8","9","6.07","6.45","6","7"
"2003","Other degree","6.64","7","981","4","5","8","9","6.51","6.77","7","7"
"2003","secondary school degree","6.51","7","5004","4","5","8","9","6.46","6.56","7","7"
"2004","college entrance qualification","6.46","7","3615","4","5","8","9","6.4","6.52","7","7"
"2004","lower secondary degree","6.58","7","5978","4","5","8","9","6.53","6.63","7","7"
"2004","no degree/no degree yet","6.3","7","530","3","5","8","10","6.1","6.5","6","7"
"2004","Other degree","6.65","7","951","4","5","8","9","6.52","6.78","7","7"
"2004","secondary school degree","6.5","7","4937","4","5","8","9","6.45","6.55","7","7"
"2005","college entrance qualification","6.48","7","3579","4","5","8","9","6.42","6.54","7","7"
"2005","lower secondary degree","6.55","7","5612","4","5","8","9","6.5","6.6","7","7"
"2005","no degree/no degree yet","6.51","7","547","3","5","8","10","6.31","6.71","7","7"
"2005","Other degree","6.64","7","882","4","5","8","9","6.5","6.78","7","7"
"2005","secondary school degree","6.52","7","4780","4","5","8","9","6.46","6.58","7","7"
"2006","college entrance qualification","6.45","7","3950","4","5","8","9","6.39","6.51","7","7"
"2006","lower secondary degree","6.58","7","6049","4","5","8","9","6.53","6.63","7","7"
"2006","no degree/no degree yet","6.29","6","408","4","5","8","9","6.08","6.5","6","7"
"2006","Other degree","6.59","7","945","4","5","8","10","6.45","6.73","7","7"
"2006","secondary school degree","6.56","7","5152","4","5","8","9","6.51","6.61","7","7"
"2007","college entrance qualification","6.53","7","3879","4","5","8","9","6.47","6.59","7","7"
"2007","lower secondary degree","6.64","7","5535","4","5","8","9","6.59","6.69","7","7"
"2007","no degree/no degree yet","6.29","7","367","3","5","8","9","6.07","6.51","6","7"
"2007","Other degree","6.57","7","836","4","5","8","9","6.43","6.71","7","7"
"2007","secondary school degree","6.6","7","4899","4","5","8","9","6.55","6.65","7","7"
"2008","college entrance qualification","6.62","7","3663","4","5","8","9","6.56","6.68","7","7"
"2008","lower secondary degree","6.67","7","5181","4","5","8","9","6.62","6.72","7","7"
"2008","no degree/no degree yet","6.39","6","330","4","5","8","9","6.17","6.61","6","7"
"2008","Other degree","6.45","7","733","4","5","8","9","6.3","6.6","7","7"
"2008","secondary school degree","6.65","7","4669","4","5","8","9","6.6","6.7","7","7"
"2009","college entrance qualification","6.65","7","3578","4","5","8","9","6.59","6.71","7","7"
"2009","lower secondary degree","6.65","7","4782","4","5","8","9","6.59","6.71","7","7"
"2009","no degree/no degree yet","6.26","6","311","4","5","8","9","6.02","6.5","7","7"
"2009","Other degree","6.69","7","654","4","5","8","9","6.53","6.85","7","7"
"2009","secondary school degree","6.67","7","4429","4","5","8","9","6.61","6.73","7","7"
"2010","college entrance qualification","6.72","7","5353","4","5","8","9","6.67","6.77","7","7"
"2010","lower secondary degree","6.68","7","5692","4","5","8","9","6.63","6.73","7","7"
"2010","no degree/no degree yet","6.71","7","559","4","5","8","10","6.51","6.91","7","7"
"2010","Other degree","6.85","7","1337","4","5","8","9","6.74","6.96","7","7"
"2010","secondary school degree","6.71","7","6311","4","5","8","9","6.66","6.76","7","7"
"2011","college entrance qualification","6.75","7","5931","4","5","8","9","6.7","6.8","7","7"
"2011","lower secondary degree","6.73","7","6104","4","5","8","9","6.68","6.78","7","7"
