"year","age_gr","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1984","16-34 y.","6.58","7","2685","6.48","6.68","3","5","8","10"
"1984","35-65 y.","7.11","8","4188","7.04","7.18","4","5","9","10"
"1984","66 and older","7.2","8","964","7.04","7.36","4","5","9","10"
"1985","16-34 y.","6.6","7","2157","6.5","6.7","4","5","8","10"
"1985","35-65 y.","7.1","7","3492","7.03","7.17","4","5","9","10"
"1985","66 and older","7.14","7","784","6.98","7.3","4","5","9","10"
"1986","16-34 y.","6.48","7","2220","6.39","6.57","4","5","8","10"
"1986","35-65 y.","6.92","7","3420","6.85","6.99","4","5","8","10"
"1986","66 and older","7.39","8","747","7.24","7.54","5","6","9","10"
"1987","16-34 y.","6.65","7","2189","6.56","6.74","4","5","8","9"
"1987","35-65 y.","6.98","7","3386","6.91","7.05","4","5","8","10"
"1987","66 and older","7.37","8","786","7.22","7.52","5","6","9","10"
"1988","16-34 y.","6.57","7","2117","6.48","6.66","4","5","8","9"
"1988","35-65 y.","6.83","7","3224","6.76","6.9","4","5","8","10"
"1988","66 and older","7.04","7","772","6.88","7.2","4","5","9","10"
"1989","16-34 y.","6.41","7","2102","6.32","6.5","4","5","8","9"
"1989","35-65 y.","6.75","7","3198","6.68","6.82","4","5","8","10"
"1989","66 and older","7.06","7","764","6.91","7.21","4","5","9","10"
"1990","16-34 y.","6.53","7","2261","6.44","6.62","4","5","8","9"
"1990","35-65 y.","6.67","7","3295","6.6","6.74","4","5","8","9"
"1990","66 and older","6.98","7","835","6.83","7.13","4","5","8","10"
"1991","16-34 y.","","","","","","","","",""
"1991","35-65 y.","","","","","","","","",""
"1991","66 and older","","","","","","","","",""
"1992","16-34 y.","","","","","","","","",""
"1992","35-65 y.","","","","","","","","",""
"1992","66 and older","","","","","","","","",""
"1993","16-34 y.","6.5","7","2999","6.42","6.58","4","5","8","9"
"1993","35-65 y.","6.48","7","4506","6.42","6.54","4","5","8","9"
"1993","66 and older","6.49","7","1117","6.35","6.63","3","5","8","10"
"1994","16-34 y.","6.47","7","3010","6.39","6.55","4","5","8","9"
"1994","35-65 y.","6.46","7","4473","6.4","6.52","4","5","8","9"
"1994","66 and older","6.52","7","1151","6.39","6.65","3","5","8","10"
"1995","16-34 y.","6.48","7","3204","6.41","6.55","4","5","8","9"
"1995","35-65 y.","6.48","7","4743","6.42","6.54","4","5","8","9"
"1995","66 and older","6.51","7","1184","6.38","6.64","3","5","8","10"
"1996","16-34 y.","6.54","7","3135","6.47","6.61","4","5","8","9"
"1996","35-65 y.","6.45","7","4669","6.39","6.51","4","5","8","9"
"1996","66 and older","6.5","7","1202","6.37","6.63","3","5","8","10"
"1997","16-34 y.","6.57","7","3066","6.5","6.64","4","5","8","9"
"1997","35-65 y.","6.4","7","4668","6.34","6.46","4","5","8","9"
"1997","66 and older","6.48","7","1204","6.35","6.61","3","5","8","10"
"1998","16-34 y.","6.49","7","3228","6.42","6.56","4","5","8","9"
"1998","35-65 y.","6.58","7","5325","6.53","6.63","4","5","8","9"
"1998","66 and older","6.5","7","1394","6.38","6.62","3","5","8","10"
"1999","16-34 y.","6.47","7","3109","6.4","6.54","4","5","8","9"
"1999","35-65 y.","6.5","7","5253","6.45","6.55","4","5","8","9"
"1999","66 and older","6.57","7","1384","6.46","6.68","4","5","8","10"
"2000","16-34 y.","6.57","7","4816","6.51","6.63","4","5","8","9"
"2000","35-65 y.","6.61","7","9816","6.57","6.65","4","5","8","9"
"2000","66 and older","6.61","7","2754","6.53","6.69","4","5","8","10"
"2001","16-34 y.","6.54","7","4328","6.48","6.6","4","5","8","9"
"2001","35-65 y.","6.63","7","9125","6.59","6.67","4","5","8","9"
"2001","66 and older","6.72","7","2621","6.64","6.8","4","5","8","10"
"2002","16-34 y.","6.48","7","4086","6.42","6.54","4","5","8","9"
"2002","35-65 y.","6.54","7","9788","6.5","6.58","4","5","8","9"
"2002","66 and older","6.54","7","2761","6.46","6.62","4","5","8","9"
"2003","16-34 y.","6.52","7","4075","6.46","6.58","4","5","8","9"
"2003","35-65 y.","6.51","7","9581","6.47","6.55","4","5","8","9"
"2003","66 and older","6.68","7","2845","6.6","6.76","4","5","8","10"
"2004","16-34 y.","6.57","7","3922","6.51","6.63","4","5","8","9"
"2004","35-65 y.","6.52","7","9345","6.48","6.56","4","5","8","9"
"2004","66 and older","6.52","7","2962","6.44","6.6","4","5","8","9"
"2005","16-34 y.","6.57","7","3840","6.5","6.64","4","5","8","9"
"2005","35-65 y.","6.51","7","8871","6.47","6.55","4","5","8","9"
"2005","66 and older","6.51","7","2953","6.43","6.59","4","5","8","9"
"2006","16-34 y.","6.61","7","3749","6.55","6.67","4","5","8","9"
"2006","35-65 y.","6.51","7","9624","6.47","6.55","4","5","8","9"
"2006","66 and older","6.52","7","3449","6.45","6.59","4","5","8","9"
"2007","16-34 y.","6.72","7","3482","6.65","6.79","4","5","8","9"
"2007","35-65 y.","6.52","7","8953","6.48","6.56","4","5","8","9"
"2007","66 and older","6.61","7","3418","6.54","6.68","4","5","8","9"
"2008","16-34 y.","6.65","7","3163","6.58","6.72","4","5","8","9"
"2008","35-65 y.","6.58","7","8410","6.54","6.62","4","5","8","9"
"2008","66 and older","6.72","7","3335","6.65","6.79","4","5","8","9"
"2009","16-34 y.","6.69","7","2950","6.62","6.76","4","5","8","9"
"2009","35-65 y.","6.61","7","7953","6.57","6.65","4","5","8","9"
"2009","66 and older","6.67","7","3204","6.6","6.74","4","5","8","9"
"2010","16-34 y.","6.83","7","5357","6.78","6.88","5","5","8","9"
"2010","35-65 y.","6.64","7","11095","6.6","6.68","4","5","8","9"
"2010","66 and older","6.72","7","3198","6.65","6.79","4","5","8","9"
"2011","16-34 y.","6.96","7","5186","6.91","7.01","5","6","8","9"
"2011","35-65 y.","6.71","7","12714","6.68","6.74","4","5","8","9"
"2011","66 and older","6.67","7","3602","6.6","6.74","4","5","8","9"
"2012","16-34 y.","6.98","7","4980","6.93","7.03","5","6","8","9"
"2012","35-65 y.","6.79","7","13197","6.76","6.82","4","5","8","9"
