"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","Female","7.2","8","5613","4","5","9","10","7.14","7.26","8","8"
"1984","Male","6.39","6","2224","3","5","8","10","6.28","6.5","6","7"
"1985","Female","7.14","7","4914","4","5","9","10","7.08","7.2","7","8"
"1985","Male","6.4","6","1519","3","5","8","10","6.28","6.52","6","7"
"1986","Female","7.06","7","4711","4","5","9","10","7","7.12","7","7"
"1986","Male","6.42","7","1676","3","5","8","10","6.31","6.53","6","7"
"1987","Female","7.14","7","4670","5","6","9","10","7.08","7.2","7","7"
"1987","Male","6.5","7","1691","4","5","8","10","6.39","6.61","6","7"
"1988","Female","6.95","7","4476","4","5","8","10","6.89","7.01","7","7"
"1988","Male","6.39","7","1637","3","5","8","10","6.28","6.5","6","7"
"1989","Female","6.85","7","4366","4","5","8","10","6.79","6.91","7","7"
"1989","Male","6.38","6","1698","3","5","8","10","6.27","6.49","6","7"
"1990","Female","6.83","7","4331","4","5","8","10","6.77","6.89","7","7"
"1990","Male","6.4","7","2060","4","5","8","9","6.3","6.5","6","7"
"1991","Female","","","","","","","","","","",""
"1991","Male","","","","","","","","","","",""
"1992","Female","","","","","","","","","","",""
"1992","Male","","","","","","","","","","",""
"1993","Female","6.57","7","5734","4","5","8","9","6.52","6.62","7","7"
"1993","Male","6.32","6","2888","4","5","8","9","6.24","6.4","6","7"
"1994","Female","6.57","7","5771","4","5","8","9","6.52","6.62","7","7"
"1994","Male","6.28","6","2863","3","5","8","9","6.2","6.36","6","7"
"1995","Female","6.57","7","5961","4","5","8","9","6.52","6.62","7","7"
"1995","Male","6.32","6","3170","3","5","8","9","6.24","6.4","6","7"
"1996","Female","6.56","7","5871","4","5","8","9","6.51","6.61","7","7"
"1996","Male","6.35","6","3135","4","5","8","9","6.28","6.42","6","7"
"1997","Female","6.53","7","5736","4","5","8","9","6.48","6.58","7","7"
"1997","Male","6.35","6","3202","4","5","8","9","6.28","6.42","6","7"
"1998","Female","6.59","7","6417","4","5","8","9","6.54","6.64","7","7"
"1998","Male","6.45","7","3530","4","5","8","9","6.38","6.52","7","7"
"1999","Female","6.57","7","6187","4","5","8","9","6.52","6.62","7","7"
"1999","Male","6.39","7","3559","4","5","8","9","6.32","6.46","7","7"
"2000","Female","6.72","7","11004","4","5","8","9","6.68","6.76","7","7"
"2000","Male","6.4","7","6384","3","5","8","9","6.35","6.45","7","7"
"2001","Female","6.73","7","10102","4","5","8","9","6.69","6.77","7","7"
"2001","Male","6.47","7","5972","4","5","8","9","6.41","6.53","7","7"
"2002","Female","6.62","7","10433","4","5","8","9","6.58","6.66","7","7"
"2002","Male","6.38","7","6202","4","5","8","9","6.33","6.43","7","7"
"2003","Female","6.63","7","10106","4","5","8","9","6.59","6.67","7","7"
"2003","Male","6.43","7","6395","4","5","8","9","6.38","6.48","7","7"
"2004","Female","6.6","7","9935","4","5","8","9","6.56","6.64","7","7"
"2004","Male","6.43","7","6294","4","5","8","9","6.38","6.48","7","7"
"2005","Female","6.59","7","9519","4","5","8","9","6.55","6.63","7","7"
"2005","Male","6.42","7","6145","4","5","8","9","6.37","6.47","7","7"
"2006","Female","6.6","7","10182","4","5","8","9","6.56","6.64","7","7"
"2006","Male","6.45","7","6640","4","5","8","9","6.4","6.5","7","7"
"2007","Female","6.61","7","9553","4","5","8","9","6.57","6.65","7","7"
"2007","Male","6.56","7","6300","4","5","8","9","6.51","6.61","7","7"
"2008","Female","6.66","7","8888","4","5","8","9","6.62","6.7","7","7"
"2008","Male","6.59","7","6020","4","5","8","9","6.54","6.64","7","7"
"2009","Female","6.68","7","8350","4","5","8","9","6.64","6.72","7","7"
"2009","Male","6.59","7","5757","4","5","8","9","6.54","6.64","7","7"
"2010","Female","6.7","7","11888","4","5","8","9","6.66","6.74","7","7"
"2010","Male","6.71","7","7762","4","5","8","9","6.66","6.76","7","7"
"2011","Female","6.72","7","13021","4","5","8","9","6.69","6.75","7","7"
"2011","Male","6.81","7","8481","4","5","8","9","6.77","6.85","7","7"
"2012","Female","6.76","7","13216","4","5","8","9","6.73","6.79","7","7"
"2012","Male","6.93","7","8954","5","6","8","9","6.89","6.97","7","7"
"2013","Female","6.76","7","12778","4","5","8","9","6.73","6.79","7","7"
"2013","Male","6.94","7","8717","5","6","8","9","6.9","6.98","7","7"
"2014","Female","6.78","7","13363","4","5","8","9","6.75","6.81","7","7"
"2014","Male","6.91","7","9274","5","5","8","9","6.87","6.95","7","7"
"2015","Female","6.8","7","12392","4","5","8","9","6.77","6.83","7","7"
"2015","Male","6.98","7","8652","5","6","8","9","6.94","7.02","7","7"
"2016","Female","6.79","7","12066","4","5","8","9","6.76","6.82","7","7"
"2016","Male","6.97","7","8574","5","6","8","9","6.93","7.01","7","7"
"2017","Female","6.75","7","13295","4","5","8","9","6.72","6.78","7","7"
"2017","Male","7.02","7","9909","5","6","8","9","6.98","7.06","7","7"
"2018","Female","6.74","7","12892","4","5","8","9","6.71","6.77","7","7"
"2018","Male","6.96","7","9698","5","6","8","9","6.92","7","7","7"
"2019","Female","6.79","7","12517","4","5","8","9","6.76","6.82","7","7"
"2019","Male","7.07","7","10192","5","6","8","9","7.03","7.11","7","8"
