"hgowner","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"1","1984","Not Employed","Male","583","0.491745888604876","0.464786657528815","0.518705119680937"
"1","1984","Not Employed","Female","1370","0.464534953144605","0.447625886712587","0.481444019576623"
"1","1984","Employed","Male","1740","0.484637290029623","0.47031597521437","0.498958604844876"
"1","1984","Employed","Female","990","0.426161440730348","0.408132047568445","0.44419083389225"
"2","1984","Not Employed","Male","717","0.491029951897269","0.464071385901215","0.517988517893322"
"2","1984","Not Employed","Female","1929","0.522126549248689","0.50519139298828","0.539061705509098"
"2","1984","Employed","Male","2850","0.501609955967351","0.48728195060886","0.515937961325843"
"2","1984","Employed","Female","1867","0.564577574042011","0.546500989450556","0.582654158633466"
"3","1984","Not Employed","Male","17","","",""
"3","1984","Not Employed","Female","30","0.0102781701712758","0.00685869586467638","0.0136976444778753"
"3","1984","Employed","Male","75","0.0119855722273706","0.00886719240072795","0.0151039520540133"
"3","1984","Employed","Female","31","0.0087665904758834","0.00536797136595279","0.012165209585814"
"4","1984","Not Employed","Male","4","","",""
"4","1984","Not Employed","Female","13","","",""
"4","1984","Employed","Male","13","","",""
"4","1984","Employed","Female","2","","",""
"5","1984","Not Employed","Male","","","",""
"5","1984","Not Employed","Female","","","",""
"5","1984","Employed","Male","","","",""
"5","1984","Employed","Female","","","",""
"1","1985","Not Employed","Male","554","0.491332451980625","0.463484548229497","0.519180355731753"
"1","1985","Not Employed","Female","1256","0.460562341855002","0.442711260853251","0.478413422856752"
"1","1985","Employed","Male","1661","0.491216534077718","0.476127922682422","0.506305145473014"
"1","1985","Employed","Female","955","0.425265880995822","0.406396537675978","0.444135224315666"
"2","1985","Not Employed","Male","668","0.494358437458846","0.466508121505557","0.522208753412135"
"2","1985","Not Employed","Female","1700","0.526749045729642","0.508867819180298","0.544630272278987"
"2","1985","Employed","Male","2485","0.494439249254057","0.479349242480375","0.509529256027739"
"2","1985","Employed","Female","1652","0.563523661495469","0.544594583664978","0.58245273932596"
"3","1985","Not Employed","Male","16","","",""
"3","1985","Not Employed","Female","39","0.0126886124153561","0.0086800946140473","0.0166971302166649"
