"hgowner","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1","1984","Schleswig-Holstein","1-pers.-HH","16","","",""
"1","1984","Schleswig-Holstein","(Married) couple without C. ","52","0.607953070484036","0.505950571571128","0.709955569396945"
"1","1984","Schleswig-Holstein","Single parent ","8","","",""
"1","1984","Schleswig-Holstein","Couple + C. LE 16 ","50","0.545929063830128","0.447853581209817","0.644004546450439"
"1","1984","Schleswig-Holstein","Couple + C. GT 16 ","45","0.665920274134932","0.55298051202284","0.778860036247025"
"1","1984","Schleswig-Holstein","Couple + C. LE and GT 16","33","0.932538809762233","0.850606103909676","1.01447151561479"
"1","1984","Hamburg","1-pers.-HH","3","","",""
"1","1984","Hamburg","(Married) couple without C. ","14","","",""
"1","1984","Hamburg","Single parent ","","","",""
"1","1984","Hamburg","Couple + C. LE 16 ","8","","",""
"1","1984","Hamburg","Couple + C. GT 16 ","19","","",""
"1","1984","Hamburg","Couple + C. LE and GT 16","6","","",""
"1","1984","Lower Saxony","1-pers.-HH","22","","",""
"1","1984","Lower Saxony","(Married) couple without C. ","127","0.49167569811709","0.433222976243995","0.550128419990186"
"1","1984","Lower Saxony","Single parent ","28","","",""
"1","1984","Lower Saxony","Couple + C. LE 16 ","124","0.499285607278512","0.441338116438879","0.557233098118145"
"1","1984","Lower Saxony","Couple + C. GT 16 ","149","0.733919502943614","0.675657864993185","0.792181140894043"
"1","1984","Lower Saxony","Couple + C. LE and GT 16","72","0.686002392551189","0.61097576794452","0.761029017157858"
"1","1984","Bremen","1-pers.-HH","3","","",""
"1","1984","Bremen","(Married) couple without C. ","12","","",""
"1","1984","Bremen","Single parent ","2","","",""
"1","1984","Bremen","Couple + C. LE 16 ","4","","",""
"1","1984","Bremen","Couple + C. GT 16 ","7","","",""
"1","1984","Bremen","Couple + C. LE and GT 16","6","","",""
"1","1984","North Rhine-Westphalia","1-pers.-HH","54","0.172691852550952","0.134587747486689","0.210795957615215"
"1","1984","North Rhine-Westphalia","(Married) couple without C. ","202","0.324251505401747","0.289916862955945","0.358586147847548"
"1","1984","North Rhine-Westphalia","Single parent ","37","0.304466802490723","0.230577109561994","0.378356495419451"
"1","1984","North Rhine-Westphalia","Couple + C. LE 16 ","239","0.363963357419714","0.331788146050668","0.396138568788759"
"1","1984","North Rhine-Westphalia","Couple + C. GT 16 ","215","0.540689606739713","0.497439204575548","0.583940008903877"
"1","1984","North Rhine-Westphalia","Couple + C. LE and GT 16","214","0.649149489032526","0.606979940050729","0.691319038014323"
"1","1984","Hesse","1-pers.-HH","20","","",""
"1","1984","Hesse","(Married) couple without C. ","106","0.455240001188579","0.397525109165517","0.512954893211642"
"1","1984","Hesse","Single parent ","9","","",""
"1","1984","Hesse","Couple + C. LE 16 ","65","0.363231817468622","0.308351109862755","0.418112525074489"
"1","1984","Hesse","Couple + C. GT 16 ","112","0.621662469162781","0.55898647807687","0.684338460248693"
"1","1984","Hesse","Couple + C. LE and GT 16","51","0.529730368569732","0.453803594253521","0.605657142885943"
"1","1984","Rhineland-Palatinate,Saarland","1-pers.-HH","29","","",""
"1","1984","Rhineland-Palatinate,Saarland","(Married) couple without C. ","116","0.60674016591994","0.539709400882214","0.673770930957666"
"1","1984","Rhineland-Palatinate,Saarland","Single parent ","19","","",""
"1","1984","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","64","0.45106259755046","0.376481313616963","0.525643881483957"
"1","1984","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","112","0.786561468329491","0.722057714700388","0.851065221958594"
"1","1984","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","77","0.831597782411219","0.76436127056002","0.898834294262418"
"1","1984","Baden-Württemberg","1-pers.-HH","52","0.293967857540867","0.233903876441774","0.354031838639959"
