"hgowner","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"1","1984","in school","102","0.600848859820168","0.530658317891961","0.671039401748374"
"1","1984","inadequately","56","0.151943864403309","0.129903697288547","0.173984031518072"
"1","1984","general elemantary","1355","0.489761133039985","0.473123655819649","0.50639861026032"
"1","1984","middle vocational","2355","0.455235459305222","0.442335664487875","0.468135254122569"
"1","1984","vocational + Abi","89","0.384599069687181","0.330616446693754","0.438581692680609"
"1","1984","higher vocational","347","0.532844648096751","0.494781290803799","0.570908005389702"
"1","1984","higher education","370","0.497726104126846","0.462926283090555","0.532525925163136"
"2","1984","in school","84","0.393044913040996","0.323040300620445","0.463049525461547"
"2","1984","inadequately","933","0.810129955876216","0.786049396544664","0.834210515207768"
"2","1984","general elemantary","2059","0.496407092531253","0.479766555495156","0.51304762956735"
"2","1984","middle vocational","3295","0.533012435365833","0.520088889925682","0.545935980805984"
"2","1984","vocational + Abi","215","0.594118556390364","0.539629793131692","0.648607319649036"
"2","1984","higher vocational","305","0.454497079634222","0.416509623488148","0.492484535780295"
"2","1984","higher education","414","0.491070491279831","0.456275860471678","0.525865122087985"
"3","1984","in school","","","",""
"3","1984","inadequately","24","","",""
"3","1984","general elemantary","46","0.0116615081580244","0.00808846088870163","0.0152345554273472"
"3","1984","middle vocational","62","0.00995523523941584","0.0073835753882837","0.012526895090548"
"3","1984","vocational + Abi","6","","",""
"3","1984","higher vocational","7","","",""
"3","1984","higher education","8","","",""
"4","1984","in school","1","","",""
"4","1984","inadequately","6","","",""
"4","1984","general elemantary","8","","",""
"4","1984","middle vocational","13","","",""
"4","1984","vocational + Abi","2","","",""
"4","1984","higher vocational","1","","",""
"4","1984","higher education","1","","",""
"5","1984","in school","","","",""
"5","1984","inadequately","","","",""
"5","1984","general elemantary","","","",""
"5","1984","middle vocational","","","",""
"5","1984","vocational + Abi","","","",""
"5","1984","higher vocational","","","",""
"5","1984","higher education","","","",""
"1","1985","in school","102","0.634937778685792","0.565933452739845","0.70394210463174"
"1","1985","inadequately","67","0.196830820723488","0.170085715255575","0.223575926191402"
"1","1985","general elemantary","1229","0.485802861555413","0.46814906535855","0.503456657752276"
"1","1985","middle vocational","2224","0.45815418450772","0.444609351841832","0.471699017173609"
"1","1985","vocational + Abi","85","0.355062170667491","0.29901157878271","0.411112762552271"
"1","1985","higher vocational","325","0.512519673981952","0.473206681076893","0.55183266688701"
"1","1985","higher education","365","0.500790053359701","0.465195548962738","0.536384557756664"
"2","1985","in school","85","0.365062221314208","0.29605789536826","0.434066547260155"
"2","1985","inadequately","761","0.771017891867078","0.742754306798233","0.799281476935924"
"2","1985","general elemantary","1812","0.502514598079271","0.484853904371025","0.520175291787517"
"2","1985","middle vocational","2899","0.527562698338118","0.513990847306546","0.54113454936969"
"2","1985","vocational + Abi","187","0.622938014549922","0.566170763046969","0.679705266052876"
"2","1985","higher vocational","289","0.476458101541152","0.437176392848359","0.515739810233944"
"2","1985","higher education","387","0.491961655023642","0.456371706371623","0.52755160367566"
"3","1985","in school","","","",""
"3","1985","inadequately","21","","",""
"3","1985","general elemantary","38","0.0116825403653163","0.00788711788544421","0.0154779628451884"
"3","1985","middle vocational","75","0.0142831171541618","0.0110574648682764","0.0175087694400472"
"3","1985","vocational + Abi","8","","",""
"3","1985","higher vocational","7","","",""
"3","1985","higher education","6","","",""
"4","1985","in school","","","",""
"4","1985","inadequately","","","",""
"4","1985","general elemantary","","","",""
"4","1985","middle vocational","","","",""
"4","1985","vocational + Abi","","","",""
"4","1985","higher vocational","","","",""
"4","1985","higher education","","","",""
"5","1985","in school","","","",""
"5","1985","inadequately","","","",""
"5","1985","general elemantary","","","",""
"5","1985","middle vocational","","","",""
"5","1985","vocational + Abi","","","",""
"5","1985","higher vocational","","","",""
"5","1985","higher education","","","",""
"1","1986","in school","107","0.648101871207332","0.579836684430729","0.716367057983935"
"1","1986","inadequately","68","0.17677647059416","0.150158146638599","0.203394794549721"
"1","1986","general elemantary","1173","0.477564223576711","0.459447109771798","0.495681337381625"
"1","1986","middle vocational","2217","0.460109947090788","0.446311632762858","0.473908261418717"
"1","1986","vocational + Abi","88","0.375705698966362","0.318775294451364","0.43263610348136"
"1","1986","higher vocational","316","0.527340086328706","0.486814100122551","0.567866072534861"
"1","1986","higher education","374","0.508902033066329","0.473147650429422","0.544656415703236"
"2","1986","in school","79","0.342945390225854","0.27509030747554","0.410800472976169"
"2","1986","inadequately","697","0.773316536887208","0.744102057088402","0.802531016686015"
"2","1986","general elemantary","1693","0.50480877719311","0.486674235547994","0.522943318838225"
"2","1986","middle vocational","2696","0.521984106496491","0.508155055821844","0.535813157171137"
"2","1986","vocational + Abi","184","0.601420478495187","0.543866905582361","0.658974051408013"
"2","1986","higher vocational","259","0.456694674418543","0.416260482480831","0.497128866356255"
"2","1986","higher education","374","0.486988368943607","0.451240428747487","0.522736309139728"
"3","1986","in school","2","","",""
"3","1986","inadequately","24","","",""
"3","1986","general elemantary","54","0.017626999230179","0.0128540801981429","0.0223999182622152"
"3","1986","middle vocational","98","0.0176196254284704","0.0139772833208254","0.0212619675361154"
"3","1986","vocational + Abi","6","","",""
"3","1986","higher vocational","8","","",""
"3","1986","higher education","3","","",""
"4","1986","in school","","","",""
"4","1986","inadequately","","","",""
"4","1986","general elemantary","","","",""
"4","1986","middle vocational","1","","",""
"4","1986","vocational + Abi","","","",""
"4","1986","higher vocational","","","",""
"4","1986","higher education","","","",""
"5","1986","in school","","","",""
"5","1986","inadequately","","","",""
"5","1986","general elemantary","","","",""
"5","1986","middle vocational","","","",""
"5","1986","vocational + Abi","","","",""
"5","1986","higher vocational","","","",""
"5","1986","higher education","","","",""
"1","1987","in school","98","0.581915479394977","0.511964563300159","0.651866395489795"
"1","1987","inadequately","68","0.156852434766728","0.130997781240467","0.182707088292988"
"1","1987","general elemantary","1143","0.477211932149713","0.458890327179119","0.495533537120306"
"1","1987","middle vocational","2227","0.460687103141096","0.446852973630706","0.474521232651487"
"1","1987","vocational + Abi","91","0.372738221769043","0.315898483428242","0.429577960109844"
"1","1987","higher vocational","306","0.530616484317542","0.48961059421103","0.571622374424053"
"1","1987","higher education","370","0.507124159618269","0.471199923760979","0.543048395475558"
"2","1987","in school","92","0.412684710609816","0.342865288414368","0.482504132805265"
"2","1987","inadequately","661","0.786764114999176","0.757643957944601","0.81588427205375"
"2","1987","general elemantary","1661","0.503132532429909","0.484792229038248","0.52147283582157"
"2","1987","middle vocational","2662","0.517820159730847","0.503951885893872","0.531688433567821"
"2","1987","vocational + Abi","179","0.600798066296982","0.54322938593362","0.658366746660345"
"2","1987","higher vocational","255","0.451816566764512","0.410924789490328","0.492708344038697"
"2","1987","higher education","360","0.471382014337585","0.43551302871798","0.507250999957191"
"3","1987","in school","1","","",""
"3","1987","inadequately","31","0.0563834502340968","0.0399845435941929","0.0727823568740007"
"3","1987","general elemantary","51","0.0196555354203787","0.014563671079638","0.0247473997611193"
"3","1987","middle vocational","96","0.020805801210702","0.0168443433078171","0.0247672591135869"
"3","1987","vocational + Abi","6","","",""
"3","1987","higher vocational","7","","",""
"3","1987","higher education","14","","",""
"4","1987","in school","","","",""
"4","1987","inadequately","","","",""
"4","1987","general elemantary","","","",""
"4","1987","middle vocational","2","","",""
"4","1987","vocational + Abi","2","","",""
"4","1987","higher vocational","1","","",""
"4","1987","higher education","","","",""
"5","1987","in school","","","",""
"5","1987","inadequately","","","",""
"5","1987","general elemantary","","","",""
"5","1987","middle vocational","","","",""
"5","1987","vocational + Abi","","","",""
"5","1987","higher vocational","","","",""
"5","1987","higher education","","","",""
"1","1988","in school","88","0.5935620326719","0.51815975220352","0.668964313140281"
"1","1988","inadequately","61","0.165619690819374","0.138120650171286","0.193118731467462"
"1","1988","general elemantary","1040","0.457125024665124","0.4384655772277","0.475784472102548"
"1","1988","middle vocational","2149","0.469563774356316","0.455381515895558","0.483746032817074"
"1","1988","vocational + Abi","92","0.401883656895324","0.343511404321324","0.460255909469324"
"1","1988","higher vocational","293","0.535004417465955","0.4929750788402","0.577033756091711"
"1","1988","higher education","344","0.50136650267803","0.464379604021509","0.538353401334551"
"2","1988","in school","74","0.403220588429643","0.327914072681898","0.478527104177387"
"2","1988","inadequately","625","0.808870099321537","0.779784150018289","0.837956048624785"
"2","1988","general elemantary","1636","0.512080272187124","0.493357309117347","0.5308032352569"
"2","1988","middle vocational","2518","0.50757837725304","0.493371401826074","0.521785352680006"
"2","1988","vocational + Abi","172","0.575476365999767","0.5166288509792","0.634323881020335"
