"hgowner","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"1","1984","Full Time","in school","","","",""
"1","1984","Full Time","inadequately","22","","",""
"1","1984","Full Time","general elemantary","334","0.445765077600518","0.417161585300811","0.474368569900226"
"1","1984","Full Time","middle vocational","1168","0.462694433919336","0.444717022573748","0.480671845264924"
"1","1984","Full Time","vocational + Abi","53","0.423665064392987","0.351477791022521","0.495852337763453"
"1","1984","Full Time","higher vocational","202","0.563413422065083","0.512602586971695","0.614224257158472"
"1","1984","Full Time","higher education","231","0.52260807962235","0.477354727323641","0.567861431921059"
"1","1984","Part Time","in school","4","","",""
"1","1984","Part Time","inadequately","9","","",""
"1","1984","Part Time","general elemantary","208","0.478814341724907","0.437027290822776","0.520601392627038"
"1","1984","Part Time","middle vocational","357","0.452024522535365","0.419141758585886","0.484907286484844"
"1","1984","Part Time","vocational + Abi","15","","",""
"1","1984","Part Time","higher vocational","54","0.518175557381483","0.423939070195722","0.612412044567243"
"1","1984","Part Time","higher education","68","0.452880174801141","0.376928212353282","0.528832137248999"
"1","1984","Not Working","in school","98","0.61177161748309","0.540177656063269","0.683365578902912"
"1","1984","Not Working","inadequately","25","","",""
"1","1984","Not Working","general elemantary","813","0.510052912764673","0.486691592818288","0.533414232711059"
"1","1984","Not Working","middle vocational","830","0.447223061451464","0.424807261496126","0.469638861406802"
"1","1984","Not Working","vocational + Abi","21","","",""
"1","1984","Not Working","higher vocational","91","0.489241009324069","0.417401880735426","0.561080137912712"
"1","1984","Not Working","higher education","71","0.474543315261658","0.397169414806971","0.551917215716344"
"2","1984","Full Time","in school","1","","",""
"2","1984","Full Time","inadequately","473","0.869877993071507","0.840877367385081","0.898878618757932"
"2","1984","Full Time","general elemantary","803","0.536124403916657","0.50742633677598","0.564822471057335"
"2","1984","Full Time","middle vocational","1752","0.528452050814862","0.510453602202274","0.54645049942745"
"2","1984","Full Time","vocational + Abi","125","0.568193635430142","0.49583263868588","0.640554632174403"
"2","1984","Full Time","higher vocational","159","0.424778939882374","0.374137455651641","0.475420424113107"
"2","1984","Full Time","higher education","233","0.468887407138569","0.42367550817116","0.514099306105978"
"2","1984","Part Time","in school","4","","",""
"2","1984","Part Time","inadequately","111","0.796603102115749","0.725176278903731","0.868029925327766"
"2","1984","Part Time","general elemantary","335","0.514548349713279","0.472741445968311","0.556355253458246"
"2","1984","Part Time","middle vocational","507","0.532728835534272","0.499764498329203","0.565693172739342"
"2","1984","Part Time","vocational + Abi","35","0.603956024356288","0.469729802033603","0.738182246678972"
"2","1984","Part Time","higher vocational","52","0.458685392259682","0.364709049129545","0.552661735389819"
"2","1984","Part Time","higher education","94","0.533069939469846","0.456945495677918","0.609194383261774"
"2","1984","Not Working","in school","79","0.381752155662287","0.310383068122888","0.453121243201686"
"2","1984","Not Working","inadequately","349","0.759708914957167","0.716750452068346","0.802667377845987"
"2","1984","Not Working","general elemantary","921","0.476049833125608","0.452710611316906","0.49938905493431"
"2","1984","Not Working","middle vocational","1036","0.538784239817109","0.516310430056807","0.561258049577411"
"2","1984","Not Working","vocational + Abi","55","0.632709715484417","0.527728268725408","0.737691162243426"
"2","1984","Not Working","higher vocational","94","0.501810430841091","0.429955135910511","0.57366572577167"
"2","1984","Not Working","higher education","87","0.509972427929273","0.432513459972417","0.587431395886129"
"3","1984","Full Time","in school","","","",""
"3","1984","Full Time","inadequately","20","","",""
"3","1984","Full Time","general elemantary","21","","",""
"3","1984","Full Time","middle vocational","29","","",""
"3","1984","Full Time","vocational + Abi","2","","",""
"3","1984","Full Time","higher vocational","4","","",""
"3","1984","Full Time","higher education","3","","",""
"3","1984","Part Time","in school","","","",""
"3","1984","Part Time","inadequately","2","","",""
"3","1984","Part Time","general elemantary","5","","",""
"3","1984","Part Time","middle vocational","15","","",""
"3","1984","Part Time","vocational + Abi","","","",""
"3","1984","Part Time","higher vocational","2","","",""
"3","1984","Part Time","higher education","3","","",""
"3","1984","Not Working","in school","","","",""
"3","1984","Not Working","inadequately","2","","",""
"3","1984","Not Working","general elemantary","20","","",""
"3","1984","Not Working","middle vocational","18","","",""
"3","1984","Not Working","vocational + Abi","4","","",""
"3","1984","Not Working","higher vocational","1","","",""
"3","1984","Not Working","higher education","2","","",""
"4","1984","Full Time","in school","","","",""
"4","1984","Full Time","inadequately","2","","",""
"4","1984","Full Time","general elemantary","2","","",""
"4","1984","Full Time","middle vocational","6","","",""
"4","1984","Full Time","vocational + Abi","","","",""
"4","1984","Full Time","higher vocational","1","","",""
"4","1984","Full Time","higher education","1","","",""
"4","1984","Part Time","in school","","","",""
"4","1984","Part Time","inadequately","","","",""
"4","1984","Part Time","general elemantary","1","","",""
"4","1984","Part Time","middle vocational","1","","",""
"4","1984","Part Time","vocational + Abi","1","","",""
"4","1984","Part Time","higher vocational","","","",""
"4","1984","Part Time","higher education","","","",""
"4","1984","Not Working","in school","1","","",""
"4","1984","Not Working","inadequately","4","","",""
"4","1984","Not Working","general elemantary","5","","",""
"4","1984","Not Working","middle vocational","6","","",""
"4","1984","Not Working","vocational + Abi","1","","",""
"4","1984","Not Working","higher vocational","","","",""
"4","1984","Not Working","higher education","","","",""
"5","1984","Full Time","in school","","","",""
"5","1984","Full Time","inadequately","","","",""
"5","1984","Full Time","general elemantary","","","",""
"5","1984","Full Time","middle vocational","","","",""
"5","1984","Full Time","vocational + Abi","","","",""
"5","1984","Full Time","higher vocational","","","",""
"5","1984","Full Time","higher education","","","",""
"5","1984","Part Time","in school","","","",""
"5","1984","Part Time","inadequately","","","",""
"5","1984","Part Time","general elemantary","","","",""
"5","1984","Part Time","middle vocational","","","",""
"5","1984","Part Time","vocational + Abi","","","",""
"5","1984","Part Time","higher vocational","","","",""
"5","1984","Part Time","higher education","","","",""
"5","1984","Not Working","in school","","","",""
"5","1984","Not Working","inadequately","","","",""
"5","1984","Not Working","general elemantary","","","",""
"5","1984","Not Working","middle vocational","","","",""
"5","1984","Not Working","vocational + Abi","","","",""
"5","1984","Not Working","higher vocational","","","",""
"5","1984","Not Working","higher education","","","",""
"1","1985","Full Time","in school","","","",""
"1","1985","Full Time","inadequately","30","0.12986020864421","0.0971624761063013","0.162557941182118"
"1","1985","Full Time","general elemantary","308","0.459329099702593","0.428472880708334","0.490185318696851"
"1","1985","Full Time","middle vocational","1068","0.469015197378803","0.449728977571235","0.488301417186372"
"1","1985","Full Time","vocational + Abi","46","0.384313006990439","0.306727223809348","0.46189879017153"
"1","1985","Full Time","higher vocational","186","0.529726408490443","0.477211276483619","0.582241540497267"
"1","1985","Full Time","higher education","228","0.50497288887316","0.459431515963161","0.550514261783159"
"1","1985","Part Time","in school","3","","",""
"1","1985","Part Time","inadequately","5","","",""
"1","1985","Part Time","general elemantary","208","0.480529757459936","0.438350960431265","0.522708554488606"
