"hgowner","year","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1984","7363","0.520400055305612","0.511546344400277","0.529253766210946","2"
"Owner","1984","4683","0.466514912625295","0.457673716688546","0.475356108562044","1"
"Resident or shared accommodation","1984","","","","","5"
"Subtenant","1984","153","0.0109867717886711","0.00913940466731186","0.0128341389100304","3"
"Tenant","1984","32","0.00209826028042172","0.00128731663011612","0.00290920393072731","4"
"Main tenant","1985","6505","0.519710356370601","0.510410561614037","0.529010151127165","2"
"Owner","1985","4426","0.467155216416411","0.457868289500492","0.476442143332331","1"
"Resident or shared accommodation","1985","","","","","5"
"Subtenant","1985","156","0.0131344272129877","0.0110152092051957","0.0152536452207797","3"
"Tenant","1985","","","","","4"
"Main tenant","1986","6062","0.515604573677631","0.506106451726809","0.525102695628453","2"
"Owner","1986","4374","0.466995814603945","0.457513788475933","0.476477840731958","1"
"Resident or shared accommodation","1986","","","","","5"
"Subtenant","1986","198","0.0172511268144004","0.014776502048388","0.0197257515804129","3"
"Tenant","1986","1","","","","4"
"Main tenant","1987","5961","0.513301633135801","0.503745012938675","0.522858253332928","2"
"Owner","1987","4335","0.465229624100074","0.455692764037905","0.474766484162243","1"
"Resident or shared accommodation","1987","","","","","5"
"Subtenant","1987","207","0.0207931323161098","0.0180648755374552","0.0235213890947644","3"
"Tenant","1987","5","","","","4"
"Main tenant","1988","5720","0.510524569631372","0.500736703910672","0.520312435352072","2"
"Owner","1988","4102","0.465380465445015","0.455613925811719","0.475147005078311","1"
"Resident or shared accommodation","1988","","","","","5"
"Subtenant","1988","195","0.023672339660647","0.0206956564438886","0.0266490228774055","3"
"Tenant","1988","3","","","","4"
"Main tenant","1989","5501","0.504624948304572","0.494677215276618","0.514572681332525","2"
"Owner","1989","4009","0.471007292450967","0.461075872299056","0.480938712602879","1"
"Resident or shared accommodation","1989","","","","","5"
"Subtenant","1989","180","0.0222825369059062","0.0193458225891691","0.0252192512226433","3"
"Tenant","1989","14","","","","4"
"Main tenant","1990","8177","0.538945082629396","0.53067428646369","0.547215878795103","2"
"Owner","1990","5406","0.432601658629208","0.424381374048666","0.44082194320975","1"
"Resident or shared accommodation","1990","","","","","5"
