"hgowner","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"1","1984","Schleswig-Holstein","West Germany","218","0.579501631572232","0.530320094509459","0.628683168635005"
"1","1984","Schleswig-Holstein","East Germany","","","",""
"1","1984","Hamburg","West Germany","50","0.179907263674682","0.137217502199628","0.222597025149737"
"1","1984","Hamburg","East Germany","","","",""
"1","1984","Lower Saxony","West Germany","612","0.550641559434545","0.522910286786858","0.578372832082232"
"1","1984","Lower Saxony","East Germany","","","",""
"1","1984","Bremen","West Germany","38","0.309379354190966","0.230524838573493","0.388233869808438"
"1","1984","Bremen","East Germany","","","",""
"1","1984","North Rhine-Westphalia","West Germany","1030","0.380669156378956","0.3640270070707","0.397311305687212"
"1","1984","North Rhine-Westphalia","East Germany","","","",""
"1","1984","Hesse","West Germany","392","0.437951622940728","0.410469780481753","0.465433465399703"
"1","1984","Hesse","East Germany","","","",""
"1","1984","Rhineland-Palatinate,Saarland","West Germany","474","0.622420632179466","0.589907016095337","0.654934248263595"
"1","1984","Rhineland-Palatinate,Saarland","East Germany","","","",""
"1","1984","Baden-Württemberg","West Germany","894","0.548195508137416","0.527722664431895","0.568668351842937"
"1","1984","Baden-Württemberg","East Germany","","","",""
"1","1984","Bavaria","West Germany","943","0.51984343974848","0.498515912522174","0.541170966974785"
"1","1984","Bavaria","East Germany","","","",""
"1","1984","Berlin","West Germany","32","0.0976454450846255","0.0689480958980028","0.126342794271248"
"1","1984","Berlin","East Germany","","","",""
"1","1984","Brandenburg","West Germany","","","",""
"1","1984","Brandenburg","East Germany","","","",""
"1","1984","Mecklenburg-Western Pomerania","West Germany","","","",""
"1","1984","Mecklenburg-Western Pomerania","East Germany","","","",""
"1","1984","Saxony","West Germany","","","",""
"1","1984","Saxony","East Germany","","","",""
"1","1984","Saxony-Anhalt","West Germany","","","",""
"1","1984","Saxony-Anhalt","East Germany","","","",""
"1","1984","Thuringia","West Germany","","","",""
"1","1984","Thuringia","East Germany","","","",""
"2","1984","Schleswig-Holstein","West Germany","169","0.420498368427767","0.371316831364994","0.46967990549054"
"2","1984","Schleswig-Holstein","East Germany","","","",""
"2","1984","Hamburg","West Germany","259","0.815809971678131","0.772728011144226","0.858891932212035"
"2","1984","Hamburg","East Germany","","","",""
"2","1984","Lower Saxony","West Germany","605","0.4330519044425","0.405428291351122","0.460675517533878"
"2","1984","Lower Saxony","East Germany","","","",""
"2","1984","Bremen","West Germany","94","0.690620645809034","0.611766130191562","0.769475161426507"
"2","1984","Bremen","East Germany","","","",""
"2","1984","North Rhine-Westphalia","West Germany","2192","0.605612702259147","0.588861994493995","0.622363410024298"
"2","1984","North Rhine-Westphalia","East Germany","","","",""
"2","1984","Hesse","West Germany","844","0.550423043546388","0.522868307717317","0.57797777937546"
"2","1984","Hesse","East Germany","","","",""
"2","1984","Rhineland-Palatinate,Saarland","West Germany","364","0.360557494703022","0.328353691045587","0.392761298360457"
"2","1984","Rhineland-Palatinate,Saarland","East Germany","","","",""
"2","1984","Baden-Württemberg","West Germany","1335","0.435007953372974","0.414613835351158","0.45540207139479"
"2","1984","Baden-Württemberg","East Germany","","","",""
"2","1984","Bavaria","West Germany","1123","0.466659478636033","0.445362640796246","0.48795631647582"
"2","1984","Bavaria","East Germany","","","",""
"2","1984","Berlin","West Germany","378","0.901486365103293","0.872675590611145","0.930297139595442"
"2","1984","Berlin","East Germany","","","",""
"2","1984","Brandenburg","West Germany","","","",""
"2","1984","Brandenburg","East Germany","","","",""
"2","1984","Mecklenburg-Western Pomerania","West Germany","","","",""
"2","1984","Mecklenburg-Western Pomerania","East Germany","","","",""
"2","1984","Saxony","West Germany","","","",""
"2","1984","Saxony","East Germany","","","",""
"2","1984","Saxony-Anhalt","West Germany","","","",""
"2","1984","Saxony-Anhalt","East Germany","","","",""
"2","1984","Thuringia","West Germany","","","",""
"2","1984","Thuringia","East Germany","","","",""
"3","1984","Schleswig-Holstein","West Germany","","","",""
"3","1984","Schleswig-Holstein","East Germany","","","",""
"3","1984","Hamburg","West Germany","2","","",""
"3","1984","Hamburg","East Germany","","","",""
"3","1984","Lower Saxony","West Germany","17","","",""
"3","1984","Lower Saxony","East Germany","","","",""
"3","1984","Bremen","West Germany","","","",""
"3","1984","Bremen","East Germany","","","",""
"3","1984","North Rhine-Westphalia","West Germany","37","0.0115008520544805","0.00784635704858587","0.0151553470603752"
"3","1984","North Rhine-Westphalia","East Germany","","","",""
"3","1984","Hesse","West Germany","12","","",""
"3","1984","Hesse","East Germany","","","",""
"3","1984","Rhineland-Palatinate,Saarland","West Germany","14","","",""
"3","1984","Rhineland-Palatinate,Saarland","East Germany","","","",""
"3","1984","Baden-Württemberg","West Germany","36","0.0152013882613111","0.0101681150841556","0.0202346614384667"
"3","1984","Baden-Württemberg","East Germany","","","",""
"3","1984","Bavaria","West Germany","35","0.011299397380194","0.00678735855168358","0.0158114362087044"
"3","1984","Bavaria","East Germany","","","",""
"3","1984","Berlin","West Germany","","","",""
"3","1984","Berlin","East Germany","","","",""
"3","1984","Brandenburg","West Germany","","","",""
"3","1984","Brandenburg","East Germany","","","",""
"3","1984","Mecklenburg-Western Pomerania","West Germany","","","",""
"3","1984","Mecklenburg-Western Pomerania","East Germany","","","",""
"3","1984","Saxony","West Germany","","","",""
"3","1984","Saxony","East Germany","","","",""
"3","1984","Saxony-Anhalt","West Germany","","","",""
"3","1984","Saxony-Anhalt","East Germany","","","",""
"3","1984","Thuringia","West Germany","","","",""
"3","1984","Thuringia","East Germany","","","",""
"4","1984","Schleswig-Holstein","West Germany","","","",""
"4","1984","Schleswig-Holstein","East Germany","","","",""
"4","1984","Hamburg","West Germany","","","",""
"4","1984","Hamburg","East Germany","","","",""
"4","1984","Lower Saxony","West Germany","2","","",""
"4","1984","Lower Saxony","East Germany","","","",""
"4","1984","Bremen","West Germany","","","",""
"4","1984","Bremen","East Germany","","","",""
"4","1984","North Rhine-Westphalia","West Germany","11","","",""
"4","1984","North Rhine-Westphalia","East Germany","","","",""
"4","1984","Hesse","West Germany","4","","",""
"4","1984","Hesse","East Germany","","","",""
"4","1984","Rhineland-Palatinate,Saarland","West Germany","2","","",""
"4","1984","Rhineland-Palatinate,Saarland","East Germany","","","",""
"4","1984","Baden-Württemberg","West Germany","5","","",""
"4","1984","Baden-Württemberg","East Germany","","","",""
"4","1984","Bavaria","West Germany","7","","",""
"4","1984","Bavaria","East Germany","","","",""
"4","1984","Berlin","West Germany","1","","",""
"4","1984","Berlin","East Germany","","","",""
"4","1984","Brandenburg","West Germany","","","",""
"4","1984","Brandenburg","East Germany","","","",""
"4","1984","Mecklenburg-Western Pomerania","West Germany","","","",""
"4","1984","Mecklenburg-Western Pomerania","East Germany","","","",""
"4","1984","Saxony","West Germany","","","",""
"4","1984","Saxony","East Germany","","","",""
"4","1984","Saxony-Anhalt","West Germany","","","",""
"4","1984","Saxony-Anhalt","East Germany","","","",""
"4","1984","Thuringia","West Germany","","","",""
"4","1984","Thuringia","East Germany","","","",""
"5","1984","Schleswig-Holstein","West Germany","","","",""
"5","1984","Schleswig-Holstein","East Germany","","","",""
"5","1984","Hamburg","West Germany","","","",""
"5","1984","Hamburg","East Germany","","","",""
"5","1984","Lower Saxony","West Germany","","","",""
"5","1984","Lower Saxony","East Germany","","","",""
"5","1984","Bremen","West Germany","","","",""
"5","1984","Bremen","East Germany","","","",""
"5","1984","North Rhine-Westphalia","West Germany","","","",""
"5","1984","North Rhine-Westphalia","East Germany","","","",""
"5","1984","Hesse","West Germany","","","",""
"5","1984","Hesse","East Germany","","","",""
"5","1984","Rhineland-Palatinate,Saarland","West Germany","","","",""
"5","1984","Rhineland-Palatinate,Saarland","East Germany","","","",""
"5","1984","Baden-Württemberg","West Germany","","","",""
"5","1984","Baden-Württemberg","East Germany","","","",""
"5","1984","Bavaria","West Germany","","","",""
"5","1984","Bavaria","East Germany","","","",""
"5","1984","Berlin","West Germany","","","",""
"5","1984","Berlin","East Germany","","","",""
"5","1984","Brandenburg","West Germany","","","",""
"5","1984","Brandenburg","East Germany","","","",""
"5","1984","Mecklenburg-Western Pomerania","West Germany","","","",""
"5","1984","Mecklenburg-Western Pomerania","East Germany","","","",""
"5","1984","Saxony","West Germany","","","",""
"5","1984","Saxony","East Germany","","","",""
"5","1984","Saxony-Anhalt","West Germany","","","",""
"5","1984","Saxony-Anhalt","East Germany","","","",""
"5","1984","Thuringia","West Germany","","","",""
"5","1984","Thuringia","East Germany","","","",""
"1","1985","Schleswig-Holstein","West Germany","192","0.538023591231405","0.486088963999658","0.589958218463151"
"1","1985","Schleswig-Holstein","East Germany","","","",""
"1","1985","Hamburg","West Germany","43","0.159571910163791","0.11675420052627","0.202389619801312"
"1","1985","Hamburg","East Germany","","","",""
"1","1985","Lower Saxony","West Germany","581","0.548895330169586","0.519595733617775","0.578194926721396"
"1","1985","Lower Saxony","East Germany","","","",""
"1","1985","Bremen","West Germany","33","0.290680126345512","0.208048208892012","0.373312043799011"
"1","1985","Bremen","East Germany","","","",""
"1","1985","North Rhine-Westphalia","West Germany","989","0.384893732212446","0.367406418360084","0.402381046064808"
"1","1985","North Rhine-Westphalia","East Germany","","","",""
"1","1985","Hesse","West Germany","378","0.452217421076862","0.423313019550815","0.481121822602908"
"1","1985","Hesse","East Germany","","","",""
"1","1985","Rhineland-Palatinate,Saarland","West Germany","442","0.621683632386631","0.587540015706281","0.655827249066981"
"1","1985","Rhineland-Palatinate,Saarland","East Germany","","","",""
"1","1985","Baden-Württemberg","West Germany","837","0.538275972701691","0.516732055073382","0.55981989033"
"1","1985","Baden-Württemberg","East Germany","","","",""
"1","1985","Bavaria","West Germany","901","0.526570377755101","0.504207915117208","0.548932840392994"
"1","1985","Bavaria","East Germany","","","",""
"1","1985","Berlin","West Germany","30","0.100246388389006","0.0695617967071825","0.13093098007083"
"1","1985","Berlin","East Germany","","","",""
"1","1985","Brandenburg","West Germany","","","",""
"1","1985","Brandenburg","East Germany","","","",""
"1","1985","Mecklenburg-Western Pomerania","West Germany","","","",""
"1","1985","Mecklenburg-Western Pomerania","East Germany","","","",""
"1","1985","Saxony","West Germany","","","",""
"1","1985","Saxony","East Germany","","","",""
"1","1985","Saxony-Anhalt","West Germany","","","",""
"1","1985","Saxony-Anhalt","East Germany","","","",""
"1","1985","Thuringia","West Germany","","","",""
"1","1985","Thuringia","East Germany","","","",""
"2","1985","Schleswig-Holstein","West Germany","154","0.43856221200898","0.386871455974855","0.490252968043105"
"2","1985","Schleswig-Holstein","East Germany","","","",""
"2","1985","Hamburg","West Germany","232","0.817113261323454","0.771914433896377","0.86231208875053"
"2","1985","Hamburg","East Germany","","","",""
"2","1985","Lower Saxony","West Germany","515","0.441921978901432","0.412680558063941","0.471163399738922"
"2","1985","Lower Saxony","East Germany","","","",""
"2","1985","Bremen","West Germany","82","0.696486859431701","0.612817911292838","0.780155807570564"
"2","1985","Bremen","East Germany","","","",""
"2","1985","North Rhine-Westphalia","West Germany","1934","0.598594393152836","0.580977243301683","0.616211543003989"
