"hgowner","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1984","East Germany","","","","","2"
"Main tenant","1984","West Germany","7363","0.520400055305612","0.511546344400277","0.529253766210946","2"
"Owner","1984","West Germany","4683","0.466514912625295","0.457673716688546","0.475356108562044","1"
"Owner","1984","East Germany","","","","","1"
"Resident or shared accommodation","1984","West Germany","","","","","5"
"Resident or shared accommodation","1984","East Germany","","","","","5"
"Subtenant","1984","West Germany","153","0.0109867717886711","0.00913940466731186","0.0128341389100304","3"
"Subtenant","1984","East Germany","","","","","3"
"Tenant","1984","West Germany","32","0.00209826028042172","0.00128731663011612","0.00290920393072731","4"
"Tenant","1984","East Germany","","","","","4"
"Main tenant","1985","West Germany","6505","0.519710356370601","0.510410561614037","0.529010151127165","2"
"Main tenant","1985","East Germany","","","","","2"
"Owner","1985","West Germany","4426","0.467155216416411","0.457868289500492","0.476442143332331","1"
"Owner","1985","East Germany","","","","","1"
"Resident or shared accommodation","1985","West Germany","","","","","5"
"Resident or shared accommodation","1985","East Germany","","","","","5"
"Subtenant","1985","West Germany","156","0.0131344272129877","0.0110152092051957","0.0152536452207797","3"
"Subtenant","1985","East Germany","","","","","3"
"Tenant","1985","West Germany","","","","","4"
"Tenant","1985","East Germany","","","","","4"
"Main tenant","1986","West Germany","6062","0.515604573677631","0.506106451726809","0.525102695628453","2"
"Main tenant","1986","East Germany","","","","","2"
"Owner","1986","West Germany","4374","0.466995814603945","0.457513788475933","0.476477840731958","1"
"Owner","1986","East Germany","","","","","1"
"Resident or shared accommodation","1986","West Germany","","","","","5"
"Resident or shared accommodation","1986","East Germany","","","","","5"
"Subtenant","1986","East Germany","","","","","3"
"Subtenant","1986","West Germany","198","0.0172511268144004","0.014776502048388","0.0197257515804129","3"
"Tenant","1986","East Germany","","","","","4"
"Tenant","1986","West Germany","1","","","","4"
"Main tenant","1987","West Germany","5961","0.513301633135801","0.503745012938675","0.522858253332928","2"
"Main tenant","1987","East Germany","","","","","2"
"Owner","1987","West Germany","4335","0.465229624100074","0.455692764037905","0.474766484162243","1"
"Owner","1987","East Germany","","","","","1"
"Resident or shared accommodation","1987","West Germany","","","","","5"
"Resident or shared accommodation","1987","East Germany","","","","","5"
"Subtenant","1987","West Germany","207","0.0207931323161098","0.0180648755374552","0.0235213890947644","3"
"Subtenant","1987","East Germany","","","","","3"
"Tenant","1987","East Germany","","","","","4"
"Tenant","1987","West Germany","5","","","","4"
"Main tenant","1988","East Germany","","","","","2"
"Main tenant","1988","West Germany","5720","0.510524569631372","0.500736703910672","0.520312435352072","2"
"Owner","1988","West Germany","4102","0.465380465445015","0.455613925811719","0.475147005078311","1"
"Owner","1988","East Germany","","","","","1"
"Resident or shared accommodation","1988","West Germany","","","","","5"
"Resident or shared accommodation","1988","East Germany","","","","","5"
"Subtenant","1988","East Germany","","","","","3"
"Subtenant","1988","West Germany","195","0.023672339660647","0.0206956564438886","0.0266490228774055","3"
"Tenant","1988","East Germany","","","","","4"
"Tenant","1988","West Germany","3","","","","4"
"Main tenant","1989","East Germany","","","","","2"
"Main tenant","1989","West Germany","5501","0.504624948304572","0.494677215276618","0.514572681332525","2"
"Owner","1989","West Germany","4009","0.471007292450967","0.461075872299056","0.480938712602879","1"
"Owner","1989","East Germany","","","","","1"
"Resident or shared accommodation","1989","West Germany","","","","","5"
"Resident or shared accommodation","1989","East Germany","","","","","5"
"Subtenant","1989","East Germany","","","","","3"
"Subtenant","1989","West Germany","180","0.0222825369059062","0.0193458225891691","0.0252192512226433","3"
"Tenant","1989","East Germany","","","","","4"
"Tenant","1989","West Germany","14","","","","4"
"Main tenant","1990","East Germany","2844","0.662838980462078","0.648930581445968","0.676747379478189","2"
"Main tenant","1990","West Germany","5333","0.508649115234866","0.498604671456266","0.518693559013466","2"
"Owner","1990","West Germany","3971","0.464692429025938","0.454671560467492","0.474713297584384","1"
"Owner","1990","East Germany","1435","0.301368000461807","0.287868203171264","0.31486779775235","1"
"Resident or shared accommodation","1990","West Germany","","","","","5"
"Resident or shared accommodation","1990","East Germany","","","","","5"
"Subtenant","1990","West Germany","207","0.0258862142644302","0.0226957051479192","0.0290767233809412","3"
"Subtenant","1990","East Germany","153","0.0345800207286102","0.0292044422340849","0.0399555992231356","3"
"Tenant","1990","West Germany","5","","","","4"
"Tenant","1990","East Germany","6","","","","4"
"Main tenant","1991","East Germany","2588","0.647312170238239","0.632797839718665","0.661826500757814","2"
"Main tenant","1991","West Germany","5342","0.509547397777988","0.499496414696211","0.519598380859764","2"
"Owner","1991","West Germany","3937","0.462317136740759","0.452292911424337","0.472341362057182","1"
"Owner","1991","East Germany","1369","0.298225825840447","0.28432898122982","0.312122670451075","1"
"Resident or shared accommodation","1991","West Germany","","","","","5"
"Resident or shared accommodation","1991","East Germany","","","","","5"
"Subtenant","1991","West Germany","207","0.0257325514429466","0.0225490998717832","0.0289160030141101","3"
"Subtenant","1991","East Germany","200","0.0525149071089166","0.0457389229927082","0.0592908912251249","3"
"Tenant","1991","East Germany","6","","","","4"
"Tenant","1991","West Germany","17","","","","4"
"Main tenant","1992","West Germany","5262","0.505107101711595","0.494998811110437","0.515215392312753","2"
"Main tenant","1992","East Germany","2594","0.679977167119993","0.665508248182738","0.694446086057248","2"
"Owner","1992","West Germany","3912","0.465456897109756","0.455372232231063","0.47554156198845","1"
"Owner","1992","East Germany","1282","0.291180068332154","0.277088893012945","0.305271243651364","1"
"Resident or shared accommodation","1992","West Germany","","","","","5"
"Resident or shared accommodation","1992","East Germany","","","","","5"
"Subtenant","1992","West Germany","219","0.0283510894367302","0.0249954914070364","0.0317066874664241","3"
"Subtenant","1992","East Germany","114","0.0270409027647068","0.0220098795566504","0.0320719259727633","3"
"Tenant","1992","West Germany","5","","","","4"
"Tenant","1992","East Germany","3","","","","4"
"Main tenant","1993","West Germany","5206","0.500174580493552","0.490032252587773","0.510316908399332","2"
"Main tenant","1993","East Germany","2487","0.669974752587516","0.655102207986676","0.684847297188356","2"
"Owner","1993","West Germany","3868","0.467356158810904","0.457235469113981","0.477476848507827","1"
"Owner","1993","East Germany","1261","0.306709645695338","0.292124734976118","0.321294556414558","1"
"Resident or shared accommodation","1993","West Germany","","","","","5"
"Resident or shared accommodation","1993","East Germany","","","","","5"
"Subtenant","1993","West Germany","262","0.0324692606955435","0.0288739514175766","0.0360645699735104","3"
"Subtenant","1993","East Germany","92","0.0233156017171457","0.0185426953134503","0.0280885081208411","3"
"Tenant","1993","East Germany","","","","","4"
"Tenant","1993","West Germany","","","","","4"
"Main tenant","1994","West Germany","5097","0.501000252040342","0.49075593645929","0.511244567621394","2"
"Main tenant","1994","East Germany","2392","0.666237888957853","0.651221127349418","0.681254650566288","2"
"Owner","1994","West Germany","3825","0.469811202088314","0.459585555685248","0.48003684849138","1"
"Owner","1994","East Germany","1289","0.306026005992894","0.291350473410002","0.320701538575787","1"
"Resident or shared accommodation","1994","West Germany","","","","","5"
"Resident or shared accommodation","1994","East Germany","","","","","5"
"Subtenant","1994","East Germany","107","0.0277361050492529","0.0225066320876139","0.0329655780108919","3"
"Subtenant","1994","West Germany","229","0.0291885458713434","0.0257395911806908","0.032637500561996","3"
"Tenant","1994","East Germany","","","","","4"
"Tenant","1994","West Germany","","","","","4"
