"hgowner","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1984","middle vocational","West Germany","3295","0.533012435365833","0.520088889925682","0.545935980805984","2"
"Main tenant","1984","middle vocational","East Germany","","","","","2"
"Main tenant","1984","in school","East Germany","","","","","2"
"Main tenant","1984","inadequately","West Germany","933","0.810129955876216","0.786049396544664","0.834210515207768","2"
"Main tenant","1984","inadequately","East Germany","","","","","2"
"Main tenant","1984","general elemantary","West Germany","2059","0.496407092531253","0.479766555495156","0.51304762956735","2"
"Main tenant","1984","general elemantary","East Germany","","","","","2"
"Main tenant","1984","vocational + Abi","West Germany","215","0.594118556390364","0.539629793131692","0.648607319649036","2"
"Main tenant","1984","vocational + Abi","East Germany","","","","","2"
"Main tenant","1984","in school","West Germany","84","0.393044913040996","0.323040300620445","0.463049525461547","2"
"Main tenant","1984","higher vocational","West Germany","305","0.454497079634222","0.416509623488148","0.492484535780295","2"
"Main tenant","1984","higher vocational","East Germany","","","","","2"
"Main tenant","1984","higher education","West Germany","414","0.491070491279831","0.456275860471678","0.525865122087985","2"
"Main tenant","1984","higher education","East Germany","","","","","2"
"Owner","1984","in school","West Germany","102","0.600848859820168","0.530658317891961","0.671039401748374","1"
"Owner","1984","in school","East Germany","","","","","1"
"Owner","1984","inadequately","West Germany","56","0.151943864403309","0.129903697288547","0.173984031518072","1"
"Owner","1984","inadequately","East Germany","","","","","1"
"Owner","1984","general elemantary","West Germany","1355","0.489761133039985","0.473123655819649","0.50639861026032","1"
"Owner","1984","general elemantary","East Germany","","","","","1"
"Owner","1984","middle vocational","West Germany","2355","0.455235459305222","0.442335664487875","0.468135254122569","1"
"Owner","1984","middle vocational","East Germany","","","","","1"
"Owner","1984","vocational + Abi","West Germany","89","0.384599069687181","0.330616446693754","0.438581692680609","1"
"Owner","1984","vocational + Abi","East Germany","","","","","1"
"Owner","1984","higher vocational","West Germany","347","0.532844648096751","0.494781290803799","0.570908005389702","1"
"Owner","1984","higher vocational","East Germany","","","","","1"
