"hgowner","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1985","66 and older","West Germany","595","0.575606546419179","0.546634819059491","0.604578273778866","2"
"Main tenant","1985","66 and older","East Germany","","","","","2"
"Owner","1985","16-34 y.","West Germany","1366","0.3980580404077","0.383224163600201","0.4128919172152","1"
"Owner","1985","16-34 y.","East Germany","","","","","1"
"Owner","1985","35-65 y.","West Germany","2552","0.534784941231676","0.521932804322736","0.547637078140616","1"
"Owner","1985","35-65 y.","East Germany","","","","","1"
"Owner","1985","66 and older","West Germany","508","0.410043682300941","0.381213181934026","0.438874182667856","1"
"Owner","1985","66 and older","East Germany","","","","","1"
"Resident or shared accommodation","1985","16-34 y.","West Germany","","","","","5"
"Resident or shared accommodation","1985","16-34 y.","East Germany","","","","","5"
"Resident or shared accommodation","1985","35-65 y.","West Germany","","","","","5"
"Resident or shared accommodation","1985","35-65 y.","East Germany","","","","","5"
"Resident or shared accommodation","1985","66 and older","West Germany","","","","","5"
"Resident or shared accommodation","1985","66 and older","East Germany","","","","","5"
"Subtenant","1985","16-34 y.","West Germany","72","0.0176217782852673","0.0136345749115853","0.0216089816589492","3"
"Subtenant","1985","16-34 y.","East Germany","","","","","3"
"Subtenant","1985","35-65 y.","West Germany","69","0.00963853376897806","0.0071210815869061","0.01215598595105","3"
"Subtenant","1985","35-65 y.","East Germany","","","","","3"
"Subtenant","1985","66 and older","West Germany","15","","","","3"
"Subtenant","1985","66 and older","East Germany","","","","","3"
"Tenant","1985","16-34 y.","West Germany","","","","","4"
"Tenant","1985","16-34 y.","East Germany","","","","","4"
"Tenant","1985","35-65 y.","West Germany","","","","","4"
"Tenant","1985","35-65 y.","East Germany","","","","","4"
"Tenant","1985","66 and older","West Germany","","","","","4"
"Tenant","1985","66 and older","East Germany","","","","","4"
"Main tenant","1986","16-34 y.","East Germany","","","","","2"
"Main tenant","1986","16-34 y.","West Germany","2623","0.580031074243385","0.564908891304127","0.595153257182642","2"
"Main tenant","1986","35-65 y.","East Germany","","","","","2"
"Main tenant","1986","35-65 y.","West Germany","2916","0.454694662785845","0.44153015785748","0.46785916771421","2"
"Main tenant","1986","66 and older","West Germany","523","0.561427515994711","0.531370747419718","0.591484284569705","2"
"Main tenant","1986","66 and older","East Germany","","","","","2"
"Owner","1986","16-34 y.","West Germany","1372","0.394935121802943","0.379957456222501","0.409912787383385","1"
"Owner","1986","16-34 y.","East Germany","","","","","1"
"Owner","1986","35-65 y.","West Germany","2498","0.535360084898532","0.522174300182938","0.548545869614125","1"
"Owner","1986","35-65 y.","East Germany","","","","","1"
"Owner","1986","66 and older","West Germany","504","0.415090893504133","0.385244590443644","0.444937196564622","1"
"Owner","1986","66 and older","East Germany","","","","","1"
"Resident or shared accommodation","1986","16-34 y.","West Germany","","","","","5"
"Resident or shared accommodation","1986","16-34 y.","East Germany","","","","","5"
"Resident or shared accommodation","1986","35-65 y.","West Germany","","","","","5"
"Resident or shared accommodation","1986","35-65 y.","East Germany","","","","","5"
"Resident or shared accommodation","1986","66 and older","West Germany","","","","","5"
"Resident or shared accommodation","1986","66 and older","East Germany","","","","","5"
"Subtenant","1986","16-34 y.","West Germany","97","0.0250338039536723","0.0202470789179168","0.0298205289894279","3"
"Subtenant","1986","16-34 y.","East Germany","","","","","3"
"Subtenant","1986","35-65 y.","West Germany","82","0.00994525231562361","0.00732186606960641","0.0125686385616408","3"
"Subtenant","1986","35-65 y.","East Germany","","","","","3"
"Subtenant","1986","66 and older","West Germany","19","","","","3"
"Subtenant","1986","66 and older","East Germany","","","","","3"
"Tenant","1986","16-34 y.","West Germany","","","","","4"
"Tenant","1986","16-34 y.","East Germany","","","","","4"
"Tenant","1986","35-65 y.","West Germany","","","","","4"
"Tenant","1986","35-65 y.","East Germany","","","","","4"
"Tenant","1986","66 and older","West Germany","1","","","","4"
"Tenant","1986","66 and older","East Germany","","","","","4"
"Main tenant","1987","16-34 y.","East Germany","","","","","2"
"Main tenant","1987","16-34 y.","West Germany","2560","0.572229507912826","0.556975140516218","0.587483875309433","2"
"Main tenant","1987","35-65 y.","West Germany","2861","0.45466249221079","0.441359372691701","0.467965611729879","2"
"Main tenant","1987","35-65 y.","East Germany","","","","","2"
"Main tenant","1987","66 and older","West Germany","540","0.561775640277577","0.53225247408966","0.591298806465493","2"
"Main tenant","1987","66 and older","East Germany","","","","","2"
"Owner","1987","16-34 y.","West Germany","1368","0.393230571449072","0.378170079835471","0.408291063062672","1"
"Owner","1987","16-34 y.","East Germany","","","","","1"
"Owner","1987","35-65 y.","West Germany","2440","0.53328832668032","0.519959816293585","0.546616837067056","1"
"Owner","1987","35-65 y.","East Germany","","","","","1"
"Owner","1987","66 and older","West Germany","527","0.41544067324426","0.386118103651045","0.444763242837474","1"
"Owner","1987","66 and older","East Germany","","","","","1"
"Resident or shared accommodation","1987","16-34 y.","West Germany","","","","","5"
"Resident or shared accommodation","1987","16-34 y.","East Germany","","","","","5"
"Resident or shared accommodation","1987","35-65 y.","West Germany","","","","","5"
"Resident or shared accommodation","1987","66 and older","West Germany","","","","","5"
"Resident or shared accommodation","1987","35-65 y.","East Germany","","","","","5"
"Resident or shared accommodation","1987","66 and older","East Germany","","","","","5"
"Subtenant","1987","16-34 y.","West Germany","111","0.0339182759697734","0.0283370772789101","0.0394994746606367","3"
"Subtenant","1987","16-34 y.","East Germany","","","","","3"
"Subtenant","1987","35-65 y.","West Germany","79","0.0116084033883231","0.0087466842225228","0.0144701225541233","3"
"Subtenant","1987","35-65 y.","East Germany","","","","","3"
"Subtenant","1987","66 and older","West Germany","17","","","","3"
"Subtenant","1987","66 and older","East Germany","","","","","3"
"Tenant","1987","16-34 y.","East Germany","","","","","4"
"Tenant","1987","16-34 y.","West Germany","2","","","","4"
"Tenant","1987","35-65 y.","West Germany","2","","","","4"
"Tenant","1987","35-65 y.","East Germany","","","","","4"
"Tenant","1987","66 and older","West Germany","1","","","","4"
"Tenant","1987","66 and older","East Germany","","","","","4"
"Main tenant","1988","16-34 y.","West Germany","2455","0.563221954859035","0.547560980646979","0.578882929071091","2"
"Main tenant","1988","16-34 y.","East Germany","","","","","2"
"Main tenant","1988","35-65 y.","West Germany","2725","0.451934607337667","0.438291708532212","0.465577506143121","2"
"Main tenant","1988","35-65 y.","East Germany","","","","","2"
"Main tenant","1988","66 and older","East Germany","","","","","2"
"Main tenant","1988","66 and older","West Germany","540","0.569994709948092","0.540120655173429","0.599868764722756","2"
"Owner","1988","16-34 y.","West Germany","1295","0.40015572582704","0.384686009031587","0.415625442622493","1"
"Owner","1988","16-34 y.","East Germany","","","","","1"
"Owner","1988","35-65 y.","West Germany","2309","0.530847981462839","0.51716771526462","0.544528247661057","1"
"Owner","1988","35-65 y.","East Germany","","","","","1"
"Owner","1988","66 and older","West Germany","498","0.410127240703481","0.380447483791591","0.43980699761537","1"
"Owner","1988","66 and older","East Germany","","","","","1"
"Resident or shared accommodation","1988","16-34 y.","West Germany","","","","","5"
"Resident or shared accommodation","1988","16-34 y.","East Germany","","","","","5"
"Resident or shared accommodation","1988","66 and older","West Germany","","","","","5"
"Resident or shared accommodation","1988","35-65 y.","West Germany","","","","","5"
"Resident or shared accommodation","1988","35-65 y.","East Germany","","","","","5"
"Resident or shared accommodation","1988","66 and older","East Germany","","","","","5"
"Subtenant","1988","16-34 y.","East Germany","","","","","3"
"Subtenant","1988","16-34 y.","West Germany","101","0.0362335341353093","0.0303330202036936","0.0421340480669249","3"
