"hgowner","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1984","1-pers.-HH","direct migration background","179","0.746938418935843","0.691703322059615","0.80217351581207","2"
"Main tenant","1984","(Married) couple without C. ","indirect migration background","3","","","","2"
"Main tenant","1984","Couple + C. GT 16 ","direct migration background","403","0.662190306090449","0.619790721058922","0.704589891121976","2"
"Main tenant","1984","1-pers.-HH","no migration background","818","0.737756927517675","0.711656695014526","0.763857160020823","2"
"Main tenant","1984","(Married) couple without C. ","direct migration background","403","0.702886753121327","0.661305958201689","0.744467548040964","2"
"Main tenant","1984","Couple + C. LE 16 ","no migration background","992","0.524363154313206","0.501722067541811","0.547004241084602","2"
"Main tenant","1984","Couple + C. GT 16 ","no migration background","480","0.321054323260578","0.297179290951953","0.344929355569204","2"
"Main tenant","1984","Single parent ","indirect migration background","6","","","","2"
"Main tenant","1984","(Married) couple without C. ","no migration background","1248","0.547807345495067","0.527154781183479","0.568459909806654","2"
"Main tenant","1984","Single parent ","no migration background","261","0.564730042546177","0.51856151536406","0.610898569728294","2"
"Main tenant","1984","Single parent ","direct migration background","120","0.835423814570821","0.771187587043132","0.89966004209851","2"
"Main tenant","1984","1-pers.-HH","indirect migration background","6","","","","2"
"Main tenant","1984","Couple + C. LE 16 ","direct migration background","1069","0.805365975570112","0.782899554748091","0.827832396392133","2"
"Main tenant","1984","Couple + C. LE 16 ","indirect migration background","13","","","","2"
"Main tenant","1984","Couple + C. LE and GT 16","direct migration background","623","0.799301678230173","0.769197909592625","0.829405446867721","2"
"Main tenant","1984","Couple + C. LE and GT 16","indirect migration background","27","","","","2"
"Main tenant","1984","Couple + C. GT 16 ","indirect migration background","32","0.501924210914721","0.357434818959015","0.646413602870427","2"
"Main tenant","1984","Couple + C. LE and GT 16","no migration background","271","0.257162000422483","0.230153557059309","0.284170443785658","2"
"Owner","1984","1-pers.-HH","no migration background","245","0.237711983829373","0.212452713540845","0.262971254117902","1"
"Owner","1984","1-pers.-HH","direct migration background","11","","","","1"
"Owner","1984","1-pers.-HH","indirect migration background","","","","","1"
"Owner","1984","(Married) couple without C. ","no migration background","964","0.443780264764011","0.423164213030877","0.464396316497144","1"
"Owner","1984","(Married) couple without C. ","direct migration background","50","0.278956895603772","0.238149557591216","0.319764233616328","1"
"Owner","1984","(Married) couple without C. ","indirect migration background","5","","","","1"
"Owner","1984","Single parent ","no migration background","175","0.416415147485607","0.370509988818686","0.462320306152528","1"
"Owner","1984","Single parent ","direct migration background","8","","","","1"
"Owner","1984","Single parent ","indirect migration background","2","","","","1"
"Owner","1984","Couple + C. LE 16 ","no migration background","854","0.462903771860339","0.440298233659334","0.485509310061343","1"
"Owner","1984","Couple + C. LE 16 ","direct migration background","105","0.183886792221888","0.161904228494563","0.205869355949214","1"
"Owner","1984","Couple + C. LE 16 ","indirect migration background","7","","","","1"
"Owner","1984","Couple + C. GT 16 ","no migration background","980","0.673913497348081","0.649941419361032","0.697885575335131","1"
"Owner","1984","Couple + C. GT 16 ","direct migration background","74","0.329740063593238","0.28759549312843","0.371884634058046","1"
"Owner","1984","Couple + C. GT 16 ","indirect migration background","14","","","","1"
"Owner","1984","Couple + C. LE and GT 16","no migration background","732","0.739595465202524","0.712476663719101","0.766714266685946","1"
"Owner","1984","Couple + C. LE and GT 16","direct migration background","46","0.189438037451089","0.159985661369704","0.218890413532474","1"
"Owner","1984","Couple + C. LE and GT 16","indirect migration background","5","","","","1"
"Resident or shared accommodation","1984","1-pers.-HH","indirect migration background","","","","","5"
