"hgowner","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Resident or shared accommodation","1985","Employed","no migration background","","","","","5"
"Resident or shared accommodation","1985","Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1985","Employed","indirect migration background","","","","","5"
"Subtenant","1985","Not Employed","no migration background","37","0.0124385377446892","0.00863978570827607","0.0162372897811024","3"
"Subtenant","1985","Not Employed","direct migration background","18","","","","3"
"Subtenant","1985","Not Employed","indirect migration background","","","","","3"
"Subtenant","1985","Employed","no migration background","52","0.011630687085855","0.00857455817507112","0.014686815996639","3"
"Subtenant","1985","Employed","direct migration background","49","0.0256531640087603","0.0188160136641905","0.03249031435333","3"
"Subtenant","1985","Employed","indirect migration background","","","","","3"
"Tenant","1985","Not Employed","no migration background","","","","","4"
"Tenant","1985","Not Employed","direct migration background","","","","","4"
"Tenant","1985","Not Employed","indirect migration background","","","","","4"
"Tenant","1985","Employed","no migration background","","","","","4"
"Tenant","1985","Employed","direct migration background","","","","","4"
"Tenant","1985","Employed","indirect migration background","","","","","4"
"Main tenant","1986","Not Employed","direct migration background","713","0.681562956271557","0.65031771112946","0.712808201413655","2"
"Main tenant","1986","Not Employed","no migration background","1329","0.488902326520909","0.471088861491989","0.506715791549829","2"
"Main tenant","1986","Employed","no migration background","2183","0.489432869428658","0.47498705047915","0.503878688378167","2"
"Main tenant","1986","Not Employed","indirect migration background","47","0.725749405471622","0.616448128148696","0.835050682794547","2"
"Main tenant","1986","Employed","direct migration background","1720","0.771574004250677","0.753174986004929","0.789973022496424","2"
"Main tenant","1986","Employed","indirect migration background","70","0.745809902322519","0.656839088315787","0.834780716329252","2"
"Owner","1986","Not Employed","no migration background","1654","0.493328178835138","0.475511910760194","0.511144446910082","1"
"Owner","1986","Not Employed","direct migration background","118","0.291232872881592","0.260761562133264","0.321704183629921","1"
"Owner","1986","Not Employed","indirect migration background","17","","","","1"
"Owner","1986","Employed","no migration background","2346","0.495536768722897","0.481088298203204","0.50998523924259","1"
"Owner","1986","Employed","direct migration background","217","0.19857092920464","0.181087626654063","0.216054231755217","1"
"Owner","1986","Employed","indirect migration background","22","","","","1"
"Resident or shared accommodation","1986","Not Employed","no migration background","","","","","5"
"Resident or shared accommodation","1986","Not Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1986","Not Employed","indirect migration background","","","","","5"
