"hgowner","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"1","1984","1-pers.-HH","Male","73","0.178550637209216","0.146279032653666","0.210822241764766"
"1","1984","1-pers.-HH","Female","183","0.249452176101963","0.21935535177717","0.279549000426757"
"1","1984","(Married) couple without C. ","Male","509","0.433722877568473","0.407315828878494","0.460129926258452"
"1","1984","(Married) couple without C. ","Female","510","0.431116411933984","0.404718551666262","0.457514272201706"
"1","1984","Single parent ","Male","78","0.491886419217609","0.422251301625924","0.561521536809294"
"1","1984","Single parent ","Female","107","0.344297390481536","0.296587774077523","0.392007006885549"
"1","1984","Couple + C. LE 16 ","Male","485","0.422054648564504","0.397403699993178","0.44670559713583"
"1","1984","Couple + C. LE 16 ","Female","481","0.417213741028277","0.392586164115164","0.441841317941389"
"1","1984","Couple + C. GT 16 ","Male","586","0.656329153649323","0.628069592322907","0.684588714975738"
"1","1984","Couple + C. GT 16 ","Female","482","0.639853232836124","0.608629479214114","0.671076986458133"
"1","1984","Couple + C. LE and GT 16","Male","425","0.672599015927502","0.642374406206812","0.702823625648193"
"1","1984","Couple + C. LE and GT 16","Female","358","0.668043603786865","0.635288365326599","0.700798842247131"
"2","1984","1-pers.-HH","Male","411","0.760093939538464","0.724110414727959","0.796077464348969"
"2","1984","1-pers.-HH","Female","592","0.730010216505981","0.699130310184223","0.76089012282774"
"2","1984","(Married) couple without C. ","Male","828","0.556369639460146","0.529897348092028","0.582841930828265"
"2","1984","(Married) couple without C. ","Female","826","0.558465430872879","0.531996265418324","0.584934596327434"
"2","1984","Single parent ","Male","117","0.485078905752822","0.415465636147531","0.554692175358113"
"2","1984","Single parent ","Female","270","0.641621050704695","0.593471066258841","0.689771035150549"
"2","1984","Couple + C. LE 16 ","Male","1036","0.565553754886811","0.54081311811639","0.590294391657232"
"2","1984","Couple + C. LE 16 ","Female","1038","0.570443623300381","0.545720451845441","0.59516679475532"
"2","1984","Couple + C. GT 16 ","Male","493","0.337953981123984","0.309808667361724","0.366099294886245"
"2","1984","Couple + C. GT 16 ","Female","422","0.355539326425241","0.324404446163635","0.386674206686847"
"2","1984","Couple + C. LE and GT 16","Male","495","0.324492161056328","0.294337121733072","0.354647200379584"
"2","1984","Couple + C. LE and GT 16","Female","426","0.32581414503357","0.293214518442768","0.358413771624371"
"3","1984","1-pers.-HH","Male","53","0.0596577369620003","0.0396993323031411","0.0796161416208594"
"3","1984","1-pers.-HH","Female","17","","",""
"3","1984","(Married) couple without C. ","Male","12","","",""
"3","1984","(Married) couple without C. ","Female","12","","",""
"3","1984","Single parent ","Male","3","","",""
"3","1984","Single parent ","Female","4","","",""
"3","1984","Couple + C. LE 16 ","Male","16","","",""
"3","1984","Couple + C. LE 16 ","Female","16","","",""
"3","1984","Couple + C. GT 16 ","Male","4","","",""
"3","1984","Couple + C. GT 16 ","Female","2","","",""
"3","1984","Couple + C. LE and GT 16","Male","4","","",""
"3","1984","Couple + C. LE and GT 16","Female","8","","",""
"4","1984","1-pers.-HH","Male","4","","",""
"4","1984","1-pers.-HH","Female","2","","",""
"4","1984","(Married) couple without C. ","Male","4","","",""
"4","1984","(Married) couple without C. ","Female","4","","",""
"4","1984","Single parent ","Male","","","",""
"4","1984","Single parent ","Female","","","",""
"4","1984","Couple + C. LE 16 ","Male","5","","",""
"4","1984","Couple + C. LE 16 ","Female","5","","",""
"4","1984","Couple + C. GT 16 ","Male","2","","",""
"4","1984","Couple + C. GT 16 ","Female","2","","",""
"4","1984","Couple + C. LE and GT 16","Male","2","","",""
"4","1984","Couple + C. LE and GT 16","Female","2","","",""
"5","1984","1-pers.-HH","Male","","","",""
"5","1984","1-pers.-HH","Female","","","",""
"5","1984","(Married) couple without C. ","Male","","","",""
"5","1984","(Married) couple without C. ","Female","","","",""
"5","1984","Single parent ","Male","","","",""
"5","1984","Single parent ","Female","","","",""
"5","1984","Couple + C. LE 16 ","Male","","","",""
"5","1984","Couple + C. LE 16 ","Female","","","",""
"5","1984","Couple + C. GT 16 ","Male","","","",""
"5","1984","Couple + C. GT 16 ","Female","","","",""
"5","1984","Couple + C. LE and GT 16","Male","","","",""
"5","1984","Couple + C. LE and GT 16","Female","","","",""
"1","1985","1-pers.-HH","Male","64","0.172533847650439","0.138446801826792","0.206620893474087"
"1","1985","1-pers.-HH","Female","153","0.227651519181352","0.196786475341734","0.25851656302097"
"1","1985","(Married) couple without C. ","Male","455","0.426438205251418","0.398652529531417","0.454223880971418"
"1","1985","(Married) couple without C. ","Female","456","0.421864965601324","0.394130115627715","0.449599815574934"
"1","1985","Single parent ","Male","79","0.514312379097237","0.44286913407938","0.585755624115095"
"1","1985","Single parent ","Female","108","0.35473396580151","0.305174414315784","0.404293517287236"
"1","1985","Couple + C. LE 16 ","Male","457","0.441967335208892","0.41540691254612","0.468527757871665"
"1","1985","Couple + C. LE 16 ","Female","453","0.438795194234924","0.412215534041308","0.46537485442854"
"1","1985","Couple + C. GT 16 ","Male","619","0.664240298232758","0.636470804848314","0.692009791617202"
"1","1985","Couple + C. GT 16 ","Female","495","0.630750571910473","0.599531823156691","0.661969320664255"
"1","1985","Couple + C. LE and GT 16","Male","383","0.699668431917299","0.668100057915206","0.731236805919392"
"1","1985","Couple + C. LE and GT 16","Female","319","0.702469921572773","0.668183903936165","0.736755939209382"
"2","1985","1-pers.-HH","Male","363","0.767554706235204","0.729448813558624","0.805660598911784"
"2","1985","1-pers.-HH","Female","535","0.747446154484702","0.715465163114653","0.779427145854751"
"2","1985","(Married) couple without C. ","Male","746","0.562469164020513","0.534597910980665","0.590340417060362"
"2","1985","(Married) couple without C. ","Female","746","0.568005514959042","0.540186623222057","0.595824406696026"
"2","1985","Single parent ","Male","108","0.484667958045895","0.413229035775617","0.556106880316173"
"2","1985","Single parent ","Female","243","0.629482712693975","0.579455913199216","0.679509512188733"
"2","1985","Couple + C. LE 16 ","Male","868","0.544774509236426","0.518140793502158","0.571408224970694"
"2","1985","Couple + C. LE 16 ","Female","868","0.548394284408502","0.521738959704953","0.57504960911205"
"2","1985","Couple + C. GT 16 ","Male","489","0.333046907477585","0.305333405418439","0.36076040953673"
"2","1985","Couple + C. GT 16 ","Female","417","0.364741531307027","0.333603253379802","0.395879809234252"
"2","1985","Couple + C. LE and GT 16","Male","427","0.300331568082701","0.268763194080608","0.331899942084794"
"2","1985","Couple + C. LE and GT 16","Female","364","0.297530078427227","0.263244060790618","0.331816096063835"
"3","1985","1-pers.-HH","Male","45","0.0599114461143568","0.038501460502996","0.0813214317257176"
"3","1985","1-pers.-HH","Female","21","","",""
"3","1985","(Married) couple without C. ","Male","16","","",""
"3","1985","(Married) couple without C. ","Female","16","","",""
"3","1985","Single parent ","Male","1","","",""
"3","1985","Single parent ","Female","7","","",""
"3","1985","Couple + C. LE 16 ","Male","18","","",""
"3","1985","Couple + C. LE 16 ","Female","18","","",""
"3","1985","Couple + C. GT 16 ","Male","3","","",""
"3","1985","Couple + C. GT 16 ","Female","6","","",""
"3","1985","Couple + C. LE and GT 16","Male","","","",""
"3","1985","Couple + C. LE and GT 16","Female","","","",""
"4","1985","1-pers.-HH","Male","","","",""
"4","1985","1-pers.-HH","Female","","","",""
"4","1985","(Married) couple without C. ","Male","","","",""
"4","1985","(Married) couple without C. ","Female","","","",""
"4","1985","Single parent ","Male","","","",""
"4","1985","Single parent ","Female","","","",""
"4","1985","Couple + C. LE 16 ","Male","","","",""
"4","1985","Couple + C. LE 16 ","Female","","","",""
"4","1985","Couple + C. GT 16 ","Male","","","",""
"4","1985","Couple + C. GT 16 ","Female","","","",""
"4","1985","Couple + C. LE and GT 16","Male","","","",""
"4","1985","Couple + C. LE and GT 16","Female","","","",""
"5","1985","1-pers.-HH","Male","","","",""
"5","1985","1-pers.-HH","Female","","","",""
"5","1985","(Married) couple without C. ","Male","","","",""
"5","1985","(Married) couple without C. ","Female","","","",""
"5","1985","Single parent ","Male","","","",""
"5","1985","Single parent ","Female","","","",""
"5","1985","Couple + C. LE 16 ","Male","","","",""
"5","1985","Couple + C. LE 16 ","Female","","","",""
"5","1985","Couple + C. GT 16 ","Male","","","",""
"5","1985","Couple + C. GT 16 ","Female","","","",""
"5","1985","Couple + C. LE and GT 16","Male","","","",""
"5","1985","Couple + C. LE and GT 16","Female","","","",""
"1","1986","1-pers.-HH","Male","68","0.1768760590568","0.141816250841699","0.211935867271901"
"1","1986","1-pers.-HH","Female","154","0.233650718915269","0.201513527878466","0.265787909952072"
"1","1986","(Married) couple without C. ","Male","451","0.424396685482772","0.396326851435487","0.452466519530057"
"1","1986","(Married) couple without C. ","Female","450","0.419637917515395","0.391681089640777","0.447594745390014"
"1","1986","Single parent ","Male","79","0.504207978611974","0.430757824141102","0.577658133082847"
"1","1986","Single parent ","Female","112","0.380824494820681","0.328353480102145","0.433295509539217"
"1","1986","Couple + C. LE 16 ","Male","406","0.426317856179422","0.398383589465961","0.454252122892883"
"1","1986","Couple + C. LE 16 ","Female","409","0.426513523685096","0.398589206580971","0.454437840789221"
"1","1986","Couple + C. GT 16 ","Male","668","0.679836047971187","0.653011442844559","0.706660653097814"
"1","1986","Couple + C. GT 16 ","Female","534","0.648139582274039","0.617692080378231","0.678587084169847"
"1","1986","Couple + C. LE and GT 16","Male","367","0.697919627713853","0.665145859484566","0.73069339594314"
"1","1986","Couple + C. LE and GT 16","Female","313","0.705168169849394","0.670061137245268","0.74027520245352"
"2","1986","1-pers.-HH","Male","342","0.752525027980281","0.712872716513137","0.792177339447426"
"2","1986","1-pers.-HH","Female","486","0.733553600107003","0.699977377838057","0.767129822375949"
"2","1986","(Married) couple without C. ","Male","718","0.559763745183693","0.531570991552121","0.587956498815265"
"2","1986","(Married) couple without C. ","Female","724","0.563224769904351","0.535127062249062","0.591322477559641"
"2","1986","Single parent ","Male","96","0.489064159931291","0.415628975059516","0.562499344803066"
