"hgowner","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Owner","1986","35-65 y.","Rural Area","724","0.69951913721625","0.672523945273681","0.726514329158819","1"
"Owner","1986","66 and older","Urban Area","350","0.386127421673303","0.35209120674069","0.420163636605915","1"
"Owner","1986","66 and older","Rural Area","154","0.50106022878636","0.440401002671748","0.561719454900973","1"
"Resident or shared accommodation","1986","16-34 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1986","16-34 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1986","35-65 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1986","35-65 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1986","66 and older","Urban Area","","","","","5"
"Resident or shared accommodation","1986","66 and older","Rural Area","","","","","5"
"Subtenant","1986","16-34 y.","Urban Area","81","0.0273539516859608","0.0217718387310669","0.0329360646408548","3"
"Subtenant","1986","35-65 y.","Urban Area","60","0.0106275010122341","0.00759353803941626","0.0136614639850518","3"
"Subtenant","1986","16-34 y.","Rural Area","16","","","","3"
"Subtenant","1986","66 and older","Urban Area","12","","","","3"
"Subtenant","1986","35-65 y.","Rural Area","22","","","","3"
"Subtenant","1986","66 and older","Rural Area","7","","","","3"
"Tenant","1986","35-65 y.","Rural Area","","","","","4"
"Tenant","1986","16-34 y.","Rural Area","","","","","4"
"Tenant","1986","16-34 y.","Urban Area","","","","","4"
"Tenant","1986","35-65 y.","Urban Area","","","","","4"
"Tenant","1986","66 and older","Urban Area","","","","","4"
"Tenant","1986","66 and older","Rural Area","1","","","","4"
"Main tenant","1987","16-34 y.","Rural Area","380","0.400409894164493","0.366770441905333","0.434049346423652","2"
"Main tenant","1987","16-34 y.","Urban Area","2180","0.6228926617287","0.606168089881873","0.639617233575527","2"
"Main tenant","1987","35-65 y.","Rural Area","385","0.298457759204974","0.271180320166668","0.32573519824328","2"
"Main tenant","1987","35-65 y.","Urban Area","2476","0.500178207989626","0.485235361100889","0.515121054878362","2"
"Main tenant","1987","66 and older","Urban Area","441","0.595561066843346","0.561989922903503","0.629132210783189","2"
