"hgowner","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Tenant","1984","Employed","vocational + Abi","1","","","","4"
"Tenant","1984","Employed","higher vocational","1","","","","4"
"Tenant","1984","Employed","higher education","1","","","","4"
"Tenant","1984","Not Employed","in school","1","","","","4"
"Tenant","1984","Not Employed","inadequately","4","","","","4"
"Tenant","1984","Not Employed","general elemantary","5","","","","4"
"Tenant","1984","Not Employed","middle vocational","6","","","","4"
"Tenant","1984","Not Employed","vocational + Abi","1","","","","4"
"Tenant","1984","Not Employed","higher vocational","","","","","4"
"Main tenant","1985","Not Employed","in school","81","0.356101986805356","0.2861487878789","0.426055185731812","2"
"Main tenant","1985","Not Employed","inadequately","305","0.721073386300352","0.673543174615364","0.768603597985341","2"
"Main tenant","1985","Not Employed","general elemantary","807","0.490257519598524","0.465273778597477","0.515241260599572","2"
"Main tenant","1985","Not Employed","middle vocational","931","0.539788723527101","0.516268357657227","0.563309089396976","2"
"Main tenant","1985","Not Employed","vocational + Abi","53","0.677074508803583","0.573963759834231","0.780185257772936","2"
"Main tenant","1985","Not Employed","higher vocational","78","0.492642477449506","0.417267409178357","0.568017545720654","2"
"Main tenant","1985","Not Employed","higher education","76","0.478905558825635","0.398961605528672","0.558849512122599","2"
"Main tenant","1985","Employed","in school","4","","","","2"
"Main tenant","1985","Employed","inadequately","456","0.819884915279346","0.786434955280961","0.853334875277732","2"
"Main tenant","1985","Employed","general elemantary","1005","0.520890311952353","0.495947960862545","0.54583266304216","2"
"Main tenant","1985","Employed","middle vocational","1968","0.519980446787635","0.503364745729595","0.536596147845675","2"
"Main tenant","1985","Employed","vocational + Abi","134","0.593973872109924","0.526083103761177","0.661864640458671","2"
"Main tenant","1985","Employed","higher vocational","211","0.469191608626044","0.423184718084889","0.515198499167199","2"
"Main tenant","1985","Employed","higher education","311","0.495773863181128","0.456031764996267","0.53551596136599","2"
"Owner","1985","Not Employed","in school","99","0.643898013194644","0.573944814268189","0.7138512121211","1"
"Owner","1985","Not Employed","inadequately","32","0.254564107709698","0.208396350959718","0.300731864459678","1"
"Owner","1985","Not Employed","general elemantary","713","0.497854258859719","0.472866003903302","0.522842513816135","1"
"Owner","1985","Not Employed","middle vocational","766","0.44325725585081","0.419814495337452","0.466700016364168","1"
"Owner","1985","Not Employed","vocational + Abi","24","","","","1"
"Owner","1985","Not Employed","higher vocational","90","0.506146325014456","0.430768790606506","0.581523859422406","1"
"Owner","1985","Not Employed","higher education","73","0.515171683553819","0.43519333322275","0.595150033884888","1"
"Owner","1985","Employed","in school","3","","","","1"
"Owner","1985","Employed","inadequately","35","0.14034304784819","0.110108592244902","0.170577503451477","1"
"Owner","1985","Employed","general elemantary","516","0.467735503254443","0.442823383147601","0.492647623361285","1"
"Owner","1985","Employed","middle vocational","1458","0.467392858456148","0.45079927330709","0.483986443605206","1"
"Owner","1985","Employed","vocational + Abi","61","0.377529241434446","0.310512263884959","0.444546218983932","1"
"Owner","1985","Employed","higher vocational","235","0.515381192731891","0.469308532518297","0.561453852945485","1"
"Owner","1985","Employed","higher education","292","0.496590806730962","0.456848212720472","0.536333400741453","1"
"Resident or shared accommodation","1985","Employed","inadequately","","","","","5"
"Resident or shared accommodation","1985","Employed","higher vocational","","","","","5"
"Resident or shared accommodation","1985","Employed","vocational + Abi","","","","","5"
"Resident or shared accommodation","1985","Employed","higher education","","","","","5"
