"hgowner","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"1","1984","Full Time","no migration background","1839","0.501340543020265","0.485227618644369","0.517453467396162"
"1","1984","Full Time","direct migration background","162","0.179596079790712","0.162457709438364","0.196734450143059"
"1","1984","Full Time","indirect migration background","12","","",""
"1","1984","Part Time","no migration background","653","0.47932411090297","0.452985525818977","0.505662695986963"
"1","1984","Part Time","direct migration background","60","0.272941978645296","0.233498995509649","0.312384961780942"
"1","1984","Part Time","indirect migration background","4","","",""
"1","1984","Not Working","no migration background","1844","0.492036223843597","0.475716591654515","0.508355856032678"
"1","1984","Not Working","direct migration background","91","0.23255727166102","0.206373268750192","0.258741274571848"
"1","1984","Not Working","indirect migration background","18","","",""
"2","1984","Full Time","no migration background","1825","0.489501909205504","0.47339247892983","0.505611339481178"
"2","1984","Full Time","direct migration background","1710","0.790299684434243","0.772123501711371","0.808475867157116"
"2","1984","Full Time","indirect migration background","39","0.656103795523504","0.526997807508917","0.785209783538091"
"2","1984","Part Time","no migration background","716","0.510121882760597","0.48376615174785","0.536477613773344"
"2","1984","Part Time","direct migration background","413","0.689984768363643","0.649034069401162","0.730935467326123"
"2","1984","Part Time","indirect migration background","14","","",""
"2","1984","Not Working","no migration background","1718","0.494880594091845","0.478559747021319","0.51120144116237"
"2","1984","Not Working","direct migration background","891","0.743658563529928","0.716597535598751","0.770719591461105"
"2","1984","Not Working","indirect migration background","37","0.500150327538961","0.371472393683043","0.62882826139488"
"3","1984","Full Time","no migration background","30","0.00790348010810494","0.00504988684682209","0.0107570733693878"
"3","1984","Full Time","direct migration background","48","0.0254755204678725","0.0184405036039292","0.0325105373318158"
"3","1984","Full Time","indirect migration background","1","","",""
"3","1984","Part Time","no migration background","13","","",""
"3","1984","Part Time","direct migration background","14","","",""
"3","1984","Part Time","indirect migration background","","","",""
"3","1984","Not Working","no migration background","33","0.0105363249546164","0.00720328927875769","0.0138693606304751"
"3","1984","Not Working","direct migration background","11","","",""
"3","1984","Not Working","indirect migration background","3","","",""
"4","1984","Full Time","no migration background","5","","",""
"4","1984","Full Time","direct migration background","7","","",""
"4","1984","Full Time","indirect migration background","","","",""
"4","1984","Part Time","no migration background","","","",""
"4","1984","Part Time","direct migration background","3","","",""
"4","1984","Part Time","indirect migration background","","","",""
"4","1984","Not Working","no migration background","10","","",""
"4","1984","Not Working","direct migration background","7","","",""
"4","1984","Not Working","indirect migration background","","","",""
"5","1984","Full Time","no migration background","","","",""
"5","1984","Full Time","direct migration background","","","",""
"5","1984","Full Time","indirect migration background","","","",""
"5","1984","Part Time","no migration background","","","",""
"5","1984","Part Time","direct migration background","","","",""
"5","1984","Part Time","indirect migration background","","","",""
"5","1984","Not Working","no migration background","","","",""
"5","1984","Not Working","direct migration background","","","",""
"5","1984","Not Working","indirect migration background","","","",""
"1","1985","Full Time","no migration background","1701","0.502982397586687","0.486036006101175","0.5199287890722"
"1","1985","Full Time","direct migration background","162","0.182910675228406","0.163914450621556","0.201906899835256"
"1","1985","Full Time","indirect migration background","12","","",""
"1","1985","Part Time","no migration background","677","0.483552922036944","0.457225098147555","0.509880745926332"
"1","1985","Part Time","direct migration background","59","0.290563438145047","0.249207787137665","0.331919089152429"
"1","1985","Part Time","indirect migration background","5","","",""
"1","1985","Not Working","no migration background","1686","0.485473825723803","0.468343687753079","0.502603963694526"
"1","1985","Not Working","direct migration background","108","0.295886971790111","0.265916515799161","0.325857427781061"
"1","1985","Not Working","indirect migration background","16","","",""
"2","1985","Full Time","no migration background","1604","0.484820524054071","0.467881642489841","0.501759405618302"
"2","1985","Full Time","direct migration background","1389","0.787370357191878","0.767264877640263","0.807475836743494"
"2","1985","Full Time","indirect migration background","39","0.645225879431429","0.513916769300184","0.776534989562675"
"2","1985","Part Time","no migration background","694","0.506203404181579","0.479863352515983","0.532543455847176"
"2","1985","Part Time","direct migration background","395","0.694666240427801","0.652716130343171","0.73661635051243"
"2","1985","Part Time","indirect migration background","16","","",""
"2","1985","Not Working","no migration background","1547","0.502087636531508","0.484950414107087","0.519224858955929"
"2","1985","Not Working","direct migration background","765","0.681095524743504","0.650493965247909","0.711697084239099"
"2","1985","Not Working","indirect migration background","56","0.717745084158851","0.613779951182234","0.821710217135469"
"3","1985","Full Time","no migration background","39","0.0121970783592412","0.00847677789193447","0.0159173788265479"
"3","1985","Full Time","direct migration background","40","0.0297189675797154","0.0213748842784924","0.0380630508809384"
"3","1985","Full Time","indirect migration background","","","",""
"3","1985","Part Time","no migration background","13","","",""
"3","1985","Part Time","direct migration background","9","","",""
"3","1985","Part Time","indirect migration background","","","",""
"3","1985","Not Working","no migration background","37","0.0124385377446892","0.00863978570827607","0.0162372897811024"
"3","1985","Not Working","direct migration background","18","","",""
"3","1985","Not Working","indirect migration background","","","",""
"4","1985","Full Time","no migration background","","","",""
"4","1985","Full Time","direct migration background","","","",""
"4","1985","Full Time","indirect migration background","","","",""
"4","1985","Part Time","no migration background","","","",""
"4","1985","Part Time","direct migration background","","","",""
"4","1985","Part Time","indirect migration background","","","",""
"4","1985","Not Working","no migration background","","","",""
"4","1985","Not Working","direct migration background","","","",""
"4","1985","Not Working","indirect migration background","","","",""
"5","1985","Full Time","no migration background","","","",""
"5","1985","Full Time","direct migration background","","","",""
"5","1985","Full Time","indirect migration background","","","",""
"5","1985","Part Time","no migration background","","","",""
"5","1985","Part Time","direct migration background","","","",""
"5","1985","Part Time","indirect migration background","","","",""
"5","1985","Not Working","no migration background","","","",""
"5","1985","Not Working","direct migration background","","","",""
"5","1985","Not Working","indirect migration background","","","",""
"1","1986","Full Time","no migration background","1691","0.502310486926562","0.485160181225426","0.519460792627697"
"1","1986","Full Time","direct migration background","163","0.185633776133241","0.166214809899221","0.205052742367261"
"1","1986","Full Time","indirect migration background","13","","",""
"1","1986","Part Time","no migration background","655","0.478715837698028","0.451918995347632","0.505512680048423"
"1","1986","Part Time","direct migration background","54","0.234713267410317","0.195983036441823","0.273443498378812"
"1","1986","Part Time","indirect migration background","9","","",""
"1","1986","Not Working","no migration background","1654","0.493328178835138","0.475511910760194","0.511144446910082"
"1","1986","Not Working","direct migration background","118","0.291232872881592","0.260761562133264","0.321704183629921"
"1","1986","Not Working","indirect migration background","17","","",""
"2","1986","Full Time","no migration background","1520","0.48212236775038","0.464982845370112","0.499261890130648"
"2","1986","Full Time","direct migration background","1330","0.786419003868181","0.765950031755461","0.8068879759809"
"2","1986","Full Time","indirect migration background","43","0.767000551963823","0.656279714539326","0.877721389388319"
"2","1986","Part Time","no migration background","663","0.507586775568566","0.480768709183068","0.534404841954064"
"2","1986","Part Time","direct migration background","390","0.73010174262728","0.689535862036145","0.770667623218415"
"2","1986","Part Time","indirect migration background","27","","",""
"2","1986","Not Working","no migration background","1329","0.488902326520909","0.471088861491989","0.506715791549829"
"2","1986","Not Working","direct migration background","713","0.681562956271557","0.65031771112946","0.712808201413655"
"2","1986","Not Working","indirect migration background","47","0.725749405471622","0.616448128148696","0.835050682794547"
"3","1986","Full Time","no migration background","54","0.0155671453230581","0.0113209102048375","0.0198133804412788"
"3","1986","Full Time","direct migration background","47","0.0279472199985786","0.019715284463604","0.0361791555335532"
"3","1986","Full Time","indirect migration background","","","",""
"3","1986","Part Time","no migration background","17","","",""
"3","1986","Part Time","direct migration background","16","","",""
"3","1986","Part Time","indirect migration background","","","",""
"3","1986","Not Working","no migration background","41","0.0173911348176316","0.0127327034498671","0.0220495661853961"
"3","1986","Not Working","direct migration background","23","","",""
"3","1986","Not Working","indirect migration background","","","",""
"4","1986","Full Time","no migration background","","","",""
"4","1986","Full Time","direct migration background","","","",""
"4","1986","Full Time","indirect migration background","","","",""
"4","1986","Part Time","no migration background","","","",""
"4","1986","Part Time","direct migration background","","","",""
"4","1986","Part Time","indirect migration background","","","",""
"4","1986","Not Working","no migration background","1","","",""
"4","1986","Not Working","direct migration background","","","",""
"4","1986","Not Working","indirect migration background","","","",""
"5","1986","Full Time","no migration background","","","",""
"5","1986","Full Time","direct migration background","","","",""
"5","1986","Full Time","indirect migration background","","","",""
"5","1986","Part Time","no migration background","","","",""
"5","1986","Part Time","direct migration background","","","",""
"5","1986","Part Time","indirect migration background","","","",""
"5","1986","Not Working","no migration background","","","",""
"5","1986","Not Working","direct migration background","","","",""
"5","1986","Not Working","indirect migration background","","","",""
"1","1987","Full Time","no migration background","1731","0.510425108686107","0.493343619706758","0.527506597665455"
"1","1987","Full Time","direct migration background","171","0.194668522574188","0.17490605784792","0.214430987300455"
"1","1987","Full Time","indirect migration background","14","","",""
"1","1987","Part Time","no migration background","671","0.479233208239701","0.452445228890861","0.50602118758854"
"1","1987","Part Time","direct migration background","53","0.228870258901756","0.189793816921369","0.267946700882143"
"1","1987","Part Time","indirect migration background","7","","",""
"1","1987","Not Working","no migration background","1534","0.480813535891455","0.462521585227143","0.499105486555767"
"1","1987","Not Working","direct migration background","134","0.310287906190102","0.279243030837969","0.341332781542236"
"1","1987","Not Working","indirect migration background","20","","",""
"2","1987","Full Time","no migration background","1495","0.468777878201149","0.451726017640135","0.485829738762162"
"2","1987","Full Time","direct migration background","1335","0.777162969219759","0.756392053903431","0.797933884536088"
"2","1987","Full Time","indirect migration background","50","0.674602350289283","0.56156882981161","0.787635870766956"
"2","1987","Part Time","no migration background","634","0.496344730976185","0.469534332998416","0.523155128953953"
"2","1987","Part Time","direct migration background","376","0.732612591655469","0.69144416485766","0.773781018453279"
"2","1987","Part Time","indirect migration background","28","","",""
"2","1987","Not Working","no migration background","1286","0.500129916722297","0.481824484504327","0.518435348940266"
"2","1987","Not Working","direct migration background","701","0.662810389617675","0.631085120017939","0.694535659217411"
"2","1987","Not Working","indirect migration background","56","0.690496520816134","0.586563198549665","0.794429843082603"
"3","1987","Full Time","no migration background","62","0.0202291525239487","0.0154185304132575","0.0250397746346399"
"3","1987","Full Time","direct migration background","36","0.0281685082060528","0.0199103478450334","0.0364266685670722"
"3","1987","Full Time","indirect migration background","2","","",""
"3","1987","Part Time","no migration background","31","0.0244220607841145","0.0161451742541911","0.0326989473140379"
"3","1987","Part Time","direct migration background","15","","",""
"3","1987","Part Time","indirect migration background","","","",""
"3","1987","Not Working","no migration background","45","0.018376574026414","0.0134594096204147","0.0232937384324133"
"3","1987","Not Working","direct migration background","16","","",""
"3","1987","Not Working","indirect migration background","","","",""
"4","1987","Full Time","no migration background","2","","",""
"4","1987","Full Time","direct migration background","","","",""
"4","1987","Full Time","indirect migration background","","","",""
"4","1987","Part Time","no migration background","","","",""
"4","1987","Part Time","direct migration background","","","",""
"4","1987","Part Time","indirect migration background","","","",""
"4","1987","Not Working","no migration background","1","","",""
"4","1987","Not Working","direct migration background","2","","",""
"4","1987","Not Working","indirect migration background","","","",""
"5","1987","Full Time","no migration background","","","",""
"5","1987","Full Time","direct migration background","","","",""
