"hgowner","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1984","Employed","4717","0.526095993637498","0.514846441917976","0.53734554535702","2"
"Main tenant","1984","Not Employed","2646","0.513122838248541","0.498776675367332","0.527469001129749","2"
"Owner","1984","Not Employed","1953","0.472413609325513","0.458084362105554","0.486742856545471","1"
"Owner","1984","Employed","2730","0.461897953645036","0.450665804275727","0.473130103014345","1"
"Resident or shared accommodation","1984","Not Employed","","","","","5"
"Resident or shared accommodation","1984","Employed","","","","","5"
"Subtenant","1984","Not Employed","47","0.0113099519420575","0.00827483209667853","0.0143450717874365","3"
"Subtenant","1984","Employed","106","0.0107338159939845","0.00841219573803852","0.0130554362499305","3"
"Tenant","1984","Not Employed","17","","","","4"
"Tenant","1984","Employed","15","","","","4"
"Main tenant","1985","Not Employed","2368","0.517016043679142","0.501962376183748","0.532069711174537","2"
"Main tenant","1985","Employed","4137","0.521818821445329","0.509992977334421","0.533644665556238","2"
"Owner","1985","Not Employed","1810","0.469808403010847","0.454773495282831","0.484843310738862","1"
"Owner","1985","Employed","2616","0.465078935037179","0.453270720747422","0.476887149326936","1"
"Resident or shared accommodation","1985","Not Employed","","","","","5"
"Resident or shared accommodation","1985","Employed","","","","","5"
"Subtenant","1985","Not Employed","55","0.0131755533100111","0.00974054068229262","0.0166105659377296","3"
"Subtenant","1985","Employed","101","0.0131022435174914","0.0104101821526831","0.0157943048822996","3"
"Tenant","1985","Not Employed","","","","","4"
"Tenant","1985","Employed","","","","","4"
"Main tenant","1986","Not Employed","2089","0.506325621354658","0.490720399446493","0.521930843262824","2"
"Main tenant","1986","Employed","3973","0.522627413005459","0.510660146689253","0.534594679321665","2"
"Owner","1986","Not Employed","1789","0.475230463862911","0.459643154803449","0.490817772922372","1"
"Owner","1986","Employed","2585","0.460763363282523","0.448820765925749","0.472705960639296","1"
"Resident or shared accommodation","1986","Not Employed","","","","","5"
"Resident or shared accommodation","1986","Employed","","","","","5"
"Subtenant","1986","Employed","134","0.0166092237120185","0.013547204879168","0.019671242544869","3"
"Subtenant","1986","Not Employed","64","0.0180992436521827","0.0139382340974961","0.0222602532068693","3"
"Tenant","1986","Employed","","","","","4"
"Tenant","1986","Not Employed","1","","","","4"
"Main tenant","1987","Not Employed","2043","0.515907760735003","0.500007937667743","0.531807583802263","2"
"Main tenant","1987","Employed","3918","0.511438943109992","0.499481286222135","0.523396599997849","2"
"Owner","1987","Not Employed","1688","0.464447119321765","0.448579509327602","0.480314729315927","1"
"Owner","1987","Employed","2647","0.465788907477508","0.453856150685016","0.47772166427","1"
"Resident or shared accommodation","1987","Not Employed","","","","","5"
"Resident or shared accommodation","1987","Employed","","","","","5"
"Subtenant","1987","Not Employed","61","0.0185233197395622","0.0142334746939943","0.02281316478513","3"
"Subtenant","1987","Employed","146","0.0224154462995418","0.0188743264316349","0.0259565661674487","3"
"Tenant","1987","Employed","2","","","","4"
"Tenant","1987","Not Employed","3","","","","4"
"Main tenant","1988","Employed","3766","0.503972801294367","0.491769091501832","0.516176511086902","2"
"Main tenant","1988","Not Employed","1954","0.519815411325196","0.503431369414713","0.536199453235679","2"
