"hgowner","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Owner","1986","Full Time","Rural Area","571","0.651897299843178","0.621980722923292","0.681813876763065","1"
"Owner","1986","Part Time","Urban Area","501","0.409131412889624","0.383719022891477","0.434543802887772","1"
"Owner","1986","Part Time","Rural Area","217","0.581576847155993","0.532805671571271","0.630348022740715","1"
"Owner","1986","Not Working","Urban Area","1261","0.433446354631691","0.416083005175456","0.450809704087925","1"
"Owner","1986","Not Working","Rural Area","528","0.613103335857531","0.579645317066952","0.646561354648111","1"
"Resident or shared accommodation","1986","Full Time","Urban Area","","","","","5"
"Resident or shared accommodation","1986","Full Time","Rural Area","","","","","5"
"Resident or shared accommodation","1986","Part Time","Urban Area","","","","","5"
"Resident or shared accommodation","1986","Part Time","Rural Area","","","","","5"
"Resident or shared accommodation","1986","Not Working","Urban Area","","","","","5"
"Resident or shared accommodation","1986","Not Working","Rural Area","","","","","5"
"Subtenant","1986","Full Time","Urban Area","76","0.0178045668706153","0.0136473231834576","0.0219618105577729","3"
"Subtenant","1986","Part Time","Urban Area","27","","","","3"
"Subtenant","1986","Full Time","Rural Area","25","","","","3"
"Subtenant","1986","Not Working","Urban Area","50","0.0169948629145099","0.012466074446","0.0215236513830197","3"
"Subtenant","1986","Part Time","Rural Area","6","","","","3"
"Subtenant","1986","Not Working","Rural Area","14","","","","3"
"Tenant","1986","Part Time","Rural Area","","","","","4"
"Tenant","1986","Full Time","Rural Area","","","","","4"
"Tenant","1986","Full Time","Urban Area","","","","","4"
"Tenant","1986","Part Time","Urban Area","","","","","4"
"Tenant","1986","Not Working","Urban Area","","","","","4"
"Tenant","1986","Not Working","Rural Area","1","","","","4"
"Main tenant","1987","Full Time","Rural Area","410","0.337085158813165","0.307458863295319","0.36671145433101","2"
"Main tenant","1987","Full Time","Urban Area","2470","0.555076751153442","0.539519812961095","0.57063368934579","2"
"Main tenant","1987","Part Time","Rural Area","173","0.380699910838475","0.333814098837516","0.427585722839434","2"
"Main tenant","1987","Part Time","Urban Area","865","0.571993054917276","0.54610257853844","0.597883531296112","2"
"Main tenant","1987","Not Working","Urban Area","1762","0.555882232353971","0.538176011700025","0.573588453007917","2"
"Main tenant","1987","Not Working","Rural Area","281","0.38089948699541","0.346599930520659","0.41519904347016","2"
"Owner","1987","Full Time","Urban Area","1362","0.421284352701585","0.405827348162996","0.436741357240175","1"
"Owner","1987","Full Time","Rural Area","554","0.648136019066512","0.618206540662213","0.678065497470811","1"
"Owner","1987","Part Time","Urban Area","502","0.403935949285793","0.378260268158819","0.429611630412767","1"
"Owner","1987","Part Time","Rural Area","229","0.589199053699014","0.541693299096795","0.636704808301234","1"
"Owner","1987","Not Working","Urban Area","1212","0.424875096455175","0.407259509183949","0.442490683726401","1"
"Owner","1987","Not Working","Rural Area","476","0.598096177814059","0.563466431491977","0.632725924136141","1"
"Resident or shared accommodation","1987","Full Time","Urban Area","","","","","5"
"Resident or shared accommodation","1987","Full Time","Rural Area","","","","","5"
"Resident or shared accommodation","1987","Part Time","Urban Area","","","","","5"
"Resident or shared accommodation","1987","Not Working","Urban Area","","","","","5"
"Resident or shared accommodation","1987","Part Time","Rural Area","","","","","5"
"Resident or shared accommodation","1987","Not Working","Rural Area","","","","","5"
"Subtenant","1987","Full Time","Urban Area","86","0.0229984837690705","0.0183060054047883","0.0276909621333527","3"
"Subtenant","1987","Part Time","Urban Area","36","0.024070995796931","0.0160509768063361","0.032091014787526","3"
"Subtenant","1987","Full Time","Rural Area","14","","","","3"
"Subtenant","1987","Part Time","Rural Area","10","","","","3"
"Subtenant","1987","Not Working","Urban Area","48","0.0177887182297149","0.0130782921957559","0.0224991442636738","3"
"Subtenant","1987","Not Working","Rural Area","13","","","","3"
"Tenant","1987","Full Time","Urban Area","2","","","","4"
"Tenant","1987","Full Time","Rural Area","","","","","4"
"Tenant","1987","Part Time","Urban Area","","","","","4"
"Tenant","1987","Part Time","Rural Area","","","","","4"
"Tenant","1987","Not Working","Urban Area","3","","","","4"
"Tenant","1987","Not Working","Rural Area","","","","","4"
"Main tenant","1988","Full Time","Rural Area","371","0.336144390697024","0.305161487477002","0.367127293917045","2"
"Main tenant","1988","Full Time","Urban Area","2322","0.5430729865239","0.527039397563454","0.559106575484347","2"
"Main tenant","1988","Part Time","Urban Area","889","0.569139547129281","0.543383357280959","0.594895736977602","2"
"Main tenant","1988","Part Time","Rural Area","184","0.370224992314381","0.324425598397464","0.416024386231298","2"
"Main tenant","1988","Not Working","Urban Area","1687","0.556485363594412","0.538303459237325","0.574667267951499","2"
"Main tenant","1988","Not Working","Rural Area","267","0.392564807855441","0.356493040765163","0.428636574945718","2"
"Owner","1988","Full Time","Urban Area","1306","0.429833386576174","0.413899225881245","0.445767547271103","1"
"Owner","1988","Full Time","Rural Area","498","0.636220886833001","0.604667556591157","0.667774217074845","1"
"Owner","1988","Part Time","Urban Area","505","0.409139833488159","0.383566805312269","0.434712861664049","1"
"Owner","1988","Part Time","Rural Area","236","0.60918195918948","0.562901786394903","0.655462131984057","1"
"Owner","1988","Not Working","Urban Area","1134","0.422098668382087","0.404023083615072","0.440174253149102","1"
"Owner","1988","Not Working","Rural Area","423","0.582969685452109","0.546547285398386","0.619392085505831","1"
"Resident or shared accommodation","1988","Full Time","Urban Area","","","","","5"
"Resident or shared accommodation","1988","Full Time","Rural Area","","","","","5"
"Resident or shared accommodation","1988","Part Time","Urban Area","","","","","5"
"Resident or shared accommodation","1988","Not Working","Urban Area","","","","","5"
"Resident or shared accommodation","1988","Part Time","Rural Area","","","","","5"
"Resident or shared accommodation","1988","Not Working","Rural Area","","","","","5"
"Subtenant","1988","Full Time","Urban Area","80","0.0270936268999257","0.0218678925885993","0.032319361211252","3"
"Subtenant","1988","Full Time","Rural Area","22","","","","3"
"Subtenant","1988","Part Time","Urban Area","26","","","","3"
"Subtenant","1988","Part Time","Rural Area","7","","","","3"
"Subtenant","1988","Not Working","Urban Area","46","0.020497827199966","0.0153120347248479","0.0256836196750842","3"
"Subtenant","1988","Not Working","Rural Area","14","","","","3"
"Tenant","1988","Full Time","Rural Area","2","","","","4"
"Tenant","1988","Full Time","Urban Area","","","","","4"
"Tenant","1988","Part Time","Urban Area","","","","","4"
"Tenant","1988","Part Time","Rural Area","","","","","4"
"Tenant","1988","Not Working","Urban Area","1","","","","4"
"Tenant","1988","Not Working","Rural Area","","","","","4"
"Main tenant","1989","Full Time","Urban Area","2326","0.552815504190296","0.536753539805791","0.568877468574801","2"
"Main tenant","1989","Part Time","Urban Area","789","0.529131063759817","0.502375504278988","0.555886623240647","2"
"Main tenant","1989","Full Time","Rural Area","378","0.347294026020951","0.315747501881345","0.378840550160557","2"
