"hgowner","year","sex","n","percent","lower_confidence","upper_confidence"
"1","1984","Male","2323","0.48656026613295","0.473912270192097","0.499208262073803"
"1","1984","Female","2360","0.448743432449644","0.436395043234878","0.461091821664409"
"2","1984","Male","3567","0.49874791575162","0.486095387879539","0.5114004436237"
"2","1984","Female","3796","0.539596053455372","0.527221251141368","0.551970855769376"
"3","1984","Male","92","0.0124876782329895","0.00967758472509464","0.0152977717408844"
"3","1984","Female","61","0.00965612281256169","0.00722823413655298","0.0120840114885704"
"4","1984","Male","17","","",""
"4","1984","Female","15","","",""
"5","1984","Male","","","",""
"5","1984","Female","","","",""
"1","1985","Male","2215","0.491249029534877","0.477982595814575","0.504515463255179"
"1","1985","Female","2211","0.445739571324077","0.432758387493347","0.458720755154807"
"2","1985","Male","3153","0.494416595150046","0.481148956388512","0.50768423391158"
"2","1985","Female","3352","0.542192568326271","0.529180840587107","0.555204296065436"
"3","1985","Male","87","0.014334375315077","0.0111800614525498","0.0174886891776042"
"3","1985","Female","69","0.0120678603496517","0.00921621532621498","0.0149195053730885"
"4","1985","Male","","","",""
"4","1985","Female","","","",""
"5","1985","Male","","","",""
"5","1985","Female","","","",""
"1","1986","Male","2189","0.48923882114066","0.475732344712029","0.50274529756929"
"1","1986","Female","2185","0.447067635710554","0.433773433146049","0.460361838275059"
"2","1986","Male","2965","0.492556240300457","0.479048131810005","0.506064348790909"
"2","1986","Female","3097","0.536254269121307","0.522920129006498","0.549588409236116"
"3","1986","Male","108","0.0182049385588831","0.0145926893924779","0.0218171877252884"
"3","1986","Female","90","0.0163965781703898","0.0130009017561053","0.0197922545846742"
"4","1986","Male","","","",""
"4","1986","Female","1","","",""
"5","1986","Male","","","",""
"5","1986","Female","","","",""
"1","1987","Male","2173","0.488480548687094","0.47489947326689","0.502061624107298"
"1","1987","Female","2162","0.444390401355406","0.431017872669379","0.457762930041433"
"2","1987","Male","2918","0.489307253995942","0.475725679543034","0.50288882844885"
"2","1987","Female","3043","0.534807195619741","0.521383829103404","0.548230562136078"
"3","1987","Male","110","0.0212259988886687","0.0173098902790484","0.0251421074982891"
"3","1987","Female","97","0.0204051648230101","0.0166002965112598","0.0242100331347605"
"4","1987","Male","3","","",""
"4","1987","Female","2","","",""
"5","1987","Male","","","",""
"5","1987","Female","","","",""
"1","1988","Male","2070","0.493623463561415","0.479699957395581","0.507546969727249"
"1","1988","Female","2032","0.439843326059965","0.426176225196488","0.453510426923442"
"2","1988","Male","2783","0.483032359086619","0.46911574065699","0.496948977516249"
"2","1988","Female","2937","0.535382851666126","0.521650260696008","0.549115442636243"
"3","1988","Male","99","0.0231630542152305","0.0189739334799877","0.0273521749504733"
"3","1988","Female","96","0.024132832323387","0.0199073903706183","0.0283582742761556"
"4","1988","Male","1","","",""
"4","1988","Female","2","","",""
"5","1988","Male","","","",""
"5","1988","Female","","","",""
"1","1989","Male","2016","0.494518956460194","0.480345425670743","0.508692487249645"
"1","1989","Female","1993","0.449673803935061","0.435779142913845","0.463568464956278"
"2","1989","Male","2661","0.480114823529942","0.465951655177458","0.494277991882426"
"2","1989","Female","2840","0.526864397847479","0.512918987127878","0.54080980856708"
"3","1989","Male","94","0.0228261517555917","0.018592292560552","0.0270600109506314"
