"hgowner","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1985","1-pers.-HH","Rural Area","117","0.646052888702357","0.576000201721373","0.71610557568334","2"
"Main tenant","1985","(Married) couple without C. ","Urban Area","1253","0.602429091334255","0.580629132092322","0.624229050576189","2"
"Main tenant","1985","(Married) couple without C. ","Rural Area","239","0.439975386551669","0.396422638147014","0.483528134956325","2"
"Main tenant","1985","1-pers.-HH","Urban Area","781","0.776004214227136","0.750189567033071","0.801818861421201","2"
"Main tenant","1985","Single parent ","Urban Area","304","0.625789175527693","0.580103331554976","0.671475019500411","2"
"Main tenant","1985","Single parent ","Rural Area","47","0.438636244949021","0.347943277391606","0.529329212506436","2"
"Main tenant","1985","Couple + C. LE 16 ","Urban Area","1450","0.575047494174812","0.55407880866093","0.596016179688694","2"
"Main tenant","1985","Couple + C. LE 16 ","Rural Area","286","0.454232551344882","0.412507452967826","0.495957649721939","2"
"Main tenant","1985","Couple + C. GT 16 ","Urban Area","821","0.393757189299372","0.370132459060657","0.417381919538088","2"
"Main tenant","1985","Couple + C. GT 16 ","Rural Area","85","0.186091577488944","0.147267104546423","0.224916050431464","2"
"Main tenant","1985","Couple + C. LE and GT 16","Urban Area","708","0.374878325948898","0.347020543609555","0.402736108288241","2"
"Main tenant","1985","Couple + C. LE and GT 16","Rural Area","83","0.121376962574248","0.0863021466909218","0.156451778457573","2"
"Owner","1985","1-pers.-HH","Urban Area","167","0.190956904332365","0.166619865165987","0.215293943498744","1"
"Owner","1985","1-pers.-HH","Rural Area","50","0.301900731166136","0.234647640181712","0.36915382215056","1"
"Owner","1985","(Married) couple without C. ","Urban Area","657","0.387742831781078","0.366039108547979","0.409446555014176","1"
"Owner","1985","(Married) couple without C. ","Rural Area","254","0.546756328416714","0.503078543845539","0.590434112987889","1"
"Owner","1985","Single parent ","Urban Area","119","0.360004785762286","0.31468874526631","0.405320826258262","1"
"Owner","1985","Single parent ","Rural Area","68","0.561363755050979","0.470670787493564","0.652056722608394","1"
"Owner","1985","Couple + C. LE 16 ","Urban Area","655","0.409822535687672","0.388961379221832","0.430683692153512","1"
"Owner","1985","Couple + C. LE 16 ","Rural Area","255","0.539513469078655","0.497743510996227","0.581283427161083","1"
"Owner","1985","Couple + C. GT 16 ","Urban Area","813","0.601707758834188","0.578036408212561","0.625379109455816","1"
"Owner","1985","Couple + C. GT 16 ","Rural Area","301","0.813908422511056","0.775083949568536","0.852732895453577","1"
"Owner","1985","Couple + C. LE and GT 16","Urban Area","452","0.625121674051102","0.597263891711759","0.652979456390445","1"
"Owner","1985","Couple + C. LE and GT 16","Rural Area","250","0.878623037425752","0.843548221542426","0.913697853309078","1"
"Resident or shared accommodation","1985","Couple + C. LE 16 ","Urban Area","","","","","5"
"Resident or shared accommodation","1985","Single parent ","Urban Area","","","","","5"
"Resident or shared accommodation","1985","Single parent ","Rural Area","","","","","5"
"Resident or shared accommodation","1985","1-pers.-HH","Urban Area","","","","","5"
"Resident or shared accommodation","1985","(Married) couple without C. ","Urban Area","","","","","5"
"Resident or shared accommodation","1985","Couple + C. LE 16 ","Rural Area","","","","","5"
"Resident or shared accommodation","1985","1-pers.-HH","Rural Area","","","","","5"
"Resident or shared accommodation","1985","(Married) couple without C. ","Rural Area","","","","","5"
"Resident or shared accommodation","1985","Couple + C. GT 16 ","Urban Area","","","","","5"
"Resident or shared accommodation","1985","Couple + C. GT 16 ","Rural Area","","","","","5"
"Resident or shared accommodation","1985","Couple + C. LE and GT 16","Urban Area","","","","","5"
"Resident or shared accommodation","1985","Couple + C. LE and GT 16","Rural Area","","","","","5"
"Subtenant","1985","(Married) couple without C. ","Urban Area","26","","","","3"
"Subtenant","1985","(Married) couple without C. ","Rural Area","6","","","","3"
"Subtenant","1985","1-pers.-HH","Urban Area","54","0.0330388814404986","0.0219718433745403","0.0441059195064569","3"
"Subtenant","1985","1-pers.-HH","Rural Area","12","","","","3"
"Subtenant","1985","Single parent ","Urban Area","8","","","","3"
"Subtenant","1985","Couple + C. LE 16 ","Urban Area","30","0.0151299701375163","0.0099520225786989","0.0203079176963337","3"
"Subtenant","1985","Single parent ","Rural Area","","","","","3"
"Subtenant","1985","Couple + C. LE 16 ","Rural Area","6","","","","3"
"Subtenant","1985","Couple + C. GT 16 ","Urban Area","9","","","","3"
"Subtenant","1985","Couple + C. GT 16 ","Rural Area","","","","","3"
"Subtenant","1985","Couple + C. LE and GT 16","Urban Area","","","","","3"
"Subtenant","1985","Couple + C. LE and GT 16","Rural Area","","","","","3"
"Tenant","1985","1-pers.-HH","Rural Area","","","","","4"
"Tenant","1985","(Married) couple without C. ","Urban Area","","","","","4"
"Tenant","1985","1-pers.-HH","Urban Area","","","","","4"
"Tenant","1985","(Married) couple without C. ","Rural Area","","","","","4"
"Tenant","1985","Couple + C. LE and GT 16","Rural Area","","","","","4"
"Tenant","1985","Single parent ","Urban Area","","","","","4"
"Tenant","1985","Couple + C. LE 16 ","Urban Area","","","","","4"
"Tenant","1985","Single parent ","Rural Area","","","","","4"
