"hgowner","year","migback","n","percent","lower_confidence","upper_confidence"
"1","1984","no migration background","4336","0.493864331527263","0.483350149751336","0.50437851330319"
"1","1984","direct migration background","313","0.212983086163758","0.19925562598845","0.226710546339065"
"1","1984","indirect migration background","34","0.318168215583469","0.237479997691847","0.398856433475091"
"2","1984","no migration background","4259","0.495004328797625","0.484489880141338","0.505518777453913"
"2","1984","direct migration background","3014","0.757905978483792","0.743543635281314","0.772268321686269"
"2","1984","indirect migration background","90","0.610486982071731","0.526009239825217","0.694964724318246"
"3","1984","no migration background","76","0.00948362675250158","0.00744538246195394","0.0115218710430492"
"3","1984","direct migration background","73","0.0226373614473729","0.0176500513662724","0.0276246715284734"
"3","1984","indirect migration background","4","","",""
"4","1984","no migration background","15","","",""
"4","1984","direct migration background","17","","",""
"4","1984","indirect migration background","","","",""
"5","1984","no migration background","","","",""
"5","1984","direct migration background","","","",""
"5","1984","indirect migration background","","","",""
"1","1985","no migration background","4064","0.492031497876585","0.481074987972759","0.502988007780411"
"1","1985","direct migration background","329","0.24182195183377","0.226357344202416","0.257286559465124"
"1","1985","indirect migration background","33","0.277023420856128","0.203928499496909","0.350118342215347"
"2","1985","no migration background","3845","0.495976080503353","0.485018533787685","0.506933627219022"
"2","1985","direct migration background","2549","0.733457997640106","0.71748906482611","0.749426930454101"
"2","1985","indirect migration background","111","0.722976579143872","0.649881657784653","0.796071500503091"
"3","1985","no migration background","89","0.0119924216200616","0.00960685816361408","0.0143779850765091"
"3","1985","direct migration background","67","0.0247200505261242","0.0191122214718962","0.0303278795803521"
"3","1985","indirect migration background","","","",""
"4","1985","no migration background","","","",""
"4","1985","direct migration background","","","",""
"4","1985","indirect migration background","","","",""
"5","1985","no migration background","","","",""
"5","1985","direct migration background","","","",""
"5","1985","indirect migration background","","","",""
"1","1986","no migration background","4000","0.49456765738854","0.483345598652232","0.505789716124847"
"1","1986","direct migration background","335","0.231782470153086","0.216301309887356","0.247263630418816"
"1","1986","indirect migration background","39","0.263072004329431","0.193978751943229","0.332165256715633"
"2","1986","no migration background","3512","0.489200071502655","0.477979968681177","0.500420174324133"
"2","1986","direct migration background","2433","0.739312587242276","0.723206309359037","0.755418865125516"
"2","1986","indirect migration background","117","0.736927995670569","0.667834743284367","0.806021248056771"
"3","1986","no migration background","112","0.0160662498849531","0.0132441761644761","0.0188883236054302"
"3","1986","direct migration background","86","0.0289049426046378","0.0227582989772075","0.035051586232068"
"3","1986","indirect migration background","","","",""
"4","1986","no migration background","1","","",""
"4","1986","direct migration background","","","",""
"4","1986","indirect migration background","","","",""
"5","1986","no migration background","","","",""
"5","1986","direct migration background","","","",""
"5","1986","indirect migration background","","","",""
"1","1987","no migration background","3936","0.492748485101765","0.481427778579213","0.504069191624318"
"1","1987","direct migration background","358","0.241835480345407","0.226084516598353","0.257586444092462"
"1","1987","indirect migration background","41","0.273582318450932","0.207907531289914","0.339257105611949"
"2","1987","no migration background","3415","0.4865953824884","0.475277554645069","0.497913210331731"
"2","1987","direct migration background","2412","0.728775021981151","0.712420909678295","0.745129134284007"
"2","1987","indirect migration background","134","0.72057717080124","0.654472423401238","0.786681918201242"
"3","1987","no migration background","138","0.02013420902615","0.0169536768677228","0.0233147411845772"
"3","1987","direct migration background","67","0.0273576796413958","0.0213572602534238","0.0333580990293679"
"3","1987","indirect migration background","2","","",""
"4","1987","no migration background","3","","",""
"4","1987","direct migration background","2","","",""
"4","1987","indirect migration background","","","",""
"5","1987","no migration background","","","",""
"5","1987","direct migration background","","","",""
"5","1987","indirect migration background","","","",""
"1","1988","no migration background","3706","0.491508184581402","0.479884525868185","0.503131843294619"
"1","1988","direct migration background","351","0.251794364258554","0.235392038186161","0.268196690330947"
"1","1988","indirect migration background","45","0.247502382477601","0.190987043295966","0.304017721659235"
"2","1988","no migration background","3249","0.484670207649293","0.473050337438895","0.49629007785969"
"2","1988","direct migration background","2293","0.720221597209471","0.703258228007105","0.737184966411837"
"2","1988","indirect migration background","178","0.748033067533234","0.691179692052665","0.804886443013802"
"3","1988","no migration background","148","0.0233473561273172","0.0198364080372323","0.0268583042174022"
"3","1988","direct migration background","46","0.0279840385319752","0.0217515161851695","0.0342165608787809"
"3","1988","indirect migration background","1","","",""
"4","1988","no migration background","3","","",""
"4","1988","direct migration background","","","",""
"4","1988","indirect migration background","","","",""
"5","1988","no migration background","","","",""
"5","1988","direct migration background","","","",""
"5","1988","indirect migration background","","","",""
"1","1989","no migration background","3601","0.49998502997826","0.488134069578228","0.511835990378293"
"1","1989","direct migration background","358","0.254368659858583","0.237647947988453","0.271089371728713"
"1","1989","indirect migration background","50","0.225373113658094","0.174585389426263","0.276160837889925"
"2","1989","no migration background","3093","0.475676552753283","0.463839623423509","0.487513482083057"
"2","1989","direct migration background","2199","0.719144406673248","0.701889584910351","0.736399228436145"
"2","1989","indirect migration background","209","0.77247558481355","0.721516948048669","0.823434221578432"
"3","1989","no migration background","131","0.022403534387056","0.0188958410060955","0.0259112277680165"
"3","1989","direct migration background","48","0.0229936567752265","0.0172390772094335","0.0287482363410194"
"3","1989","indirect migration background","1","","",""
"4","1989","no migration background","13","","",""
"4","1989","direct migration background","1","","",""
"4","1989","indirect migration background","","","",""
"5","1989","no migration background","","","",""
"5","1989","direct migration background","","","",""
"5","1989","indirect migration background","","","",""
"1","1990","no migration background","4921","0.454507158628192","0.445185613769601","0.463828703486783"
"1","1990","direct migration background","433","0.25478491202509","0.238333757603474","0.271236066446705"
"1","1990","indirect migration background","52","0.196383193782108","0.15127903123384","0.241487356330376"
"2","1990","no migration background","5736","0.517332724526114","0.507977980569502","0.526687468482725"
"2","1990","direct migration background","2198","0.712867464847755","0.695786424993675","0.729948504701835"
"2","1990","indirect migration background","243","0.790077940936439","0.743839416547799","0.836316465325079"
"3","1990","no migration background","295","0.0272299265184746","0.0241830746690841","0.030276778367865"
"3","1990","direct migration background","62","0.0320604354392948","0.0254095795820174","0.0387112912965723"
"3","1990","indirect migration background","3","","",""
"4","1990","no migration background","9","","",""
"4","1990","direct migration background","2","","",""
"4","1990","indirect migration background","","","",""
"5","1990","no migration background","","","",""
"5","1990","direct migration background","","","",""
"5","1990","indirect migration background","","","",""
"1","1991","no migration background","4793","0.450614336331965","0.441174459100304","0.460054213563626"
"1","1991","direct migration background","452","0.264313634091958","0.247498984506267","0.281128283677648"
