"hgowner","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"1","1984","16-34 y.","no migration background","1274","0.417417582773254","0.400086250343503","0.434748915203005"
"1","1984","16-34 y.","direct migration background","89","0.134918540997271","0.116997233073426","0.152839848921115"
"1","1984","16-34 y.","indirect migration background","26","","",""
"1","1984","35-65 y.","no migration background","2478","0.56803975847721","0.553295779296383","0.582783737658037"
"1","1984","35-65 y.","direct migration background","212","0.249253585009447","0.230228534905923","0.268278635112971"
"1","1984","35-65 y.","indirect migration background","7","","",""
"1","1984","66 and older","no migration background","584","0.435117551025279","0.407523237791318","0.462711864259239"
"1","1984","66 and older","direct migration background","12","","",""
"1","1984","66 and older","indirect migration background","1","","",""
"2","1984","16-34 y.","no migration background","1791","0.567558442941748","0.550146914283544","0.584969971599953"
"2","1984","16-34 y.","direct migration background","1269","0.830489043146792","0.810806952705619","0.850171133587966"
"2","1984","16-34 y.","indirect migration background","74","0.622910038411957","0.52885476382151","0.716965313002405"
"2","1984","35-65 y.","no migration background","1832","0.425688434777904","0.410971303599314","0.440405565956494"
"2","1984","35-65 y.","direct migration background","1723","0.725634214024916","0.706010449619599","0.745257978430233"
"2","1984","35-65 y.","indirect migration background","14","","",""
"2","1984","66 and older","no migration background","636","0.547993071449376","0.520291951479915","0.575694191418837"
"2","1984","66 and older","direct migration background","22","","",""
"2","1984","66 and older","indirect migration background","2","","",""
"3","1984","16-34 y.","no migration background","40","0.0134821909872606","0.00942896704946031","0.017535414925061"
"3","1984","16-34 y.","direct migration background","32","0.0299057889661281","0.0209708833225589","0.0388406946096973"
"3","1984","16-34 y.","indirect migration background","2","","",""
"3","1984","35-65 y.","no migration background","21","","",""
"3","1984","35-65 y.","direct migration background","41","0.0195372106039168","0.0134501825134962","0.0256242386943373"
"3","1984","35-65 y.","indirect migration background","","","",""
"3","1984","66 and older","no migration background","15","","",""
"3","1984","66 and older","direct migration background","","","",""
"3","1984","66 and older","indirect migration background","2","","",""
"4","1984","16-34 y.","no migration background","5","","",""
"4","1984","16-34 y.","direct migration background","6","","",""
"4","1984","16-34 y.","indirect migration background","","","",""
"4","1984","35-65 y.","no migration background","5","","",""
"4","1984","35-65 y.","direct migration background","10","","",""
"4","1984","35-65 y.","indirect migration background","","","",""
"4","1984","66 and older","no migration background","5","","",""
"4","1984","66 and older","direct migration background","1","","",""
"4","1984","66 and older","indirect migration background","","","",""
"5","1984","16-34 y.","no migration background","","","",""
"5","1984","16-34 y.","direct migration background","","","",""
"5","1984","16-34 y.","indirect migration background","","","",""
"5","1984","35-65 y.","no migration background","","","",""
"5","1984","35-65 y.","direct migration background","","","",""
"5","1984","35-65 y.","indirect migration background","","","",""
"5","1984","66 and older","no migration background","","","",""
"5","1984","66 and older","direct migration background","","","",""
"5","1984","66 and older","indirect migration background","","","",""
"1","1985","16-34 y.","no migration background","1239","0.424249076427518","0.406289172680169","0.442208980174867"
"1","1985","16-34 y.","direct migration background","100","0.1736650974875","0.15179917732909","0.195531017645911"
"1","1985","16-34 y.","indirect migration background","27","","",""
"1","1985","35-65 y.","no migration background","2332","0.571042479419199","0.555729670525675","0.586355288312723"
"1","1985","35-65 y.","direct migration background","215","0.264325014887406","0.243693949388114","0.284956080386699"
"1","1985","35-65 y.","indirect migration background","5","","",""
"1","1985","66 and older","no migration background","493","0.409967379274716","0.380580422266233","0.4393543362832"
"1","1985","66 and older","direct migration background","14","","",""
"1","1985","66 and older","indirect migration background","1","","",""
