"hgowner","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"1","1984","1-pers.-HH","in school","","","",""
"1","1984","1-pers.-HH","inadequately","3","","",""
"1","1984","1-pers.-HH","general elemantary","100","0.286520326219382","0.24181900734119","0.331221645097574"
"1","1984","1-pers.-HH","middle vocational","98","0.180524481475539","0.150322174829052","0.210726788122026"
"1","1984","1-pers.-HH","vocational + Abi","8","","",""
"1","1984","1-pers.-HH","higher vocational","21","","",""
"1","1984","1-pers.-HH","higher education","26","","",""
"1","1984","(Married) couple without C. ","in school","","","",""
"1","1984","(Married) couple without C. ","inadequately","4","","",""
"1","1984","(Married) couple without C. ","general elemantary","286","0.46982196459459","0.43282321668373","0.50682071250545"
"1","1984","(Married) couple without C. ","middle vocational","534","0.409599999222837","0.383995498354305","0.435204500091369"
"1","1984","(Married) couple without C. ","vocational + Abi","24","","",""
"1","1984","(Married) couple without C. ","higher vocational","78","0.503718876175538","0.426487611883631","0.580950140467445"
"1","1984","(Married) couple without C. ","higher education","93","0.495791895555112","0.42718186227268","0.564401928837543"
"1","1984","Single parent ","in school","5","","",""
"1","1984","Single parent ","inadequately","3","","",""
"1","1984","Single parent ","general elemantary","64","0.386280721913115","0.318801589040981","0.453759854785249"
"1","1984","Single parent ","middle vocational","92","0.411042707971176","0.351236427567419","0.470848988374934"
"1","1984","Single parent ","vocational + Abi","2","","",""
"1","1984","Single parent ","higher vocational","13","","",""
"1","1984","Single parent ","higher education","6","","",""
"1","1984","Couple + C. LE 16 ","in school","","","",""
"1","1984","Couple + C. LE 16 ","inadequately","15","","",""
"1","1984","Couple + C. LE 16 ","general elemantary","151","0.360331957927059","0.323870024473256","0.396793891380861"
"1","1984","Couple + C. LE 16 ","middle vocational","559","0.43479346174618","0.409789737060449","0.459797186431911"
"1","1984","Couple + C. LE 16 ","vocational + Abi","14","","",""
"1","1984","Couple + C. LE 16 ","higher vocational","105","0.522898179702997","0.454856187624592","0.590940171781403"
"1","1984","Couple + C. LE 16 ","higher education","119","0.496018397866445","0.435933751874771","0.556103043858119"
