"hgowner","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"1","1984","16-34 y.","Not Employed","487","0.431081183208263","0.405910367556707","0.456251998859818"
"1","1984","16-34 y.","Employed","902","0.367033028213693","0.350123001071142","0.383943055356245"
"1","1984","35-65 y.","Not Employed","908","0.542776354822125","0.520721974671344","0.564830734972907"
"1","1984","35-65 y.","Employed","1789","0.525459480026614","0.510676274239909","0.540242685813319"
"1","1984","66 and older","Not Employed","558","0.426724706761475","0.398925217922098","0.454524195600852"
"1","1984","66 and older","Employed","39","0.586353172242166","0.465696152866957","0.707010191617374"
"2","1984","16-34 y.","Not Employed","977","0.554649863630203","0.529388728802026","0.57991099845838"
"2","1984","16-34 y.","Employed","2157","0.614647444423628","0.597573126309896","0.63172176253736"
"2","1984","35-65 y.","Not Employed","1034","0.447835659928336","0.425820919493275","0.469850400363397"
"2","1984","35-65 y.","Employed","2535","0.466675087327863","0.451905593901269","0.481444580754457"
"2","1984","66 and older","Not Employed","635","0.55357348492035","0.525632356962616","0.581514612878085"
"2","1984","66 and older","Employed","25","","",""
"3","1984","16-34 y.","Not Employed","19","","",""
"3","1984","16-34 y.","Employed","55","0.0165289862299027","0.0120559223768764","0.021002050082929"
"3","1984","35-65 y.","Not Employed","11","","",""
"3","1984","35-65 y.","Employed","51","0.00692622735206295","0.00447094476766656","0.00938150993645934"
"3","1984","66 and older","Not Employed","17","","",""
"3","1984","66 and older","Employed","","","",""
"4","1984","16-34 y.","Not Employed","4","","",""
"4","1984","16-34 y.","Employed","7","","",""
"4","1984","35-65 y.","Not Employed","7","","",""
"4","1984","35-65 y.","Employed","8","","",""
"4","1984","66 and older","Not Employed","6","","",""
"4","1984","66 and older","Employed","","","",""
"5","1984","16-34 y.","Not Employed","","","",""
"5","1984","16-34 y.","Employed","","","",""
"5","1984","35-65 y.","Not Employed","","","",""
"5","1984","35-65 y.","Employed","","","",""
"5","1984","66 and older","Not Employed","","","",""
"5","1984","66 and older","Employed","","","",""
"1","1985","16-34 y.","Not Employed","463","0.449254890905835","0.422779646516259","0.475730135295411"
"1","1985","16-34 y.","Employed","903","0.376013152495078","0.358157553546731","0.393868751443426"
"1","1985","35-65 y.","Not Employed","866","0.547765825751076","0.524798576676885","0.570733074825268"
"1","1985","35-65 y.","Employed","1686","0.527981558184854","0.512476038620426","0.543487077749283"
"1","1985","66 and older","Not Employed","481","0.404704982002971","0.375336355957842","0.434073608048101"
"1","1985","66 and older","Employed","27","","",""
"2","1985","16-34 y.","Not Employed","870","0.534902274235256","0.50835453296707","0.561450015503442"
"2","1985","16-34 y.","Employed","1875","0.605599072716835","0.587583554828811","0.623614590604858"
"2","1985","35-65 y.","Not Employed","921","0.442351840022006","0.419432934187866","0.465270745856146"
"2","1985","35-65 y.","Employed","2244","0.462507685771936","0.447021549753052","0.477993821790821"
"2","1985","66 and older","Not Employed","577","0.580433074550098","0.550905693506887","0.609960455593308"
"2","1985","66 and older","Employed","18","","",""
"3","1985","16-34 y.","Not Employed","23","","",""
"3","1985","16-34 y.","Employed","49","0.0183877747880872","0.0134353287289424","0.023340220847232"
"3","1985","35-65 y.","Not Employed","17","","",""
"3","1985","35-65 y.","Employed","52","0.00951075604320968","0.00649615485493217","0.0125253572314872"
"3","1985","66 and older","Not Employed","15","","",""
"3","1985","66 and older","Employed","","","",""
"4","1985","16-34 y.","Not Employed","","","",""
"4","1985","16-34 y.","Employed","","","",""
"4","1985","35-65 y.","Not Employed","","","",""
"4","1985","35-65 y.","Employed","","","",""
"4","1985","66 and older","Not Employed","","","",""
"4","1985","66 and older","Employed","","","",""
"5","1985","16-34 y.","Not Employed","","","",""
"5","1985","16-34 y.","Employed","","","",""
"5","1985","35-65 y.","Not Employed","","","",""
"5","1985","35-65 y.","Employed","","","",""
"5","1985","66 and older","Not Employed","","","",""
"5","1985","66 and older","Employed","","","",""
"1","1986","16-34 y.","Not Employed","476","0.463573737657423","0.43587386047727","0.491273614837575"
"1","1986","16-34 y.","Employed","896","0.368289087121537","0.350571361480916","0.386006812762158"
"1","1986","35-65 y.","Not Employed","832","0.54472800346205","0.521006351376679","0.568449655547421"
"1","1986","35-65 y.","Employed","1666","0.530540492392581","0.514679028539326","0.546401956245837"
"1","1986","66 and older","Not Employed","481","0.414421448791898","0.383965035802101","0.444877861781695"
"1","1986","66 and older","Employed","23","","",""
"2","1986","16-34 y.","Not Employed","740","0.507485352982333","0.479714785998818","0.535255919965848"
"2","1986","16-34 y.","Employed","1883","0.608193877071574","0.590262609607604","0.626125144535544"
"2","1986","35-65 y.","Not Employed","845","0.448789766225706","0.425097875516444","0.472481656934969"
"2","1986","35-65 y.","Employed","2071","0.457732604994318","0.441898351296129","0.473566858692508"
"2","1986","66 and older","Not Employed","504","0.561311028484663","0.530631745454132","0.591990311515194"
"2","1986","66 and older","Employed","19","","",""
"3","1986","16-34 y.","Not Employed","29","","",""
"3","1986","16-34 y.","Employed","68","0.0235170358068882","0.0179505900274575","0.0290834815863189"
"3","1986","35-65 y.","Not Employed","16","","",""
"3","1986","35-65 y.","Employed","66","0.0117269026131005","0.00830541419523052","0.0151483910309706"
"3","1986","66 and older","Not Employed","19","","",""
"3","1986","66 and older","Employed","","","",""
"4","1986","16-34 y.","Not Employed","","","",""
"4","1986","16-34 y.","Employed","","","",""
"4","1986","35-65 y.","Not Employed","","","",""
"4","1986","35-65 y.","Employed","","","",""
"4","1986","66 and older","Not Employed","1","","",""
"4","1986","66 and older","Employed","","","",""
"5","1986","16-34 y.","Not Employed","","","",""
"5","1986","16-34 y.","Employed","","","",""
"5","1986","35-65 y.","Not Employed","","","",""
"5","1986","35-65 y.","Employed","","","",""
"5","1986","66 and older","Not Employed","","","",""
"5","1986","66 and older","Employed","","","",""
"1","1987","16-34 y.","Not Employed","410","0.440759851277295","0.411889031844125","0.469630670710465"
"1","1987","16-34 y.","Employed","958","0.377854736499491","0.360223476187696","0.395485996811286"
"1","1987","35-65 y.","Not Employed","783","0.542037461940671","0.517760828507556","0.566314095373786"
"1","1987","35-65 y.","Employed","1657","0.52907708704123","0.513130869981874","0.545023304100587"
"1","1987","66 and older","Not Employed","495","0.406670120267896","0.376830590963301","0.436509649572491"
"1","1987","66 and older","Employed","32","0.680695832804539","0.542942983080711","0.818448682528367"
"2","1987","16-34 y.","Not Employed","699","0.531454357855311","0.502436332016355","0.560472383694266"
"2","1987","16-34 y.","Employed","1861","0.585420365834398","0.567505526483894","0.603335205184902"
