"hgowner","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"1","1984","no migration background","Male","2150","0.521375929132972","0.506124183965173","0.536627674300772"
"1","1984","no migration background","Female","2186","0.469893829275407","0.455415814988941","0.484371843561872"
"1","1984","direct migration background","Male","157","0.191077910075479","0.172995814609819","0.209160005541139"
"1","1984","direct migration background","Female","156","0.23618611300102","0.21538084188367","0.256991384118369"
"1","1984","indirect migration background","Male","16","","",""
"1","1984","indirect migration background","Female","18","","",""
"2","1984","no migration background","Male","1926","0.467101037746104","0.451868416729603","0.482333658762605"
"2","1984","no migration background","Female","2333","0.51931610852669","0.504822604973094","0.533809612080286"
"2","1984","direct migration background","Male","1596","0.769286167504241","0.749909863155684","0.788662471852797"
"2","1984","direct migration background","Female","1418","0.745851529334859","0.724524892787219","0.767178165882498"
"2","1984","indirect migration background","Male","45","0.552707041971764","0.42894263201943","0.676471451924097"
"2","1984","indirect migration background","Female","45","0.648096915243684","0.532882283157076","0.763311547330291"
"3","1984","no migration background","Male","37","0.00963489312548136","0.00665247932772289","0.0126173069232398"
"3","1984","no migration background","Female","39","0.00935183030119736","0.00655969969271981","0.0121439609096749"
"3","1984","direct migration background","Male","54","0.0346384360133956","0.0262280813967377","0.0430487906300535"
"3","1984","direct migration background","Female","19","","",""
"3","1984","indirect migration background","Male","1","","",""
"3","1984","indirect migration background","Female","3","","",""
"4","1984","no migration background","Male","8","","",""
"4","1984","no migration background","Female","7","","",""
"4","1984","direct migration background","Male","9","","",""
"4","1984","direct migration background","Female","8","","",""
"4","1984","indirect migration background","Male","","","",""
"4","1984","indirect migration background","Female","","","",""
"5","1984","no migration background","Male","","","",""
"5","1984","no migration background","Female","","","",""
"5","1984","direct migration background","Male","","","",""
"5","1984","direct migration background","Female","","","",""
"5","1984","indirect migration background","Male","","","",""
"5","1984","indirect migration background","Female","","","",""
"1","1985","no migration background","Male","2039","0.52488847398822","0.509048245920475","0.540728702055966"
"1","1985","no migration background","Female","2025","0.463330357557501","0.448213593210472","0.478447121904529"
"1","1985","direct migration background","Male","161","0.209590503163812","0.189463835592673","0.229717170734951"
"1","1985","direct migration background","Female","168","0.276057398253779","0.252419629096804","0.299695167410754"
"1","1985","indirect migration background","Male","15","","",""
"1","1985","indirect migration background","Female","18","","",""
"2","1985","no migration background","Male","1738","0.462915416230632","0.447099210901988","0.478731621559276"
"2","1985","no migration background","Female","2107","0.52485514597516","0.509716302629853","0.539993989320467"
"2","1985","direct migration background","Male","1364","0.757053596604917","0.735846630166876","0.778260563042957"
"2","1985","direct migration background","Female","1185","0.70839533687113","0.684363343040983","0.732427330701278"
"2","1985","indirect migration background","Male","51","0.671662879267964","0.558367606490884","0.784958152045044"
"2","1985","indirect migration background","Female","60","0.758766092020676","0.663820693160912","0.853711490880441"
"3","1985","no migration background","Male","41","0.0121961097811475","0.00871453155540749","0.0156776880068875"
"3","1985","no migration background","Female","48","0.0118144964673391","0.00853892712400461","0.0150900658106736"
"3","1985","direct migration background","Male","46","0.0333559002312713","0.0244765817425717","0.0422352187199709"
"3","1985","direct migration background","Female","21","","",""
"3","1985","indirect migration background","Male","","","",""
"3","1985","indirect migration background","Female","","","",""
"4","1985","no migration background","Male","","","",""
"4","1985","no migration background","Female","","","",""
"4","1985","direct migration background","Male","","","",""
