"hgowner","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1984","Not Employed","East Germany","","","","","2"
"Main tenant","1984","Employed","West Germany","4717","0.526095993637498","0.514846441917976","0.53734554535702","2"
"Main tenant","1984","Employed","East Germany","","","","","2"
"Main tenant","1984","Not Employed","West Germany","2646","0.513122838248541","0.498776675367332","0.527469001129749","2"
"Owner","1984","Not Employed","West Germany","1953","0.472413609325513","0.458084362105554","0.486742856545471","1"
"Owner","1984","Not Employed","East Germany","","","","","1"
"Owner","1984","Employed","West Germany","2730","0.461897953645036","0.450665804275727","0.473130103014345","1"
"Owner","1984","Employed","East Germany","","","","","1"
"Resident or shared accommodation","1984","Not Employed","West Germany","","","","","5"
"Resident or shared accommodation","1984","Not Employed","East Germany","","","","","5"
"Resident or shared accommodation","1984","Employed","West Germany","","","","","5"
"Resident or shared accommodation","1984","Employed","East Germany","","","","","5"
"Subtenant","1984","Not Employed","West Germany","47","0.0113099519420575","0.00827483209667853","0.0143450717874365","3"
"Subtenant","1984","Employed","East Germany","","","","","3"
"Subtenant","1984","Employed","West Germany","106","0.0107338159939845","0.00841219573803852","0.0130554362499305","3"
"Subtenant","1984","Not Employed","East Germany","","","","","3"
"Tenant","1984","Not Employed","East Germany","","","","","4"
"Tenant","1984","Not Employed","West Germany","17","","","","4"
"Tenant","1984","Employed","West Germany","15","","","","4"
"Tenant","1984","Employed","East Germany","","","","","4"
"Main tenant","1985","Not Employed","West Germany","2368","0.517016043679142","0.501962376183748","0.532069711174537","2"
"Main tenant","1985","Employed","West Germany","4137","0.521818821445329","0.509992977334421","0.533644665556238","2"
"Main tenant","1985","Not Employed","East Germany","","","","","2"
"Main tenant","1985","Employed","East Germany","","","","","2"
"Owner","1985","Not Employed","West Germany","1810","0.469808403010847","0.454773495282831","0.484843310738862","1"
"Owner","1985","Not Employed","East Germany","","","","","1"
"Owner","1985","Employed","West Germany","2616","0.465078935037179","0.453270720747422","0.476887149326936","1"
"Owner","1985","Employed","East Germany","","","","","1"
"Resident or shared accommodation","1985","Not Employed","West Germany","","","","","5"
"Resident or shared accommodation","1985","Not Employed","East Germany","","","","","5"
"Resident or shared accommodation","1985","Employed","West Germany","","","","","5"
"Resident or shared accommodation","1985","Employed","East Germany","","","","","5"
"Subtenant","1985","Employed","East Germany","","","","","3"
"Subtenant","1985","Not Employed","West Germany","55","0.0131755533100111","0.00974054068229262","0.0166105659377296","3"
"Subtenant","1985","Not Employed","East Germany","","","","","3"
"Subtenant","1985","Employed","West Germany","101","0.0131022435174914","0.0104101821526831","0.0157943048822996","3"
"Tenant","1985","Employed","West Germany","","","","","4"
"Tenant","1985","Not Employed","East Germany","","","","","4"
