"hgowner","year","age_gr","n","percent","lower_confidence","upper_confidence"
"1","1984","16-34 y.","1389","0.386891024629928","0.372828767974945","0.400953281284911"
"1","1984","35-65 y.","2697","0.531383014173767","0.519102583932921","0.543663444414612"
"1","1984","66 and older","597","0.433840167500215","0.406689687449505","0.460990647550925"
"2","1984","16-34 y.","3134","0.596045320061425","0.581877670076225","0.610212970046625"
"2","1984","35-65 y.","3569","0.460230737938513","0.447965029968034","0.472496445908992"
"2","1984","66 and older","660","0.547336234989112","0.520067934441917","0.574604535536307"
"3","1984","16-34 y.","74","0.0151977151106489","0.0116654318015813","0.0187299984197165"
"3","1984","35-65 y.","62","0.00676427052949799","0.00474712428271237","0.00878141677628361"
"3","1984","66 and older","17","","",""
"4","1984","16-34 y.","11","","",""
"4","1984","35-65 y.","15","","",""
"4","1984","66 and older","6","","",""
"5","1984","16-34 y.","","","",""
"5","1984","35-65 y.","","","",""
"5","1984","66 and older","","","",""
"1","1985","16-34 y.","1366","0.3980580404077","0.383224163600201","0.4128919172152"
"1","1985","35-65 y.","2552","0.534784941231676","0.521932804322736","0.547637078140616"
"1","1985","66 and older","508","0.410043682300941","0.381213181934026","0.438874182667856"
"2","1985","16-34 y.","2745","0.584320181307032","0.569385049083415","0.59925531353065"
"2","1985","35-65 y.","3165","0.455576524999346","0.442744122688073","0.468408927310619"
"2","1985","66 and older","595","0.575606546419179","0.546634819059491","0.604578273778866"
"3","1985","16-34 y.","72","0.0176217782852673","0.0136345749115853","0.0216089816589492"
"3","1985","35-65 y.","69","0.00963853376897806","0.0071210815869061","0.01215598595105"
"3","1985","66 and older","15","","",""
"4","1985","16-34 y.","","","",""
"4","1985","35-65 y.","","","",""
"4","1985","66 and older","","","",""
"5","1985","16-34 y.","","","",""
"5","1985","35-65 y.","","","",""
"5","1985","66 and older","","","",""
"1","1986","16-34 y.","1372","0.394935121802943","0.379957456222501","0.409912787383385"
"1","1986","35-65 y.","2498","0.535360084898532","0.522174300182938","0.548545869614125"
"1","1986","66 and older","504","0.415090893504133","0.385244590443644","0.444937196564622"
"2","1986","16-34 y.","2623","0.580031074243385","0.564908891304127","0.595153257182642"
"2","1986","35-65 y.","2916","0.454694662785845","0.44153015785748","0.46785916771421"
"2","1986","66 and older","523","0.561427515994711","0.531370747419718","0.591484284569705"
"3","1986","16-34 y.","97","0.0250338039536723","0.0202470789179168","0.0298205289894279"
"3","1986","35-65 y.","82","0.00994525231562361","0.00732186606960641","0.0125686385616408"
"3","1986","66 and older","19","","",""
"4","1986","16-34 y.","","","",""
"4","1986","35-65 y.","","","",""
"4","1986","66 and older","1","","",""
"5","1986","16-34 y.","","","",""
"5","1986","35-65 y.","","","",""
"5","1986","66 and older","","","",""
"1","1987","16-34 y.","1368","0.393230571449072","0.378170079835471","0.408291063062672"
