"hgowner","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"1","1986","Couple + C. GT 16 ","West Germany","1202","0.665605367651835","0.645460988834147","0.685749746469524"
"1","1986","Couple + C. GT 16 ","East Germany","","","",""
"1","1986","Couple + C. LE and GT 16","West Germany","680","0.701214964881727","0.677255390827357","0.725174538936098"
"1","1986","Couple + C. LE and GT 16","East Germany","","","",""
"2","1986","1-pers.-HH","West Germany","828","0.739798408086847","0.714114745515642","0.765482070658052"
"2","1986","1-pers.-HH","East Germany","","","",""
"2","1986","(Married) couple without C. ","West Germany","1442","0.561475390117844","0.541573547937156","0.581377232298532"
"2","1986","(Married) couple without C. ","East Germany","","","",""
"2","1986","Single parent ","West Germany","304","0.557745510410502","0.514514212124271","0.600976808696732"
"2","1986","Single parent ","East Germany","","","",""
"2","1986","Couple + C. LE 16 ","West Germany","1549","0.559664551882557","0.539840819984742","0.579488283780373"
"2","1986","Couple + C. LE 16 ","East Germany","","","",""
"2","1986","Couple + C. GT 16 ","West Germany","895","0.332274718020683","0.312162341889793","0.352387094151573"
"2","1986","Couple + C. GT 16 ","East Germany","","","",""
"2","1986","Couple + C. LE and GT 16","West Germany","716","0.294916659629793","0.271047124336031","0.318786194923554"
"2","1986","Couple + C. LE and GT 16","East Germany","","","",""
"3","1986","1-pers.-HH","West Germany","70","0.0444393575732781","0.0323762750836668","0.0565024400628895"
"3","1986","1-pers.-HH","East Germany","","","",""
"3","1986","(Married) couple without C. ","West Germany","45","0.0164813664408529","0.0113749193820683","0.0215878134996374"
"3","1986","(Married) couple without C. ","East Germany","","","",""
"3","1986","Single parent ","West Germany","12","","",""
"3","1986","Single parent ","East Germany","","","",""
"3","1986","Couple + C. LE 16 ","West Germany","45","0.0139213608365553","0.00924264884859898","0.0186000728245115"
"3","1986","Couple + C. LE 16 ","East Germany","","","",""
"3","1986","Couple + C. GT 16 ","West Germany","10","","",""
"3","1986","Couple + C. GT 16 ","East Germany","","","",""
"3","1986","Couple + C. LE and GT 16","West Germany","6","","",""
"3","1986","Couple + C. LE and GT 16","East Germany","","","",""
"4","1986","1-pers.-HH","West Germany","1","","",""
"4","1986","1-pers.-HH","East Germany","","","",""
"4","1986","(Married) couple without C. ","West Germany","","","",""
"4","1986","(Married) couple without C. ","East Germany","","","",""
"4","1986","Single parent ","West Germany","","","",""
"4","1986","Single parent ","East Germany","","","",""
"4","1986","Couple + C. LE 16 ","West Germany","","","",""
"4","1986","Couple + C. LE 16 ","East Germany","","","",""
"4","1986","Couple + C. GT 16 ","West Germany","","","",""
"4","1986","Couple + C. GT 16 ","East Germany","","","",""
"4","1986","Couple + C. LE and GT 16","West Germany","","","",""
"4","1986","Couple + C. LE and GT 16","East Germany","","","",""
"5","1986","1-pers.-HH","West Germany","","","",""
"5","1986","1-pers.-HH","East Germany","","","",""
"5","1986","(Married) couple without C. ","West Germany","","","",""
"5","1986","(Married) couple without C. ","East Germany","","","",""
"5","1986","Single parent ","West Germany","","","",""
"5","1986","Single parent ","East Germany","","","",""
"5","1986","Couple + C. LE 16 ","West Germany","","","",""
"5","1986","Couple + C. LE 16 ","East Germany","","","",""
"5","1986","Couple + C. GT 16 ","West Germany","","","",""
"5","1986","Couple + C. GT 16 ","East Germany","","","",""
"5","1986","Couple + C. LE and GT 16","West Germany","","","",""
"5","1986","Couple + C. LE and GT 16","East Germany","","","",""
"1","1987","1-pers.-HH","West Germany","226","0.211859651131888","0.187917732248658","0.235801570015118"
"1","1987","1-pers.-HH","East Germany","","","",""
"1","1987","(Married) couple without C. ","West Germany","936","0.441667576604816","0.421619972225423","0.461715180984209"
"1","1987","(Married) couple without C. ","East Germany","","","",""
"1","1987","Single parent ","West Germany","201","0.450311184004362","0.40767168790618","0.492950680102544"
"1","1987","Single parent ","East Germany","","","",""
"1","1987","Couple + C. LE 16 ","West Germany","790","0.417463388519019","0.397601156462171","0.437325620575866"
"1","1987","Couple + C. LE 16 ","East Germany","","","",""
"1","1987","Couple + C. GT 16 ","West Germany","1254","0.671427282592736","0.651614886049532","0.691239679135939"
"1","1987","Couple + C. GT 16 ","East Germany","","","",""
"1","1987","Couple + C. LE and GT 16","West Germany","581","0.678155410409493","0.652339021649909","0.703971799169077"
"1","1987","Couple + C. LE and GT 16","East Germany","","","",""
"2","1987","1-pers.-HH","West Germany","807","0.732159910212209","0.706213707232279","0.758106113192138"
"2","1987","1-pers.-HH","East Germany","","","",""
"2","1987","(Married) couple without C. ","West Germany","1379","0.539957085789234","0.519836200038923","0.560077971539545"
"2","1987","(Married) couple without C. ","East Germany","","","",""
"2","1987","Single parent ","West Germany","316","0.53490388157446","0.492156799130078","0.577650964018842"
"2","1987","Single parent ","East Germany","","","",""
"2","1987","Couple + C. LE 16 ","West Germany","1533","0.562299475506361","0.542317905233871","0.582281045778851"
"2","1987","Couple + C. LE 16 ","East Germany","","","",""
"2","1987","Couple + C. GT 16 ","West Germany","898","0.327832779235725","0.308031802094174","0.347633756377276"
"2","1987","Couple + C. GT 16 ","East Germany","","","",""
"2","1987","Couple + C. LE and GT 16","West Germany","663","0.310200018458747","0.28463828692237","0.335761749995124"
"2","1987","Couple + C. LE and GT 16","East Germany","","","",""
"3","1987","1-pers.-HH","West Germany","85","0.0546299548616944","0.0413147029529003","0.0679452067704886"
"3","1987","1-pers.-HH","East Germany","","","",""
"3","1987","(Married) couple without C. ","West Germany","40","0.0175834208411064","0.0122774137438973","0.0228894279383155"
"3","1987","(Married) couple without C. ","East Germany","","","",""
"3","1987","Single parent ","West Germany","6","","",""
"3","1987","Single parent ","East Germany","","","",""
"3","1987","Couple + C. LE 16 ","West Germany","43","0.0190314293157137","0.0135281634825573","0.0245346951488701"
"3","1987","Couple + C. LE 16 ","East Germany","","","",""
"3","1987","Couple + C. GT 16 ","West Germany","7","","",""
"3","1987","Couple + C. GT 16 ","East Germany","","","",""
"3","1987","Couple + C. LE and GT 16","West Germany","14","","",""
"3","1987","Couple + C. LE and GT 16","East Germany","","","",""
"4","1987","1-pers.-HH","West Germany","1","","",""
"4","1987","1-pers.-HH","East Germany","","","",""
"4","1987","(Married) couple without C. ","West Germany","2","","",""
"4","1987","(Married) couple without C. ","East Germany","","","",""
"4","1987","Single parent ","West Germany","","","",""
"4","1987","Single parent ","East Germany","","","",""
"4","1987","Couple + C. LE 16 ","West Germany","2","","",""
"4","1987","Couple + C. LE 16 ","East Germany","","","",""
"4","1987","Couple + C. GT 16 ","West Germany","","","",""
"4","1987","Couple + C. GT 16 ","East Germany","","","",""
"4","1987","Couple + C. LE and GT 16","West Germany","","","",""
"4","1987","Couple + C. LE and GT 16","East Germany","","","",""
"5","1987","1-pers.-HH","West Germany","","","",""
"5","1987","1-pers.-HH","East Germany","","","",""
"5","1987","(Married) couple without C. ","West Germany","","","",""
"5","1987","(Married) couple without C. ","East Germany","","","",""
"5","1987","Single parent ","West Germany","","","",""
"5","1987","Single parent ","East Germany","","","",""
"5","1987","Couple + C. LE 16 ","West Germany","","","",""
"5","1987","Couple + C. LE 16 ","East Germany","","","",""
"5","1987","Couple + C. GT 16 ","West Germany","","","",""
"5","1987","Couple + C. GT 16 ","East Germany","","","",""
"5","1987","Couple + C. LE and GT 16","West Germany","","","",""
"5","1987","Couple + C. LE and GT 16","East Germany","","","",""
"1","1988","1-pers.-HH","West Germany","226","0.215201147030317","0.190611646870796","0.239790647189838"
"1","1988","1-pers.-HH","East Germany","","","",""
"1","1988","(Married) couple without C. ","West Germany","883","0.440108306998052","0.419777147622252","0.460439466373851"
"1","1988","(Married) couple without C. ","East Germany","","","",""
"1","1988","Single parent ","West Germany","200","0.446253302517091","0.403068046758442","0.48943855827574"
"1","1988","Single parent ","East Germany","","","",""
"1","1988","Couple + C. LE 16 ","West Germany","777","0.436708514976325","0.416127787164704","0.457289242787946"
"1","1988","Couple + C. LE 16 ","East Germany","","","",""
"1","1988","Couple + C. GT 16 ","West Germany","1285","0.688059845311464","0.668740207453556","0.707379483169373"
"1","1988","Couple + C. GT 16 ","East Germany","","","",""
"1","1988","Couple + C. LE and GT 16","West Germany","466","0.643128743888177","0.614701126562192","0.671556361214161"
"1","1988","Couple + C. LE and GT 16","East Germany","","","",""
"2","1988","1-pers.-HH","West Germany","774","0.72633614659021","0.699659835227829","0.75301245795259"
"2","1988","1-pers.-HH","East Germany","","","",""
"2","1988","(Married) couple without C. ","West Germany","1363","0.537411261587137","0.51699006156349","0.557832461610783"
"2","1988","(Married) couple without C. ","East Germany","","","",""
"2","1988","Single parent ","West Germany","298","0.525926749603303","0.482548247087196","0.56930525211941"
"2","1988","Single parent ","East Germany","","","",""
"2","1988","Couple + C. LE 16 ","West Germany","1414","0.544046976417973","0.523380018441471","0.564713934394475"
"2","1988","Couple + C. LE 16 ","East Germany","","","",""
"2","1988","Couple + C. GT 16 ","West Germany","915","0.309864934631736","0.290580651614617","0.329149217648856"
"2","1988","Couple + C. GT 16 ","East Germany","","","",""
"2","1988","Couple + C. LE and GT 16","West Germany","613","0.34217611707641","0.31402371989251","0.37032851426031"
"2","1988","Couple + C. LE and GT 16","East Germany","","","",""
"3","1988","1-pers.-HH","West Germany","72","0.0569314319970492","0.0430671967429004","0.0707956672511981"
"3","1988","1-pers.-HH","East Germany","","","",""
"3","1988","(Married) couple without C. ","West Germany","42","0.0220027188408601","0.0159946161343219","0.0280108215473983"
"3","1988","(Married) couple without C. ","East Germany","","","",""
"3","1988","Single parent ","West Germany","11","","",""
"3","1988","Single parent ","East Germany","","","",""
"3","1988","Couple + C. LE 16 ","West Germany","40","0.0192445086057021","0.0135437573286352","0.0249452598827691"
"3","1988","Couple + C. LE 16 ","East Germany","","","",""
"3","1988","Couple + C. GT 16 ","West Germany","9","","",""
"3","1988","Couple + C. GT 16 ","East Germany","","","",""
"3","1988","Couple + C. LE and GT 16","West Germany","12","","",""
"3","1988","Couple + C. LE and GT 16","East Germany","","","",""
"4","1988","1-pers.-HH","West Germany","1","","",""
"4","1988","1-pers.-HH","East Germany","","","",""
"4","1988","(Married) couple without C. ","West Germany","2","","",""
"4","1988","(Married) couple without C. ","East Germany","","","",""
"4","1988","Single parent ","West Germany","","","",""
"4","1988","Single parent ","East Germany","","","",""
"4","1988","Couple + C. LE 16 ","West Germany","","","",""
"4","1988","Couple + C. LE 16 ","East Germany","","","",""
"4","1988","Couple + C. GT 16 ","West Germany","","","",""
"4","1988","Couple + C. GT 16 ","East Germany","","","",""
"4","1988","Couple + C. LE and GT 16","West Germany","","","",""
"4","1988","Couple + C. LE and GT 16","East Germany","","","",""
"5","1988","1-pers.-HH","West Germany","","","",""
"5","1988","1-pers.-HH","East Germany","","","",""
"5","1988","(Married) couple without C. ","West Germany","","","",""
"5","1988","(Married) couple without C. ","East Germany","","","",""
"5","1988","Single parent ","West Germany","","","",""
"5","1988","Single parent ","East Germany","","","",""
"5","1988","Couple + C. LE 16 ","West Germany","","","",""
"5","1988","Couple + C. LE 16 ","East Germany","","","",""
"5","1988","Couple + C. GT 16 ","West Germany","","","",""
"5","1988","Couple + C. GT 16 ","East Germany","","","",""
"5","1988","Couple + C. LE and GT 16","West Germany","","","",""
"5","1988","Couple + C. LE and GT 16","East Germany","","","",""
"1","1989","1-pers.-HH","West Germany","223","0.213971193482486","0.189386991003726","0.238555395961245"
"1","1989","1-pers.-HH","East Germany","","","",""
"1","1989","(Married) couple without C. ","West Germany","870","0.447048365659352","0.426572851476349","0.467523879842354"
"1","1989","(Married) couple without C. ","East Germany","","","",""
"1","1989","Single parent ","West Germany","198","0.486276414149313","0.441233770106053","0.531319058192572"
"1","1989","Single parent ","East Germany","","","",""
"1","1989","Couple + C. LE 16 ","West Germany","739","0.439044170183647","0.41802784410671","0.460060496260583"
"1","1989","Couple + C. LE 16 ","East Germany","","","",""
"1","1989","Couple + C. GT 16 ","West Germany","1302","0.716355128635765","0.697288069050369","0.735422188221161"
"1","1989","Couple + C. GT 16 ","East Germany","","","",""
"1","1989","Couple + C. LE and GT 16","West Germany","405","0.592103475018502","0.561459618062665","0.622747331974339"
"1","1989","Couple + C. LE and GT 16","East Germany","","","",""
"2","1989","1-pers.-HH","West Germany","768","0.720654283166277","0.693757909302827","0.747550657029728"
"2","1989","1-pers.-HH","East Germany","","","",""
"2","1989","(Married) couple without C. ","West Germany","1355","0.538007282013008","0.517475547974605","0.558539016051411"
"2","1989","(Married) couple without C. ","East Germany","","","",""
"2","1989","Single parent ","West Germany","267","0.486385691017557","0.441342777651461","0.531428604383652"
"2","1989","Single parent ","East Germany","","","",""
"2","1989","Couple + C. LE 16 ","West Germany","1373","0.546848116031249","0.525766999310202","0.567929232752295"
"2","1989","Couple + C. LE 16 ","East Germany","","","",""
"2","1989","Couple + C. GT 16 ","West Germany","830","0.274884388904017","0.255999660879303","0.293769116928731"
"2","1989","Couple + C. GT 16 ","East Germany","","","",""
"2","1989","Couple + C. LE and GT 16","West Germany","570","0.398417758853635","0.367890594387762","0.428944923319508"
"2","1989","Couple + C. LE and GT 16","East Germany","","","",""
"3","1989","1-pers.-HH","West Germany","69","0.0570889483292951","0.0431807580788613","0.070997138579729"
"3","1989","1-pers.-HH","East Germany","","","",""
"3","1989","(Married) couple without C. ","West Germany","40","0.0149443523276398","0.00994765642219307","0.0199410482330866"
"3","1989","(Married) couple without C. ","East Germany","","","",""
"3","1989","Single parent ","West Germany","8","","",""
"3","1989","Single parent ","East Germany","","","",""
"3","1989","Couple + C. LE 16 ","West Germany","28","","",""
"3","1989","Couple + C. LE 16 ","East Germany","","","",""
"3","1989","Couple + C. GT 16 ","West Germany","12","","",""
"3","1989","Couple + C. GT 16 ","East Germany","","","",""
"3","1989","Couple + C. LE and GT 16","West Germany","13","","",""
"3","1989","Couple + C. LE and GT 16","East Germany","","","",""
"4","1989","1-pers.-HH","West Germany","9","","",""
"4","1989","1-pers.-HH","East Germany","","","",""
"4","1989","(Married) couple without C. ","West Germany","","","",""
"4","1989","(Married) couple without C. ","East Germany","","","",""
"4","1989","Single parent ","West Germany","","","",""
"4","1989","Single parent ","East Germany","","","",""
"4","1989","Couple + C. LE 16 ","West Germany","2","","",""
"4","1989","Couple + C. LE 16 ","East Germany","","","",""
"4","1989","Couple + C. GT 16 ","West Germany","3","","",""
"4","1989","Couple + C. GT 16 ","East Germany","","","",""
"4","1989","Couple + C. LE and GT 16","West Germany","","","",""
"4","1989","Couple + C. LE and GT 16","East Germany","","","",""
"5","1989","1-pers.-HH","West Germany","","","",""
"5","1989","1-pers.-HH","East Germany","","","",""
"5","1989","(Married) couple without C. ","West Germany","","","",""
"5","1989","(Married) couple without C. ","East Germany","","","",""
"5","1989","Single parent ","West Germany","","","",""
"5","1989","Single parent ","East Germany","","","",""
"5","1989","Couple + C. LE 16 ","West Germany","","","",""
"5","1989","Couple + C. LE 16 ","East Germany","","","",""
"5","1989","Couple + C. GT 16 ","West Germany","","","",""
"5","1989","Couple + C. GT 16 ","East Germany","","","",""
"5","1989","Couple + C. LE and GT 16","West Germany","","","",""
"5","1989","Couple + C. LE and GT 16","East Germany","","","",""
"1","1990","1-pers.-HH","West Germany","230","0.217200369578287","0.192103803673599","0.242296935482976"
"1","1990","1-pers.-HH","East Germany","42","0.121196914793836","0.0864561151446275","0.155937714443044"
"1","1990","(Married) couple without C. ","West Germany","916","0.443942654517071","0.423685830897773","0.46419947813637"
"1","1990","(Married) couple without C. ","East Germany","284","0.293208310315356","0.264366270170516","0.322050350460197"
"1","1990","Single parent ","West Germany","184","0.4480567891164","0.402808430505212","0.493305147727587"
"1","1990","Single parent ","East Germany","39","0.209998299750831","0.152534897110114","0.267461702391548"
"1","1990","Couple + C. LE 16 ","West Germany","776","0.458129039708603","0.436768274948112","0.479489804469094"
"1","1990","Couple + C. LE 16 ","East Germany","410","0.256066216801997","0.233852522106226","0.278279911497769"
"1","1990","Couple + C. GT 16 ","West Germany","1217","0.69905137827085","0.679263739570102","0.718839016971597"
"1","1990","Couple + C. GT 16 ","East Germany","350","0.428979098652085","0.395226894739407","0.462731302564763"
"1","1990","Couple + C. LE and GT 16","West Germany","341","0.549576503411593","0.516980738981172","0.582172267842014"
"1","1990","Couple + C. LE and GT 16","East Germany","128","0.386572406172548","0.332881389341147","0.440263423003948"
"2","1990","1-pers.-HH","West Germany","737","0.717152022708152","0.689740013733279","0.744564031683024"
"2","1990","1-pers.-HH","East Germany","288","0.852619928532993","0.814884840893853","0.890355016172132"
"2","1990","(Married) couple without C. ","West Germany","1336","0.533566721143691","0.513227362705525","0.553906079581857"
"2","1990","(Married) couple without C. ","East Germany","631","0.660814551785802","0.630819437082719","0.690809666488886"
"2","1990","Single parent ","West Germany","269","0.512359560659047","0.466878940289091","0.557840181029003"
"2","1990","Single parent ","East Germany","146","0.74956228575444","0.68843668146272","0.810687890046159"
"2","1990","Couple + C. LE 16 ","West Germany","1272","0.522350792033226","0.500936160424996","0.543765423641455"
"2","1990","Couple + C. LE 16 ","East Germany","1005","0.694878480319111","0.671443296411684","0.718313664226537"
"2","1990","Couple + C. GT 16 ","West Germany","835","0.296093106842236","0.276397697924381","0.315788515760091"
"2","1990","Couple + C. GT 16 ","East Germany","455","0.550860920662511","0.516939856264629","0.584781985060393"
"2","1990","Couple + C. LE and GT 16","West Germany","544","0.445310720199239","0.412750072541326","0.477871367857152"
"2","1990","Couple + C. LE and GT 16","East Germany","188","0.613427593827452","0.559736576996052","0.667118610658853"
"3","1990","1-pers.-HH","West Germany","69","0.0637636917120612","0.0488927600017636","0.0786346234223588"
"3","1990","1-pers.-HH","East Germany","9","","",""
"3","1990","(Married) couple without C. ","West Germany","57","0.0211385395846061","0.015273833890528","0.0270032452786842"
"3","1990","(Married) couple without C. ","East Germany","40","0.0441145260363068","0.0311042694457636","0.0571247826268501"
"3","1990","Single parent ","West Germany","11","","",""
"3","1990","Single parent ","East Germany","7","","",""
"3","1990","Couple + C. LE 16 ","West Germany","40","0.0193262605724608","0.0134240984280466","0.0252284227168749"
"3","1990","Couple + C. LE 16 ","East Germany","68","0.049055302878892","0.0380627610535982","0.0600478447041858"
"3","1990","Couple + C. GT 16 ","West Germany","12","","",""
"3","1990","Couple + C. GT 16 ","East Germany","18","","",""
"3","1990","Couple + C. LE and GT 16","West Germany","10","","",""
"3","1990","Couple + C. LE and GT 16","East Germany","","","",""
"4","1990","1-pers.-HH","West Germany","1","","",""
"4","1990","1-pers.-HH","East Germany","","","",""
"4","1990","(Married) couple without C. ","West Germany","2","","",""
"4","1990","(Married) couple without C. ","East Germany","2","","",""
"4","1990","Single parent ","West Germany","","","",""
"4","1990","Single parent ","East Germany","1","","",""
"4","1990","Couple + C. LE 16 ","West Germany","2","","",""
"4","1990","Couple + C. LE 16 ","East Germany","","","",""
"4","1990","Couple + C. GT 16 ","West Germany","","","",""
"4","1990","Couple + C. GT 16 ","East Germany","3","","",""
"4","1990","Couple + C. LE and GT 16","West Germany","","","",""
"4","1990","Couple + C. LE and GT 16","East Germany","","","",""
"5","1990","1-pers.-HH","West Germany","","","",""
"5","1990","1-pers.-HH","East Germany","","","",""
"5","1990","(Married) couple without C. ","West Germany","","","",""
"5","1990","(Married) couple without C. ","East Germany","","","",""
"5","1990","Single parent ","West Germany","","","",""
"5","1990","Single parent ","East Germany","","","",""
"5","1990","Couple + C. LE 16 ","West Germany","","","",""
