"hgowner","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"1","1984","no migration background","West Germany","4336","0.493864331527263","0.483350149751336","0.50437851330319"
"1","1984","no migration background","East Germany","","","",""
"1","1984","direct migration background","West Germany","313","0.212983086163758","0.19925562598845","0.226710546339065"
"1","1984","direct migration background","East Germany","","","",""
"1","1984","indirect migration background","West Germany","34","0.318168215583469","0.237479997691847","0.398856433475091"
"1","1984","indirect migration background","East Germany","","","",""
"2","1984","no migration background","West Germany","4259","0.495004328797625","0.484489880141338","0.505518777453913"
"2","1984","no migration background","East Germany","","","",""
"2","1984","direct migration background","West Germany","3014","0.757905978483792","0.743543635281314","0.772268321686269"
"2","1984","direct migration background","East Germany","","","",""
"2","1984","indirect migration background","West Germany","90","0.610486982071731","0.526009239825217","0.694964724318246"
"2","1984","indirect migration background","East Germany","","","",""
"3","1984","no migration background","West Germany","76","0.00948362675250158","0.00744538246195394","0.0115218710430492"
"3","1984","no migration background","East Germany","","","",""
"3","1984","direct migration background","West Germany","73","0.0226373614473729","0.0176500513662724","0.0276246715284734"
"3","1984","direct migration background","East Germany","","","",""
"3","1984","indirect migration background","West Germany","4","","",""
"3","1984","indirect migration background","East Germany","","","",""
"4","1984","no migration background","West Germany","15","","",""
"4","1984","no migration background","East Germany","","","",""
"4","1984","direct migration background","West Germany","17","","",""
"4","1984","direct migration background","East Germany","","","",""
"4","1984","indirect migration background","West Germany","","","",""
"4","1984","indirect migration background","East Germany","","","",""
"5","1984","no migration background","West Germany","","","",""
"5","1984","no migration background","East Germany","","","",""
"5","1984","direct migration background","West Germany","","","",""
"5","1984","direct migration background","East Germany","","","",""
"5","1984","indirect migration background","West Germany","","","",""
"5","1984","indirect migration background","East Germany","","","",""
"1","1985","no migration background","West Germany","4064","0.492031497876585","0.481074987972759","0.502988007780411"
"1","1985","no migration background","East Germany","","","",""
"1","1985","direct migration background","West Germany","329","0.24182195183377","0.226357344202416","0.257286559465124"
"1","1985","direct migration background","East Germany","","","",""
"1","1985","indirect migration background","West Germany","33","0.277023420856128","0.203928499496909","0.350118342215347"
"1","1985","indirect migration background","East Germany","","","",""
"2","1985","no migration background","West Germany","3845","0.495976080503353","0.485018533787685","0.506933627219022"
"2","1985","no migration background","East Germany","","","",""
"2","1985","direct migration background","West Germany","2549","0.733457997640106","0.71748906482611","0.749426930454101"
"2","1985","direct migration background","East Germany","","","",""
"2","1985","indirect migration background","West Germany","111","0.722976579143872","0.649881657784653","0.796071500503091"
"2","1985","indirect migration background","East Germany","","","",""
"3","1985","no migration background","West Germany","89","0.0119924216200616","0.00960685816361408","0.0143779850765091"
"3","1985","no migration background","East Germany","","","",""
"3","1985","direct migration background","West Germany","67","0.0247200505261242","0.0191122214718962","0.0303278795803521"
"3","1985","direct migration background","East Germany","","","",""
"3","1985","indirect migration background","West Germany","","","",""
"3","1985","indirect migration background","East Germany","","","",""
"4","1985","no migration background","West Germany","","","",""
"4","1985","no migration background","East Germany","","","",""
"4","1985","direct migration background","West Germany","","","",""
"4","1985","direct migration background","East Germany","","","",""
"4","1985","indirect migration background","West Germany","","","",""
"4","1985","indirect migration background","East Germany","","","",""
"5","1985","no migration background","West Germany","","","",""
"5","1985","no migration background","East Germany","","","",""
"5","1985","direct migration background","West Germany","","","",""
"5","1985","direct migration background","East Germany","","","",""
"5","1985","indirect migration background","West Germany","","","",""
"5","1985","indirect migration background","East Germany","","","",""
"1","1986","no migration background","West Germany","4000","0.49456765738854","0.483345598652232","0.505789716124847"
"1","1986","no migration background","East Germany","","","",""
"1","1986","direct migration background","West Germany","335","0.231782470153086","0.216301309887356","0.247263630418816"
"1","1986","direct migration background","East Germany","","","",""
"1","1986","indirect migration background","West Germany","39","0.263072004329431","0.193978751943229","0.332165256715633"
"1","1986","indirect migration background","East Germany","","","",""
"2","1986","no migration background","West Germany","3512","0.489200071502655","0.477979968681177","0.500420174324133"
