"hgowner","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1984","West Germany","Female","3796","0.539596053455372","0.527221251141368","0.551970855769376","2"
"Main tenant","1984","East Germany","Male","","","","","2"
"Main tenant","1984","East Germany","Female","","","","","2"
"Main tenant","1984","West Germany","Male","3567","0.49874791575162","0.486095387879539","0.5114004436237","2"
"Owner","1984","West Germany","Male","2323","0.48656026613295","0.473912270192097","0.499208262073803","1"
"Owner","1984","West Germany","Female","2360","0.448743432449644","0.436395043234878","0.461091821664409","1"
"Owner","1984","East Germany","Male","","","","","1"
"Owner","1984","East Germany","Female","","","","","1"
"Resident or shared accommodation","1984","West Germany","Male","","","","","5"
"Resident or shared accommodation","1984","West Germany","Female","","","","","5"
"Resident or shared accommodation","1984","East Germany","Male","","","","","5"
"Resident or shared accommodation","1984","East Germany","Female","","","","","5"
"Subtenant","1984","West Germany","Male","92","0.0124876782329895","0.00967758472509464","0.0152977717408844","3"
"Subtenant","1984","East Germany","Female","","","","","3"
"Subtenant","1984","East Germany","Male","","","","","3"
"Subtenant","1984","West Germany","Female","61","0.00965612281256169","0.00722823413655298","0.0120840114885704","3"
"Tenant","1984","West Germany","Female","15","","","","4"
"Tenant","1984","West Germany","Male","17","","","","4"
"Tenant","1984","East Germany","Male","","","","","4"
"Tenant","1984","East Germany","Female","","","","","4"
"Main tenant","1985","West Germany","Male","3153","0.494416595150046","0.481148956388512","0.50768423391158","2"
"Main tenant","1985","East Germany","Male","","","","","2"
"Main tenant","1985","West Germany","Female","3352","0.542192568326271","0.529180840587107","0.555204296065436","2"
"Main tenant","1985","East Germany","Female","","","","","2"
"Owner","1985","West Germany","Male","2215","0.491249029534877","0.477982595814575","0.504515463255179","1"
"Owner","1985","West Germany","Female","2211","0.445739571324077","0.432758387493347","0.458720755154807","1"
"Owner","1985","East Germany","Male","","","","","1"
"Owner","1985","East Germany","Female","","","","","1"
"Resident or shared accommodation","1985","West Germany","Male","","","","","5"
"Resident or shared accommodation","1985","West Germany","Female","","","","","5"
"Resident or shared accommodation","1985","East Germany","Male","","","","","5"
"Resident or shared accommodation","1985","East Germany","Female","","","","","5"
"Subtenant","1985","East Germany","Female","","","","","3"
"Subtenant","1985","West Germany","Male","87","0.014334375315077","0.0111800614525498","0.0174886891776042","3"
"Subtenant","1985","West Germany","Female","69","0.0120678603496517","0.00921621532621498","0.0149195053730885","3"
"Subtenant","1985","East Germany","Male","","","","","3"
"Tenant","1985","East Germany","Male","","","","","4"
"Tenant","1985","West Germany","Female","","","","","4"
"Tenant","1985","East Germany","Female","","","","","4"
"Tenant","1985","West Germany","Male","","","","","4"
"Main tenant","1986","East Germany","Female","","","","","2"
"Main tenant","1986","West Germany","Male","2965","0.492556240300457","0.479048131810005","0.506064348790909","2"
"Main tenant","1986","West Germany","Female","3097","0.536254269121307","0.522920129006498","0.549588409236116","2"
"Main tenant","1986","East Germany","Male","","","","","2"
"Owner","1986","West Germany","Male","2189","0.48923882114066","0.475732344712029","0.50274529756929","1"
"Owner","1986","East Germany","Female","","","","","1"
"Owner","1986","West Germany","Female","2185","0.447067635710554","0.433773433146049","0.460361838275059","1"
"Owner","1986","East Germany","Male","","","","","1"
"Resident or shared accommodation","1986","West Germany","Male","","","","","5"
"Resident or shared accommodation","1986","West Germany","Female","","","","","5"
"Resident or shared accommodation","1986","East Germany","Male","","","","","5"
"Resident or shared accommodation","1986","East Germany","Female","","","","","5"
"Subtenant","1986","East Germany","Female","","","","","3"
"Subtenant","1986","East Germany","Male","","","","","3"
"Subtenant","1986","West Germany","Female","90","0.0163965781703898","0.0130009017561053","0.0197922545846742","3"
"Subtenant","1986","West Germany","Male","108","0.0182049385588831","0.0145926893924779","0.0218171877252884","3"
"Tenant","1986","West Germany","Male","","","","","4"
"Tenant","1986","East Germany","Male","","","","","4"
"Tenant","1986","West Germany","Female","1","","","","4"
"Tenant","1986","East Germany","Female","","","","","4"
"Main tenant","1987","West Germany","Female","3043","0.534807195619741","0.521383829103404","0.548230562136078","2"
"Main tenant","1987","East Germany","Female","","","","","2"
"Main tenant","1987","West Germany","Male","2918","0.489307253995942","0.475725679543034","0.50288882844885","2"
"Main tenant","1987","East Germany","Male","","","","","2"
"Owner","1987","West Germany","Male","2173","0.488480548687094","0.47489947326689","0.502061624107298","1"
"Owner","1987","East Germany","Female","","","","","1"
"Owner","1987","West Germany","Female","2162","0.444390401355406","0.431017872669379","0.457762930041433","1"
"Owner","1987","East Germany","Male","","","","","1"
