"plh0040","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Big worries","1994","direct migration background","Rural Area","215","0.610839305798786","0.561426415004078","0.660252196593495"
"Big worries","1994","direct migration background","Urban Area","1043","0.53638191405665","0.514422381009915","0.558341447103385"
"Big worries","1994","indirect migration background","Rural Area","26","","",""
"Big worries","1994","indirect migration background","Urban Area","217","0.542924605532348","0.495508176225892","0.590341034838804"
"Big worries","1994","no migration background","Rural Area","2435","0.61161704957974","0.596221769428121","0.627012329731359"
"Big worries","1994","no migration background","Urban Area","3515","0.571046154237206","0.558699740085086","0.583392568389326"
"No worries","1994","direct migration background","Rural Area","35","0.0446697215814518","0.0237336264026864","0.0656058167602172"
"No worries","1994","direct migration background","Urban Area","148","0.0702107044277007","0.0589594799538873","0.0814619289015142"
"No worries","1994","indirect migration background","Rural Area","11","","",""
"No worries","1994","indirect migration background","Urban Area","32","0.0818654768734961","0.0557697907788029","0.107961162968189"
"No worries","1994","no migration background","Rural Area","96","0.0289695252888734","0.0236716120039363","0.0342674385738104"
"No worries","1994","no migration background","Urban Area","235","0.0401312552743235","0.0352351894282593","0.0450273211203877"
"Some worries","1994","direct migration background","Rural Area","124","0.344490972619762","0.296330520950725","0.392651424288799"
"Some worries","1994","direct migration background","Urban Area","790","0.393407381515649","0.371895635283474","0.414919127747825"
"Some worries","1994","indirect migration background","Rural Area","32","0.411604865626312","0.295487190479236","0.527722540773389"
"Some worries","1994","indirect migration background","Urban Area","175","0.375209917594156","0.329123878819013","0.421295956369299"
"Some worries","1994","no migration background","Rural Area","1319","0.359413425131386","0.344256755298234","0.374570094964538"
"Some worries","1994","no migration background","Urban Area","2423","0.388822590488471","0.376661868950388","0.400983312026553"
"Big worries","1995","direct migration background","Rural Area","232","0.512607624579713","0.46693025655485","0.558284992604575"
"Big worries","1995","direct migration background","Urban Area","1169","0.524380941984619","0.504063754197576","0.544698129771661"
"Big worries","1995","indirect migration background","Rural Area","38","0.615124735974565","0.504265003329677","0.725984468619453"
"Big worries","1995","indirect migration background","Urban Area","198","0.451344044226875","0.404740929613389","0.49794715884036"
"Big worries","1995","no migration background","Rural Area","2423","0.608199669081854","0.592875297905542","0.623524040258165"
"Big worries","1995","no migration background","Urban Area","3267","0.546310740578962","0.533771989632229","0.558849491525694"
"No worries","1995","direct migration background","Rural Area","37","0.0620289108772193","0.0399864042890748","0.0840714174653638"
"No worries","1995","direct migration background","Urban Area","202","0.0919044123541763","0.0801515274056794","0.103657297302673"
"No worries","1995","indirect migration background","Rural Area","5","","",""
"No worries","1995","indirect migration background","Urban Area","34","0.0922136831495471","0.0651179731006057","0.119309393198489"
"No worries","1995","no migration background","Rural Area","107","0.0330921646604529","0.0274767439200172","0.0387075854008887"
"No worries","1995","no migration background","Urban Area","303","0.0507645026534535","0.0452358130137738","0.0562931922931333"
"Some worries","1995","direct migration background","Rural Area","191","0.425363464543068","0.380183500078794","0.470543429007341"
"Some worries","1995","direct migration background","Urban Area","950","0.383714645661205","0.363931031555367","0.403498259767043"
"Some worries","1995","indirect migration background","Rural Area","31","0.278799980750406","0.176633962997373","0.380965998503439"
"Some worries","1995","indirect migration background","Urban Area","206","0.456442272623578","0.409794941362644","0.503089603884512"
"Some worries","1995","no migration background","Rural Area","1368","0.358708166257694","0.343651609682599","0.373764722832789"
"Some worries","1995","no migration background","Urban Area","2486","0.402924756767585","0.39057149437961","0.415278019155559"
"Big worries","1996","direct migration background","Rural Area","251","0.622069167923842","0.576815446775195","0.66732288907249"
"Big worries","1996","direct migration background","Urban Area","1096","0.519840039862809","0.498692320663913","0.540987759061705"
"Big worries","1996","indirect migration background","Rural Area","41","0.541631452766389","0.43693118139492","0.646331724137857"
"Big worries","1996","indirect migration background","Urban Area","231","0.535051999780914","0.489521982391612","0.580582017170217"
"Big worries","1996","no migration background","Rural Area","2490","0.649017140407941","0.633950829089028","0.664083451726854"
"Big worries","1996","no migration background","Urban Area","3413","0.580295050166387","0.56779105557328","0.592799044759494"
"No worries","1996","direct migration background","Rural Area","37","0.0581399282364805","0.0362995962763087","0.0799802601966523"
"No worries","1996","direct migration background","Urban Area","109","0.062564960618981","0.0523138273506213","0.0728160938873407"
"No worries","1996","indirect migration background","Rural Area","7","","",""
"No worries","1996","indirect migration background","Urban Area","24","","",""
"No worries","1996","no migration background","Rural Area","92","0.027120538637418","0.0219929335151339","0.032248143759702"
"No worries","1996","no migration background","Urban Area","241","0.0405107473643557","0.035515494430801","0.0455060002979103"
"Some worries","1996","direct migration background","Rural Area","153","0.319790903839677","0.276261465131973","0.363320342547382"
"Some worries","1996","direct migration background","Urban Area","939","0.41759499951821","0.396720027939357","0.438469971097063"
"Some worries","1996","indirect migration background","Rural Area","39","0.414834565315225","0.311304791527399","0.518364339103051"
"Some worries","1996","indirect migration background","Urban Area","206","0.421973505895698","0.376890372516327","0.46705663927507"
"Some worries","1996","no migration background","Rural Area","1273","0.323862320954641","0.309090512041125","0.338634129868157"
"Some worries","1996","no migration background","Urban Area","2330","0.379194202469257","0.366901113494036","0.391487291444479"
"Big worries","1997","direct migration background","Rural Area","244","0.634095626253435","0.587863779412602","0.680327473094268"
"Big worries","1997","direct migration background","Urban Area","1078","0.562845434149852","0.54138336964268","0.584307498657024"
"Big worries","1997","indirect migration background","Rural Area","35","0.468765582142039","0.361408671446693","0.576122492837386"
"Big worries","1997","indirect migration background","Urban Area","225","0.466161087546494","0.421855680275395","0.510466494817593"
"Big worries","1997","no migration background","Rural Area","2534","0.665889695149081","0.650959409420533","0.680819980877629"
"Big worries","1997","no migration background","Urban Area","3634","0.615122129685685","0.60275162631263","0.62749263305874"
"No worries","1997","direct migration background","Rural Area","25","","",""
"No worries","1997","direct migration background","Urban Area","116","0.0585807143488609","0.0484199052975752","0.0687415234001467"
"No worries","1997","indirect migration background","Rural Area","8","","",""
"No worries","1997","indirect migration background","Urban Area","34","0.0708278545637384","0.0480436566266267","0.0936120525008502"
"No worries","1997","no migration background","Rural Area","85","0.024470675334261","0.0195800411545043","0.0293613095140178"
"No worries","1997","no migration background","Urban Area","192","0.0340867726458729","0.0294735201586989","0.0387000251330469"
"Some worries","1997","direct migration background","Rural Area","148","0.323588374272272","0.278684682280375","0.368492066264169"
"Some worries","1997","direct migration background","Urban Area","858","0.378573851501287","0.357587860545574","0.399559842457"
"Some worries","1997","indirect migration background","Rural Area","40","0.47186798379412","0.364471379836333","0.579264587751906"
"Some worries","1997","indirect migration background","Urban Area","228","0.463011057889767","0.41872551598579","0.507296599793744"
"Some worries","1997","no migration background","Rural Area","1215","0.309639629516658","0.295004780951985","0.324274478081331"
"Some worries","1997","no migration background","Urban Area","2117","0.350791097668442","0.33865827805182","0.362923917285064"
"Big worries","1998","direct migration background","Rural Area","214","0.597456458197994","0.549276533521119","0.645636382874869"
"Big worries","1998","direct migration background","Urban Area","1013","0.522086976653857","0.50015138834214","0.544022564965574"
"Big worries","1998","indirect migration background","Rural Area","39","0.475852026817022","0.373241879299143","0.5784621743349"
"Big worries","1998","indirect migration background","Urban Area","237","0.486672003340906","0.443335556737876","0.530008449943937"
"Big worries","1998","no migration background","Rural Area","2665","0.622299681388353","0.607894225255851","0.636705137520856"
