"plh0040","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1994","1-pers.-HH","in school","1","","",""
"Big worries","1994","1-pers.-HH","inadequately","15","","",""
"Big worries","1994","1-pers.-HH","general elemantary","224","0.623617041523792","0.573148538493482","0.674085544554102"
"Big worries","1994","1-pers.-HH","middle vocational","446","0.638644533417282","0.603432428740943","0.67385663809362"
"Big worries","1994","1-pers.-HH","vocational + Abi","18","","",""
"Big worries","1994","1-pers.-HH","higher vocational","50","0.728207873597531","0.627523150454625","0.828892596740437"
"Big worries","1994","1-pers.-HH","higher education","83","0.50396945437315","0.426977223846164","0.580961684900135"
"Big worries","1994","(Married) couple without C. ","in school","","","",""
"Big worries","1994","(Married) couple without C. ","inadequately","33","0.436644966535877","0.32796276777197","0.545327165299784"
"Big worries","1994","(Married) couple without C. ","general elemantary","432","0.714350715812568","0.678736272061509","0.749965159563627"
"Big worries","1994","(Married) couple without C. ","middle vocational","1237","0.666326177100018","0.644793016265798","0.687859337934238"
"Big worries","1994","(Married) couple without C. ","vocational + Abi","48","0.531180688988661","0.433858629831796","0.628502748145525"
"Big worries","1994","(Married) couple without C. ","higher vocational","150","0.584849563291047","0.52237920812412","0.647319918457975"
"Big worries","1994","(Married) couple without C. ","higher education","259","0.560289503950943","0.513645790120475","0.606933217781412"
"Big worries","1994","Single parent ","in school","7","","",""
"Big worries","1994","Single parent ","inadequately","13","","",""
"Big worries","1994","Single parent ","general elemantary","67","0.44340446778187","0.36021703961418","0.526591895949561"
"Big worries","1994","Single parent ","middle vocational","151","0.518010323535989","0.459794244848021","0.576226402223957"
"Big worries","1994","Single parent ","vocational + Abi","4","","",""
"Big worries","1994","Single parent ","higher vocational","9","","",""
"Big worries","1994","Single parent ","higher education","37","0.58526017157462","0.462625124181683","0.707895218967558"
"Big worries","1994","Couple + C. LE 16 ","in school","","","",""
"Big worries","1994","Couple + C. LE 16 ","inadequately","42","0.499535764512115","0.393861634144871","0.60520989487936"
"Big worries","1994","Couple + C. LE 16 ","general elemantary","189","0.551386253287105","0.500293223706556","0.602479282867653"
"Big worries","1994","Couple + C. LE 16 ","middle vocational","917","0.534829559342406","0.510777247527981","0.55888187115683"
"Big worries","1994","Couple + C. LE 16 ","vocational + Abi","51","0.384331656002396","0.296933735201142","0.471729576803651"
"Big worries","1994","Couple + C. LE 16 ","higher vocational","124","0.536155764985908","0.469956766993493","0.602354762978322"
"Big worries","1994","Couple + C. LE 16 ","higher education","288","0.477547168528029","0.435102420898344","0.519991916157713"
"Big worries","1994","Couple + C. GT 16 ","in school","42","0.49270277092764","0.391636111378282","0.593769430476998"
"Big worries","1994","Couple + C. GT 16 ","inadequately","73","0.49173414359432","0.413283512381763","0.570184774806876"
"Big worries","1994","Couple + C. GT 16 ","general elemantary","270","0.525703203117755","0.482450971700903","0.568955434534606"
"Big worries","1994","Couple + C. GT 16 ","middle vocational","716","0.574507199656018","0.546943805129447","0.60207059418259"
"Big worries","1994","Couple + C. GT 16 ","vocational + Abi","27","","",""
"Big worries","1994","Couple + C. GT 16 ","higher vocational","72","0.665722783489565","0.575918871172653","0.755526695806478"
"Big worries","1994","Couple + C. GT 16 ","higher education","162","0.573224534349304","0.512871328276342","0.633577740422266"
"Big worries","1994","Couple + C. LE and GT 16","in school","49","0.41453975255595","0.322892721679799","0.506186783432101"
"Big worries","1994","Couple + C. LE and GT 16","inadequately","47","0.568784948334988","0.469196883866063","0.668373012803914"
"Big worries","1994","Couple + C. LE and GT 16","general elemantary","165","0.522314220040327","0.464625762300787","0.580002677779867"
"Big worries","1994","Couple + C. LE and GT 16","middle vocational","231","0.471014798180632","0.425149794773787","0.516879801587476"
"Big worries","1994","Couple + C. LE and GT 16","vocational + Abi","10","","",""
"Big worries","1994","Couple + C. LE and GT 16","higher vocational","36","0.574775200566084","0.448627195023155","0.700923206109013"
"Big worries","1994","Couple + C. LE and GT 16","higher education","76","0.574695573674062","0.484337274352264","0.665053872995861"
"Some worries","1994","1-pers.-HH","in school","","","",""
"Some worries","1994","1-pers.-HH","inadequately","14","","",""
"Some worries","1994","1-pers.-HH","general elemantary","115","0.341756020226144","0.292347938268197","0.391164102184091"
