"plh0040","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1994","16-34 y.","no migration background","1772","0.464900984519763","0.448565078004976","0.48123689103455","1"
"Big worries","1994","16-34 y.","direct migration background","361","0.412416320187709","0.377209167290103","0.447623473085316","1"
"Big worries","1994","16-34 y.","indirect migration background","226","0.499594050034853","0.453951753364142","0.545236346705564","1"
"Big worries","1994","35-65 y.","no migration background","3234","0.61049344428813","0.597135075948859","0.6238518126274","1"
"Big worries","1994","35-65 y.","direct migration background","779","0.567347393414369","0.541686558880831","0.593008227947908","1"
"Big worries","1994","35-65 y.","indirect migration background","13","","","","1"
"Big worries","1994","66 and older","no migration background","944","0.697541587456738","0.672790968972876","0.7222922059406","1"
"Big worries","1994","66 and older","direct migration background","118","0.73492305340851","0.668961514005882","0.800884592811139","1"
"Big worries","1994","66 and older","indirect migration background","4","","","","1"
"No worries","1994","66 and older","indirect migration background","","","","","3"
"No worries","1994","66 and older","direct migration background","3","","","","3"
"No worries","1994","66 and older","no migration background","42","0.031630712773868","0.0222000294528615","0.0410613960948746","3"
"No worries","1994","35-65 y.","indirect migration background","2","","","","3"
"No worries","1994","35-65 y.","direct migration background","117","0.0767968134843781","0.0630057794707437","0.0905878474980125","3"
"No worries","1994","35-65 y.","no migration background","106","0.0233899886272776","0.0192496952342351","0.02753028202032","3"
"No worries","1994","16-34 y.","indirect migration background","41","0.112183387171886","0.0833746954507828","0.140992078892988","3"
"No worries","1994","16-34 y.","direct migration background","63","0.0724709846921274","0.0539282426867125","0.0910137266975422","3"
"No worries","1994","16-34 y.","no migration background","183","0.0619405541079119","0.0540456173750283","0.0698354908407955","3"
"Some worries","1994","35-65 y.","indirect migration background","13","","","","2"
"Some worries","1994","66 and older","no migration background","337","0.270827699769394","0.246881875520345","0.294773524018443","2"
"Some worries","1994","35-65 y.","direct migration background","536","0.355855793101253","0.331058449784967","0.380653136417538","2"
"Some worries","1994","35-65 y.","no migration background","1779","0.366116567084593","0.352919728107297","0.379313406061889","2"
"Some worries","1994","16-34 y.","indirect migration background","194","0.388222562793262","0.343735396597306","0.432709728989217","2"
"Some worries","1994","16-34 y.","direct migration background","327","0.515112695120163","0.479368982800906","0.55085640743942","2"
"Some worries","1994","16-34 y.","no migration background","1626","0.473158461372325","0.4568057699861","0.489511152758551","2"
