"plh0040","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1994","Rural Area","Female","1437","0.641729083931637","0.621796665386506","0.661661502476769"
"Big worries","1994","Rural Area","Male","1239","0.574955847460128","0.553659889106612","0.596251805813643"
"Big worries","1994","Urban Area","Female","2592","0.596899190717722","0.582475803450129","0.611322577985314"
"Big worries","1994","Urban Area","Male","2183","0.531281062814948","0.516071078989722","0.546491046640173"
"No worries","1994","Rural Area","Female","60","0.0269253643619079","0.0201966478665656","0.0336540808572503"
"No worries","1994","Rural Area","Male","82","0.0366506384143791","0.0285560346015739","0.0447452422271844"
"No worries","1994","Urban Area","Female","185","0.038448076401141","0.0327943652945187","0.0441017875077634"
"No worries","1994","Urban Area","Male","230","0.0527698945946624","0.0459554385629707","0.0595843506263541"
"Some worries","1994","Rural Area","Female","726","0.331345551706455","0.311778751927172","0.350912351485738"
"Some worries","1994","Rural Area","Male","749","0.388393514125493","0.367397592453821","0.409389435797165"
"Some worries","1994","Urban Area","Female","1666","0.364652732881137","0.35049951299888","0.378805952763394"
"Some worries","1994","Urban Area","Male","1722","0.41594904259039","0.400926073673661","0.430972011507119"
"Big worries","1995","Rural Area","Female","1448","0.626411420098393","0.606572105209474","0.646250734987312"
"Big worries","1995","Rural Area","Male","1245","0.572081154173368","0.551157358041996","0.59300495030474"
"Big worries","1995","Urban Area","Female","2504","0.565036833430532","0.55067615963053","0.579397507230534"
"Big worries","1995","Urban Area","Male","2130","0.51369348514053","0.49864385136323","0.52874311891783"
"No worries","1995","Rural Area","Female","57","0.0256957732809732","0.0192067672109748","0.0321847793509715"
"No worries","1995","Rural Area","Male","92","0.0474484200834663","0.0384578737948587","0.0564389663720738"
"No worries","1995","Urban Area","Female","242","0.0516297720331649","0.0452199015182385","0.0580396425480913"
"No worries","1995","Urban Area","Male","297","0.0660397390167102","0.0585617343456322","0.0735177436877883"
"Some worries","1995","Rural Area","Female","779","0.347892806620634","0.328359207926324","0.367426405314944"
"Some worries","1995","Rural Area","Male","811","0.380470425743166","0.359938843164186","0.401002008322146"
"Some worries","1995","Urban Area","Female","1832","0.383333394536303","0.369249468370881","0.397417320701726"
"Some worries","1995","Urban Area","Male","1810","0.42026677584276","0.405404152107409","0.435129399578111"
"Big worries","1996","Rural Area","Female","1486","0.67467580114629","0.655330600151726","0.694021002140855"
"Big worries","1996","Rural Area","Male","1296","0.614732352919724","0.594065107590951","0.635399598248496"
"Big worries","1996","Urban Area","Female","2570","0.599932009093445","0.585573309374573","0.614290708812316"
"Big worries","1996","Urban Area","Male","2170","0.535678787639739","0.520444605475162","0.550912969804316"
"No worries","1996","Rural Area","Female","58","0.0214145811823372","0.015437052648938","0.0273921097157364"
"No worries","1996","Rural Area","Male","78","0.0388909802133644","0.0306804905161639","0.0471014699105648"
"No worries","1996","Urban Area","Female","168","0.0381358835944835","0.0325225485894403","0.0437492185995267"
"No worries","1996","Urban Area","Male","206","0.050796326443515","0.0440889371168447","0.0575037157701852"
"Some worries","1996","Rural Area","Female","709","0.303909617671372","0.284917537544039","0.322901697798706"
"Some worries","1996","Rural Area","Male","756","0.346376666866912","0.326169921102526","0.366583412631298"
"Some worries","1996","Urban Area","Female","1734","0.361932107312072","0.347847517770349","0.376016696853795"
"Some worries","1996","Urban Area","Male","1741","0.413524885916746","0.398481926738221","0.428567845095271"
"Big worries","1997","Rural Area","Female","1519","0.686129283320222","0.666855527192724","0.70540303944772"
"Big worries","1997","Rural Area","Male","1294","0.634420840788707","0.613857424920797","0.654984256656617"
"Big worries","1997","Urban Area","Female","2678","0.634030197958452","0.61978900901366","0.648271386903244"
"Big worries","1997","Urban Area","Male","2259","0.567881202501171","0.552694058940912","0.58306834606143"
"No worries","1997","Rural Area","Female","48","0.0221667026166967","0.0160520619422715","0.0282813432911219"
"No worries","1997","Rural Area","Male","70","0.0307842781455744","0.0234087939699837","0.0381597623211651"
"No worries","1997","Urban Area","Female","153","0.0318958002823305","0.0267006698581188","0.0370909307065423"
"No worries","1997","Urban Area","Male","189","0.0469974248916393","0.0405091410519272","0.0534857087313515"
"Some worries","1997","Rural Area","Female","660","0.291704014063081","0.272825553567473","0.31058247455869"
"Some worries","1997","Rural Area","Male","743","0.334794881065719","0.314644511343295","0.354945250788143"
"Some worries","1997","Urban Area","Female","1564","0.334074001759218","0.320129500809745","0.34801850270869"
"Some worries","1997","Urban Area","Male","1639","0.385121372607189","0.370202387466953","0.400040357747425"
"Big worries","1998","Rural Area","Female","1590","0.653319505613605","0.634581431343418","0.672057579883792"
