"plh0040","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1994","16-34 y.","Female","1265","0.492951231940991","0.47304868635331","0.512853777528672","1"
"Big worries","1994","16-34 y.","Male","1094","0.4313049929588","0.411361670506096","0.451248315411504","1"
"Big worries","1994","35-65 y.","Female","2088","0.627561871038281","0.611087050850033","0.64403669122653","1"
"Big worries","1994","35-65 y.","Male","1938","0.580869994486443","0.563960848758266","0.59777914021462","1"
"Big worries","1994","66 and older","Female","676","0.719826487441957","0.691025849868879","0.748627125015035","1"
"Big worries","1994","66 and older","Male","390","0.67046070201456","0.63170245404595","0.709218949983171","1"
"No worries","1994","35-65 y.","Male","129","0.03634196146908","0.0299287807973663","0.0427551421407937","3"
"No worries","1994","35-65 y.","Female","96","0.0252790349669868","0.0199298731050285","0.030628196828945","3"
"No worries","1994","16-34 y.","Female","119","0.0569711110155314","0.0477438750609756","0.0661983469700873","3"
"No worries","1994","16-34 y.","Male","168","0.0740344589813217","0.0634910773479283","0.0845778406147151","3"
"No worries","1994","66 and older","Male","15","","","","3"
"No worries","1994","66 and older","Female","30","0.0281247355304436","0.0175218483342559","0.0387276227266313","3"
"Some worries","1994","35-65 y.","Female","1124","0.347159093994732","0.330936014617347","0.363382173372116","2"
"Some worries","1994","16-34 y.","Male","1107","0.494660548059878","0.474527441121312","0.514793654998444","2"
"Some worries","1994","66 and older","Male","160","0.298716316215","0.260976462984256","0.336456169445744","2"
"Some worries","1994","16-34 y.","Female","1040","0.450077657043478","0.430272595657217","0.469882718429739","2"
"Some worries","1994","35-65 y.","Male","1204","0.382788044044477","0.366130760965345","0.399445327123609","2"
"Some worries","1994","66 and older","Female","228","0.2520487770276","0.22420336884895","0.279894185206249","2"
"Big worries","1995","16-34 y.","Female","1218","0.466103975316986","0.446490496011638","0.485717454622335","1"
"Big worries","1995","16-34 y.","Male","1035","0.397233976557238","0.377770459240682","0.416697493873795","1"
"Big worries","1995","35-65 y.","Female","2069","0.599301211598048","0.582896852149783","0.615705571046313","1"
"Big worries","1995","35-65 y.","Male","1921","0.562002310537089","0.545258863191703","0.578745757882474","1"
"Big worries","1995","66 and older","Female","665","0.689871761386062","0.660443146259818","0.719300376512305","1"
"Big worries","1995","66 and older","Male","419","0.718156006590018","0.681667553007594","0.754644460172441","1"
"No worries","1995","35-65 y.","Male","151","0.0456866409912602","0.0386400342257779","0.0527332477567426","3"
"No worries","1995","35-65 y.","Female","130","0.0383314471571873","0.0319043036127002","0.0447585907016744","3"
"No worries","1995","16-34 y.","Male","216","0.0936400483149421","0.0820521435268986","0.105227953102986","3"
"No worries","1995","16-34 y.","Female","134","0.0566741907251281","0.0475832585717278","0.0657651228785283","3"
"No worries","1995","66 and older","Male","22","","","","3"
"No worries","1995","66 and older","Female","35","0.0401036969161228","0.0276206860357993","0.0525867077964463","3"
"Some worries","1995","35-65 y.","Female","1229","0.362367341244765","0.346276176337836","0.378458506151694","2"
"Some worries","1995","16-34 y.","Male","1177","0.509125975127819","0.489241167078448","0.529010783177191","2"
"Some worries","1995","66 and older","Male","143","0.241367049998006","0.206661693528075","0.276072406467937","2"
"Some worries","1995","16-34 y.","Female","1133","0.477221833957886","0.457583539498398","0.496860128417373","2"
"Some worries","1995","35-65 y.","Male","1301","0.392311048471651","0.375833376222828","0.408788720720474","2"
"Some worries","1995","66 and older","Female","249","0.270024541697815","0.241777645542076","0.298271437853555","2"
"Big worries","1996","16-34 y.","Female","1229","0.493226232022361","0.473228434934854","0.513224029109869","1"
"Big worries","1996","16-34 y.","Male","1077","0.443185707531722","0.423023787946255","0.46334762711719","1"
"Big worries","1996","35-65 y.","Female","2099","0.626459721075014","0.610117678750123","0.642801763399905","1"
"Big worries","1996","35-65 y.","Male","1953","0.580113665181044","0.56332556827303","0.596901762089058","1"
"Big worries","1996","66 and older","Female","729","0.766413931167536","0.739634956065404","0.793192906269669","1"
"Big worries","1996","66 and older","Male","436","0.728849914561501","0.693129743126597","0.764570085996405","1"
"No worries","1996","35-65 y.","Female","97","0.0278720826516553","0.0223112803734025","0.0334328849299081","3"
"No worries","1996","35-65 y.","Male","126","0.041195562258417","0.034435210651466","0.0479559138653679","3"
"No worries","1996","16-34 y.","Male","145","0.0669777763104341","0.0568317689160605","0.0771237837048077","3"
"No worries","1996","16-34 y.","Female","104","0.0486354604639811","0.0400314286631177","0.0572394922648444","3"
"No worries","1996","66 and older","Male","13","","","","3"
"No worries","1996","66 and older","Female","25","","","","3"
"Some worries","1996","16-34 y.","Male","1110","0.489836516157844","0.469547355473094","0.510125676842593","2"
"Some worries","1996","35-65 y.","Female","1170","0.34566819627333","0.329601752379555","0.361734640167106","2"
"Some worries","1996","16-34 y.","Female","1068","0.458138307513658","0.438208893048793","0.478067721978523","2"
"Some worries","1996","66 and older","Male","146","0.243581484625941","0.20909151434479","0.278071454907091","2"
"Some worries","1996","35-65 y.","Male","1241","0.378690772560539","0.362191100500907","0.395190444620171","2"
"Some worries","1996","66 and older","Female","205","0.207686290138045","0.182012423130696","0.233360157145393","2"
"Big worries","1997","16-34 y.","Female","1277","0.545477305819556","0.525194000740228","0.565760610898885","1"
"Big worries","1997","16-34 y.","Male","1126","0.494836563900715","0.474350103595429","0.515323024206","1"
"Big worries","1997","35-65 y.","Female","2193","0.654021595536082","0.637920632444675","0.670122558627488","1"
"Big worries","1997","35-65 y.","Male","1954","0.597384483621593","0.58057016432548","0.614198802917706","1"
"Big worries","1997","66 and older","Female","728","0.763274113817501","0.736314755711273","0.79023347192373","1"
"Big worries","1997","66 and older","Male","473","0.739053572333581","0.704977354185609","0.773129790481553","1"
"No worries","1997","35-65 y.","Female","78","0.0237811825270415","0.0186238916732879","0.0289384733807951","3"
