"plh0040","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1994","Schleswig-Holstein","West Germany","142","0.545671231519799","0.487965928999456","0.603376534040142"
"Big worries","1994","Schleswig-Holstein","East Germany","","","",""
"Big worries","1994","Hamburg","West Germany","75","0.585597091881435","0.503996196141282","0.667197987621588"
"Big worries","1994","Hamburg","East Germany","","","",""
"Big worries","1994","Lower Saxony","West Germany","526","0.553183367533566","0.5218318367857","0.584534898281432"
"Big worries","1994","Lower Saxony","East Germany","","","",""
"Big worries","1994","Bremen","West Germany","61","0.745413556025547","0.653874854969126","0.836952257081968"
"Big worries","1994","Bremen","East Germany","","","",""
"Big worries","1994","North Rhine-Westphalia","West Germany","1335","0.556086199673354","0.536440572644758","0.57573182670195"
"Big worries","1994","North Rhine-Westphalia","East Germany","","","",""
"Big worries","1994","Hesse","West Germany","494","0.562920526688865","0.530780865647837","0.595060187729894"
"Big worries","1994","Hesse","East Germany","","","",""
"Big worries","1994","Rhineland-Palatinate,Saarland","West Germany","364","0.580205857070801","0.541729070560567","0.618682643581035"
"Big worries","1994","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Big worries","1994","Baden-Württemberg","West Germany","839","0.506294751778805","0.48277629530954","0.529813208248071"
"Big worries","1994","Baden-Württemberg","East Germany","","","",""
"Big worries","1994","Bavaria","West Germany","674","0.452605356427168","0.428085509763419","0.477125203090917"
"Big worries","1994","Bavaria","East Germany","","","",""
"Big worries","1994","Berlin","West Germany","165","0.589921499508223","0.533410601456177","0.646432397560268"
"Big worries","1994","Berlin","East Germany","203","0.769206808407156","0.718090333822145","0.820323282992167"
"Big worries","1994","Brandenburg","West Germany","","","",""
"Big worries","1994","Brandenburg","East Germany","456","0.766627885220046","0.732979011488984","0.800276758951108"
"Big worries","1994","Mecklenburg-Western Pomerania","West Germany","","","",""
"Big worries","1994","Mecklenburg-Western Pomerania","East Germany","294","0.748316289166229","0.706359974505183","0.790272603827274"
"Big worries","1994","Saxony","West Germany","","","",""
"Big worries","1994","Saxony","East Germany","837","0.763425125491594","0.738657502840644","0.788192748142544"
"Big worries","1994","Saxony-Anhalt","West Germany","","","",""
"Big worries","1994","Saxony-Anhalt","East Germany","521","0.766098753238584","0.734851476143342","0.797346030333826"
"Big worries","1994","Thuringia","West Germany","","","",""
"Big worries","1994","Thuringia","East Germany","465","0.70993531684148","0.675393263958028","0.744477369724932"
"Some worries","1994","Schleswig-Holstein","West Germany","127","0.401598517737892","0.344784244530707","0.458412790945078"
"Some worries","1994","Schleswig-Holstein","East Germany","","","",""
"Some worries","1994","Hamburg","West Germany","58","0.385777599784203","0.305144120096155","0.46641107947225"
"Some worries","1994","Hamburg","East Germany","","","",""
