"plh0040","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1994","Schleswig-Holstein","Male","66","0.520520086765162","0.436558122035481","0.604482051494842","1"
"Big worries","1994","Schleswig-Holstein","Female","76","0.568849870191374","0.489596898841919","0.648102841540829","1"
"Big worries","1994","Hamburg","Male","28","","","","1"
"Big worries","1994","Hamburg","Female","47","0.670603740636375","0.56562652592843","0.77558095534432","1"
"Big worries","1994","Lower Saxony","Male","238","0.502158115293564","0.457241132726222","0.547075097860905","1"
"Big worries","1994","Lower Saxony","Female","288","0.600227363778642","0.556854861517639","0.643599866039644","1"
"Big worries","1994","Bremen","Male","31","0.816931993572605","0.699975961887002","0.933888025258208","1"
"Big worries","1994","Bremen","Female","30","0.68454878388746","0.548776807861277","0.820320759913644","1"
"Big worries","1994","North Rhine-Westphalia","Male","610","0.521298352003868","0.492856062467124","0.549740641540611","1"
"Big worries","1994","North Rhine-Westphalia","Female","725","0.587492190883037","0.560438802228245","0.614545579537828","1"
"Big worries","1994","Hesse","Male","230","0.551674150528717","0.505519138428327","0.597829162629108","1"
"Big worries","1994","Hesse","Female","264","0.573469968026577","0.528709788788997","0.618230147264157","1"
"Big worries","1994","Rhineland-Palatinate,Saarland","Male","165","0.545700496313203","0.489169288486711","0.602231704139695","1"
"Big worries","1994","Rhineland-Palatinate,Saarland","Female","199","0.61293647335919","0.560700016102333","0.665172930616047","1"
"Big worries","1994","Baden-Württemberg","Male","403","0.46467131806655","0.431337730705784","0.498004905427317","1"
"Big worries","1994","Baden-Württemberg","Female","436","0.54503274121046","0.512056784366501","0.578008698054419","1"
"Big worries","1994","Bavaria","Male","311","0.422756729356779","0.38784192401024","0.457671534703319","1"
"Big worries","1994","Bavaria","Female","363","0.479892399660706","0.445571834993664","0.514212964327748","1"
"Big worries","1994","Berlin","Male","166","0.604193721329737","0.544866052914758","0.663521389744716","1"
"Big worries","1994","Berlin","Female","202","0.706049742239136","0.65370703651891","0.758392447959361","1"
"Big worries","1994","Brandenburg","Male","207","0.718637597703515","0.667150041388951","0.77012515401808","1"
"Big worries","1994","Brandenburg","Female","249","0.815173118036114","0.772240165111494","0.858106070960734","1"
"Big worries","1994","Mecklenburg-Western Pomerania","Male","145","0.767485690636627","0.709658626124314","0.82531275514894","1"
"Big worries","1994","Mecklenburg-Western Pomerania","Female","149","0.729047009332138","0.668353923122703","0.789740095541572","1"
"Big worries","1994","Saxony","Male","371","0.724000013199358","0.685834895934431","0.762165130464285","1"
"Big worries","1994","Saxony","Female","466","0.798414351087589","0.766419978760653","0.830408723414525","1"
"Big worries","1994","Saxony-Anhalt","Male","235","0.746786529166425","0.699798007370731","0.793775050962119","1"
"Big worries","1994","Saxony-Anhalt","Female","286","0.783431161649823","0.741796736463905","0.82506558683574","1"
"Big worries","1994","Thuringia","Male","216","0.668799903699948","0.616825903678483","0.720773903721414","1"
"Big worries","1994","Thuringia","Female","249","0.747789624058994","0.702161810195042","0.793417437922946","1"
"No worries","1994","Hamburg","Female","4","","","","3"
"No worries","1994","Bavaria","Male","86","0.100309948590297","0.0790773385217723","0.121542558658822","3"
"No worries","1994","Bavaria","Female","65","0.0665340661054304","0.0494139321713868","0.083654200039474","3"
"No worries","1994","Hamburg","Male","3","","","","3"
"No worries","1994","Schleswig-Holstein","Male","8","","","","3"
"No worries","1994","Lower Saxony","Male","24","","","","3"
"No worries","1994","Schleswig-Holstein","Female","9","","","","3"
"No worries","1994","Lower Saxony","Female","15","","","","3"
"No worries","1994","Bremen","Male","2","","","","3"
"No worries","1994","North Rhine-Westphalia","Female","47","0.0343683821453342","0.0243570972960389","0.0443796669946296","3"
"No worries","1994","Hesse","Female","23","","","","3"
"No worries","1994","Rhineland-Palatinate,Saarland","Male","9","","","","3"
"No worries","1994","Rhineland-Palatinate,Saarland","Female","9","","","","3"
"No worries","1994","Baden-Württemberg","Male","60","0.0633904395572962","0.0471053541607939","0.0796755249537985","3"
"No worries","1994","Baden-Württemberg","Female","42","0.0393148833042372","0.0264452828350255","0.0521844837734489","3"
"No worries","1994","Bremen","Female","4","","","","3"
