"plh0040","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1994","Schleswig-Holstein","Not Employed","53","0.585210802016115","0.488646195112016","0.681775408920214","1"
"Big worries","1994","Schleswig-Holstein","Employed","89","0.521842354684971","0.450055184570448","0.593629524799495","1"
"Big worries","1994","Hamburg","Not Employed","39","0.739387248247647","0.629229009762972","0.849545486732322","1"
"Big worries","1994","Hamburg","Employed","36","0.458032164743232","0.348164652651747","0.567899676834717","1"
"Big worries","1994","Lower Saxony","Not Employed","211","0.609312090302279","0.55877136601586","0.659852814588698","1"
"Big worries","1994","Lower Saxony","Employed","315","0.513042450373215","0.473312455989766","0.552772444756664","1"
"Big worries","1994","Bremen","Not Employed","30","0.727572283678993","0.598915439795534","0.856229127562452","1"
"Big worries","1994","Bremen","Employed","31","0.772981249063397","0.644756603561791","0.901205894565003","1"
"Big worries","1994","North Rhine-Westphalia","Not Employed","543","0.638520857800639","0.607133410104587","0.669908305496691","1"
"Big worries","1994","North Rhine-Westphalia","Employed","792","0.500793035415807","0.475957516260214","0.5256285545714","1"
"Big worries","1994","Hesse","Not Employed","189","0.651419289657683","0.599371518340499","0.703467060974868","1"
"Big worries","1994","Hesse","Employed","305","0.4945513247735","0.454310677253512","0.534791972293488","1"
"Big worries","1994","Rhineland-Palatinate,Saarland","Not Employed","159","0.593325504441441","0.533732152443809","0.652918856439073","1"
"Big worries","1994","Rhineland-Palatinate,Saarland","Employed","205","0.569662330915371","0.519280427722833","0.620044234107908","1"
"Big worries","1994","Baden-Württemberg","Not Employed","295","0.569559523666335","0.528804357112476","0.610314690220194","1"
"Big worries","1994","Baden-Württemberg","Employed","544","0.467293104012491","0.438692205239774","0.495894002785208","1"
"Big worries","1994","Bavaria","Not Employed","235","0.524189037221045","0.480414226403855","0.567963848038236","1"
"Big worries","1994","Bavaria","Employed","439","0.409526523232067","0.380239510424624","0.438813536039509","1"
"Big worries","1994","Berlin","Not Employed","115","0.669043515192744","0.598720659574923","0.739366370810564","1"
