"plh0040","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1994","lower secondary degree","West Germany","2357","0.595025191611332","0.580028616442736","0.610021766779929"
"Big worries","1994","lower secondary degree","East Germany","1121","0.83599050426502","0.816375810329963","0.855605198200077"
"Big worries","1994","secondary school degree","West Germany","869","0.514041078633535","0.490710762283748","0.537371394983322"
"Big worries","1994","secondary school degree","East Germany","1230","0.706752071476547","0.685434778126091","0.728069364827003"
"Big worries","1994","college entrance qualification","West Germany","511","0.40385495869665","0.377415238994601","0.4302946783987"
"Big worries","1994","college entrance qualification","East Germany","339","0.694268287508795","0.653763738103018","0.734772836914571"
"Big worries","1994","Other degree","West Germany","447","0.51615708797093","0.482815534369685","0.549498641572176"
"Big worries","1994","Other degree","East Germany","","","",""
"Big worries","1994","no degree/no degree yet","West Germany","348","0.472115737732975","0.436122619918065","0.508108855547885"
"Big worries","1994","no degree/no degree yet","East Germany","40","0.421769413456316","0.317998285851625","0.525540541061008"
"Some worries","1994","lower secondary degree","West Germany","1615","0.374808714601954","0.36002029700101","0.389597132202898"
"Some worries","1994","lower secondary degree","East Germany","235","0.15589372282559","0.136677888482642","0.175109557168539"
"Some worries","1994","secondary school degree","West Germany","822","0.451239577471507","0.428011304679671","0.474467850263344"
"Some worries","1994","secondary school degree","East Germany","506","0.286039559296877","0.264878804016314","0.307200314577439"
"Some worries","1994","college entrance qualification","West Germany","700","0.513122743485221","0.48618950695343","0.540055980017012"
"Some worries","1994","college entrance qualification","East Germany","147","0.265781965640994","0.226945010356357","0.304618920925632"
"Some worries","1994","Other degree","West Germany","336","0.368140483510781","0.335962431615174","0.400318535406389"
"Some worries","1994","Other degree","East Germany","","","",""
"Some worries","1994","no degree/no degree yet","West Germany","309","0.412862704764034","0.377365142269563","0.448360267258504"
"Some worries","1994","no degree/no degree yet","East Germany","42","0.526232251073579","0.421311850030547","0.631152652116611"
"No worries","1994","lower secondary degree","West Germany","144","0.0301660937867139","0.0249407047696459","0.035391482803782"
"No worries","1994","lower secondary degree","East Germany","","","",""
"No worries","1994","secondary school degree","West Germany","72","0.0347193438949574","0.0261739026747945","0.0432647851151203"
"No worries","1994","secondary school degree","East Germany","","","",""
"No worries","1994","college entrance qualification","West Germany","112","0.0830222978181288","0.0681545587289321","0.0978900369073255"
"No worries","1994","college entrance qualification","East Germany","","","",""
"No worries","1994","Other degree","West Germany","80","0.115702428518288","0.094361508083643","0.137043348952934"
"No worries","1994","Other degree","East Germany","","","",""
"No worries","1994","no degree/no degree yet","West Germany","82","0.115021557502991","0.092018697319264","0.138024417686719"
"No worries","1994","no degree/no degree yet","East Germany","","","",""
"Big worries","1995","lower secondary degree","West Germany","2333","0.601877922097316","0.586833575082866","0.616922269111766"
"Big worries","1995","lower secondary degree","East Germany","1047","0.810541815329184","0.789288783101589","0.83179484755678"
"Big worries","1995","secondary school degree","West Germany","914","0.504341306437239","0.481740559115953","0.526942053758525"
"Big worries","1995","secondary school degree","East Germany","1122","0.667796088527992","0.645340261983728","0.690251915072257"
"Big worries","1995","college entrance qualification","West Germany","471","0.348371113903505","0.323457819425983","0.373284408381026"
"Big worries","1995","college entrance qualification","East Germany","307","0.621297512790441","0.578991578725498","0.663603446855384"
"Big worries","1995","Other degree","West Germany","553","0.476834251806373","0.447789859195884","0.505878644416861"
"Big worries","1995","Other degree","East Germany","","","",""
"Big worries","1995","no degree/no degree yet","West Germany","331","0.421945986683245","0.386694693084847","0.457197280281644"
"Big worries","1995","no degree/no degree yet","East Germany","54","0.619553155315928","0.522937277576628","0.716169033055228"
"Some worries","1995","lower secondary degree","West Germany","1557","0.357377606514301","0.342649307235729","0.372105905792874"
"Some worries","1995","lower secondary degree","East Germany","245","0.179547136772943","0.158731362872997","0.200362910672888"
"Some worries","1995","secondary school degree","West Germany","891","0.458262036066958","0.435739321025793","0.480784751108124"
"Some worries","1995","secondary school degree","East Germany","551","0.320776899881456","0.298522673300839","0.343031126462073"
"Some worries","1995","college entrance qualification","West Germany","786","0.550407979473457","0.524396707688935","0.576419251257979"
"Some worries","1995","college entrance qualification","East Germany","187","0.339944082341546","0.298630152352395","0.381258012330698"
"Some worries","1995","Other degree","West Germany","465","0.400610186233077","0.372114796691486","0.429105575774668"
"Some worries","1995","Other degree","East Germany","","","",""
"Some worries","1995","no degree/no degree yet","West Germany","339","0.436046927743431","0.400651226808754","0.471442628678109"
"Some worries","1995","no degree/no degree yet","East Germany","34","0.29504324611439","0.20428495697558","0.3858015352532"
"No worries","1995","lower secondary degree","West Germany","177","0.0407444713883824","0.0346685449928463","0.0468203977839186"
"No worries","1995","lower secondary degree","East Germany","","","",""
"No worries","1995","secondary school degree","West Germany","75","0.0373966574958033","0.0288201742713829","0.0459731407202237"
"No worries","1995","secondary school degree","East Germany","","","",""
"No worries","1995","college entrance qualification","West Germany","148","0.101220906623038","0.0854494603364895","0.116992352909587"
"No worries","1995","college entrance qualification","East Germany","","","",""
"No worries","1995","Other degree","West Germany","118","0.12255556196055","0.103486240018453","0.141624883902647"
"No worries","1995","Other degree","East Germany","","","",""
"No worries","1995","no degree/no degree yet","West Germany","84","0.142007085573324","0.117092178254794","0.166921992891853"
"No worries","1995","no degree/no degree yet","East Germany","","","",""
"Big worries","1996","lower secondary degree","West Germany","2393","0.641965328428389","0.627038952203265","0.656891704653514"
"Big worries","1996","lower secondary degree","East Germany","1071","0.862693889299411","0.843765244387222","0.8816225342116"
"Big worries","1996","secondary school degree","West Germany","970","0.546176459119165","0.523605321999157","0.568747596239174"
"Big worries","1996","secondary school degree","East Germany","1134","0.683147302871086","0.660952680863102","0.705341924879071"
"Big worries","1996","college entrance qualification","West Germany","507","0.384372083994801","0.358734796554862","0.41000937143474"
"Big worries","1996","college entrance qualification","East Germany","319","0.624119787478332","0.582247639573222","0.665991935383441"
"Big worries","1996","Other degree","West Germany","504","0.439045961548887","0.409085643564397","0.469006279533377"
"Big worries","1996","Other degree","East Germany","","","",""
"Big worries","1996","no degree/no degree yet","West Germany","345","0.494046420595628","0.457322646336174","0.530770194855081"
"Big worries","1996","no degree/no degree yet","East Germany","61","0.643040639523126","0.550063409625678","0.736017869420575"
"Some worries","1996","lower secondary degree","West Germany","1459","0.33218187299081","0.317517850393139","0.346845895588482"
"Some worries","1996","lower secondary degree","East Germany","183","0.126915701325591","0.10860807681102","0.145223325840163"
"Some worries","1996","secondary school degree","West Germany","829","0.419434511706983","0.397062701353137","0.441806322060828"
"Some worries","1996","secondary school degree","East Germany","539","0.306256474390043","0.284267550263478","0.328245398516609"
"Some worries","1996","college entrance qualification","West Germany","749","0.525729941670261","0.499413254940734","0.552046628399787"
"Some worries","1996","college entrance qualification","East Germany","182","0.34518453074355","0.304083599764697","0.386285461722403"
"Some worries","1996","Other degree","West Germany","481","0.474197240399744","0.44405200168826","0.504342479111229"
"Some worries","1996","Other degree","East Germany","","","",""
"Some worries","1996","no degree/no degree yet","West Germany","300","0.400045919940419","0.364060877230342","0.436030962650495"
"Some worries","1996","no degree/no degree yet","East Germany","40","0.349007129918089","0.256504672400539","0.441509587435639"
"No worries","1996","lower secondary degree","West Germany","111","0.0258527985808005","0.0209119433420445","0.0307936538195564"
"No worries","1996","lower secondary degree","East Germany","","","",""
"No worries","1996","secondary school degree","West Germany","70","0.034389029173852","0.0261276131286895","0.0426504452190144"
"No worries","1996","secondary school degree","East Germany","","","",""
"No worries","1996","college entrance qualification","West Germany","127","0.0898979743349383","0.0748229856643503","0.104972963005526"
"No worries","1996","college entrance qualification","East Germany","","","",""
"No worries","1996","Other degree","West Germany","69","0.0867567980513684","0.0697636920250798","0.103749904077657"
"No worries","1996","Other degree","East Germany","","","",""
"No worries","1996","no degree/no degree yet","West Germany","67","0.105907659463953","0.0833048217647564","0.12851049716315"
"No worries","1996","no degree/no degree yet","East Germany","","","",""
"Big worries","1997","lower secondary degree","West Germany","2475","0.658633174283245","0.64374398419201","0.67352236437448"
"Big worries","1997","lower secondary degree","East Germany","1041","0.858660564314119","0.839246982223989","0.87807414640425"
"Big worries","1997","secondary school degree","West Germany","1055","0.597842995446723","0.575684254280257","0.62000173661319"
