"plh0040","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1994","Schleswig-Holstein","no migration background","121","0.531220840532338","0.469971741996882","0.592469939067795","1"
"Big worries","1994","Schleswig-Holstein","direct migration background","18","","","","1"
"Big worries","1994","Schleswig-Holstein","indirect migration background","3","","","","1"
"Big worries","1994","Hamburg","no migration background","63","0.642855568163952","0.549408420254471","0.736302716073433","1"
"Big worries","1994","Hamburg","direct migration background","10","","","","1"
"Big worries","1994","Hamburg","indirect migration background","2","","","","1"
"Big worries","1994","Lower Saxony","no migration background","431","0.549674974267589","0.515112280710376","0.584237667824802","1"
"Big worries","1994","Lower Saxony","direct migration background","79","0.613491075852099","0.531043179418338","0.695938972285861","1"
"Big worries","1994","Lower Saxony","indirect migration background","16","","","","1"
"Big worries","1994","Bremen","no migration background","50","0.763539538196934","0.665392573075045","0.861686503318822","1"
"Big worries","1994","Bremen","direct migration background","9","","","","1"
"Big worries","1994","Bremen","indirect migration background","2","","","","1"
"Big worries","1994","North Rhine-Westphalia","no migration background","914","0.546036994754243","0.522609836217485","0.569464153291","1"
"Big worries","1994","North Rhine-Westphalia","direct migration background","338","0.605499097027636","0.565654914355736","0.645343279699536","1"
"Big worries","1994","North Rhine-Westphalia","indirect migration background","83","0.624945793043546","0.545871550579571","0.704020035507521","1"
"Big worries","1994","Hesse","no migration background","309","0.556884792006655","0.515778560188646","0.597991023824663","1"
"Big worries","1994","Hesse","direct migration background","161","0.605559460881613","0.549976838222785","0.661142083540442","1"
"Big worries","1994","Hesse","indirect migration background","24","","","","1"
"Big worries","1994","Rhineland-Palatinate,Saarland","no migration background","300","0.585985520172034","0.54348693738216","0.628484102961909","1"
"Big worries","1994","Rhineland-Palatinate,Saarland","direct migration background","57","0.515113236378758","0.418124896777643","0.612101575979872","1"
"Big worries","1994","Rhineland-Palatinate,Saarland","indirect migration background","7","","","","1"
"Big worries","1994","Baden-Württemberg","no migration background","475","0.512446167706068","0.481103481028765","0.54378885438337","1"
"Big worries","1994","Baden-Württemberg","direct migration background","310","0.496629772976873","0.457649067910709","0.535610478043036","1"
"Big worries","1994","Baden-Württemberg","indirect migration background","54","0.409321043434751","0.323803736404398","0.494838350465104","1"
"Big worries","1994","Bavaria","no migration background","518","0.46379827446297","0.435404862498206","0.492191686427734","1"
"Big worries","1994","Bavaria","direct migration background","127","0.383725714111975","0.331178751540493","0.436272676683456","1"
"Big worries","1994","Bavaria","indirect migration background","29","","","","1"
"Big worries","1994","Berlin","no migration background","313","0.67835479373939","0.635197040763976","0.721512546714804","1"
"Big worries","1994","Berlin","direct migration background","42","0.473391217285064","0.366617934589953","0.580164499980174","1"
"Big worries","1994","Berlin","indirect migration background","13","","","","1"
