"plh0040","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1994","(0) in school","Female","48","0.414603924657843","0.322954823653582","0.506253025662104"
"Big worries","1994","(0) in school","Male","36","0.40022880731904","0.299564764466322","0.500892850171758"
"Big worries","1994","(1a) inadequately completed","Female","185","0.502830067646139","0.451952752660281","0.553707382631997"
"Big worries","1994","(1a) inadequately completed","Male","129","0.499253214608153","0.439723614453278","0.558782814763028"
"Big worries","1994","(1b) general elementary school","Female","861","0.6446938923743","0.619210540099704","0.670177244648895"
"Big worries","1994","(1b) general elementary school","Male","359","0.529298287250943","0.492082072340043","0.566514502161843"
"Big worries","1994","(1c) basic vocational qualification","Female","1183","0.668928781512412","0.647206727838272","0.690650835186551"
"Big worries","1994","(1c) basic vocational qualification","Male","1350","0.602644543696312","0.582420240465947","0.622868846926677"
"Big worries","1994","(2a) intermediate vocational","Female","833","0.587073803592574","0.561292101125916","0.612855506059232"
"Big worries","1994","(2a) intermediate vocational","Male","682","0.551092445920582","0.522749407563503","0.579435484277662"
"Big worries","1994","(2b) intermediate general qualification","Female","175","0.57531075583249","0.518518584375813","0.632102927289167"
"Big worries","1994","(2b) intermediate general qualification","Male","87","0.430300821666742","0.357565230310461","0.503036413023023"
"Big worries","1994","(2c_gen) general maturity certificate","Female","84","0.43549833560966","0.364623016130532","0.506373655088789"
"Big worries","1994","(2c_gen) general maturity certificate","Male","84","0.360596888713136","0.297001680462555","0.424192096963716"
"Big worries","1994","(2c_voc) vocational maturity certificate","Female","115","0.48163118351823","0.418678080632916","0.544584286403544"
"Big worries","1994","(2c_voc) vocational maturity certificate","Male","136","0.477179243582824","0.418675149597484","0.535683337568164"
"Big worries","1994","(3a) lower tertiary education","Female","286","0.620363322373759","0.574494139681553","0.666232505065964"
"Big worries","1994","(3a) lower tertiary education","Male","256","0.577256591044793","0.529899739315614","0.624613442773973"
"Big worries","1994","(3b) higher tertiary education","Female","166","0.521319577913018","0.465710960908481","0.576928194917555"
"Big worries","1994","(3b) higher tertiary education","Male","245","0.448480781289852","0.404623989352464","0.492337573227241"
"No worries","1994","(0) in school","Female","8","","",""
"No worries","1994","(0) in school","Male","12","","",""
"No worries","1994","(1a) inadequately completed","Female","39","0.100046944239495","0.0695136981249046","0.130580190354085"
"No worries","1994","(1a) inadequately completed","Male","30","0.106597583000286","0.0698557612487941","0.143339404751779"
"No worries","1994","(1b) general elementary school","Female","54","0.0330158926792351","0.023502188709859","0.0425295966486112"
"No worries","1994","(1b) general elementary school","Male","46","0.0455173370326023","0.0299762457084514","0.0610584283567531"
"No worries","1994","(1c) basic vocational qualification","Female","46","0.0264733449252274","0.0190631682914569","0.0338835215589979"
"No worries","1994","(1c) basic vocational qualification","Male","79","0.0306165109009683","0.0234965268518041","0.0377364949501325"
"No worries","1994","(2a) intermediate vocational","Female","30","0.0215954184638305","0.0139839391009134","0.0292068978267477"
"No worries","1994","(2a) intermediate vocational","Male","33","0.0281433777758127","0.0187191683598558","0.0375675871917696"
"No worries","1994","(2b) intermediate general qualification","Female","8","","",""
"No worries","1994","(2b) intermediate general qualification","Male","14","","",""
"No worries","1994","(2c_gen) general maturity certificate","Female","16","","",""
"No worries","1994","(2c_gen) general maturity certificate","Male","22","","",""
"No worries","1994","(2c_voc) vocational maturity certificate","Female","10","","",""
"No worries","1994","(2c_voc) vocational maturity certificate","Male","17","","",""
"No worries","1994","(3a) lower tertiary education","Female","8","","",""
"No worries","1994","(3a) lower tertiary education","Male","12","","",""
