"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","direct migration background","Female","5.98","6","1254","4.67","5.33","6.67","7","7","5.93","6.03","1.33","7","6","6.33333349227905"
"2005","direct migration background","Male","5.84","6","1115","4.33","5.33","6.67","7","7","5.78","5.9","2","7","6","6"
"2005","indirect migration background","Female","5.78","6","427","4.33","5.33","6.67","7","7","5.68","5.88","1.33","7","6","6"
"2005","indirect migration background","Male","5.42","5.67","405","3.67","4.67","6.33","7","7","5.31","5.53","1","7","5.33333349227905","5.66666650772095"
"2005","no migration background","Female","5.94","6","9143","4.67","5.33","6.67","7","7","5.92","5.96","1","7","6","6"
"2005","no migration background","Male","5.86","6","8391","4.67","5.33","6.67","7","7","5.84","5.88","1","7","6","6"
"2006","direct migration background","Female","","","","","","","","","","","","","",""
"2006","direct migration background","Male","","","","","","","","","","","","","",""
"2006","indirect migration background","Female","","","","","","","","","","","","","",""
"2006","indirect migration background","Male","","","","","","","","","","","","","",""
"2006","no migration background","Female","","","","","","","","","","","","","",""
"2006","no migration background","Male","","","","","","","","","","","","","",""
"2007","direct migration background","Female","","","","","","","","","","","","","",""
"2007","direct migration background","Male","","","","","","","","","","","","","",""
"2007","indirect migration background","Female","","","","","","","","","","","","","",""
"2007","indirect migration background","Male","","","","","","","","","","","","","",""
"2007","no migration background","Female","","","","","","","","","","","","","",""
"2007","no migration background","Male","","","","","","","","","","","","","",""
"2008","direct migration background","Female","","","","","","","","","","","","","",""
"2008","direct migration background","Male","","","","","","","","","","","","","",""
"2008","indirect migration background","Female","","","","","","","","","","","","","",""
"2008","indirect migration background","Male","","","","","","","","","","","","","",""
"2008","no migration background","Female","","","","","","","","","","","","","",""
"2008","no migration background","Male","","","","","","","","","","","","","",""
"2009","direct migration background","Female","5.87","6","898","4.67","5.33","6.67","7","7","5.81","5.93","1","7","6","6"
"2009","direct migration background","Male","5.79","6","757","4.33","5.33","6.67","7","7","5.72","5.86","1","7","6","6"
"2009","indirect migration background","Female","5.82","6","369","4.67","5.33","6.67","7","7","5.72","5.92","1.33","7","6","6.33333349227905"
"2009","indirect migration background","Male","5.49","5.67","344","3.67","5","6.33","7","7","5.37","5.61","2","7","5.33333349227905","5.66666650772095"
"2009","no migration background","Female","5.84","6","8171","4.67","5.33","6.67","7","7","5.82","5.86","1","7","6","6"
"2009","no migration background","Male","5.69","6","7504","4.33","5","6.33","7","7","5.67","5.71","1","7","5.66666650772095","6"
"2010","direct migration background","Female","","","","","","","","","","","","","",""
"2010","direct migration background","Male","","","","","","","","","","","","","",""
"2010","indirect migration background","Female","","","","","","","","","","","","","",""
"2010","indirect migration background","Male","","","","","","","","","","","","","",""
"2010","no migration background","Female","","","","","","","","","","","","","",""
"2010","no migration background","Male","","","","","","","","","","","","","",""
"2011","direct migration background","Female","","","","","","","","","","","","","",""
"2011","direct migration background","Male","","","","","","","","","","","","","",""
"2011","indirect migration background","Female","","","","","","","","","","","","","",""
"2011","indirect migration background","Male","","","","","","","","","","","","","",""
"2011","no migration background","Female","","","","","","","","","","","","","",""
"2011","no migration background","Male","","","","","","","","","","","","","",""
"2012","direct migration background","Female","5.96","6","606","4.67","5.33","6.67","7","7","5.89","6.03","2.5","7","6","6.33333349227905"
"2012","direct migration background","Male","5.9","6","485","4.67","5.33","6.67","7","7","5.82","5.98","2.33","7","6","6"
"2012","indirect migration background","Female","5.72","6","287","4.33","4.67","6.67","7","7","5.6","5.84","1.33","7","5.66666650772095","6"
"2012","indirect migration background","Male","5.56","5.67","197","4.33","5","6.33","6.67","7","5.42","5.7","2","7","5.33333349227905","5.66666650772095"
"2012","no migration background","Female","5.9","6","3344","4.67","5.33","6.67","7","7","5.87","5.93","1","7","6","6"
"2012","no migration background","Male","5.71","6","2212","4.33","5","6.33","7","7","5.67","5.75","1.67","7","6","6"
"2013","direct migration background","Female","5.97","6","952","4.67","5.33","6.67","7","7","5.91","6.03","2.67","7","6","6.33333349227905"
"2013","direct migration background","Male","5.76","6","733","4.33","5","6.67","7","7","5.69","5.83","1","7","6","6"
"2013","indirect migration background","Female","5.65","6","370","4","5","6.67","7","7","5.55","5.75","1","7","5.66666650772095","6"
"2013","indirect migration background","Male","5.58","5.67","345","4.33","5","6.33","7","7","5.48","5.68","2.67","7","5.66666650772095","6"
"2013","no migration background","Female","5.9","6","8729","4.67","5.33","6.67","7","7","5.88","5.92","1.33","7","6","6"
"2013","no migration background","Male","5.73","6","7765","4.33","5","6.33","7","7","5.71","5.75","1","7","5.66666650772095","6"
"2014","direct migration background","Female","","","","","","","","","","","","","",""
"2014","direct migration background","Male","","","","","","","","","","","","","",""
"2014","indirect migration background","Female","","","","","","","","","","","","","",""
"2014","indirect migration background","Male","","","","","","","","","","","","","",""
"2014","no migration background","Female","","","","","","","","","","","","","",""
"2014","no migration background","Male","","","","","","","","","","","","","",""
"2015","direct migration background","Female","","","","","","","","","","","","","",""
"2015","direct migration background","Male","","","","","","","","","","","","","",""
"2015","indirect migration background","Female","","","","","","","","","","","","","",""
"2015","indirect migration background","Male","","","","","","","","","","","","","",""
"2015","no migration background","Female","","","","","","","","","","","","","",""
"2015","no migration background","Male","","","","","","","","","","","","","",""
"2016","direct migration background","Female","","","","","","","","","","","","","",""
"2016","direct migration background","Male","","","","","","","","","","","","","",""
"2016","indirect migration background","Female","","","","","","","","","","","","","",""
"2016","indirect migration background","Male","","","","","","","","","","","","","",""
"2016","no migration background","Female","","","","","","","","","","","","","",""
"2016","no migration background","Male","","","","","","","","","","","","","",""
"2017","direct migration background","Female","5.9","6","3536","4.67","5.33","6.67","7","7","5.87","5.93","2.67","7","6.33333349227905","6.33333349227905"
"2017","direct migration background","Male","5.8","6","3750","4.67","5.33","6.67","7","7","5.77","5.83","1","7","6.33333349227905","6.33333349227905"
"2017","indirect migration background","Female","5.67","5.67","925","4.33","5","6.33","7","7","5.6","5.74","2.33","7","5.66666650772095","6"
"2017","indirect migration background","Male","5.22","5.33","789","4","4.33","6","6.67","7","5.15","5.29","2.33","7","5.33333349227905","5.66666650772095"
"2017","no migration background","Female","5.8","6","10865","4.33","5.33","6.67","7","7","5.78","5.82","1","7","6","6"
"2017","no migration background","Male","5.59","5.67","9459","4.33","5","6.33","7","7","5.57","5.61","1","7","5.66666650772095","5.66666650772095"
"2018","direct migration background","Female","","","","","","","","","","","","","",""
"2018","direct migration background","Male","","","","","","","","","","","","","",""
"2018","indirect migration background","Female","","","","","","","","","","","","","",""
"2018","indirect migration background","Male","","","","","","","","","","","","","",""
"2018","no migration background","Female","","","","","","","","","","","","","",""
"2018","no migration background","Male","","","","","","","","","","","","","",""
"2019","direct migration background","Female","5.92","6","2103","4.67","5.33","6.67","7","7","5.88","5.96","1","7","6","6.33333349227905"
"2019","direct migration background","Male","5.82","6","1740","4.33","5.33","6.67","7","7","5.77","5.87","1","7","6","6"
"2019","indirect migration background","Female","5.78","6","901","4.67","5.33","6.67","7","7","5.72","5.84","2.33","7","6","6"
"2019","indirect migration background","Male","5.41","5.33","799","4","4.67","6.33","6.67","7","5.34","5.48","1","7","5.66666650772095","5.66666650772095"
"2019","no migration background","Female","5.84","6","10480","4.67","5.33","6.67","7","7","5.82","5.86","1","7","6","6"
"2019","no migration background","Male","5.65","5.67","9785","4.33","5","6.33","7","7","5.63","5.67","1","7","5.66666650772095","5.66666650772095"
