"plh0190","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","lower secondary degree","(0) in school","","","",""
"True entirely","1990","lower secondary degree","(1a) inadequately completed","","","",""
"True entirely","1990","lower secondary degree","(1b) general elementary school","6","","",""
"True entirely","1990","lower secondary degree","(1c) basic vocational qualification","64","0.0658773341516809","0.0501193891627163","0.0816352791406454"
"True entirely","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"True entirely","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"True entirely","1990","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"True entirely","1990","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"True entirely","1990","lower secondary degree","(3a) lower tertiary education","5","","",""
"True entirely","1990","lower secondary degree","(3b) higher tertiary education","","","",""
"True entirely","1990","secondary school degree","(0) in school","","","",""
"True entirely","1990","secondary school degree","(1a) inadequately completed","","","",""
"True entirely","1990","secondary school degree","(1b) general elementary school","","","",""
"True entirely","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"True entirely","1990","secondary school degree","(2b) intermediate general qualification","8","","",""
"True entirely","1990","secondary school degree","(2a) intermediate vocational","69","0.0528245991800331","0.0403645120540018","0.0652846863060644"
"True entirely","1990","secondary school degree","(2c_gen) general maturity certificate","","","",""
"True entirely","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"True entirely","1990","secondary school degree","(3a) lower tertiary education","16","","",""
"True entirely","1990","secondary school degree","(3b) higher tertiary education","","","",""
"True entirely","1990","college entrance qualification","(0) in school","","","",""
"True entirely","1990","college entrance qualification","(1a) inadequately completed","","","",""
"True entirely","1990","college entrance qualification","(1b) general elementary school","","","",""
"True entirely","1990","college entrance qualification","(1c) basic vocational qualification","","","",""
"True entirely","1990","college entrance qualification","(2b) intermediate general qualification","","","",""
"True entirely","1990","college entrance qualification","(2a) intermediate vocational","","","",""
"True entirely","1990","college entrance qualification","(2c_gen) general maturity certificate","2","","",""
"True entirely","1990","college entrance qualification","(2c_voc) vocational maturity certificate","3","","",""
"True entirely","1990","college entrance qualification","(3a) lower tertiary education","6","","",""
"True entirely","1990","college entrance qualification","(3b) higher tertiary education","14","","",""
"True entirely","1990","Other degree","(0) in school","","","",""
"True entirely","1990","Other degree","(1a) inadequately completed","","","",""
"True entirely","1990","Other degree","(1b) general elementary school","1","","",""
"True entirely","1990","Other degree","(1c) basic vocational qualification","1","","",""
"True entirely","1990","Other degree","(2b) intermediate general qualification","","","",""
"True entirely","1990","Other degree","(2a) intermediate vocational","","","",""
"True entirely","1990","Other degree","(2c_gen) general maturity certificate","","","",""
"True entirely","1990","Other degree","(2c_voc) vocational maturity certificate","","","",""
"True entirely","1990","Other degree","(3a) lower tertiary education","","","",""
"True entirely","1990","Other degree","(3b) higher tertiary education","","","",""
"True entirely","1990","no degree/no degree yet","(0) in school","1","","",""
"True entirely","1990","no degree/no degree yet","(1a) inadequately completed","","","",""
"True entirely","1990","no degree/no degree yet","(1b) general elementary school","","","",""
"True entirely","1990","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"True entirely","1990","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"True entirely","1990","no degree/no degree yet","(2a) intermediate vocational","","","",""
"True entirely","1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"True entirely","1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"True entirely","1990","no degree/no degree yet","(3a) lower tertiary education","","","",""
"True entirely","1990","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Tends to agree","1990","lower secondary degree","(0) in school","","","",""
"Tends to agree","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Tends to agree","1990","lower secondary degree","(1b) general elementary school","12","","",""
"Tends to agree","1990","lower secondary degree","(1c) basic vocational qualification","84","0.0776016181065604","0.0606064966924116","0.0945967395207091"
"Tends to agree","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Tends to agree","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Tends to agree","1990","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Tends to agree","1990","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Tends to agree","1990","lower secondary degree","(3a) lower tertiary education","6","","",""
"Tends to agree","1990","lower secondary degree","(3b) higher tertiary education","1","","",""
