"plh0190","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"True entirely","1992","Not Employed","Full Time","","","",""
"True entirely","1992","Not Employed","Part Time","","","",""
"True entirely","1992","Not Employed","Not Working","169","0.0535423666971431","0.0457121172530383","0.0613726161412479"
"True entirely","1992","Employed","Full Time","243","0.047696420540797","0.0419467362274116","0.0534461048541824"
"True entirely","1992","Employed","Part Time","98","0.0485413824689523","0.0392224764872207","0.0578602884506839"
"True entirely","1992","Employed","Not Working","","","",""
"Tends to agree","1992","Not Employed","Full Time","","","",""
"Tends to agree","1992","Not Employed","Part Time","","","",""
"Tends to agree","1992","Not Employed","Not Working","358","0.109957185408766","0.099075567237607","0.120838803579924"
"Tends to agree","1992","Employed","Full Time","532","0.102038520037177","0.0938722389004172","0.110204801173937"
"Tends to agree","1992","Employed","Part Time","229","0.113349955172851","0.0996031839770046","0.127096726368697"
"Tends to agree","1992","Employed","Not Working","","","",""
"Rather not true","1992","Not Employed","Full Time","","","",""
"Rather not true","1992","Not Employed","Part Time","","","",""
"Rather not true","1992","Not Employed","Not Working","1085","0.347144774677696","0.330585550535684","0.363703998819708"
"Rather not true","1992","Employed","Full Time","1788","0.34612011963194","0.33328571261597","0.35895452664791"
"Rather not true","1992","Employed","Part Time","643","0.304747529462046","0.284787771303793","0.324707287620299"
"Rather not true","1992","Employed","Not Working","","","",""
"Totally disagree","1992","Not Employed","Full Time","","","",""
"Totally disagree","1992","Not Employed","Part Time","","","",""
"Totally disagree","1992","Not Employed","Not Working","1563","0.489355673216395","0.471967746720163","0.506743599712627"
"Totally disagree","1992","Employed","Full Time","2715","0.504144939790086","0.490656290000319","0.517633589579853"
"Totally disagree","1992","Employed","Part Time","1073","0.53336113289615","0.511728217862776","0.554994047929524"
"Totally disagree","1992","Employed","Not Working","","","",""
"True entirely","1993","Not Employed","Full Time","","","",""
"True entirely","1993","Not Employed","Part Time","","","",""
"True entirely","1993","Not Employed","Not Working","230","0.0730787149789189","0.0646891345034049","0.081468295454433"
"True entirely","1993","Employed","Full Time","336","0.0571326677869141","0.0513470313848116","0.0629183041890167"
"True entirely","1993","Employed","Part Time","169","0.082831564342528","0.0716110217931005","0.0940521068919556"
"True entirely","1993","Employed","Not Working","","","",""
"Tends to agree","1993","Not Employed","Full Time","","","",""
"Tends to agree","1993","Not Employed","Part Time","","","",""
"Tends to agree","1993","Not Employed","Not Working","471","0.128851186730513","0.118051435498529","0.139650937962497"
"Tends to agree","1993","Employed","Full Time","731","0.11288084873041","0.104992525439258","0.120769172021563"
"Tends to agree","1993","Employed","Part Time","281","0.118843280633711","0.105669656448443","0.132016904818979"
"Tends to agree","1993","Employed","Not Working","","","",""
"Rather not true","1993","Not Employed","Full Time","","","",""
"Rather not true","1993","Not Employed","Part Time","","","",""
"Rather not true","1993","Not Employed","Not Working","1424","0.36524373696493","0.349722788680043","0.380764685249816"
"Rather not true","1993","Employed","Full Time","2301","0.374911579846742","0.362844039909592","0.386979119783892"
"Rather not true","1993","Employed","Part Time","849","0.355399961701919","0.335915194244732","0.374884729159106"
"Rather not true","1993","Employed","Not Working","","","",""
"Totally disagree","1993","Not Employed","Full Time","","","",""
