"plh0190","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","1-pers.-HH","(0) in school","","","",""
"True entirely","1990","1-pers.-HH","(1a) inadequately completed","","","",""
"True entirely","1990","1-pers.-HH","(1b) general elementary school","1","","",""
"True entirely","1990","1-pers.-HH","(1c) basic vocational qualification","5","","",""
"True entirely","1990","1-pers.-HH","(2b) intermediate general qualification","","","",""
"True entirely","1990","1-pers.-HH","(2a) intermediate vocational","2","","",""
"True entirely","1990","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"True entirely","1990","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"True entirely","1990","1-pers.-HH","(3a) lower tertiary education","2","","",""
"True entirely","1990","1-pers.-HH","(3b) higher tertiary education","","","",""
"True entirely","1990","(Married) couple without C. ","(0) in school","","","",""
"True entirely","1990","(Married) couple without C. ","(1a) inadequately completed","","","",""
"True entirely","1990","(Married) couple without C. ","(1b) general elementary school","2","","",""
"True entirely","1990","(Married) couple without C. ","(1c) basic vocational qualification","26","","",""
"True entirely","1990","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"True entirely","1990","(Married) couple without C. ","(2a) intermediate vocational","4","","",""
"True entirely","1990","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"True entirely","1990","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"True entirely","1990","(Married) couple without C. ","(3a) lower tertiary education","8","","",""
"True entirely","1990","(Married) couple without C. ","(3b) higher tertiary education","2","","",""
"True entirely","1990","Single parent ","(0) in school","","","",""
"True entirely","1990","Single parent ","(1a) inadequately completed","","","",""
"True entirely","1990","Single parent ","(1b) general elementary school","","","",""
"True entirely","1990","Single parent ","(1c) basic vocational qualification","2","","",""
"True entirely","1990","Single parent ","(2b) intermediate general qualification","2","","",""
"True entirely","1990","Single parent ","(2a) intermediate vocational","5","","",""
"True entirely","1990","Single parent ","(2c_gen) general maturity certificate","","","",""
"True entirely","1990","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"True entirely","1990","Single parent ","(3a) lower tertiary education","","","",""
"True entirely","1990","Single parent ","(3b) higher tertiary education","","","",""
"True entirely","1990","Couple + C. LE 16 ","(0) in school","","","",""
"True entirely","1990","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"True entirely","1990","Couple + C. LE 16 ","(1b) general elementary school","1","","",""
"True entirely","1990","Couple + C. LE 16 ","(1c) basic vocational qualification","10","","",""
"True entirely","1990","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"True entirely","1990","Couple + C. LE 16 ","(2a) intermediate vocational","34","0.0514358150725925","0.0346350048603918","0.0682366252847932"
"True entirely","1990","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"True entirely","1990","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","1","","",""
"True entirely","1990","Couple + C. LE 16 ","(3a) lower tertiary education","9","","",""
"True entirely","1990","Couple + C. LE 16 ","(3b) higher tertiary education","6","","",""
"True entirely","1990","Couple + C. GT 16 ","(0) in school","1","","",""
"True entirely","1990","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"True entirely","1990","Couple + C. GT 16 ","(1b) general elementary school","2","","",""
"True entirely","1990","Couple + C. GT 16 ","(1c) basic vocational qualification","16","","",""
"True entirely","1990","Couple + C. GT 16 ","(2b) intermediate general qualification","6","","",""
"True entirely","1990","Couple + C. GT 16 ","(2a) intermediate vocational","11","","",""
"True entirely","1990","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"True entirely","1990","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","1","","",""
"True entirely","1990","Couple + C. GT 16 ","(3a) lower tertiary education","4","","",""
"True entirely","1990","Couple + C. GT 16 ","(3b) higher tertiary education","5","","",""
"True entirely","1990","Couple + C. LE and GT 16","(0) in school","","","",""
"True entirely","1990","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"True entirely","1990","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"True entirely","1990","Couple + C. LE and GT 16","(1c) basic vocational qualification","1","","",""
"True entirely","1990","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"True entirely","1990","Couple + C. LE and GT 16","(2a) intermediate vocational","8","","",""
"True entirely","1990","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","2","","",""
"True entirely","1990","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"True entirely","1990","Couple + C. LE and GT 16","(3a) lower tertiary education","2","","",""
"True entirely","1990","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"Tends to agree","1990","1-pers.-HH","(0) in school","","","",""
"Tends to agree","1990","1-pers.-HH","(1a) inadequately completed","","","",""
"Tends to agree","1990","1-pers.-HH","(1b) general elementary school","1","","",""
"Tends to agree","1990","1-pers.-HH","(1c) basic vocational qualification","2","","",""
"Tends to agree","1990","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Tends to agree","1990","1-pers.-HH","(2a) intermediate vocational","6","","",""
"Tends to agree","1990","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Tends to agree","1990","1-pers.-HH","(2c_voc) vocational maturity certificate","3","","",""
"Tends to agree","1990","1-pers.-HH","(3a) lower tertiary education","2","","",""
"Tends to agree","1990","1-pers.-HH","(3b) higher tertiary education","","","",""
"Tends to agree","1990","(Married) couple without C. ","(0) in school","","","",""
"Tends to agree","1990","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Tends to agree","1990","(Married) couple without C. ","(1b) general elementary school","7","","",""
"Tends to agree","1990","(Married) couple without C. ","(1c) basic vocational qualification","25","","",""
"Tends to agree","1990","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Tends to agree","1990","(Married) couple without C. ","(2a) intermediate vocational","18","","",""
"Tends to agree","1990","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"Tends to agree","1990","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"Tends to agree","1990","(Married) couple without C. ","(3a) lower tertiary education","12","","",""
"Tends to agree","1990","(Married) couple without C. ","(3b) higher tertiary education","6","","",""
"Tends to agree","1990","Single parent ","(0) in school","","","",""
"Tends to agree","1990","Single parent ","(1a) inadequately completed","","","",""
"Tends to agree","1990","Single parent ","(1b) general elementary school","","","",""
"Tends to agree","1990","Single parent ","(1c) basic vocational qualification","4","","",""
"Tends to agree","1990","Single parent ","(2b) intermediate general qualification","2","","",""
"Tends to agree","1990","Single parent ","(2a) intermediate vocational","6","","",""
"Tends to agree","1990","Single parent ","(2c_gen) general maturity certificate","","","",""
"Tends to agree","1990","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Tends to agree","1990","Single parent ","(3a) lower tertiary education","2","","",""
"Tends to agree","1990","Single parent ","(3b) higher tertiary education","2","","",""
"Tends to agree","1990","Couple + C. LE 16 ","(0) in school","","","",""
"Tends to agree","1990","Couple + C. LE 16 ","(1a) inadequately completed","1","","",""
"Tends to agree","1990","Couple + C. LE 16 ","(1b) general elementary school","1","","",""
"Tends to agree","1990","Couple + C. LE 16 ","(1c) basic vocational qualification","26","","",""
"Tends to agree","1990","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"Tends to agree","1990","Couple + C. LE 16 ","(2a) intermediate vocational","70","0.113467970971136","0.0893440492213996","0.137591892720871"
"Tends to agree","1990","Couple + C. LE 16 ","(2c_gen) general maturity certificate","1","","",""
"Tends to agree","1990","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","4","","",""
"Tends to agree","1990","Couple + C. LE 16 ","(3a) lower tertiary education","25","","",""
"Tends to agree","1990","Couple + C. LE 16 ","(3b) higher tertiary education","13","","",""
"Tends to agree","1990","Couple + C. GT 16 ","(0) in school","","","",""
"Tends to agree","1990","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"Tends to agree","1990","Couple + C. GT 16 ","(1b) general elementary school","1","","",""
"Tends to agree","1990","Couple + C. GT 16 ","(1c) basic vocational qualification","19","","",""
"Tends to agree","1990","Couple + C. GT 16 ","(2b) intermediate general qualification","11","","",""
"Tends to agree","1990","Couple + C. GT 16 ","(2a) intermediate vocational","17","","",""
