"plh0190","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1992","Full Time","1788","0.34612011963194","0.33328571261597","0.35895452664791","3"
"Rather not true","1992","Part Time","643","0.304747529462046","0.284787771303793","0.324707287620299","3"
"Rather not true","1992","Not Working","1085","0.347144774677696","0.330585550535684","0.363703998819708","3"
"Tends to agree","1992","Full Time","532","0.102038520037177","0.0938722389004172","0.110204801173937","2"
"Tends to agree","1992","Not Working","358","0.109957185408766","0.099075567237607","0.120838803579924","2"
"Tends to agree","1992","Part Time","229","0.113349955172851","0.0996031839770046","0.127096726368697","2"
"Totally disagree","1992","Full Time","2715","0.504144939790086","0.490656290000319","0.517633589579853","4"
"Totally disagree","1992","Part Time","1073","0.53336113289615","0.511728217862776","0.554994047929524","4"
"Totally disagree","1992","Not Working","1563","0.489355673216395","0.471967746720163","0.506743599712627","4"
"True entirely","1992","Full Time","243","0.047696420540797","0.0419467362274116","0.0534461048541824","1"
"True entirely","1992","Part Time","98","0.0485413824689523","0.0392224764872207","0.0578602884506839","1"
"True entirely","1992","Not Working","169","0.0535423666971431","0.0457121172530383","0.0613726161412479","1"
"Rather not true","1993","Full Time","2301","0.374911579846742","0.362844039909592","0.386979119783892","3"
"Rather not true","1993","Part Time","849","0.355399961701919","0.335915194244732","0.374884729159106","3"
"Rather not true","1993","Not Working","1424","0.36524373696493","0.349722788680043","0.380764685249816","3"
"Tends to agree","1993","Full Time","731","0.11288084873041","0.104992525439258","0.120769172021563","2"
"Tends to agree","1993","Part Time","281","0.118843280633711","0.105669656448443","0.132016904818979","2"
"Tends to agree","1993","Not Working","471","0.128851186730513","0.118051435498529","0.139650937962497","2"
"Totally disagree","1993","Full Time","2814","0.455074903635933","0.442661426793485","0.467488380478382","4"
"Totally disagree","1993","Part Time","1019","0.442925193321842","0.422703695264729","0.463146691378955","4"
"Totally disagree","1993","Not Working","1572","0.432826361325638","0.416855136023091","0.448797586628185","4"
"True entirely","1993","Full Time","336","0.0571326677869141","0.0513470313848116","0.0629183041890167","1"
"True entirely","1993","Part Time","169","0.082831564342528","0.0716110217931005","0.0940521068919556","1"
"True entirely","1993","Not Working","230","0.0730787149789189","0.0646891345034049","0.081468295454433","1"
"Rather not true","1994","Full Time","","","","","3"
"Rather not true","1994","Part Time","","","","","3"
"Rather not true","1994","Not Working","","","","","3"
"Tends to agree","1994","Full Time","","","","","2"
"Tends to agree","1994","Part Time","","","","","2"
"Tends to agree","1994","Not Working","","","","","2"
"Totally disagree","1994","Full Time","","","","","4"
"Totally disagree","1994","Part Time","","","","","4"
"Totally disagree","1994","Not Working","","","","","4"
"True entirely","1994","Full Time","","","","","1"
"True entirely","1994","Part Time","","","","","1"
"True entirely","1994","Not Working","","","","","1"
"Rather not true","1995","Full Time","2251","0.387467198096395","0.374982172795385","0.399952223397406","3"
