"plh0190","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","16-34 y.","Schleswig-Holstein","","","",""
"True entirely","1990","16-34 y.","Hamburg","","","",""
"True entirely","1990","16-34 y.","Lower Saxony","","","",""
"True entirely","1990","16-34 y.","Bremen","","","",""
"True entirely","1990","16-34 y.","North Rhine-Westphalia","","","",""
"True entirely","1990","16-34 y.","Hesse","","","",""
"True entirely","1990","16-34 y.","Rhineland-Palatinate,Saarland","","","",""
"True entirely","1990","16-34 y.","Baden-Württemberg","","","",""
"True entirely","1990","16-34 y.","Bavaria","","","",""
"True entirely","1990","16-34 y.","Berlin","4","","",""
"True entirely","1990","16-34 y.","Brandenburg","8","","",""
"True entirely","1990","16-34 y.","Mecklenburg-Western Pomerania","11","","",""
"True entirely","1990","16-34 y.","Saxony","24","","",""
"True entirely","1990","16-34 y.","Saxony-Anhalt","11","","",""
"True entirely","1990","16-34 y.","Thuringia","10","","",""
"True entirely","1990","35-65 y.","Schleswig-Holstein","","","",""
"True entirely","1990","35-65 y.","Hamburg","","","",""
"True entirely","1990","35-65 y.","Lower Saxony","","","",""
"True entirely","1990","35-65 y.","Bremen","","","",""
"True entirely","1990","35-65 y.","North Rhine-Westphalia","","","",""
"True entirely","1990","35-65 y.","Hesse","","","",""
"True entirely","1990","35-65 y.","Rhineland-Palatinate,Saarland","","","",""
"True entirely","1990","35-65 y.","Baden-Württemberg","","","",""
"True entirely","1990","35-65 y.","Bavaria","","","",""
"True entirely","1990","35-65 y.","Berlin","3","","",""
"True entirely","1990","35-65 y.","Brandenburg","25","","",""
"True entirely","1990","35-65 y.","Mecklenburg-Western Pomerania","9","","",""
"True entirely","1990","35-65 y.","Saxony","33","0.0492837361754943","0.0321062167933041","0.0664612555576845"
"True entirely","1990","35-65 y.","Saxony-Anhalt","27","","",""
"True entirely","1990","35-65 y.","Thuringia","30","0.0936005007082285","0.061982223303663","0.125218778112794"
"True entirely","1990","66 and older","Schleswig-Holstein","","","",""
"True entirely","1990","66 and older","Hamburg","","","",""
"True entirely","1990","66 and older","Lower Saxony","","","",""
"True entirely","1990","66 and older","Bremen","","","",""
"True entirely","1990","66 and older","North Rhine-Westphalia","","","",""
"True entirely","1990","66 and older","Hesse","","","",""
"True entirely","1990","66 and older","Rhineland-Palatinate,Saarland","","","",""
"True entirely","1990","66 and older","Baden-Württemberg","","","",""
"True entirely","1990","66 and older","Bavaria","","","",""
"True entirely","1990","66 and older","Berlin","","","",""
"True entirely","1990","66 and older","Brandenburg","1","","",""
"True entirely","1990","66 and older","Mecklenburg-Western Pomerania","","","",""
"True entirely","1990","66 and older","Saxony","1","","",""
"True entirely","1990","66 and older","Saxony-Anhalt","","","",""
"True entirely","1990","66 and older","Thuringia","","","",""
"Tends to agree","1990","16-34 y.","Schleswig-Holstein","","","",""
"Tends to agree","1990","16-34 y.","Hamburg","","","",""
"Tends to agree","1990","16-34 y.","Lower Saxony","","","",""
"Tends to agree","1990","16-34 y.","Bremen","","","",""
"Tends to agree","1990","16-34 y.","North Rhine-Westphalia","","","",""
"Tends to agree","1990","16-34 y.","Hesse","","","",""
"Tends to agree","1990","16-34 y.","Rhineland-Palatinate,Saarland","","","",""
"Tends to agree","1990","16-34 y.","Baden-Württemberg","","","",""
"Tends to agree","1990","16-34 y.","Bavaria","","","",""
"Tends to agree","1990","16-34 y.","Berlin","12","","",""
"Tends to agree","1990","16-34 y.","Brandenburg","32","0.128989609809238","0.0855766513967691","0.172402568221708"
"Tends to agree","1990","16-34 y.","Mecklenburg-Western Pomerania","12","","",""
"Tends to agree","1990","16-34 y.","Saxony","56","0.135140905017208","0.102089245514169","0.168192564520246"
"Tends to agree","1990","16-34 y.","Saxony-Anhalt","39","0.164111443639363","0.118562862247221","0.209660025031506"
"Tends to agree","1990","16-34 y.","Thuringia","28","","",""
"Tends to agree","1990","35-65 y.","Schleswig-Holstein","","","",""
"Tends to agree","1990","35-65 y.","Hamburg","","","",""
"Tends to agree","1990","35-65 y.","Lower Saxony","","","",""
"Tends to agree","1990","35-65 y.","Bremen","","","",""
"Tends to agree","1990","35-65 y.","North Rhine-Westphalia","","","",""
"Tends to agree","1990","35-65 y.","Hesse","","","",""
"Tends to agree","1990","35-65 y.","Rhineland-Palatinate,Saarland","","","",""
"Tends to agree","1990","35-65 y.","Baden-Württemberg","","","",""
"Tends to agree","1990","35-65 y.","Bavaria","","","",""
"Tends to agree","1990","35-65 y.","Berlin","15","","",""
"Tends to agree","1990","35-65 y.","Brandenburg","28","","",""
"Tends to agree","1990","35-65 y.","Mecklenburg-Western Pomerania","25","","",""
"Tends to agree","1990","35-65 y.","Saxony","45","0.0724316769372548","0.0518623349909451","0.0930010188835644"
"Tends to agree","1990","35-65 y.","Saxony-Anhalt","40","0.0962924799905982","0.0660294928792182","0.126555467101978"
"Tends to agree","1990","35-65 y.","Thuringia","25","","",""
"Tends to agree","1990","66 and older","Schleswig-Holstein","","","",""
"Tends to agree","1990","66 and older","Hamburg","","","",""
"Tends to agree","1990","66 and older","Lower Saxony","","","",""
"Tends to agree","1990","66 and older","Bremen","","","",""
"Tends to agree","1990","66 and older","North Rhine-Westphalia","","","",""
"Tends to agree","1990","66 and older","Hesse","","","",""
"Tends to agree","1990","66 and older","Rhineland-Palatinate,Saarland","","","",""
"Tends to agree","1990","66 and older","Baden-Württemberg","","","",""
"Tends to agree","1990","66 and older","Bavaria","","","",""
"Tends to agree","1990","66 and older","Berlin","","","",""
"Tends to agree","1990","66 and older","Brandenburg","","","",""
"Tends to agree","1990","66 and older","Mecklenburg-Western Pomerania","","","",""
"Tends to agree","1990","66 and older","Saxony","2","","",""
"Tends to agree","1990","66 and older","Saxony-Anhalt","","","",""
