"plh0032","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Full Time","direct migration background","543","0.300071469691031","0.279480922039561","0.320662017342501"
"Big worries","1984","Full Time","indirect migration background","17","","",""
"Big worries","1984","Full Time","no migration background","1306","0.354016392982547","0.338553136834557","0.369479649130537"
"Big worries","1984","Not Working","direct migration background","274","0.289077369092175","0.260781186451263","0.317373551733086"
"Big worries","1984","Not Working","indirect migration background","18","","",""
"Big worries","1984","Not Working","no migration background","1096","0.302614708036426","0.287515692816343","0.317713723256508"
"Big worries","1984","Part Time","direct migration background","148","0.323494168239324","0.281600408796917","0.365387927681731"
"Big worries","1984","Part Time","indirect migration background","7","","",""
"Big worries","1984","Part Time","no migration background","496","0.362077515035267","0.336665479281005","0.38748955078953"
"No worries","1984","Full Time","direct migration background","429","0.18326180991131","0.165879555013103","0.200644064809516"
"No worries","1984","Full Time","indirect migration background","11","","",""
"No worries","1984","Full Time","no migration background","339","0.0930378418260719","0.083644872320864","0.10243081133128"
"No worries","1984","Not Working","direct migration background","248","0.245449024856673","0.218587257626546","0.2723107920868"
"No worries","1984","Not Working","indirect migration background","8","","",""
"No worries","1984","Not Working","no migration background","537","0.163904482990556","0.151737284909274","0.176071681071839"
"No worries","1984","Part Time","direct migration background","99","0.171644043477855","0.137876209611984","0.205411877343726"
"No worries","1984","Part Time","indirect migration background","2","","",""
"No worries","1984","Part Time","no migration background","117","0.087288999234528","0.072364453390694","0.102213545078362"
"Some worries","1984","Full Time","direct migration background","931","0.516666720397659","0.494214603702621","0.539118837092697"
"Some worries","1984","Full Time","indirect migration background","22","","",""
"Some worries","1984","Full Time","no migration background","2029","0.552945765191381","0.536868954799341","0.569022575583421"
"Some worries","1984","Not Working","direct migration background","464","0.465473606051152","0.434339117140381","0.496608094961923"
"Some worries","1984","Not Working","indirect migration background","30","0.56944529998943","0.4397589548152","0.69913164516366"
"Some worries","1984","Not Working","no migration background","1923","0.533480808973018","0.517083923157788","0.549877694788248"
"Some worries","1984","Part Time","direct migration background","232","0.504861788282821","0.460087384977212","0.54963619158843"
"Some worries","1984","Part Time","indirect migration background","9","","",""
"Some worries","1984","Part Time","no migration background","761","0.550633485730205","0.52433163023816","0.576935341222249"
"Big worries","1985","Full Time","direct migration background","377","0.264547651534898","0.242645156569953","0.286450146499842"
"Big worries","1985","Full Time","indirect migration background","10","","",""
"Big worries","1985","Full Time","no migration background","1088","0.325922705718169","0.309986127516537","0.341859283919801"
"Big worries","1985","Not Working","direct migration background","202","0.226702093422337","0.198767402171452","0.254636784673222"
"Big worries","1985","Not Working","indirect migration background","18","","",""
