"plh0032","year","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","3905","0.329453396594707","0.321077357800834","0.337829435388581","1"
"No worries","1984","1790","0.131315753348078","0.125296860808091","0.137334645888066","3"
"Some worries","1984","6401","0.539230850057214","0.530347919555872","0.548113780558557","2"
"Big worries","1985","3265","0.308208512679428","0.299551901090871","0.316865124267986","1"
"No worries","1985","1625","0.131120633109586","0.124792825434212","0.137448440784961","3"
"Some worries","1985","6040","0.560670854210986","0.551366483441345","0.569975224980627","2"
"Big worries","1986","1964","0.190886581021489","0.18336597655037","0.198407185492608","1"
"No worries","1986","2508","0.234709092430551","0.226598761399289","0.242819423461813","3"
"Some worries","1986","6018","0.57440432654796","0.564942656472304","0.583865996623617","2"
"Big worries","1987","1987","0.205564507174356","0.197785486479755","0.213343527868957","1"
"No worries","1987","2143","0.186018575265625","0.178528141885252","0.193509008645999","3"
"Some worries","1987","6237","0.608416917560018","0.599021109358609","0.617812725761427","2"
"Big worries","1988","2547","0.278223152456619","0.269403851843166","0.287042453070073","1"
"No worries","1988","1553","0.139203503376091","0.132390927267583","0.146016079484599","3"
"Some worries","1988","5818","0.58257334416729","0.572868212470322","0.592278475864257","2"
"Big worries","1989","1641","0.176689891587435","0.169048771785722","0.184331011389147","1"
"No worries","1989","2370","0.242133497160391","0.233551403967662","0.250715590353121","3"
"Some worries","1989","5560","0.581176611252174","0.571292469611251","0.591060752893097","2"
"Big worries","1990","3325","0.21999611789036","0.213092492917641","0.226899742863079","1"
"No worries","1990","3151","0.255349170570775","0.248082008181126","0.262616332960425","3"
"Some worries","1990","7355","0.524654711538865","0.516332041329268","0.532977381748461","2"
"Big worries","1991","3656","0.245680769134921","0.238435318455365","0.252926219814477","1"
"No worries","1991","2419","0.189976854631001","0.183374462815352","0.19657924644665","3"
"Some worries","1991","7486","0.564342376234077","0.555996994182828","0.572687758285327","2"
"Big worries","1992","3584","0.262960399777711","0.255469466193658","0.270451333361764","1"
"No worries","1992","1938","0.148299887024585","0.142252620330393","0.154347153718776","3"
"Some worries","1992","7746","0.588739713197704","0.580367015468699","0.597112410926709","2"
"Big worries","1993","5131","0.399750738019761","0.391360857151573","0.408140618887949","1"
"No worries","1993","911","0.0653894782296659","0.0611553441288408","0.069623612330491","3"
"Some worries","1993","7053","0.534859783750573","0.526316845700129","0.543402721801017","2"
"Big worries","1994","4790","0.374318355589721","0.365960967493254","0.382675743686189","1"
"No worries","1994","939","0.0729444141382709","0.0684536297034564","0.0774351985730854","3"
"Some worries","1994","7152","0.552737230272008","0.544150772580468","0.561323687963548","2"
"Big worries","1995","3369","0.256717281377612","0.249283964193789","0.264150598561435","1"
"No worries","1995","1574","0.119076995824534","0.113565607589614","0.124588384059455","3"
"Some worries","1995","8323","0.624205722797854","0.61596401811858","0.632447427477127","2"
"Big worries","1996","5503","0.443796251982494","0.435280896166794","0.452311607798193","1"
"No worries","1996","884","0.0641765687331637","0.0599762791496878","0.0683768583166397","3"
"Some worries","1996","6690","0.492027179284342","0.483458600112891","0.500595758455794","2"
"Big worries","1997","6041","0.486461218302964","0.47782506833461","0.495097368271317","1"
"No worries","1997","629","0.0467244018370173","0.043077781465822","0.0503710222082125","3"
"Some worries","1997","6197","0.466814379860019","0.458194111872014","0.475434647848024","2"
"Big worries","1998","6069","0.427135757690423","0.419020840970829","0.435250674410018","1"
"No worries","1998","966","0.0682727656782695","0.0641352144121531","0.072410316944386","3"
"Some worries","1998","7239","0.504591476631307","0.496389341178812","0.512793612083801","2"
"Big worries","1999","3505","0.263046591222371","0.25568252731518","0.270410655129563","1"
"No worries","1999","1399","0.103074797195505","0.0979892750261977","0.108160319364812","3"
"Some worries","1999","8828","0.633878611582124","0.625821176911397","0.641936046252851","2"
"Big worries","2000","5292","0.216487907230911","0.211282793494909","0.221693020966912","1"
"No worries","2000","4062","0.174952436154655","0.170150791235156","0.179754081074154","3"
"Some worries","2000","14696","0.608559656614434","0.602391222624026","0.614728090604843","2"
"Big worries","2001","4525","0.203383412559241","0.198051197613174","0.208715627505307","1"
"No worries","2001","3910","0.185631930220685","0.180481281647635","0.190782578793736","3"
"Some worries","2001","13455","0.610984657220074","0.604526275241176","0.617443039198972","2"
"Big worries","2002","7684","0.338832298929797","0.332719370121","0.344945227738594","1"
"No worries","2002","2173","0.0959460151398119","0.092142266802468","0.0997497634771558","3"
"Some worries","2002","13173","0.565221685930391","0.558819261409952","0.571624110450831","2"
"Big worries","2003","12183","0.550132096244211","0.543587441672509","0.556676750815912","1"
"No worries","2003","1003","0.0481117979963306","0.0452964667615539","0.0509271292311074","3"
"Some worries","2003","9010","0.401756105759459","0.395306530523994","0.408205680994924","2"
"Big worries","2004","10634","0.502806585525412","0.496141225882723","0.509471945168102","1"
"No worries","2004","1249","0.0579251960231256","0.0548110650389643","0.061039327007287","3"
"Some worries","2004","9733","0.439268218451462","0.432652105628024","0.4458843312749","2"
"Big worries","2005","11139","0.545999576347116","0.539220881882426","0.552778270811807","1"
"No worries","2005","970","0.0486018366802665","0.0456741184787947","0.0515295548817383","3"
"Some worries","2005","8614","0.405398586972617","0.398713980251213","0.412083193694021","2"
"Big worries","2006","9602","0.446216415858987","0.43964083577024","0.452791995947734","1"
"No worries","2006","1445","0.0706138283800492","0.0672251196374747","0.0740025371226238","3"
"Some worries","2006","10907","0.483169755760963","0.476559548270794","0.489779963251132","2"
"Big worries","2007","4988","0.253552133467735","0.247593477643572","0.259510789291899","1"
"No worries","2007","3244","0.154965249484696","0.15000881499695","0.159921683972441","3"
"Some worries","2007","12245","0.591482617047569","0.584749887189988","0.59821534690515","2"
"Big worries","2008","4790","0.257131307123133","0.250973445982812","0.263289168263454","1"
"No worries","2008","2622","0.133691266458116","0.128896314617374","0.138486218298859","3"
"Some worries","2008","11939","0.609177426418751","0.602302657488011","0.61605219534949","2"
"Big worries","2009","7974","0.445081058818409","0.437832367219809","0.452329750417009","1"
"No worries","2009","1067","0.0620895930098762","0.0585698141711034","0.0656093718486489","3"
"Some worries","2009","9016","0.492829348171715","0.485537281506016","0.500121414837414","2"
"Big worries","2010","8448","0.365015175271837","0.358922143108384","0.37110820743529","1"
"No worries","2010","2043","0.079162070723353","0.0757450586754731","0.0825790827712328","3"
"Some worries","2010","13492","0.55582275400481","0.549534317912036","0.562111190097585","2"
"Big worries","2011","6163","0.217654157117298","0.21283844836971","0.222469865864887","1"
"No worries","2011","4887","0.171951419708753","0.167547816985399","0.176355022432108","3"
"Some worries","2011","17156","0.610394423173948","0.604703336483233","0.616085509864663","2"
"Big worries","2012","6368","0.2264076860409","0.221471573112907","0.231343798968894","1"
"No worries","2012","4259","0.158733882010789","0.154423805808681","0.163043958212897","3"
"Some worries","2012","16987","0.614858431948311","0.609118837663525","0.620598026233096","2"
"Big worries","2013","4811","0.186356539448096","0.181595004522668","0.191118074373524","1"
"No worries","2013","4813","0.18353904187019","0.178805463980416","0.188272619759964","3"
"Some worries","2013","16067","0.630104418681714","0.624201002237208","0.63600783512622","2"
"Big worries","2014","3584","0.126472974281244","0.122511565441067","0.130434383121421","1"
"No worries","2014","7252","0.270567520883695","0.26527280077657","0.27586224099082","3"
"Some worries","2014","16208","0.60295950483506","0.597128087787849","0.608790921882272","2"
"Big worries","2015","3768","0.150626228628317","0.146189570782344","0.15506288647429","1"
"No worries","2015","6214","0.257344321472635","0.25192172532677","0.2627669176185","3"
"Some worries","2015","14986","0.592029449899048","0.585933487554746","0.59812541224335","2"
"Big worries","2016","3604","0.145861899009006","0.141412239522918","0.150311558495093","1"
"No worries","2016","6625","0.278361481076211","0.272711379952252","0.28401158220017","3"
"Some worries","2016","13943","0.575776619914784","0.569546217313721","0.582007022515846","2"
"Big worries","2017","3784","0.150025215569648","0.145728465791163","0.154321965348132","1"
"No worries","2017","7365","0.276107163531622","0.270727800064749","0.281486526998496","3"
"Some worries","2017","15384","0.57386762089873","0.567917400662956","0.579817841134505","2"
"Big worries","2018","2844","0.107679134613506","0.103887194593564","0.111471074633448","1"
"No worries","2018","8655","0.341316914478466","0.335516589619754","0.347117239337179","3"
"Some worries","2018","14171","0.551003950908028","0.544919326533078","0.557088575282978","2"
"Big worries","2019","3520","0.137443141388683","0.133234807111307","0.14165147566606","1"
"No worries","2019","6357","0.248757885419925","0.243474245434954","0.254041525404897","3"
"Some worries","2019","15838","0.613798973191391","0.607848183287157","0.619749763095626","2"
