"plh0032","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Big worries","1985","general elemantary","Rural Area","216","0.312046789005485","0.277772469178781","0.346321108832188"
"Big worries","1985","general elemantary","Urban Area","628","0.271552948596973","0.253447152235719","0.289658744958227"
"Big worries","1985","higher education","Rural Area","30","0.251781913454766","0.172796760714237","0.330767066195295"
"Big worries","1985","higher education","Urban Area","173","0.263242061692648","0.228934781481573","0.297549341903722"
"Big worries","1985","higher vocational","Rural Area","45","0.332494842896537","0.250881178895463","0.414108506897612"
"Big worries","1985","higher vocational","Urban Area","163","0.328145247546197","0.286613701234517","0.369676793857878"
"Big worries","1985","in school","Rural Area","8","","",""
"Big worries","1985","in school","Urban Area","24","","",""
"Big worries","1985","inadequately","Rural Area","26","","",""
"Big worries","1985","inadequately","Urban Area","172","0.252960340617337","0.221207696871406","0.284712984363268"
"Big worries","1985","middle vocational","Rural Area","394","0.355773162251547","0.327520047504212","0.384026276998882"
"Big worries","1985","middle vocational","Urban Area","1274","0.323373512278674","0.308958482383763","0.337788542173585"
"Big worries","1985","vocational + Abi","Rural Area","15","","",""
"Big worries","1985","vocational + Abi","Urban Area","69","0.326063673469147","0.26587278246683","0.386254564471464"
"No worries","1985","general elemantary","Rural Area","100","0.144716171720238","0.118691024325598","0.170741319114878"
"No worries","1985","general elemantary","Urban Area","444","0.173746993546225","0.158322654932971","0.18917133215948"
"No worries","1985","higher education","Rural Area","6","","",""
"No worries","1985","higher education","Urban Area","63","0.111891986097245","0.0873347988426355","0.136449173351854"
"No worries","1985","higher vocational","Rural Area","12","","",""
"No worries","1985","higher vocational","Urban Area","42","0.0857250496504543","0.0609622566026876","0.110487842698221"
"No worries","1985","in school","Rural Area","6","","",""
"No worries","1985","in school","Urban Area","37","0.241029507055216","0.172810221069082","0.309248793041351"
"No worries","1985","inadequately","Rural Area","41","0.311541927229452","0.221221828509579","0.401862025949325"
"No worries","1985","inadequately","Urban Area","183","0.248004801865643","0.216460608857948","0.279548994873339"
"No worries","1985","middle vocational","Rural Area","103","0.093460896350314","0.0762830554185493","0.110638737282079"
"No worries","1985","middle vocational","Urban Area","515","0.119313574924737","0.109324059809914","0.129303090039559"
"No worries","1985","vocational + Abi","Rural Area","2","","",""
"No worries","1985","vocational + Abi","Urban Area","32","0.0968803482750282","0.0588998531111278","0.134860843438929"
"Some worries","1985","general elemantary","Rural Area","386","0.543237039274277","0.506388552188024","0.58008552636053"
"Some worries","1985","general elemantary","Urban Area","1246","0.554700057856802","0.534467685920365","0.574932429793239"
"Some worries","1985","higher education","Rural Area","80","0.691846660328191","0.607821865581989","0.775871455074394"
"Some worries","1985","higher education","Urban Area","397","0.624865952210108","0.587149319868428","0.662582584551787"
"Some worries","1985","higher vocational","Rural Area","71","0.578802011059356","0.493265552295093","0.66433846982362"
"Some worries","1985","higher vocational","Urban Area","286","0.586129702803348","0.542564841113547","0.62969456449315"
"Some worries","1985","in school","Rural Area","21","","",""
"Some worries","1985","in school","Urban Area","90","0.596352347656581","0.518097310952687","0.674607384360474"
"Some worries","1985","inadequately","Rural Area","34","0.346268668293883","0.25348027544598","0.439057061141786"
"Some worries","1985","inadequately","Urban Area","365","0.499034857517019","0.462513153033122","0.535556562000917"
"Some worries","1985","middle vocational","Rural Area","606","0.550765941398139","0.521411068092436","0.580120814703842"
"Some worries","1985","middle vocational","Urban Area","2256","0.557312912796589","0.542006028198786","0.572619797394392"
"Some worries","1985","vocational + Abi","Rural Area","27","","",""
"Some worries","1985","vocational + Abi","Urban Area","132","0.577055978255824","0.513622204608797","0.640489751902851"
"Big worries","1986","general elemantary","Rural Area","134","0.209478541608772","0.178688276138061","0.240268807079483"
"Big worries","1986","general elemantary","Urban Area","404","0.187277659775992","0.170993780276831","0.203561539275153"
"Big worries","1986","higher education","Rural Area","16","","",""
"Big worries","1986","higher education","Urban Area","101","0.158548025265851","0.129958337905783","0.187137712625919"
"Big worries","1986","higher vocational","Rural Area","29","","",""
