"plh0032","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","16-34 y.","lower secondary degree","616","0.348592555579484","0.326681866292664","0.370503244866303"
"Big worries","1984","16-34 y.","secondary school degree","308","0.307158732519883","0.278736633906823","0.335580831132944"
"Big worries","1984","16-34 y.","college entrance qualification","213","0.317145391877771","0.281802319390474","0.352488464365069"
"Big worries","1984","16-34 y.","Other degree","161","0.33893054737793","0.298089004385398","0.379772090370461"
"Big worries","1984","16-34 y.","no degree/no degree yet","129","0.262662961259119","0.224617839808764","0.300708082709473"
"Big worries","1984","35-65 y.","lower secondary degree","1220","0.373363774118097","0.356818022992807","0.389909525243387"
"Big worries","1984","35-65 y.","secondary school degree","254","0.337586654182849","0.303788238558224","0.371385069807474"
"Big worries","1984","35-65 y.","college entrance qualification","161","0.313355191168609","0.273486595657569","0.353223786679649"
"Big worries","1984","35-65 y.","Other degree","273","0.309063268368406","0.279088520454388","0.339038016282424"
"Big worries","1984","35-65 y.","no degree/no degree yet","201","0.289944667825371","0.257493391518631","0.32239594413211"
"Big worries","1984","66 and older","lower secondary degree","267","0.271764257166827","0.243681371096479","0.299847143237176"
"Big worries","1984","66 and older","secondary school degree","34","0.18575556506024","0.129098102571023","0.242413027549458"
"Big worries","1984","66 and older","college entrance qualification","29","","",""
"Big worries","1984","66 and older","Other degree","2","","",""
"Big worries","1984","66 and older","no degree/no degree yet","3","","",""
"Some worries","1984","16-34 y.","lower secondary degree","964","0.542787688737453","0.519881935398423","0.565693442076484"
"Some worries","1984","16-34 y.","secondary school degree","600","0.591213382541188","0.560924845458951","0.621501919623425"
"Some worries","1984","16-34 y.","college entrance qualification","385","0.584483689692669","0.547056155775202","0.621911223610136"
"Some worries","1984","16-34 y.","Other degree","257","0.46278798263942","0.4197663253561","0.505809639922739"
"Some worries","1984","16-34 y.","no degree/no degree yet","265","0.54304696425395","0.499982305511148","0.586111622996753"
"Some worries","1984","35-65 y.","lower secondary degree","1774","0.537942605603064","0.520888514324402","0.554996696881727"
"Some worries","1984","35-65 y.","secondary school degree","416","0.551857645561798","0.516314104034005","0.587401187089591"
"Some worries","1984","35-65 y.","college entrance qualification","306","0.580674742638158","0.538262777245091","0.623086708031224"
"Some worries","1984","35-65 y.","Other degree","428","0.465509006673628","0.433153594101859","0.497864419245398"
"Some worries","1984","35-65 y.","no degree/no degree yet","334","0.433123857601735","0.397685118163595","0.468562597039874"
"Some worries","1984","66 and older","lower secondary degree","479","0.49245149105072","0.460891993481459","0.52401098861998"
"Some worries","1984","66 and older","secondary school degree","102","0.551687081252951","0.479235838776697","0.624138323729205"
"Some worries","1984","66 and older","college entrance qualification","46","0.496040600269907","0.396024743026422","0.596056457513393"
"Some worries","1984","66 and older","Other degree","4","","",""
"Some worries","1984","66 and older","no degree/no degree yet","5","","",""
"No worries","1984","16-34 y.","lower secondary degree","237","0.108619755683063","0.0943124933448683","0.122927018021258"
"No worries","1984","16-34 y.","secondary school degree","104","0.101627884938929","0.0830116260455701","0.120244143832287"
"No worries","1984","16-34 y.","college entrance qualification","68","0.0983709184295599","0.0757527051417326","0.120989131717387"
"No worries","1984","16-34 y.","Other degree","98","0.19828146998265","0.163880137396802","0.232682802568498"
"No worries","1984","16-34 y.","no degree/no degree yet","120","0.194290074486931","0.16008573598374","0.228494412990122"
"No worries","1984","35-65 y.","lower secondary degree","289","0.0886936202788388","0.0789685881213604","0.0984186524363171"
"No worries","1984","35-65 y.","secondary school degree","82","0.110555700255353","0.0881432613524348","0.132968139158271"
"No worries","1984","35-65 y.","college entrance qualification","53","0.105970066193233","0.0795146832697299","0.132425449116737"
"No worries","1984","35-65 y.","Other degree","212","0.225427724957965","0.198322854236451","0.25253259567948"
"No worries","1984","35-65 y.","no degree/no degree yet","216","0.276931474572894","0.244927493098956","0.308935456046832"
"No worries","1984","66 and older","lower secondary degree","218","0.235784251782453","0.208987943659234","0.262580559905672"
"No worries","1984","66 and older","secondary school degree","45","0.262557353686809","0.198453369669822","0.326661337703796"
"No worries","1984","66 and older","college entrance qualification","21","","",""
"No worries","1984","66 and older","Other degree","1","","",""
"No worries","1984","66 and older","no degree/no degree yet","10","","",""
"Big worries","1985","16-34 y.","lower secondary degree","474","0.304925585924322","0.282472584064878","0.327378587783767"
"Big worries","1985","16-34 y.","secondary school degree","268","0.271375575311878","0.243421044990725","0.299330105633031"
"Big worries","1985","16-34 y.","college entrance qualification","204","0.31900813583926","0.282841376774891","0.355174894903629"
"Big worries","1985","16-34 y.","Other degree","112","0.318264651915609","0.272386849396605","0.364142454434613"
"Big worries","1985","16-34 y.","no degree/no degree yet","84","0.210989799375628","0.172199273742817","0.24978032500844"
"Big worries","1985","35-65 y.","lower secondary degree","1096","0.367994373745683","0.35071130146857","0.385277446022796"
"Big worries","1985","35-65 y.","secondary school degree","223","0.31660694381564","0.282747908032873","0.350465979598408"
"Big worries","1985","35-65 y.","college entrance qualification","124","0.243067195097239","0.20539462425988","0.280739765934597"
"Big worries","1985","35-65 y.","Other degree","213","0.257265990124399","0.227069393683441","0.287462586565356"
"Big worries","1985","35-65 y.","no degree/no degree yet","150","0.255641519383184","0.221578387054089","0.289704651712278"
"Big worries","1985","66 and older","lower secondary degree","212","0.255945009622238","0.225966382622804","0.285923636621672"
"Big worries","1985","66 and older","secondary school degree","37","0.202582631924745","0.141805892104156","0.263359371745334"
