"plh0032","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","college entrance qualification","(Married) couple without C. ","104","0.312782166199578","0.261984787257945","0.36357954514121"
"Big worries","1984","college entrance qualification","1-pers.-HH","71","0.346543707113736","0.282334967628191","0.410752446599281"
"Big worries","1984","college entrance qualification","Couple + C. GT 16 ","64","0.302492347863549","0.240218366465941","0.364766329261157"
"Big worries","1984","college entrance qualification","Couple + C. LE 16 ","85","0.281707316884967","0.230112455482128","0.333302178287807"
"Big worries","1984","college entrance qualification","Couple + C. LE and GT 16","29","","",""
"Big worries","1984","college entrance qualification","Single parent ","16","","",""
"Big worries","1984","lower secondary degree","(Married) couple without C. ","570","0.356139606367729","0.332624540711377","0.379654672024081"
"Big worries","1984","lower secondary degree","1-pers.-HH","196","0.278558040447224","0.244839268269473","0.312276812624976"
"Big worries","1984","lower secondary degree","Couple + C. GT 16 ","382","0.410025968587573","0.379106139252115","0.440945797923031"
"Big worries","1984","lower secondary degree","Couple + C. LE 16 ","469","0.371144126657068","0.344821585724129","0.397466667590007"
"Big worries","1984","lower secondary degree","Couple + C. LE and GT 16","269","0.35166054591715","0.318321894303262","0.384999197531038"
"Big worries","1984","lower secondary degree","Single parent ","101","0.309280685387839","0.25840085444154","0.360160516334139"
"Big worries","1984","no degree/no degree yet","(Married) couple without C. ","28","","",""
"Big worries","1984","no degree/no degree yet","1-pers.-HH","19","","",""
"Big worries","1984","no degree/no degree yet","Couple + C. GT 16 ","58","0.271311625003958","0.214219625630274","0.328403624377642"
"Big worries","1984","no degree/no degree yet","Couple + C. LE 16 ","97","0.309663726844635","0.261499790364417","0.357827663324853"
"Big worries","1984","no degree/no degree yet","Couple + C. LE and GT 16","87","0.275375994696452","0.225488449893048","0.325263539499856"
"Big worries","1984","no degree/no degree yet","Single parent ","17","","",""
"Big worries","1984","Other degree","(Married) couple without C. ","47","0.204524058052585","0.148055619269237","0.260992496835934"
"Big worries","1984","Other degree","1-pers.-HH","38","0.409486575696569","0.318416897584414","0.500556253808723"
"Big worries","1984","Other degree","Couple + C. GT 16 ","43","0.254873157790108","0.188579619212535","0.32116669636768"
"Big worries","1984","Other degree","Couple + C. LE 16 ","198","0.327132387038808","0.289961839049698","0.364302935027918"
"Big worries","1984","Other degree","Couple + C. LE and GT 16","70","0.320474461235722","0.259498811487223","0.38145011098422"
"Big worries","1984","Other degree","Single parent ","15","","",""
"Big worries","1984","secondary school degree","(Married) couple without C. ","140","0.324400299731686","0.279839753050952","0.368960846412421"
"Big worries","1984","secondary school degree","1-pers.-HH","51","0.21301776020693","0.16121739246493","0.264818127948929"
"Big worries","1984","secondary school degree","Couple + C. GT 16 ","115","0.312330383940026","0.264980249417149","0.359680518462902"
"Big worries","1984","secondary school degree","Couple + C. LE 16 ","148","0.331902426693839","0.288870148767188","0.374934704620491"
"Big worries","1984","secondary school degree","Couple + C. LE and GT 16","85","0.340934993074739","0.282868175518625","0.399001810630853"
"Big worries","1984","secondary school degree","Single parent ","31","0.317358548298639","0.224732389892689","0.409984706704589"
"No worries","1984","college entrance qualification","(Married) couple without C. ","36","0.116147879959528","0.0810429145553322","0.151252845363724"
"No worries","1984","college entrance qualification","1-pers.-HH","28","","",""
"No worries","1984","college entrance qualification","Couple + C. GT 16 ","20","","",""
"No worries","1984","college entrance qualification","Couple + C. LE 16 ","30","0.10142273191937","0.0667967553010962","0.136048708537643"
"No worries","1984","college entrance qualification","Couple + C. LE and GT 16","15","","",""
"No worries","1984","college entrance qualification","Single parent ","1","","",""
"No worries","1984","lower secondary degree","(Married) couple without C. ","175","0.11319074065296","0.0976324900173142","0.128748991288605"
"No worries","1984","lower secondary degree","1-pers.-HH","144","0.226037879770467","0.194577521127406","0.257498238413527"
"No worries","1984","lower secondary degree","Couple + C. GT 16 ","89","0.0739492642504196","0.0574980000194313","0.090400528481408"
"No worries","1984","lower secondary degree","Couple + C. LE 16 ","120","0.0857185468720092","0.0704654401871687","0.10097165355685"
"No worries","1984","lower secondary degree","Couple + C. LE and GT 16","100","0.10963193951093","0.0878177884036212","0.131446090618239"
"No worries","1984","lower secondary degree","Single parent ","43","0.135810507762172","0.0980976331585688","0.173523382365776"
"No worries","1984","no degree/no degree yet","(Married) couple without C. ","47","0.277239230105052","0.204379305434874","0.350099154775231"
"No worries","1984","no degree/no degree yet","1-pers.-HH","27","","",""
"No worries","1984","no degree/no degree yet","Couple + C. GT 16 ","49","0.170496398506103","0.122208659219644","0.218784137792561"
"No worries","1984","no degree/no degree yet","Couple + C. LE 16 ","102","0.278855738016169","0.232141708712319","0.32556976732002"
"No worries","1984","no degree/no degree yet","Couple + C. LE and GT 16","79","0.243772771858124","0.195822454526104","0.291723089190143"
"No worries","1984","no degree/no degree yet","Single parent ","12","","",""
"No worries","1984","Other degree","(Married) couple without C. ","46","0.221526285276308","0.163389011258903","0.279663559293713"
"No worries","1984","Other degree","1-pers.-HH","29","","",""
"No worries","1984","Other degree","Couple + C. GT 16 ","44","0.244656664361882","0.17926162988999","0.310051698833774"
"No worries","1984","Other degree","Couple + C. LE 16 ","118","0.204859523084949","0.172883651613579","0.236835394556319"
"No worries","1984","Other degree","Couple + C. LE and GT 16","53","0.2440004133068","0.187881029735195","0.300119796878405"
"No worries","1984","Other degree","Single parent ","8","","",""
"No worries","1984","secondary school degree","(Married) couple without C. ","46","0.123124292210151","0.0918486630024551","0.154399921417847"
"No worries","1984","secondary school degree","1-pers.-HH","38","0.176959999726947","0.128677416697911","0.225242582755984"
"No worries","1984","secondary school degree","Couple + C. GT 16 ","41","0.107941528052794","0.0762374503578207","0.139645605747767"
"No worries","1984","secondary school degree","Couple + C. LE 16 ","43","0.0915961402923782","0.0652360285217574","0.117956252062999"
"No worries","1984","secondary school degree","Couple + C. LE and GT 16","31","0.128267475343461","0.087305772118172","0.16922917856875"
"No worries","1984","secondary school degree","Single parent ","18","","",""
"Some worries","1984","college entrance qualification","(Married) couple without C. ","180","0.571069953840894","0.516843526544712","0.625296381137076"
"Some worries","1984","college entrance qualification","1-pers.-HH","112","0.50803410934434","0.440578076591054","0.575490142097625"
"Some worries","1984","college entrance qualification","Couple + C. GT 16 ","125","0.591269780664485","0.524621927647783","0.657917633681187"
"Some worries","1984","college entrance qualification","Couple + C. LE 16 ","177","0.616869951195663","0.56110946132146","0.672630441069866"
"Some worries","1984","college entrance qualification","Couple + C. LE and GT 16","62","0.59600552191245","0.502592372469277","0.689418671355624"
"Some worries","1984","college entrance qualification","Single parent ","30","0.654619397847017","0.518680868132482","0.790557927561551"
"Some worries","1984","lower secondary degree","(Married) couple without C. ","848","0.530669652979311","0.506162568502879","0.555176737455743"
"Some worries","1984","lower secondary degree","1-pers.-HH","339","0.495404079782309","0.457797411382425","0.533010748182193"
"Some worries","1984","lower secondary degree","Couple + C. GT 16 ","501","0.516024767162007","0.484607977778647","0.547441556545367"
"Some worries","1984","lower secondary degree","Couple + C. LE 16 ","705","0.543137326470923","0.515996153275634","0.570278499666211"
"Some worries","1984","lower secondary degree","Couple + C. LE and GT 16","419","0.53870751457192","0.503901869349701","0.573513159794139"
"Some worries","1984","lower secondary degree","Single parent ","173","0.554908806849988","0.500200437634736","0.609617176065241"
"Some worries","1984","no degree/no degree yet","(Married) couple without C. ","70","0.509039255478238","0.427669481088263","0.590409029868213"
"Some worries","1984","no degree/no degree yet","1-pers.-HH","35","0.472973096167686","0.364245398127265","0.581700794208106"
"Some worries","1984","no degree/no degree yet","Couple + C. GT 16 ","126","0.558191976489939","0.494427510837398","0.62195644214248"
"Some worries","1984","no degree/no degree yet","Couple + C. LE 16 ","155","0.411480535139195","0.360217829590883","0.462743240687507"
"Some worries","1984","no degree/no degree yet","Couple + C. LE and GT 16","142","0.480851233445424","0.42505254213334","0.536649924757509"
"Some worries","1984","no degree/no degree yet","Single parent ","35","0.589657565361624","0.469145298155909","0.710169832567338"
"Some worries","1984","Other degree","(Married) couple without C. ","103","0.573949656671107","0.504720759167103","0.643178554175111"
"Some worries","1984","Other degree","1-pers.-HH","45","0.373985929259686","0.284375458578993","0.46359639994038"
"Some worries","1984","Other degree","Couple + C. GT 16 ","79","0.50047017784801","0.424408857629048","0.576531498066973"
"Some worries","1984","Other degree","Couple + C. LE 16 ","296","0.468008089876243","0.428475836146047","0.507540343606439"
"Some worries","1984","Other degree","Couple + C. LE and GT 16","102","0.435525125457479","0.370738442169953","0.500311808745004"
"Some worries","1984","Other degree","Single parent ","22","","",""
