"plh0032","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","16-34 y.","no migration background","1016","0.329157684593064","0.312551603690454","0.345763765495673"
"Big worries","1984","16-34 y.","direct migration background","392","0.290851354221612","0.266846397572946","0.314856310870279"
"Big worries","1984","16-34 y.","indirect migration background","27","","",""
"Big worries","1984","35-65 y.","no migration background","1557","0.363502129363235","0.349126881988949","0.377877376737521"
"Big worries","1984","35-65 y.","direct migration background","564","0.304718434287913","0.284330582450719","0.325106286125106"
"Big worries","1984","35-65 y.","indirect migration background","13","","",""
"Big worries","1984","66 and older","no migration background","325","0.257229444365732","0.232771864004329","0.281687024727135"
"Big worries","1984","66 and older","direct migration background","9","","",""
"Big worries","1984","66 and older","indirect migration background","2","","",""
"Some worries","1984","16-34 y.","no migration background","1735","0.565386402786836","0.547868615035687","0.582904190537986"
"Some worries","1984","16-34 y.","direct migration background","698","0.523811015136593","0.497412850811744","0.550209179461443"
"Some worries","1984","16-34 y.","indirect migration background","53","0.581261200304365","0.483584198094427","0.678938202514304"
"Some worries","1984","35-65 y.","no migration background","2357","0.545195227632278","0.53031354977605","0.560076905488507"
"Some worries","1984","35-65 y.","direct migration background","917","0.493407810479459","0.471262896272112","0.515552724686805"
"Some worries","1984","35-65 y.","indirect migration background","5","","",""
"Some worries","1984","66 and older","no migration background","621","0.503742610838124","0.47576673787439","0.531718483801858"
"Some worries","1984","66 and older","direct migration background","12","","",""
"Some worries","1984","66 and older","indirect migration background","3","","",""
"No worries","1984","16-34 y.","no migration background","325","0.1054559126201","0.094601876376362","0.116309948863838"
"No worries","1984","16-34 y.","direct migration background","285","0.185337630641794","0.164799194441509","0.205876066842079"
"No worries","1984","16-34 y.","indirect migration background","18","","",""
"No worries","1984","35-65 y.","no migration background","387","0.0913026430044867","0.0826943968554263","0.0999108891535471"
"No worries","1984","35-65 y.","direct migration background","477","0.201873755232629","0.184094339947263","0.219653170517994"
"No worries","1984","35-65 y.","indirect migration background","3","","",""
"No worries","1984","66 and older","no migration background","281","0.239027944796144","0.215164424917002","0.262891464675286"
"No worries","1984","66 and older","direct migration background","14","","",""
"No worries","1984","66 and older","indirect migration background","","","",""
"Big worries","1985","16-34 y.","no migration background","855","0.294295391619914","0.27766303951088","0.310927743728947"
"Big worries","1985","16-34 y.","direct migration background","280","0.260306918548867","0.234699713736175","0.28591412336156"
"Big worries","1985","16-34 y.","indirect migration background","27","","",""
"Big worries","1985","35-65 y.","no migration background","1385","0.35069007370684","0.335855766034929","0.365524381378751"
"Big worries","1985","35-65 y.","direct migration background","433","0.26325657683386","0.242401242413521","0.284111911254198"
"Big worries","1985","35-65 y.","indirect migration background","6","","",""
"Big worries","1985","66 and older","no migration background","274","0.254565375378113","0.228229292504424","0.280901458251803"
"Big worries","1985","66 and older","direct migration background","5","","",""
"Big worries","1985","66 and older","indirect migration background","","","",""
"Some worries","1985","16-34 y.","no migration background","1668","0.579472862379379","0.561456627813546","0.597489096945211"
"Some worries","1985","16-34 y.","direct migration background","590","0.554608677783086","0.525604687759113","0.58361266780706"
"Some worries","1985","16-34 y.","indirect migration background","65","0.56777128271125","0.479137152277573","0.656405413144927"
"Some worries","1985","35-65 y.","no migration background","2262","0.564501527296417","0.549087880486232","0.579915174106602"
"Some worries","1985","35-65 y.","direct migration background","874","0.550661497369036","0.527105658110827","0.574217336627245"
"Some worries","1985","35-65 y.","indirect migration background","11","","",""
"Some worries","1985","66 and older","no migration background","547","0.521101997473229","0.490900420878647","0.551303574067811"
"Some worries","1985","66 and older","direct migration background","20","","",""
"Some worries","1985","66 and older","indirect migration background","3","","",""
"No worries","1985","16-34 y.","no migration background","361","0.126231746000708","0.114110901253036","0.13835259074838"
"No worries","1985","16-34 y.","direct migration background","258","0.185084403668046","0.16242049726183","0.207748310074263"
"No worries","1985","16-34 y.","indirect migration background","28","","",""
"No worries","1985","35-65 y.","no migration background","328","0.0848083989967427","0.0761476596199983","0.0934691383734872"
"No worries","1985","35-65 y.","direct migration background","406","0.186081925797104","0.16765249797523","0.204511353618979"
"No worries","1985","35-65 y.","indirect migration background","1","","",""
"No worries","1985","66 and older","no migration background","230","0.224332627148658","0.199113461389384","0.249551792907931"
"No worries","1985","66 and older","direct migration background","11","","",""
"No worries","1985","66 and older","indirect migration background","2","","",""
"Big worries","1986","16-34 y.","no migration background","515","0.184036461285546","0.169751716022142","0.19832120654895"
"Big worries","1986","16-34 y.","direct migration background","194","0.171099878541888","0.148794120667285","0.19340563641649"
"Big worries","1986","16-34 y.","indirect migration background","15","","",""
"Big worries","1986","35-65 y.","no migration background","793","0.216429017515507","0.203193774553335","0.229664260477679"
"Big worries","1986","35-65 y.","direct migration background","283","0.167989272639954","0.150090785598812","0.185887759681096"
"Big worries","1986","35-65 y.","indirect migration background","4","","",""
"Big worries","1986","66 and older","no migration background","157","0.156506324609463","0.133629641091967","0.17938300812696"
"Big worries","1986","66 and older","direct migration background","3","","",""
"Big worries","1986","66 and older","indirect migration background","","","",""
"Some worries","1986","16-34 y.","no migration background","1643","0.579922431205866","0.561728150685785","0.598116711725947"
"Some worries","1986","16-34 y.","direct migration background","601","0.568920989245014","0.539588734475003","0.598253244015025"
