"plh0032","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","Schleswig-Holstein","no migration background","103","0.293898757754786","0.245405584403698","0.342391931105874","1"
"Big worries","1984","Schleswig-Holstein","direct migration background","12","","","","1"
"Big worries","1984","Schleswig-Holstein","indirect migration background","1","","","","1"
"Big worries","1984","Hamburg","no migration background","73","0.32294696657546","0.260731956900112","0.385161976250808","1"
"Big worries","1984","Hamburg","direct migration background","29","","","","1"
"Big worries","1984","Hamburg","indirect migration background","","","","","1"
"Big worries","1984","Lower Saxony","no migration background","374","0.355403778866309","0.325958208705367","0.38484934902725","1"
"Big worries","1984","Lower Saxony","direct migration background","54","0.323988204380711","0.258801769099326","0.389174639662095","1"
"Big worries","1984","Lower Saxony","indirect migration background","3","","","","1"
"Big worries","1984","Bremen","no migration background","58","0.576665426836563","0.478842899373565","0.674487954299561","1"
"Big worries","1984","Bremen","direct migration background","18","","","","1"
"Big worries","1984","Bremen","indirect migration background","","","","","1"
"Big worries","1984","North Rhine-Westphalia","no migration background","854","0.377034322044155","0.357040086006737","0.397028558081572","1"
"Big worries","1984","North Rhine-Westphalia","direct migration background","308","0.321585156748657","0.291694026288047","0.351476287209268","1"
"Big worries","1984","North Rhine-Westphalia","indirect migration background","17","","","","1"
"Big worries","1984","Hesse","no migration background","227","0.300114920348343","0.267531366086642","0.332698474610044","1"
"Big worries","1984","Hesse","direct migration background","114","0.241224356165766","0.202546140472373","0.279902571859158","1"
"Big worries","1984","Hesse","indirect migration background","3","","","","1"
"Big worries","1984","Rhineland-Palatinate,Saarland","no migration background","265","0.381891250062371","0.345692185865135","0.418090314259607","1"
"Big worries","1984","Rhineland-Palatinate,Saarland","direct migration background","42","0.278705723476657","0.207427726999183","0.349983719954131","1"
"Big worries","1984","Rhineland-Palatinate,Saarland","indirect migration background","1","","","","1"
"Big worries","1984","Baden-Württemberg","no migration background","402","0.291096077721394","0.266773614333755","0.315418541109033","1"
"Big worries","1984","Baden-Württemberg","direct migration background","210","0.27674900336859","0.247256644374804","0.306241362362376","1"
"Big worries","1984","Baden-Württemberg","indirect migration background","5","","","","1"
"Big worries","1984","Bavaria","no migration background","457","0.279545204175164","0.257521156492593","0.301569251857735","1"
"Big worries","1984","Bavaria","direct migration background","132","0.307885618173063","0.265139889741762","0.350631346604365","1"
"Big worries","1984","Bavaria","indirect migration background","11","","","","1"
"Big worries","1984","Berlin","no migration background","85","0.288389011817361","0.236340025747652","0.34043799788707","1"
"Big worries","1984","Berlin","direct migration background","46","0.373199462185055","0.284803107530376","0.461595816839734","1"
"Big worries","1984","Berlin","indirect migration background","1","","","","1"
"Big worries","1984","Brandenburg","no migration background","","","","","1"
"Big worries","1984","Brandenburg","direct migration background","","","","","1"
"Big worries","1984","Brandenburg","indirect migration background","","","","","1"
"Big worries","1984","Mecklenburg-Western Pomerania","no migration background","","","","","1"
"Big worries","1984","Mecklenburg-Western Pomerania","direct migration background","","","","","1"
"Big worries","1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Big worries","1984","Saxony","no migration background","","","","","1"
"Big worries","1984","Saxony","direct migration background","","","","","1"
"Big worries","1984","Saxony","indirect migration background","","","","","1"
"Big worries","1984","Saxony-Anhalt","no migration background","","","","","1"
"Big worries","1984","Saxony-Anhalt","direct migration background","","","","","1"
"Big worries","1984","Saxony-Anhalt","indirect migration background","","","","","1"
"Big worries","1984","Thuringia","no migration background","","","","","1"
"Big worries","1984","Thuringia","direct migration background","","","","","1"
"Big worries","1984","Thuringia","indirect migration background","","","","","1"
"No worries","1984","Rhineland-Palatinate,Saarland","no migration background","59","0.0886803609977978","0.0674994744156874","0.109861247579908","3"
"No worries","1984","Hamburg","indirect migration background","","","","","3"
"No worries","1984","Hesse","indirect migration background","1","","","","3"
"No worries","1984","Hamburg","direct migration background","23","","","","3"
"No worries","1984","Hesse","direct migration background","134","0.275226597310449","0.234848533852789","0.315604660768109","3"
"No worries","1984","Schleswig-Holstein","no migration background","46","0.154739866634137","0.116241301443141","0.193238431825133","3"
"No worries","1984","Schleswig-Holstein","direct migration background","10","","","","3"
"No worries","1984","Schleswig-Holstein","indirect migration background","","","","","3"
"No worries","1984","Hamburg","no migration background","33","0.163971914645601","0.114709761316047","0.213234067975155","3"
"No worries","1984","Lower Saxony","no migration background","77","0.0838295424554142","0.0667804306200048","0.100878654290824","3"
"No worries","1984","Hesse","no migration background","96","0.130705210632246","0.106740549972578","0.154669871291914","3"
"No worries","1984","North Rhine-Westphalia","direct migration background","199","0.191803281095216","0.166607186544628","0.216999375645803","3"
"No worries","1984","North Rhine-Westphalia","indirect migration background","6","","","","3"
"No worries","1984","Lower Saxony","direct migration background","38","0.165535442881644","0.113767019211902","0.217303866551386","3"
"No worries","1984","Lower Saxony","indirect migration background","","","","","3"
"No worries","1984","Bremen","no migration background","8","","","","3"
"No worries","1984","Bremen","direct migration background","7","","","","3"
"No worries","1984","Bremen","indirect migration background","","","","","3"
"No worries","1984","North Rhine-Westphalia","no migration background","232","0.110236521761748","0.0973159316270799","0.123157111896416","3"
"No worries","1984","Rhineland-Palatinate,Saarland","direct migration background","28","","","","3"
"No worries","1984","Rhineland-Palatinate,Saarland","indirect migration background","2","","","","3"
"No worries","1984","Baden-Württemberg","no migration background","194","0.154834330222461","0.135465640336146","0.174203020108777","3"
"No worries","1984","Baden-Württemberg","direct migration background","242","0.240880907074769","0.212692008642515","0.269069805507024","3"
"No worries","1984","Baden-Württemberg","indirect migration background","6","","","","3"
"No worries","1984","Bavaria","no migration background","209","0.142261018291475","0.125117960950357","0.159404075632593","3"
"No worries","1984","Bavaria","direct migration background","80","0.161237489007032","0.127184000957582","0.195290977056481","3"
"No worries","1984","Bavaria","indirect migration background","6","","","","3"
"No worries","1984","Berlin","no migration background","39","0.144812897850663","0.104379914235823","0.185245881465503","3"
"No worries","1984","Berlin","direct migration background","15","","","","3"
"No worries","1984","Berlin","indirect migration background","","","","","3"
"No worries","1984","Brandenburg","no migration background","","","","","3"
"No worries","1984","Brandenburg","direct migration background","","","","","3"
"No worries","1984","Brandenburg","indirect migration background","","","","","3"
"No worries","1984","Mecklenburg-Western Pomerania","no migration background","","","","","3"
"No worries","1984","Mecklenburg-Western Pomerania","direct migration background","","","","","3"
"No worries","1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"No worries","1984","Saxony","no migration background","","","","","3"
"No worries","1984","Saxony","direct migration background","","","","","3"
"No worries","1984","Saxony","indirect migration background","","","","","3"
"No worries","1984","Saxony-Anhalt","no migration background","","","","","3"
"No worries","1984","Saxony-Anhalt","direct migration background","","","","","3"
"No worries","1984","Saxony-Anhalt","indirect migration background","","","","","3"
"No worries","1984","Thuringia","no migration background","","","","","3"
"No worries","1984","Thuringia","direct migration background","","","","","3"
"No worries","1984","Thuringia","indirect migration background","","","","","3"
"Some worries","1984","Bavaria","direct migration background","236","0.530876892819905","0.484665462823401","0.57708832281641","2"
"Some worries","1984","Bremen","indirect migration background","","","","","2"
"Some worries","1984","Bavaria","no migration background","929","0.578193777533361","0.553957777458989","0.602429777607734","2"
"Some worries","1984","Saxony","direct migration background","","","","","2"
"Some worries","1984","Bremen","direct migration background","9","","","","2"
"Some worries","1984","Baden-Württemberg","indirect migration background","17","","","","2"
"Some worries","1984","Bremen","no migration background","32","0.315838682880079","0.223804964107874","0.407872401652285","2"
"Some worries","1984","Saxony","no migration background","","","","","2"
"Some worries","1984","Lower Saxony","indirect migration background","3","","","","2"
"Some worries","1984","Baden-Württemberg","direct migration background","432","0.482370089556641","0.449430223755014","0.515309955358268","2"
"Some worries","1984","Lower Saxony","no migration background","564","0.560766678678277","0.530234780222306","0.591298577134248","2"
"Some worries","1984","Lower Saxony","direct migration background","106","0.510476352737645","0.440847354300325","0.580105351174966","2"
"Some worries","1984","Baden-Württemberg","no migration background","744","0.554069592056144","0.527455515984939","0.58068366812735","2"
"Some worries","1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"Some worries","1984","Rhineland-Palatinate,Saarland","indirect migration background","2","","","","2"
"Some worries","1984","Mecklenburg-Western Pomerania","direct migration background","","","","","2"
"Some worries","1984","Rhineland-Palatinate,Saarland","direct migration background","82","0.595050972373717","0.517013433930089","0.673088510817344","2"
"Some worries","1984","Mecklenburg-Western Pomerania","no migration background","","","","","2"
"Some worries","1984","Hamburg","indirect migration background","1","","","","2"
"Some worries","1984","Brandenburg","indirect migration background","","","","","2"
"Some worries","1984","Rhineland-Palatinate,Saarland","no migration background","368","0.529428388939831","0.49223964432714","0.566617133552523","2"
"Some worries","1984","Brandenburg","direct migration background","","","","","2"
"Some worries","1984","Brandenburg","no migration background","","","","","2"
"Some worries","1984","Hesse","indirect migration background","8","","","","2"
"Some worries","1984","Schleswig-Holstein","direct migration background","18","","","","2"
"Some worries","1984","Schleswig-Holstein","indirect migration background","4","","","","2"
"Some worries","1984","Hamburg","no migration background","111","0.513081118778939","0.446578377371899","0.579583860185978","2"
