"plh0032","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","(0) in school","in school","40","0.240712669084055","0.179107837048375","0.302317501119736"
"Big worries","1984","(0) in school","inadequately","","","",""
"Big worries","1984","(0) in school","general elemantary","","","",""
"Big worries","1984","(0) in school","middle vocational","","","",""
"Big worries","1984","(0) in school","vocational + Abi","","","",""
"Big worries","1984","(0) in school","higher vocational","","","",""
"Big worries","1984","(0) in school","higher education","","","",""
"Big worries","1984","(1a) inadequately completed","in school","","","",""
"Big worries","1984","(1a) inadequately completed","inadequately","261","0.284316493253817","0.256031092224445","0.312601894283188"
"Big worries","1984","(1a) inadequately completed","general elemantary","","","",""
"Big worries","1984","(1a) inadequately completed","middle vocational","32","0.345106196201622","0.258593287175451","0.431619105227793"
"Big worries","1984","(1a) inadequately completed","vocational + Abi","","","",""
"Big worries","1984","(1a) inadequately completed","higher vocational","","","",""
"Big worries","1984","(1a) inadequately completed","higher education","","","",""
"Big worries","1984","(1b) general elementary school","in school","","","",""
"Big worries","1984","(1b) general elementary school","inadequately","5","","",""
"Big worries","1984","(1b) general elementary school","general elemantary","931","0.323408442242266","0.306559685859095","0.340257198625437"
"Big worries","1984","(1b) general elementary school","middle vocational","","","",""
"Big worries","1984","(1b) general elementary school","vocational + Abi","","","",""
"Big worries","1984","(1b) general elementary school","higher vocational","","","",""
"Big worries","1984","(1b) general elementary school","higher education","","","",""
"Big worries","1984","(1c) basic vocational qualification","in school","","","",""
"Big worries","1984","(1c) basic vocational qualification","inadequately","","","",""
"Big worries","1984","(1c) basic vocational qualification","general elemantary","","","",""
"Big worries","1984","(1c) basic vocational qualification","middle vocational","1388","0.356723563186981","0.341744943394873","0.37170218297909"
"Big worries","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"Big worries","1984","(1c) basic vocational qualification","higher vocational","107","0.356693463289307","0.302030440928535","0.411356485650078"
"Big worries","1984","(1c) basic vocational qualification","higher education","","","",""
"Big worries","1984","(2b) intermediate general qualification","in school","","","",""
"Big worries","1984","(2b) intermediate general qualification","inadequately","","","",""
"Big worries","1984","(2b) intermediate general qualification","general elemantary","130","0.278154694103621","0.237687517706306","0.318621870500936"
"Big worries","1984","(2b) intermediate general qualification","middle vocational","","","",""
"Big worries","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"Big worries","1984","(2b) intermediate general qualification","higher vocational","","","",""
"Big worries","1984","(2b) intermediate general qualification","higher education","","","",""
"Big worries","1984","(2a) intermediate vocational","in school","","","",""
"Big worries","1984","(2a) intermediate vocational","inadequately","","","",""
"Big worries","1984","(2a) intermediate vocational","general elemantary","","","",""
"Big worries","1984","(2a) intermediate vocational","middle vocational","376","0.309294546900011","0.283077818096749","0.335511275703272"
"Big worries","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"Big worries","1984","(2a) intermediate vocational","higher vocational","75","0.354509369976031","0.289500105266432","0.41951863468563"
"Big worries","1984","(2a) intermediate vocational","higher education","","","",""
"Big worries","1984","(2c_gen) general maturity certificate","in school","","","",""
"Big worries","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"Big worries","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"Big worries","1984","(2c_gen) general maturity certificate","middle vocational","135","0.315442903617531","0.270297233305516","0.360588573929545"
"Big worries","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Big worries","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"Big worries","1984","(2c_gen) general maturity certificate","higher education","","","",""
"Big worries","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"Big worries","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Big worries","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Big worries","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Big worries","1984","(2c_voc) vocational maturity certificate","vocational + Abi","115","0.375853213307942","0.321936954745988","0.429769471869895"
"Big worries","1984","(2c_voc) vocational maturity certificate","higher vocational","45","0.273810977654953","0.200979836848335","0.34664211846157"
"Big worries","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
"Big worries","1984","(3a) lower tertiary education","in school","","","",""
"Big worries","1984","(3a) lower tertiary education","inadequately","","","",""
"Big worries","1984","(3a) lower tertiary education","general elemantary","","","",""
"Big worries","1984","(3a) lower tertiary education","middle vocational","","","",""
"Big worries","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"Big worries","1984","(3a) lower tertiary education","higher vocational","","","",""
"Big worries","1984","(3a) lower tertiary education","higher education","83","0.307731750247578","0.25216071156534","0.363302788929816"
"Big worries","1984","(3b) higher tertiary education","in school","","","",""
"Big worries","1984","(3b) higher tertiary education","inadequately","","","",""
"Big worries","1984","(3b) higher tertiary education","general elemantary","","","",""
"Big worries","1984","(3b) higher tertiary education","middle vocational","","","",""
"Big worries","1984","(3b) higher tertiary education","vocational + Abi","","","",""
