"plh0032","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","1-pers.-HH","no migration background","308","0.27798782262335","0.251342663048261","0.304632982198439","1"
"Big worries","1984","1-pers.-HH","direct migration background","67","0.31290007675627","0.253743249384297","0.372056904128243","1"
"Big worries","1984","1-pers.-HH","indirect migration background","2","","","","1"
"Big worries","1984","(Married) couple without C. ","no migration background","771","0.343568317895147","0.323795683589986","0.363340952200308","1"
"Big worries","1984","(Married) couple without C. ","direct migration background","118","0.299811372407008","0.258077452996036","0.341545291817979","1"
"Big worries","1984","(Married) couple without C. ","indirect migration background","4","","","","1"
"Big worries","1984","Single parent ","no migration background","138","0.306427329053442","0.26320411013936","0.349650547967524","1"
"Big worries","1984","Single parent ","direct migration background","38","0.297087724370371","0.217922212583493","0.37625323615725","1"
"Big worries","1984","Single parent ","indirect migration background","4","","","","1"
"Big worries","1984","Couple + C. LE 16 ","no migration background","648","0.353131652368679","0.331399561618256","0.374863743119102","1"
"Big worries","1984","Couple + C. LE 16 ","direct migration background","359","0.318072934149624","0.291432189236104","0.344713679063143","1"
"Big worries","1984","Couple + C. LE 16 ","indirect migration background","6","","","","1"
"Big worries","1984","Couple + C. GT 16 ","no migration background","537","0.3749235948936","0.349971794720345","0.399875395066856","1"
"Big worries","1984","Couple + C. GT 16 ","direct migration background","115","0.240473176090182","0.20179495001634","0.279151402164025","1"
"Big worries","1984","Couple + C. GT 16 ","indirect migration background","13","","","","1"
"Big worries","1984","Couple + C. LE and GT 16","no migration background","337","0.338271887881965","0.308889223941998","0.367654551821931","1"
"Big worries","1984","Couple + C. LE and GT 16","direct migration background","200","0.320893633747336","0.28551960832545","0.356267659169222","1"
"Big worries","1984","Couple + C. LE and GT 16","indirect migration background","11","","","","1"
"No worries","1984","(Married) couple without C. ","indirect migration background","2","","","","3"
"No worries","1984","(Married) couple without C. ","direct migration background","105","0.164712045866572","0.130925920790876","0.198498170942268","3"
"No worries","1984","(Married) couple without C. ","no migration background","246","0.116427432825286","0.103073413955601","0.129781451694971","3"
"No worries","1984","Couple + C. GT 16 ","indirect migration background","9","","","","3"
"No worries","1984","Couple + C. LE and GT 16","no migration background","121","0.121893768708114","0.101575686942749","0.142211850473478","3"
"No worries","1984","1-pers.-HH","indirect migration background","1","","","","3"
"No worries","1984","Couple + C. LE and GT 16","direct migration background","154","0.203047747856455","0.172565269671872","0.233530226041037","3"
"No worries","1984","Couple + C. LE and GT 16","indirect migration background","4","","","","3"
"No worries","1984","1-pers.-HH","no migration background","198","0.200111761431195","0.176316847333524","0.223906675528866","3"
"No worries","1984","1-pers.-HH","direct migration background","67","0.246771748326887","0.191766629275192","0.301776867378581","3"
"No worries","1984","Single parent ","no migration background","59","0.136521544654645","0.104330599939567","0.168712489369723","3"
"No worries","1984","Single parent ","direct migration background","24","","","","3"
"No worries","1984","Single parent ","indirect migration background","","","","","3"
"No worries","1984","Couple + C. LE 16 ","no migration background","164","0.0860536308605039","0.0733018690567486","0.0988053926642592","3"
"No worries","1984","Couple + C. LE 16 ","direct migration background","252","0.192444830358306","0.169894481340197","0.214995179376415","3"
"No worries","1984","Couple + C. LE 16 ","indirect migration background","4","","","","3"
"No worries","1984","Couple + C. GT 16 ","no migration background","121","0.0834732888445129","0.0692168757730613","0.0977297019159645","3"
"No worries","1984","Couple + C. GT 16 ","direct migration background","117","0.224378426792322","0.18662319342222","0.262133660162424","3"
"Some worries","1984","(Married) couple without C. ","indirect migration background","4","","","","2"
"Some worries","1984","Single parent ","no migration background","240","0.557051126291913","0.510478395693271","0.603623856890555","2"
"Some worries","1984","Single parent ","direct migration background","66","0.506783327947244","0.420172310584503","0.593394345309985","2"
"Some worries","1984","Single parent ","indirect migration background","4","","","","2"
"Some worries","1984","Couple + C. LE 16 ","no migration background","1046","0.560814716770817","0.538248496320118","0.583380937221516","2"
"Some worries","1984","(Married) couple without C. ","no migration background","1199","0.540004249279567","0.519253264514143","0.560755234044991","2"
"Some worries","1984","(Married) couple without C. ","direct migration background","240","0.535476581726421","0.490047742165302","0.580905421287539","2"
"Some worries","1984","1-pers.-HH","indirect migration background","3","","","","2"
"Some worries","1984","Couple + C. LE and GT 16","indirect migration background","18","","","","2"
"Some worries","1984","Couple + C. LE and GT 16","no migration background","538","0.539834343409922","0.508881127405696","0.570787559414147","2"
"Some worries","1984","Couple + C. LE and GT 16","direct migration background","315","0.476058618396209","0.438213784924004","0.513903451868415","2"
"Some worries","1984","Couple + C. GT 16 ","indirect migration background","22","","","","2"
"Some worries","1984","1-pers.-HH","no migration background","580","0.521900415945455","0.492191542564402","0.551609289326508","2"
"Some worries","1984","1-pers.-HH","direct migration background","102","0.440328174916843","0.376992697398311","0.503663652435374","2"
"Some worries","1984","Couple + C. LE 16 ","direct migration background","563","0.48948223549207","0.46088737780918","0.51807709317496","2"
"Some worries","1984","Couple + C. LE 16 ","indirect migration background","9","","","","2"
"Some worries","1984","Couple + C. GT 16 ","no migration background","788","0.541603116261887","0.515921322734334","0.567284909789439","2"
"Some worries","1984","Couple + C. GT 16 ","direct migration background","237","0.535148397117496","0.49000897960608","0.580287814628912","2"
"Big worries","1985","1-pers.-HH","no migration background","273","0.28318090823693","0.254576141685211","0.311785674788648","1"
"Big worries","1985","1-pers.-HH","direct migration background","38","0.204149910801833","0.14771988001133","0.260579941592337","1"
"Big worries","1985","1-pers.-HH","indirect migration background","3","","","","1"
"Big worries","1985","(Married) couple without C. ","no migration background","657","0.322628518680428","0.302140596104224","0.343116441256631","1"
"Big worries","1985","(Married) couple without C. ","direct migration background","101","0.285490994461619","0.24117487715056","0.329807111772677","1"
"Big worries","1985","(Married) couple without C. ","indirect migration background","2","","","","1"
"Big worries","1985","Single parent ","no migration background","119","0.292407105906119","0.248324005661684","0.336490206150553","1"
"Big worries","1985","Single parent ","direct migration background","19","","","","1"
"Big worries","1985","Single parent ","indirect migration background","2","","","","1"
"Big worries","1985","Couple + C. LE 16 ","no migration background","545","0.328592475173365","0.306118804015989","0.35106614633074","1"
"Big worries","1985","Couple + C. LE 16 ","direct migration background","255","0.273900258376523","0.245704696129815","0.30209582062323","1"
"Big worries","1985","Couple + C. LE 16 ","indirect migration background","5","","","","1"
"Big worries","1985","Couple + C. GT 16 ","no migration background","499","0.323051768814129","0.299725878260368","0.34637765936789","1"
"Big worries","1985","Couple + C. GT 16 ","direct migration background","139","0.362644243989119","0.316221497222854","0.409066990755385","1"
"Big worries","1985","Couple + C. GT 16 ","indirect migration background","6","","","","1"
"Big worries","1985","Couple + C. LE and GT 16","no migration background","254","0.311600041482002","0.279841815557784","0.343358267406221","1"
"Big worries","1985","Couple + C. LE and GT 16","direct migration background","125","0.190206624113878","0.159036439576989","0.221376808650767","1"
"Big worries","1985","Couple + C. LE and GT 16","indirect migration background","14","","","","1"
"No worries","1985","(Married) couple without C. ","indirect migration background","2","","","","3"
"No worries","1985","(Married) couple without C. ","direct migration background","88","0.119512163962294","0.0876826960619228","0.151341631862666","3"
"No worries","1985","Couple + C. LE and GT 16","no migration background","86","0.108319522584895","0.0870089528594174","0.129630092310372","3"
"No worries","1985","(Married) couple without C. ","no migration background","251","0.12906083422541","0.114367368721837","0.143754299728982","3"
"No worries","1985","1-pers.-HH","indirect migration background","","","","","3"
"No worries","1985","Couple + C. LE and GT 16","indirect migration background","8","","","","3"
"No worries","1985","Couple + C. LE and GT 16","direct migration background","182","0.277563040350537","0.241998250992204","0.31312782970887","3"
"No worries","1985","Couple + C. GT 16 ","indirect migration background","16","","","","3"
"No worries","1985","1-pers.-HH","no migration background","167","0.186871434169736","0.162122716048072","0.2116201522914","3"
"No worries","1985","1-pers.-HH","direct migration background","64","0.300514709216877","0.236328427847185","0.364700990586569","3"
"No worries","1985","Single parent ","no migration background","47","0.118289800238623","0.0869913366760868","0.149588263801158","3"
"No worries","1985","Single parent ","direct migration background","36","0.2363829874071","0.157699248993082","0.315066725821119","3"
"No worries","1985","Single parent ","indirect migration background","1","","","","3"
"No worries","1985","Couple + C. LE 16 ","no migration background","136","0.0807753920514702","0.0677376473969336","0.0938131367060068","3"
"No worries","1985","Couple + C. LE 16 ","direct migration background","163","0.16042670974701","0.137223180694524","0.183630238799496","3"
"No worries","1985","Couple + C. LE 16 ","indirect migration background","2","","","","3"
"No worries","1985","Couple + C. GT 16 ","no migration background","155","0.100781658242583","0.0857658825760504","0.115797433909116","3"
"No worries","1985","Couple + C. GT 16 ","direct migration background","84","0.123952960585951","0.0921335853418866","0.155772335830015","3"
"Some worries","1985","Couple + C. LE and GT 16","indirect migration background","27","","","","2"
