"plh0032","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Some worries","1984","(3b) higher tertiary education","Female","95","0.507878111526868","0.434434473945524","0.581321749108213"
"Some worries","1984","(3b) higher tertiary education","Male","215","0.63372531144004","0.582738833623106","0.684711789256974"
"Big worries","1985","(0) in school","Female","","","",""
"Big worries","1985","(0) in school","Male","","","",""
"Big worries","1985","(1a) inadequately completed","Female","99","0.208135808200957","0.172299489887054","0.24397212651486"
"Big worries","1985","(1a) inadequately completed","Male","105","0.308308442788996","0.262710113941062","0.353906771636931"
"Big worries","1985","(1b) general elementary school","Female","471","0.279328161284957","0.258106025908384","0.300550296661529"
"Big worries","1985","(1b) general elementary school","Male","255","0.309076593832609","0.27824537423265","0.339907813432567"
"Big worries","1985","(1c) basic vocational qualification","Female","524","0.336627204564326","0.313139729700582","0.360114679428071"
"Big worries","1985","(1c) basic vocational qualification","Male","791","0.361503141369587","0.341642861794926","0.381363420944249"
"Big worries","1985","(2a) intermediate vocational","Female","209","0.273684747545529","0.242007776893903","0.305361718197154"
"Big worries","1985","(2a) intermediate vocational","Male","173","0.301892411836899","0.26427080379371","0.339514019880089"
"Big worries","1985","(2b) intermediate general qualification","Female","85","0.273598881421587","0.222289768888673","0.324907993954501"
"Big worries","1985","(2b) intermediate general qualification","Male","45","0.256881609193443","0.192876139811633","0.320887078575252"
"Big worries","1985","(2c_gen) general maturity certificate","Female","43","0.279380925047608","0.20985618846117","0.348905661634046"
"Big worries","1985","(2c_gen) general maturity certificate","Male","70","0.335089751022453","0.271699805968163","0.398479696076743"
"Big worries","1985","(2c_voc) vocational maturity certificate","Female","46","0.322155604838229","0.250636179294559","0.393675030381898"
"Big worries","1985","(2c_voc) vocational maturity certificate","Male","78","0.314253145153626","0.256477609680303","0.372028680626948"
"Big worries","1985","(3a) lower tertiary education","Female","","","",""
"Big worries","1985","(3a) lower tertiary education","Male","43","0.245357985179503","0.181966336547688","0.308749633811317"
"Big worries","1985","(3b) higher tertiary education","Female","42","0.233495556512097","0.170087172617052","0.296903940407143"
"Big worries","1985","(3b) higher tertiary education","Male","100","0.28867504778585","0.239857862065409","0.337492233506291"
"No worries","1985","(0) in school","Female","","","",""
"No worries","1985","(0) in school","Male","","","",""
"No worries","1985","(1a) inadequately completed","Female","147","0.260860020057438","0.222099308601658","0.299620731513217"
"No worries","1985","(1a) inadequately completed","Male","94","0.266520345678821","0.222862811782829","0.310177879574812"
"No worries","1985","(1b) general elementary school","Female","312","0.177300741945654","0.159235708383785","0.195365775507524"
"No worries","1985","(1b) general elementary school","Male","168","0.150960699825918","0.127074968659114","0.174846430992722"
"No worries","1985","(1c) basic vocational qualification","Female","185","0.11878009239669","0.102699691435491","0.134860493357889"
"No worries","1985","(1c) basic vocational qualification","Male","256","0.103332024498214","0.0907490523215661","0.115914996674862"
"No worries","1985","(2a) intermediate vocational","Female","88","0.116344885223888","0.0935639888684042","0.139125781579371"
"No worries","1985","(2a) intermediate vocational","Male","60","0.107139721080315","0.0817932744270522","0.132486167733579"
"No worries","1985","(2b) intermediate general qualification","Female","39","0.135624278836713","0.0962176672817092","0.175030890391718"
"No worries","1985","(2b) intermediate general qualification","Male","","","",""
"No worries","1985","(2c_gen) general maturity certificate","Female","","","",""
"No worries","1985","(2c_gen) general maturity certificate","Male","","","",""
"No worries","1985","(2c_voc) vocational maturity certificate","Female","","","",""
"No worries","1985","(2c_voc) vocational maturity certificate","Male","32","0.101347833275903","0.0637878580062295","0.138907808545576"
"No worries","1985","(3a) lower tertiary education","Female","","","",""
"No worries","1985","(3a) lower tertiary education","Male","","","",""
"No worries","1985","(3b) higher tertiary education","Female","","","",""
"No worries","1985","(3b) higher tertiary education","Male","32","0.108120797305876","0.0746672841485059","0.141574310463246"
"Some worries","1985","(0) in school","Female","45","0.607105079998785","0.496573189133191","0.71763697086438"
"Some worries","1985","(0) in school","Male","66","0.598282550273645","0.50708144151286","0.689483659034429"
"Some worries","1985","(1a) inadequately completed","Female","247","0.531004171741606","0.486952936828702","0.575055406654509"
"Some worries","1985","(1a) inadequately completed","Male","195","0.425171211532183","0.376356451292267","0.4739859717721"
"Some worries","1985","(1b) general elementary school","Female","934","0.543371096769389","0.519810140729169","0.566932052809609"
"Some worries","1985","(1b) general elementary school","Male","440","0.539962706341473","0.50671045183855","0.573214960844396"
"Some worries","1985","(1c) basic vocational qualification","Female","846","0.544592703038983","0.519840218619142","0.569345187458824"
"Some worries","1985","(1c) basic vocational qualification","Male","1201","0.535164834132199","0.514546992017236","0.555782676247161"
"Some worries","1985","(2a) intermediate vocational","Female","464","0.609970367230584","0.575315923396411","0.644624811064757"
"Some worries","1985","(2a) intermediate vocational","Male","339","0.590967867082785","0.550676618698992","0.631259115466578"
"Some worries","1985","(2b) intermediate general qualification","Female","166","0.5907768397417","0.53418667930587","0.647367000177529"
"Some worries","1985","(2b) intermediate general qualification","Male","105","0.587475861063543","0.515358259969737","0.659593462157349"
"Some worries","1985","(2c_gen) general maturity certificate","Female","97","0.625334630120859","0.550333792042768","0.70033546819895"
"Some worries","1985","(2c_gen) general maturity certificate","Male","115","0.544715540489629","0.477837338998938","0.611593741980319"
"Some worries","1985","(2c_voc) vocational maturity certificate","Female","104","0.600587672418864","0.525628444216359","0.675546900621368"
"Some worries","1985","(2c_voc) vocational maturity certificate","Male","138","0.584399021570472","0.523063046837567","0.645734996303376"
"Some worries","1985","(3a) lower tertiary education","Female","43","0.625383706186902","0.511996074734849","0.738771337638955"
"Some worries","1985","(3a) lower tertiary education","Male","122","0.684148579430968","0.615666318533228","0.752630840328707"
"Some worries","1985","(3b) higher tertiary education","Female","113","0.647851467007672","0.576261740904091","0.719441193111253"
