"plh0032","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","no migration background","West Germany","2898","0.33219049695841","0.322238326870016","0.342142667046804"
"Big worries","1984","no migration background","East Germany","","","",""
"Big worries","1984","direct migration background","West Germany","965","0.300215290545621","0.284735656904594","0.315694924186648"
"Big worries","1984","direct migration background","East Germany","","","",""
"Big worries","1984","indirect migration background","West Germany","42","0.400511517780011","0.31426626981626","0.486756765743763"
"Big worries","1984","indirect migration background","East Germany","","","",""
"Some worries","1984","no migration background","West Germany","4713","0.543875493815166","0.533351287858174","0.554399699772159"
"Some worries","1984","no migration background","East Germany","","","",""
"Some worries","1984","direct migration background","West Germany","1627","0.497403339670462","0.480517362519549","0.514289316821374"
"Some worries","1984","direct migration background","East Germany","","","",""
"Some worries","1984","indirect migration background","West Germany","61","0.482498195265496","0.39454714510815","0.570449245422842"
"Some worries","1984","indirect migration background","East Germany","","","",""
"No worries","1984","no migration background","West Germany","993","0.123934009226424","0.116971567867474","0.130896450585373"
"No worries","1984","no migration background","East Germany","","","",""
"No worries","1984","direct migration background","West Germany","776","0.202381369783918","0.188812459848799","0.215950279719037"
"No worries","1984","direct migration background","East Germany","","","",""
"No worries","1984","indirect migration background","West Germany","","","",""
"No worries","1984","indirect migration background","East Germany","","","",""
"Big worries","1985","no migration background","West Germany","2514","0.313972304984274","0.303744643525248","0.3241999664433"
"Big worries","1985","no migration background","East Germany","","","",""
"Big worries","1985","direct migration background","West Germany","718","0.257951829071629","0.241964956422971","0.273938701720288"
"Big worries","1985","direct migration background","East Germany","","","",""
"Big worries","1985","indirect migration background","West Germany","33","0.215506883547098","0.148115369396565","0.28289839769763"
"Big worries","1985","indirect migration background","East Germany","","","",""
"Some worries","1985","no migration background","West Germany","4477","0.561335034776197","0.550399566155464","0.57227050339693"
"Some worries","1985","no migration background","East Germany","","","",""
"Some worries","1985","direct migration background","West Germany","1484","0.549693393995683","0.531513448450342","0.567873339541024"
"Some worries","1985","direct migration background","East Germany","","","",""
"Some worries","1985","indirect migration background","West Germany","79","0.63871739523312","0.559984183087542","0.717450607378697"
"Some worries","1985","indirect migration background","East Germany","","","",""
"No worries","1985","no migration background","West Germany","919","0.124692660239529","0.117412170744147","0.131973149734911"
"No worries","1985","no migration background","East Germany","","","",""
"No worries","1985","direct migration background","West Germany","675","0.192354776932688","0.177952208001519","0.206757345863856"
"No worries","1985","direct migration background","East Germany","","","",""
"No worries","1985","indirect migration background","West Germany","31","0.145775721219783","0.0879383391397449","0.203613103299821"
"No worries","1985","indirect migration background","East Germany","","","",""
"Big worries","1986","no migration background","West Germany","1465","0.194296198265098","0.185350722231878","0.203241674298319"
"Big worries","1986","no migration background","East Germany","","","",""
"Big worries","1986","direct migration background","West Germany","480","0.163272204312995","0.149630401645012","0.176914006980979"
"Big worries","1986","direct migration background","East Germany","","","",""
"Big worries","1986","indirect migration background","West Germany","","","",""
"Big worries","1986","indirect migration background","East Germany","","","",""
"Some worries","1986","no migration background","West Germany","4381","0.575842986395681","0.564669235999514","0.587016736791848"
"Some worries","1986","no migration background","East Germany","","","",""
"Some worries","1986","direct migration background","West Germany","1545","0.560606814261133","0.542288758286125","0.578924870236141"
"Some worries","1986","direct migration background","East Germany","","","",""
"Some worries","1986","indirect migration background","West Germany","92","0.589553831952833","0.512112631260045","0.666995032645621"
"Some worries","1986","indirect migration background","East Germany","","","",""
"No worries","1986","no migration background","West Germany","1669","0.22986081533922","0.220348183685432","0.239373446993009"
"No worries","1986","no migration background","East Germany","","","",""
"No worries","1986","direct migration background","West Germany","795","0.276120981425872","0.259620134499456","0.292621828352288"
"No worries","1986","direct migration background","East Germany","","","",""
"No worries","1986","indirect migration background","West Germany","44","0.26813868732191","0.198399581195168","0.337877793448653"
"No worries","1986","indirect migration background","East Germany","","","",""
"Big worries","1987","no migration background","West Germany","1499","0.209076470297642","0.199809450104177","0.218343490491107"
"Big worries","1987","no migration background","East Germany","","","",""
"Big worries","1987","direct migration background","West Germany","464","0.177674974408193","0.163501713740709","0.191848235075677"
"Big worries","1987","direct migration background","East Germany","","","",""
"Big worries","1987","indirect migration background","West Germany","","","",""
"Big worries","1987","indirect migration background","East Germany","","","",""
"Some worries","1987","no migration background","West Germany","4592","0.610939512208003","0.599829156792449","0.622049867623557"
"Some worries","1987","no migration background","East Germany","","","",""
"Some worries","1987","direct migration background","West Germany","1540","0.584833497601093","0.566562504118324","0.603104491083862"
"Some worries","1987","direct migration background","East Germany","","","",""
"Some worries","1987","indirect migration background","West Germany","105","0.638434114913889","0.567452884508046","0.709415345319732"
"Some worries","1987","indirect migration background","East Germany","","","",""
"No worries","1987","no migration background","West Germany","1306","0.179984017494355","0.171229173512347","0.188738861476362"
"No worries","1987","no migration background","East Germany","","","",""
"No worries","1987","direct migration background","West Germany","790","0.237491527990714","0.221712462174585","0.253270593806843"
"No worries","1987","direct migration background","East Germany","","","",""
"No worries","1987","indirect migration background","West Germany","47","0.192194813842988","0.133982359822787","0.250407267863189"
"No worries","1987","indirect migration background","East Germany","","","",""
"Big worries","1988","no migration background","West Germany","1988","0.285288554928699","0.274739825538319","0.29583728431908"
"Big worries","1988","no migration background","East Germany","","","",""
"Big worries","1988","direct migration background","West Germany","520","0.220541108976377","0.204773151489663","0.23630906646309"
"Big worries","1988","direct migration background","East Germany","","","",""
"Big worries","1988","indirect migration background","West Germany","39","0.219509920233846","0.165184082864894","0.273835757602798"
"Big worries","1988","indirect migration background","East Germany","","","",""
"Some worries","1988","no migration background","West Germany","4138","0.580935265029967","0.569408776124168","0.592461753935765"
"Some worries","1988","no migration background","East Germany","","","",""
"Some worries","1988","direct migration background","West Germany","1554","0.598517907198486","0.579875339893904","0.617160474503069"
"Some worries","1988","direct migration background","East Germany","","","",""
"Some worries","1988","indirect migration background","West Germany","126","0.562414639423228","0.497303490325675","0.627525788520781"
"Some worries","1988","indirect migration background","East Germany","","","",""
"No worries","1988","no migration background","West Germany","913","0.133776180041334","0.125823801133871","0.141728558948797"
"No worries","1988","no migration background","East Germany","","","",""
"No worries","1988","direct migration background","West Germany","582","0.180940983825137","0.166300341627621","0.195581626022653"
"No worries","1988","direct migration background","East Germany","","","",""
"No worries","1988","indirect migration background","West Germany","58","0.218075440342926","0.163877664347258","0.272273216338594"
"No worries","1988","indirect migration background","East Germany","","","",""
"Big worries","1989","no migration background","West Germany","1166","0.177345672201761","0.168241056615003","0.18645028778852"
"Big worries","1989","no migration background","East Germany","","","",""
"Big worries","1989","direct migration background","West Germany","433","0.173878251200605","0.159179436866702","0.188577065534508"
"Big worries","1989","direct migration background","East Germany","","","",""
"Big worries","1989","indirect migration background","West Germany","42","0.146329780359578","0.103034601874571","0.189624958844585"
"Big worries","1989","indirect migration background","East Germany","","","",""
"Some worries","1989","no migration background","West Germany","3951","0.579665896047003","0.567899896914051","0.591431895179956"
"Some worries","1989","no migration background","East Germany","","","",""
"Some worries","1989","direct migration background","West Germany","1468","0.591317196942199","0.572252009430747","0.61038238445365"
"Some worries","1989","direct migration background","East Germany","","","",""
"Some worries","1989","indirect migration background","West Germany","141","0.607875448511898","0.548069080712047","0.66768181631175"
"Some worries","1989","indirect migration background","East Germany","","","",""
"No worries","1989","no migration background","West Germany","1644","0.242988431751235","0.232765235916008","0.253211627586463"
"No worries","1989","no migration background","East Germany","","","",""
"No worries","1989","direct migration background","West Germany","653","0.234804551857197","0.21836548773787","0.251243615976524"
"No worries","1989","direct migration background","East Germany","","","",""
"No worries","1989","indirect migration background","West Germany","73","0.245794771128524","0.19305245496925","0.298537087287799"
"No worries","1989","indirect migration background","East Germany","","","",""
"Big worries","1990","no migration background","West Germany","1233","0.187002374009628","0.177591956550057","0.196412791469199"
"Big worries","1990","no migration background","East Germany","1579","0.354500087603508","0.340185603118038","0.368814572088977"
"Big worries","1990","direct migration background","West Germany","419","0.184089125573082","0.168924447735196","0.199253803410967"
"Big worries","1990","direct migration background","East Germany","55","0.360230761064692","0.281547536904651","0.438913985224733"
"Big worries","1990","indirect migration background","West Germany","38","0.18505758198703","0.140515186597408","0.229599977376651"
"Big worries","1990","indirect migration background","East Germany","","","",""
"Some worries","1990","no migration background","West Germany","3463","0.522606985730351","0.510552010392148","0.534661961068554"
"Some worries","1990","no migration background","East Germany","2304","0.538995229560187","0.524078809143644","0.55391164997673"
