"plh0032","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Schleswig-Holstein","in school","2","","",""
"Big worries","1984","Schleswig-Holstein","inadequately","5","","",""
"Big worries","1984","Schleswig-Holstein","general elemantary","20","","",""
"Big worries","1984","Schleswig-Holstein","middle vocational","72","0.326426513729031","0.264323705519757","0.388529321938304"
"Big worries","1984","Schleswig-Holstein","vocational + Abi","3","","",""
"Big worries","1984","Schleswig-Holstein","higher vocational","10","","",""
"Big worries","1984","Schleswig-Holstein","higher education","3","","",""
"Big worries","1984","Hamburg","in school","1","","",""
"Big worries","1984","Hamburg","inadequately","7","","",""
"Big worries","1984","Hamburg","general elemantary","25","","",""
"Big worries","1984","Hamburg","middle vocational","42","0.267651326149824","0.198176184429788","0.337126467869859"
"Big worries","1984","Hamburg","vocational + Abi","4","","",""
"Big worries","1984","Hamburg","higher vocational","14","","",""
"Big worries","1984","Hamburg","higher education","8","","",""
"Big worries","1984","Lower Saxony","in school","6","","",""
"Big worries","1984","Lower Saxony","inadequately","13","","",""
"Big worries","1984","Lower Saxony","general elemantary","135","0.367252692379967","0.317731049232618","0.416774335527316"
"Big worries","1984","Lower Saxony","middle vocational","222","0.379233596888136","0.339780824268521","0.418686369507751"
"Big worries","1984","Lower Saxony","vocational + Abi","4","","",""
"Big worries","1984","Lower Saxony","higher vocational","31","0.370110200320405","0.262958614055369","0.477261786585441"
"Big worries","1984","Lower Saxony","higher education","19","","",""
"Big worries","1984","Bremen","in school","","","",""
"Big worries","1984","Bremen","inadequately","2","","",""
"Big worries","1984","Bremen","general elemantary","18","","",""
"Big worries","1984","Bremen","middle vocational","47","0.639288816462775","0.529877916986996","0.748699715938554"
"Big worries","1984","Bremen","vocational + Abi","5","","",""
"Big worries","1984","Bremen","higher vocational","3","","",""
"Big worries","1984","Bremen","higher education","1","","",""
"Big worries","1984","North Rhine-Westphalia","in school","19","","",""
"Big worries","1984","North Rhine-Westphalia","inadequately","94","0.318287165464559","0.265400004105818","0.371174326823299"
"Big worries","1984","North Rhine-Westphalia","general elemantary","303","0.361920581733464","0.329858870226378","0.39398229324055"
"Big worries","1984","North Rhine-Westphalia","middle vocational","586","0.390128336405238","0.365590561354284","0.414666111456191"
"Big worries","1984","North Rhine-Westphalia","vocational + Abi","44","0.525213712887022","0.420282286483479","0.630145139290564"
"Big worries","1984","North Rhine-Westphalia","higher vocational","53","0.332573975042166","0.258877966941752","0.40626998314258"
"Big worries","1984","North Rhine-Westphalia","higher education","69","0.297156923853018","0.23757479946452","0.356739048241517"
"Big worries","1984","Hesse","in school","2","","",""
"Big worries","1984","Hesse","inadequately","25","","",""
"Big worries","1984","Hesse","general elemantary","85","0.268309879321283","0.222022916294845","0.314596842347722"
"Big worries","1984","Hesse","middle vocational","173","0.299101233056857","0.261934827349363","0.336267638764352"
"Big worries","1984","Hesse","vocational + Abi","12","","",""
"Big worries","1984","Hesse","higher vocational","14","","",""
"Big worries","1984","Hesse","higher education","28","","",""
"Big worries","1984","Rhineland-Palatinate,Saarland","in school","","","",""
"Big worries","1984","Rhineland-Palatinate,Saarland","inadequately","19","","",""
"Big worries","1984","Rhineland-Palatinate,Saarland","general elemantary","107","0.36920003598839","0.314223302417493","0.424176769559287"
"Big worries","1984","Rhineland-Palatinate,Saarland","middle vocational","143","0.37580157892471","0.327733538181164","0.423869619668257"
"Big worries","1984","Rhineland-Palatinate,Saarland","vocational + Abi","3","","",""
"Big worries","1984","Rhineland-Palatinate,Saarland","higher vocational","15","","",""
"Big worries","1984","Rhineland-Palatinate,Saarland","higher education","18","","",""
"Big worries","1984","Baden-Württemberg","in school","6","","",""
"Big worries","1984","Baden-Württemberg","inadequately","56","0.237342759531084","0.188291308148232","0.286394210913936"
"Big worries","1984","Baden-Württemberg","general elemantary","192","0.284178647242351","0.250501404605255","0.317855889879447"
"Big worries","1984","Baden-Württemberg","middle vocational","276","0.300548467170781","0.271144175316771","0.32995275902479"
"Big worries","1984","Baden-Württemberg","vocational + Abi","16","","",""
"Big worries","1984","Baden-Württemberg","higher vocational","35","0.288124984290602","0.205709003476131","0.370540965105074"
"Big worries","1984","Baden-Württemberg","higher education","33","0.266669471770462","0.189146641974327","0.344192301566597"
"Big worries","1984","Bavaria","in school","3","","",""
"Big worries","1984","Bavaria","inadequately","29","","",""
"Big worries","1984","Bavaria","general elemantary","147","0.250204066725102","0.214893645836865","0.285514487613339"
"Big worries","1984","Bavaria","middle vocational","314","0.295999450521099","0.268067172112783","0.323931728929414"
"Big worries","1984","Bavaria","vocational + Abi","19","","",""
"Big worries","1984","Bavaria","higher vocational","44","0.323650632498332","0.242598045623856","0.404703219372808"
