"plh0036","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","16-34 y.","1-pers.-HH","245","0.715901813948302","0.66865472768419","0.763148900212414","1"
"Big worries","1984","16-34 y.","(Married) couple without C. ","397","0.656832461794188","0.620078896025624","0.693586027562752","1"
"Big worries","1984","16-34 y.","Single parent ","164","0.609641484610868","0.553104302447619","0.666178666774117","1"
"Big worries","1984","16-34 y.","Couple + C. LE 16 ","751","0.540142280676685","0.51482794296466","0.56545661838871","1"
"Big worries","1984","16-34 y.","Couple + C. GT 16 ","461","0.624701439344102","0.590677625368095","0.658725253320109","1"
"Big worries","1984","16-34 y.","Couple + C. LE and GT 16","366","0.577039094984971","0.540362886371216","0.613715303598727","1"
"Big worries","1984","35-65 y.","1-pers.-HH","210","0.479053925368516","0.435740131290451","0.522367719446581","1"
"Big worries","1984","35-65 y.","(Married) couple without C. ","706","0.506215685896934","0.480640340520527","0.531791031273341","1"
"Big worries","1984","35-65 y.","Single parent ","123","0.500321720425388","0.439893454572865","0.560749986277911","1"
"Big worries","1984","35-65 y.","Couple + C. LE 16 ","775","0.549615804183638","0.524807045964785","0.574424562402491","1"
"Big worries","1984","35-65 y.","Couple + C. GT 16 ","562","0.544232951060872","0.515117145290686","0.573348756831058","1"
"Big worries","1984","35-65 y.","Couple + C. LE and GT 16","444","0.503307706541817","0.47227204458643","0.534343368497204","1"
"Big worries","1984","66 and older","1-pers.-HH","164","0.351540883598905","0.307814398137371","0.395267369060438","1"
"Big worries","1984","66 and older","(Married) couple without C. ","247","0.428039781834773","0.387561961033645","0.468517602635901","1"
"Big worries","1984","66 and older","Single parent ","8","","","","1"
"Big worries","1984","66 and older","Couple + C. LE 16 ","1","","","","1"
"Big worries","1984","66 and older","Couple + C. GT 16 ","21","","","","1"
"Big worries","1984","66 and older","Couple + C. LE and GT 16","","","","","1"
"No worries","1984","16-34 y.","Couple + C. LE and GT 16","74","0.0679778210564431","0.0492913003940016","0.0866643417188846","3"
"No worries","1984","16-34 y.","Couple + C. GT 16 ","61","0.0605803595794278","0.0438172712366808","0.0773434479221749","3"
"No worries","1984","16-34 y.","Couple + C. LE 16 ","138","0.0569615802730398","0.0451894123068642","0.0687337482392155","3"
"No worries","1984","66 and older","Single parent ","7","","","","3"
"No worries","1984","66 and older","Couple + C. LE 16 ","1","","","","3"
"No worries","1984","16-34 y.","Single parent ","21","","","","3"
"No worries","1984","66 and older","Couple + C. GT 16 ","4","","","","3"
"No worries","1984","66 and older","Couple + C. LE and GT 16","","","","","3"
"No worries","1984","16-34 y.","1-pers.-HH","15","","","","3"
"No worries","1984","16-34 y.","(Married) couple without C. ","32","0.0312756443913074","0.0178008446685161","0.0447504441140987","3"
"No worries","1984","35-65 y.","1-pers.-HH","87","0.117514292036685","0.0895929154914447","0.145435668581925","3"
"No worries","1984","35-65 y.","(Married) couple without C. ","131","0.0599934960559372","0.0478455577448751","0.0721414343669993","3"
"No worries","1984","35-65 y.","Single parent ","32","0.111823067431918","0.0737352872306155","0.14991084763322","3"
"No worries","1984","35-65 y.","Couple + C. LE 16 ","162","0.057338179221906","0.0457455016502082","0.0689308567936038","3"
"No worries","1984","35-65 y.","Couple + C. GT 16 ","113","0.0600679167287912","0.0461768864689994","0.0739589469885831","3"
"No worries","1984","35-65 y.","Couple + C. LE and GT 16","122","0.0708498590515174","0.0549236300642251","0.0867760880388096","3"
"No worries","1984","66 and older","1-pers.-HH","91","0.200791141468063","0.164103670844491","0.237478612091635","3"
"No worries","1984","66 and older","(Married) couple without C. ","66","0.120460233665778","0.0938320382536736","0.147088429077882","3"
"Some worries","1984","16-34 y.","Couple + C. LE and GT 16","257","0.354983083958586","0.319459147608359","0.390507020308812","2"
"Some worries","1984","35-65 y.","1-pers.-HH","214","0.403431782594799","0.36089616413938","0.445967401050218","2"
"Some worries","1984","35-65 y.","(Married) couple without C. ","631","0.433790818047129","0.408438732320274","0.459142903773984","2"
"Some worries","1984","35-65 y.","Single parent ","108","0.387855212142694","0.328966492662847","0.446743931622541","2"
"Some worries","1984","35-65 y.","Couple + C. LE 16 ","608","0.393046016594456","0.368691280287961","0.417400752900951","2"
"Some worries","1984","16-34 y.","Couple + C. LE 16 ","600","0.402896139050275","0.377983356654644","0.427808921445907","2"
"Some worries","1984","16-34 y.","Couple + C. GT 16 ","256","0.31471820107647","0.282085440006135","0.347350962146805","2"
"Some worries","1984","16-34 y.","Single parent ","101","0.332116918276142","0.277533491757368","0.386700344794915","2"
"Some worries","1984","66 and older","Couple + C. LE and GT 16","","","","","2"
"Some worries","1984","66 and older","Couple + C. LE 16 ","1","","","","2"
"Some worries","1984","66 and older","Couple + C. GT 16 ","22","","","","2"
"Some worries","1984","66 and older","Single parent ","13","","","","2"
"Some worries","1984","16-34 y.","1-pers.-HH","90","0.256349905591843","0.210607924665101","0.302091886518585","2"
"Some worries","1984","16-34 y.","(Married) couple without C. ","212","0.311891893814505","0.276028659228265","0.347755128400744","2"
"Some worries","1984","35-65 y.","Couple + C. GT 16 ","449","0.395699132210337","0.36711176941204","0.424286495008634","2"
"Some worries","1984","35-65 y.","Couple + C. LE and GT 16","431","0.425842434406665","0.395149350563722","0.456535518249608","2"
"Some worries","1984","66 and older","1-pers.-HH","203","0.447667974933032","0.402127927555619","0.493208022310446","2"
"Some worries","1984","66 and older","(Married) couple without C. ","261","0.451499984499449","0.410789212613647","0.492210756385251","2"
"Big worries","1985","16-34 y.","1-pers.-HH","205","0.642633816973923","0.590209342050962","0.695058291896883","1"
"Big worries","1985","16-34 y.","(Married) couple without C. ","335","0.588631716782852","0.548824091362898","0.628439342202807","1"
"Big worries","1985","16-34 y.","Single parent ","141","0.548166463901793","0.489558900133785","0.606774027669801","1"
"Big worries","1985","16-34 y.","Couple + C. LE 16 ","599","0.528799326891949","0.501027106809578","0.556571546974321","1"
"Big worries","1985","16-34 y.","Couple + C. GT 16 ","458","0.579394442721866","0.545749483816731","0.613039401627001","1"
"Big worries","1985","16-34 y.","Couple + C. LE and GT 16","286","0.520956446296539","0.48157042949272","0.560342463100358","1"
"Big worries","1985","35-65 y.","1-pers.-HH","173","0.446103436564941","0.399709532935089","0.492497340194793","1"
"Big worries","1985","35-65 y.","(Married) couple without C. ","591","0.454953149286429","0.428120199121254","0.481786099451604","1"
"Big worries","1985","35-65 y.","Single parent ","108","0.493727075996523","0.429114062587948","0.558340089405098","1"
"Big worries","1985","35-65 y.","Couple + C. LE 16 ","631","0.469800112359347","0.443832425397826","0.495767799320869","1"
"Big worries","1985","35-65 y.","Couple + C. GT 16 ","488","0.449387479155994","0.420358813946813","0.478416144365175","1"
"Big worries","1985","35-65 y.","Couple + C. LE and GT 16","322","0.412384488888553","0.379369060094059","0.445399917683046","1"
"Big worries","1985","66 and older","1-pers.-HH","142","0.363082265944344","0.315538234433669","0.41062629745502","1"
"Big worries","1985","66 and older","(Married) couple without C. ","164","0.327575390251657","0.286104536806395","0.36904624369692","1"
"Big worries","1985","66 and older","Single parent ","11","","","","1"
"Big worries","1985","66 and older","Couple + C. LE 16 ","1","","","","1"
"Big worries","1985","66 and older","Couple + C. GT 16 ","15","","","","1"
"Big worries","1985","66 and older","Couple + C. LE and GT 16","","","","","1"
"No worries","1985","16-34 y.","Couple + C. LE and GT 16","74","0.0878283157207968","0.0655126717465247","0.110143959695069","3"
"No worries","1985","16-34 y.","Couple + C. GT 16 ","58","0.050190613656174","0.035309863755161","0.0650713635571869","3"
"No worries","1985","66 and older","Couple + C. LE 16 ","","","","","3"
"No worries","1985","16-34 y.","Couple + C. LE 16 ","96","0.045756878898254","0.034131157374422","0.057382600422086","3"
"No worries","1985","16-34 y.","Single parent ","26","","","","3"
"No worries","1985","66 and older","Couple + C. LE and GT 16","","","","","3"
"No worries","1985","66 and older","Couple + C. GT 16 ","11","","","","3"
"No worries","1985","66 and older","Single parent ","5","","","","3"
"No worries","1985","16-34 y.","1-pers.-HH","15","","","","3"
"No worries","1985","16-34 y.","(Married) couple without C. ","26","","","","3"
"No worries","1985","35-65 y.","1-pers.-HH","63","0.106948896967297","0.0781049222124126","0.135792871722182","3"
"No worries","1985","35-65 y.","(Married) couple without C. ","110","0.0688392828849968","0.0551966352967181","0.0824819304732755","3"
"No worries","1985","35-65 y.","Single parent ","22","","","","3"
"No worries","1985","35-65 y.","Couple + C. LE 16 ","113","0.0541085068388034","0.0423375890129998","0.065879424664607","3"
"No worries","1985","35-65 y.","Couple + C. GT 16 ","100","0.0565248666639546","0.0430483223539339","0.0700014109739753","3"
"No worries","1985","35-65 y.","Couple + C. LE and GT 16","107","0.0641444281018486","0.0477119508561237","0.0805769053475734","3"
"No worries","1985","66 and older","1-pers.-HH","59","0.14930405848527","0.114069015726488","0.184539101244053","3"
"No worries","1985","66 and older","(Married) couple without C. ","68","0.142460644092247","0.111576183420962","0.173345104763532","3"
